frequency,raw
20.00,9.67
20.20,9.64
20.40,9.60
20.61,9.57
20.81,9.54
21.02,9.51
21.23,9.49
21.44,9.47
21.66,9.46
21.87,9.44
22.09,9.42
22.31,9.40
22.54,9.37
22.76,9.34
22.99,9.31
23.22,9.27
23.45,9.24
23.69,9.20
23.92,9.17
24.16,9.14
24.40,9.11
24.65,9.07
24.89,9.02
25.14,8.97
25.39,8.92
25.65,8.86
25.91,8.79
26.16,8.72
26.43,8.65
26.69,8.58
26.96,8.51
27.23,8.43
27.50,8.35
27.77,8.28
28.05,8.19
28.33,8.11
28.62,8.03
28.90,7.95
29.19,7.87
29.48,7.80
29.78,7.72
30.08,7.65
30.38,7.58
30.68,7.51
30.99,7.44
31.30,7.36
31.61,7.29
31.93,7.22
32.24,7.14
32.57,7.06
32.89,6.98
33.22,6.91
33.55,6.83
33.89,6.75
34.23,6.67
34.57,6.58
34.92,6.49
35.27,6.40
35.62,6.31
35.97,6.23
36.33,6.15
36.70,6.07
37.06,6.00
37.43,5.93
37.81,5.87
38.19,5.81
38.57,5.76
38.95,5.71
39.34,5.66
39.74,5.62
40.14,5.58
40.54,5.54
40.94,5.51
41.35,5.49
41.76,5.47
42.18,5.45
42.60,5.44
43.03,5.44
43.46,5.43
43.90,5.43
44.33,5.43
44.78,5.43
45.23,5.44
45.68,5.46
46.13,5.48
46.60,5.50
47.06,5.53
47.53,5.56
48.01,5.61
48.49,5.65
48.97,5.69
49.46,5.73
49.96,5.79
50.46,5.85
50.96,5.90
51.47,5.95
51.99,6.00
52.51,6.06
53.03,6.11
53.56,6.16
54.10,6.21
54.64,6.25
55.18,6.28
55.74,6.32
56.29,6.35
56.86,6.38
57.42,6.40
58.00,6.42
58.58,6.43
59.16,6.43
59.76,6.42
60.35,6.41
60.96,6.39
61.57,6.36
62.18,6.34
62.80,6.30
63.43,6.26
64.07,6.22
64.71,6.17
65.35,6.11
66.01,6.06
66.67,6.00
67.33,5.94
68.01,5.87
68.69,5.80
69.37,5.73
70.07,5.65
70.77,5.58
71.48,5.51
72.19,5.43
72.91,5.36
73.64,5.29
74.38,5.23
75.12,5.16
75.87,5.09
76.63,5.03
77.40,4.97
78.17,4.91
78.95,4.85
79.74,4.79
80.54,4.73
