frequency,raw
20.00,10.60
20.20,10.73
20.40,10.86
20.61,11.01
20.81,11.15
21.02,11.28
21.23,11.40
21.44,11.50
21.66,11.59
21.87,11.67
22.09,11.75
22.31,11.82
22.54,11.90
22.76,11.99
22.99,12.09
23.22,12.20
23.45,12.31
23.69,12.41
23.92,12.51
24.16,12.60
24.40,12.68
24.65,12.76
24.89,12.83
25.14,12.90
25.39,12.97
25.65,13.04
25.91,13.11
26.16,13.18
26.43,13.26
26.69,13.33
26.96,13.40
27.23,13.46
27.50,13.51
27.77,13.56
28.05,13.59
28.33,13.62
28.62,13.65
28.90,13.68
29.19,13.71
29.48,13.73
29.78,13.76
30.08,13.77
30.38,13.78
30.68,13.78
30.99,13.77
31.30,13.76
31.61,13.74
31.93,13.73
32.24,13.72
32.57,13.72
32.89,13.72
33.22,13.74
33.55,13.75
33.89,13.75
34.23,13.74
34.57,13.73
34.92,13.70
35.27,13.69
35.62,13.68
35.97,13.68
36.33,13.70
36.70,13.70
37.06,13.70
37.43,13.68
37.81,13.66
38.19,13.64
38.57,13.62
38.95,13.62
39.34,13.61
39.74,13.60
40.14,13.57
40.54,13.54
40.94,13.50
41.35,13.47
41.76,13.44
42.18,13.42
42.60,13.39
43.03,13.36
43.46,13.33
43.90,13.30
44.33,13.26
44.78,13.24
45.23,13.21
45.68,13.18
46.13,13.15
46.60,13.10
47.06,13.05
47.53,13.01
48.01,12.98
48.49,12.94
48.97,12.90
49.46,12.86
49.96,12.82
50.46,12.78
50.96,12.74
51.47,12.69
51.99,12.65
52.51,12.62
53.03,12.59
53.56,12.54
54.10,12.48
54.64,12.42
55.18,12.38
55.74,12.33
56.29,12.28
56.86,12.23
57.42,12.18
58.00,12.14
58.58,12.08
59.16,12.01
59.76,11.93
60.35,11.85
60.96,11.78
61.57,11.72
62.18,11.66
62.80,11.60
63.43,11.54
64.07,11.47
64.71,11.40
65.35,11.34
66.01,11.29
66.67,11.22
67.33,11.14
68.01,11.05
68.69,10.98
69.37,10.92
70.07,10.87
70.77,10.78
71.48,10.67
72.19,10.56
72.91,10.47
73.64,10.39
74.38,10.31
75.12,10.22
75.87,10.14
76.63,10.06
77.40,9.97
78.17,9.88
78.95,9.78
79.74,9.69
80.54,9.60
81.35,9.50
82.16,9.39
82.98,9.31
83.81,9.24
84.65,9.13
85.50,9.04
86.35,8.95
87.22,8.83
88.09,8.73
88.97,8.65
89.86,8.57
90.76,8.48
91.66,8.37
92.58,8.27
93.51,8.17
94.44,8.07
95.39,7.95
96.34,7.85
97.30,7.77
98.28,7.67
99.26,7.55
100.25,7.44
101.25,7.39
102.27,7.29
103.29,7.19
104.32,7.11
105.37,7.04
106.42,6.97
107.48,6.88
108.56,6.81
109.64,6.74
110.74,6.66
111.85,6.56
112.97,6.48
114.10,6.40
115.24,6.34
116.39,6.26
117.55,6.17
118.73,6.08
119.92,6.01
121.12,5.94
122.33,5.88
123.55,5.78
124.79,5.71
126.03,5.62
127.29,5.56
128.57,5.49
129.85,5.39
131.15,5.30
132.46,5.21
133.79,5.16
135.12,5.07
136.48,4.99
137.84,4.95
139.22,4.87
140.61,4.78
142.02,4.70
143.44,4.62
144.87,4.53
146.32,4.43
147.78,4.34
149.26,4.26
150.75,4.17
152.26,4.06
153.78,3.96
155.32,3.86
156.88,3.80
158.44,3.73
160.03,3.64
161.63,3.60
163.24,3.55
164.88,3.47
166.53,3.38
168.19,3.32
169.87,3.29
171.57,3.27
173.29,3.23
175.02,3.18
176.77,3.19
178.54,3.17
180.32,3.14
182.13,3.14
183.95,3.13
185.79,3.15
187.65,3.20
189.52,3.19
191.42,3.17
193.33,3.17
195.27,3.18
197.22,3.21
199.19,3.23
201.18,3.27
203.19,3.32
205.23,3.34
207.28,3.38
209.35,3.44
211.44,3.51
213.56,3.58
215.69,3.66
217.85,3.75
220.03,3.79
222.23,3.79
224.45,3.81
226.70,3.86
228.96,3.81
231.25,3.76
233.57,3.72
235.90,3.68
238.26,3.60
240.64,3.53
243.05,3.46
245.48,3.39
247.93,3.30
250.41,3.19
252.92,3.10
255.45,3.01
258.00,2.91
260.58,2.85
263.19,2.77
265.82,2.66
268.48,2.58
271.16,2.47
273.87,2.37
276.61,2.27
279.38,2.20
282.17,2.10
284.99,1.98
287.84,1.86
290.72,1.75
293.63,1.62
296.57,1.52
299.53,1.44
302.53,1.37
305.55,1.29
308.61,1.19
311.69,1.09
314.81,1.00
317.96,0.87
321.14,0.78
324.35,0.76
327.59,0.68
330.87,0.58
334.18,0.48
337.52,0.47
340.90,0.50
344.30,0.60
347.75,0.63
351.23,0.62
354.74,0.58
358.28,0.57
361.87,0.52
365.49,0.42
369.14,0.33
372.83,0.26
376.56,0.23
380.33,0.25
384.13,0.22
387.97,0.19
391.85,0.25
395.77,0.31
399.73,0.36
403.72,0.43
407.76,0.45
411.84,0.43
415.96,0.47
420.12,0.45
424.32,0.38
428.56,0.40
432.85,0.44
437.18,0.50
441.55,0.51
445.96,0.54
450.42,0.60
454.93,0.65
459.48,0.59
464.07,0.60
468.71,0.65
473.40,0.61
478.13,0.57
482.91,0.54
487.74,0.50
492.62,0.51
497.55,0.47
502.52,0.42
507.55,0.39
512.62,0.41
517.75,0.43
522.93,0.45
528.16,0.49
533.44,0.55
538.77,0.59
544.16,0.56
549.60,0.60
555.10,0.62
560.65,0.60
566.25,0.61
571.92,0.63
577.64,0.66
583.41,0.67
589.25,0.67
595.14,0.65
601.09,0.63
607.10,0.66
613.17,0.63
619.30,0.64
625.50,0.63
631.75,0.60
638.07,0.57
644.45,0.55
650.89,0.54
657.40,0.58
663.98,0.59
670.62,0.58
677.32,0.53
684.10,0.51
690.94,0.50
697.85,0.46
704.83,0.43
711.87,0.40
718.99,0.35
726.18,0.37
733.44,0.33
740.78,0.24
748.19,0.24
755.67,0.22
763.23,0.19
770.86,0.13
778.57,0.08
786.35,0.04
794.22,0.04
802.16,0.04
810.18,-0.00
818.28,-0.04
826.46,-0.07
834.73,-0.04
843.08,-0.04
851.51,-0.06
860.02,-0.08
868.62,-0.11
877.31,-0.13
886.08,-0.10
894.94,-0.13
903.89,-0.15
912.93,-0.18
922.06,-0.16
931.28,-0.17
940.59,-0.18
950.00,-0.16
959.50,-0.13
969.09,-0.10
978.78,-0.10
988.57,-0.14
998.46,-0.00
1008.44,0.02
1018.53,0.03
1028.71,0.07
1039.00,0.09
1049.39,0.12
1059.88,0.15
1070.48,0.20
1081.19,0.26
1092.00,0.30
1102.92,0.30
1113.95,0.26
1125.09,0.20
1136.34,0.16
1147.70,0.16
1159.18,0.17
1170.77,0.18
1182.48,0.21
1194.30,0.25
1206.25,0.29
1218.31,0.33
1230.49,0.39
1242.80,0.45
1255.22,0.54
1267.78,0.60
1280.45,0.64
1293.26,0.70
1306.19,0.76
1319.25,0.80
1332.45,0.86
1345.77,0.90
1359.23,0.90
1372.82,0.92
1386.55,0.96
1400.41,1.01
1414.42,1.01
1428.56,1.01
1442.85,1.01
1457.28,1.01
1471.85,1.00
1486.57,1.01
1501.43,1.04
1516.45,1.04
1531.61,1.04
1546.93,1.06
1562.40,1.10
1578.02,1.13
1593.80,1.10
1609.74,1.11
1625.84,1.16
1642.10,1.19
1658.52,1.24
1675.10,1.29
1691.85,1.28
1708.77,1.28
1725.86,1.28
1743.12,1.32
1760.55,1.43
1778.15,1.63
1795.94,2.06
1813.90,2.48
1832.03,2.81
1850.36,3.02
1868.86,3.04
1887.55,3.09
1906.42,3.18
1925.49,3.31
1944.74,3.30
1964.19,3.39
1983.83,3.44
2003.67,3.42
2023.71,3.47
2043.94,3.58
2064.38,3.70
2085.03,3.78
2105.88,3.96
2126.94,4.18
2148.20,4.34
2169.69,4.37
2191.38,4.48
2213.30,4.62
2235.43,4.74
2257.78,4.87
2280.36,4.94
2303.17,4.95
2326.20,5.02
2349.46,5.14
2372.95,5.21
2396.68,5.24
2420.65,5.36
2444.86,5.54
2469.31,5.77
2494.00,5.90
2518.94,6.03
2544.13,6.16
2569.57,6.25
2595.27,6.37
2621.22,6.50
2647.43,6.69
2673.90,6.84
2700.64,6.95
2727.65,7.02
2754.93,7.15
2782.48,7.46
2810.30,7.78
2838.40,8.02
2866.79,8.38
2895.46,8.80
2924.41,9.12
2953.65,9.40
2983.19,9.54
3013.02,9.63
3043.15,9.64
3073.58,9.57
3104.32,9.56
3135.36,9.51
3166.72,9.47
3198.38,9.46
3230.37,9.45
3262.67,9.40
3295.30,9.29
3328.25,9.22
3361.53,9.15
3395.15,9.04
3429.10,8.91
3463.39,8.77
3498.03,8.61
3533.01,8.46
3568.34,8.29
3604.02,8.11
3640.06,7.95
3676.46,7.80
3713.22,7.66
3750.36,7.54
3787.86,7.44
3825.74,7.33
3864.00,7.25
3902.64,7.22
3941.66,7.20
3981.08,7.11
4020.89,6.98
4061.10,6.81
4101.71,6.59
4142.73,6.39
4184.15,6.21
4226.00,6.09
4268.26,5.96
4310.94,5.82
4354.05,5.68
4397.59,5.50
4441.56,5.31
4485.98,5.07
4530.84,4.91
4576.15,4.81
4621.91,4.73
4668.13,4.74
4714.81,4.81
4761.96,4.90
4809.58,4.97
4857.67,5.00
4906.25,5.12
4955.31,5.24
5004.87,5.31
5054.91,5.40
5105.46,5.53
5156.52,5.73
5208.08,5.99
5260.16,6.36
5312.77,6.77
5365.89,7.24
5419.55,7.64
5473.75,7.94
5528.49,8.08
5583.77,7.92
5639.61,7.51
5696.00,7.00
5752.96,6.35
5810.49,5.69
5868.60,5.04
5927.28,4.43
5986.56,3.86
6046.42,3.32
6106.89,2.78
6167.96,2.21
6229.64,1.64
6291.93,1.11
6354.85,0.56
6418.40,0.01
6482.58,-0.48
6547.41,-0.85
6612.88,-1.14
6679.01,-1.25
6745.80,-1.25
6813.26,-1.15
6881.39,-0.94
6950.21,-0.71
7019.71,-0.44
7089.91,-0.10
7160.81,0.23
7232.41,0.53
7304.74,0.79
7377.79,1.01
7451.56,1.09
7526.08,1.09
7601.34,1.07
7677.35,1.10
7754.13,1.16
7831.67,1.29
7909.98,1.36
7989.08,1.35
8068.98,1.21
8149.67,1.01
8231.16,0.75
8313.47,0.18
8396.61,-0.48
8480.57,-1.18
8565.38,-1.81
8651.03,-2.29
8737.54,-2.54
8824.92,-2.85
8913.17,-3.43
9002.30,-4.12
9092.32,-4.91
9183.25,-5.59
9275.08,-6.10
9367.83,-6.29
9461.51,-6.93
9556.12,-7.34
9651.68,-7.52
9748.20,-7.64
9845.68,-7.95
9944.14,-8.10
10043.58,-8.08
10144.02,-7.97
10245.46,-7.42
10347.91,-6.63
10451.39,-5.58
10555.91,-4.26
10661.46,-2.89
10768.08,-1.54
10875.76,-0.47
10984.52,0.32
11094.36,0.76
11205.31,0.58
11317.36,-0.56
11430.53,-1.83
11544.84,-3.23
11660.29,-4.59
11776.89,-5.92
11894.66,-7.38
12013.60,-8.88
12133.74,-9.94
12255.08,-10.04
12377.63,-9.30
12501.41,-7.64
12626.42,-5.48
12752.68,-3.52
12880.21,-2.27
13009.01,-1.40
13139.10,-0.53
13270.49,-0.86
13403.20,-1.21
13537.23,-2.20
13672.60,-3.10
13809.33,-3.90
13947.42,-4.32
14086.90,-4.26
14227.77,-3.89
14370.04,-3.22
14513.74,-2.28
14658.88,-1.66
14805.47,-1.61
14953.52,-2.51
15103.06,-3.58
15254.09,-4.73
15406.63,-5.86
15560.70,-6.62
15716.30,-6.81
15873.47,-7.08
16032.20,-7.30
16192.52,-7.22
16354.45,-6.83
16517.99,-6.25
16683.17,-5.56
16850.01,-4.99
17018.51,-4.59
17188.69,-4.95
17360.58,-5.78
17534.18,-7.02
17709.53,-8.81
17886.62,-10.78
18065.49,-12.47
18246.14,-13.54
18428.60,-13.91
18612.89,-13.27
18799.02,-11.69
18987.01,-9.22
19176.88,-7.21
19368.65,-5.67
19562.33,-4.82
19757.96,-4.87
19955.54,-4.91
