frequency,raw
20.00,-3.39
20.20,-3.33
20.40,-3.25
20.61,-3.17
20.81,-3.08
21.02,-3.00
21.23,-2.91
21.44,-2.83
21.66,-2.76
21.87,-2.68
22.09,-2.60
22.31,-2.53
22.54,-2.45
22.76,-2.37
22.99,-2.29
23.22,-2.19
23.45,-2.10
23.69,-2.00
23.92,-1.91
24.16,-1.83
24.40,-1.75
24.65,-1.68
24.89,-1.61
25.14,-1.55
25.39,-1.50
25.65,-1.44
25.91,-1.39
26.16,-1.34
26.43,-1.31
26.69,-1.28
26.96,-1.26
27.23,-1.24
27.50,-1.22
27.77,-1.19
28.05,-1.16
28.33,-1.13
28.62,-1.11
28.90,-1.11
29.19,-1.13
29.48,-1.16
29.78,-1.18
30.08,-1.19
30.38,-1.17
30.68,-1.14
30.99,-1.12
31.30,-1.13
31.61,-1.17
31.93,-1.24
32.24,-1.30
32.57,-1.33
32.89,-1.29
33.22,-1.23
33.55,-1.15
33.89,-1.12
34.23,-1.12
34.57,-1.14
34.92,-1.14
35.27,-1.06
35.62,-0.95
35.97,-0.81
36.33,-0.71
36.70,-0.68
37.06,-0.69
37.43,-0.72
37.81,-0.71
38.19,-0.68
38.57,-0.60
38.95,-0.54
39.34,-0.49
39.74,-0.47
40.14,-0.47
40.54,-0.48
40.94,-0.50
41.35,-0.52
41.76,-0.55
42.18,-0.57
42.60,-0.58
43.03,-0.59
43.46,-0.61
43.90,-0.64
44.33,-0.66
44.78,-0.66
45.23,-0.65
45.68,-0.64
46.13,-0.63
46.60,-0.64
47.06,-0.64
47.53,-0.63
48.01,-0.62
48.49,-0.61
48.97,-0.61
49.46,-0.60
49.96,-0.57
50.46,-0.56
50.96,-0.56
51.47,-0.58
51.99,-0.55
52.51,-0.50
53.03,-0.45
53.56,-0.42
54.10,-0.40
54.64,-0.37
55.18,-0.31
55.74,-0.26
56.29,-0.24
56.86,-0.23
57.42,-0.22
58.00,-0.20
58.58,-0.18
59.16,-0.16
59.76,-0.18
60.35,-0.20
60.96,-0.23
61.57,-0.24
62.18,-0.24
62.80,-0.26
63.43,-0.27
64.07,-0.29
64.71,-0.31
65.35,-0.33
66.01,-0.35
66.67,-0.35
67.33,-0.36
68.01,-0.38
68.69,-0.39
69.37,-0.40
70.07,-0.39
70.77,-0.39
71.48,-0.41
72.19,-0.43
72.91,-0.43
73.64,-0.41
74.38,-0.40
75.12,-0.41
75.87,-0.41
76.63,-0.41
77.40,-0.41
78.17,-0.38
78.95,-0.35
79.74,-0.36
80.54,-0.37
81.35,-0.37
82.16,-0.37
82.98,-0.37
83.81,-0.36
84.65,-0.36
85.50,-0.36
86.35,-0.36
87.22,-0.38
88.09,-0.40
88.97,-0.40
89.86,-0.40
90.76,-0.41
91.66,-0.41
92.58,-0.42
93.51,-0.44
94.44,-0.45
95.39,-0.46
96.34,-0.47
97.30,-0.46
98.28,-0.47
99.26,-0.49
100.25,-0.51
101.25,-0.49
102.27,-0.49
103.29,-0.51
104.32,-0.51
105.37,-0.49
106.42,-0.49
107.48,-0.51
108.56,-0.52
109.64,-0.52
110.74,-0.52
111.85,-0.57
112.97,-0.57
114.10,-0.56
115.24,-0.58
116.39,-0.57
117.55,-0.57
118.73,-0.59
119.92,-0.63
121.12,-0.64
122.33,-0.65
123.55,-0.66
124.79,-0.66
126.03,-0.68
127.29,-0.68
128.57,-0.68
129.85,-0.69
131.15,-0.71
132.46,-0.71
133.79,-0.71
135.12,-0.72
136.48,-0.72
137.84,-0.69
139.22,-0.69
140.61,-0.69
142.02,-0.68
143.44,-0.69
144.87,-0.72
146.32,-0.71
147.78,-0.71
149.26,-0.69
150.75,-0.68
152.26,-0.68
153.78,-0.70
155.32,-0.70
156.88,-0.68
158.44,-0.67
160.03,-0.65
161.63,-0.64
163.24,-0.64
164.88,-0.66
166.53,-0.65
168.19,-0.64
169.87,-0.61
171.57,-0.62
173.29,-0.63
175.02,-0.65
176.77,-0.61
178.54,-0.61
180.32,-0.64
182.13,-0.61
183.95,-0.61
185.79,-0.59
187.65,-0.57
189.52,-0.58
191.42,-0.61
193.33,-0.62
195.27,-0.61
197.22,-0.58
199.19,-0.59
201.18,-0.59
203.19,-0.58
205.23,-0.58
207.28,-0.57
209.35,-0.56
211.44,-0.57
213.56,-0.56
215.69,-0.54
217.85,-0.51
220.03,-0.51
222.23,-0.52
224.45,-0.52
226.70,-0.49
228.96,-0.50
231.25,-0.49
233.57,-0.48
235.90,-0.44
238.26,-0.43
240.64,-0.42
243.05,-0.40
245.48,-0.39
247.93,-0.38
250.41,-0.38
252.92,-0.36
255.45,-0.34
258.00,-0.32
260.58,-0.30
263.19,-0.29
265.82,-0.28
268.48,-0.25
271.16,-0.25
273.87,-0.25
276.61,-0.24
279.38,-0.22
282.17,-0.20
284.99,-0.18
287.84,-0.18
290.72,-0.19
293.63,-0.17
296.57,-0.17
299.53,-0.18
302.53,-0.17
305.55,-0.16
308.61,-0.17
311.69,-0.19
314.81,-0.23
317.96,-0.36
321.14,-0.43
324.35,-0.38
327.59,-0.46
330.87,-0.59
334.18,-0.75
337.52,-0.84
340.90,-0.88
344.30,-0.89
347.75,-0.91
351.23,-0.92
354.74,-0.91
358.28,-0.86
361.87,-0.82
365.49,-0.79
369.14,-0.77
372.83,-0.76
376.56,-0.74
380.33,-0.70
384.13,-0.70
387.97,-0.75
391.85,-0.79
395.77,-0.82
399.73,-0.82
403.72,-0.81
407.76,-0.77
411.84,-0.71
415.96,-0.63
420.12,-0.55
424.32,-0.48
428.56,-0.36
432.85,-0.24
437.18,-0.12
441.55,-0.03
445.96,0.08
450.42,0.21
454.93,0.27
459.48,0.32
464.07,0.39
468.71,0.48
473.40,0.55
478.13,0.61
482.91,0.67
487.74,0.76
492.62,0.85
497.55,0.89
502.52,0.90
507.55,0.90
512.62,0.97
517.75,1.01
522.93,1.02
528.16,1.01
533.44,1.01
538.77,0.99
544.16,0.88
549.60,0.75
555.10,0.58
560.65,0.37
566.25,0.13
571.92,-0.08
577.64,-0.26
583.41,-0.26
589.25,-0.14
595.14,0.03
601.09,0.19
607.10,0.32
613.17,0.34
619.30,0.35
625.50,0.27
631.75,0.11
638.07,-0.11
644.45,-0.40
650.89,-0.71
657.40,-1.04
663.98,-1.37
670.62,-1.70
677.32,-2.03
684.10,-2.30
690.94,-2.51
697.85,-2.55
704.83,-2.41
711.87,-2.14
718.99,-1.72
726.18,-1.26
733.44,-0.84
740.78,-0.46
748.19,-0.10
755.67,0.21
763.23,0.49
770.86,0.72
778.57,0.90
786.35,1.03
794.22,1.16
802.16,1.28
810.18,1.37
818.28,1.40
826.46,1.40
834.73,1.39
843.08,1.35
851.51,1.32
860.02,1.37
868.62,1.42
877.31,1.46
886.08,1.48
894.94,1.43
903.89,1.36
912.93,1.27
922.06,1.20
931.28,1.12
940.59,1.02
950.00,0.89
959.50,0.73
969.09,0.51
978.78,0.30
988.57,0.13
998.46,0.03
1008.44,-0.16
1018.53,-0.39
1028.71,-0.65
1039.00,-0.83
1049.39,-1.02
1059.88,-1.22
1070.48,-1.18
1081.19,-0.98
1092.00,-0.67
1102.92,-0.30
1113.95,-0.06
1125.09,-0.05
1136.34,-0.26
1147.70,-0.31
1159.18,-0.38
1170.77,-0.46
1182.48,-0.48
1194.30,-0.51
1206.25,-0.55
1218.31,-0.93
1230.49,-1.10
1242.80,-1.26
1255.22,-1.47
1267.78,-1.70
1280.45,-2.22
1293.26,-2.53
1306.19,-2.85
1319.25,-3.22
1332.45,-3.43
1345.77,-3.49
1359.23,-3.37
1372.82,-3.33
1386.55,-3.26
1400.41,-3.16
1414.42,-3.46
1428.56,-3.76
1442.85,-4.05
1457.28,-3.64
1471.85,-2.54
1486.57,-2.15
1501.43,-1.97
1516.45,-1.95
1531.61,-1.95
1546.93,-1.98
1562.40,-2.17
1578.02,-2.40
1593.80,-2.58
1609.74,-2.73
1625.84,-2.85
1642.10,-2.91
1658.52,-2.90
1675.10,-2.83
1691.85,-2.87
1708.77,-2.79
1725.86,-2.60
1743.12,-2.63
1760.55,-2.74
1778.15,-2.87
1795.94,-2.85
1813.90,-2.88
1832.03,-2.93
1850.36,-3.00
1868.86,-2.97
1887.55,-3.11
1906.42,-3.14
1925.49,-2.81
1944.74,-2.98
1964.19,-2.90
1983.83,-2.75
2003.67,-2.65
2023.71,-2.71
2043.94,-2.74
2064.38,-2.75
2085.03,-2.69
2105.88,-2.61
2126.94,-2.57
2148.20,-2.60
2169.69,-2.60
2191.38,-2.44
2213.30,-2.26
2235.43,-2.17
2257.78,-1.83
2280.36,-1.61
2303.17,-1.56
2326.20,-1.43
2349.46,-0.95
2372.95,-0.65
2396.68,-0.57
2420.65,-0.46
2444.86,-0.32
2469.31,-0.14
2494.00,-0.10
2518.94,0.04
2544.13,0.22
2569.57,0.45
2595.27,0.80
2621.22,1.23
2647.43,1.84
2673.90,1.81
2700.64,1.70
2727.65,1.57
2754.93,1.52
2782.48,1.63
2810.30,1.75
2838.40,1.80
2866.79,2.00
2895.46,2.32
2924.41,2.78
2953.65,3.24
2983.19,3.43
3013.02,3.45
3043.15,3.26
3073.58,3.06
3104.32,2.82
3135.36,2.77
3166.72,2.79
3198.38,2.83
3230.37,3.06
3262.67,3.14
3295.30,2.95
3328.25,2.70
3361.53,2.46
3395.15,2.27
3429.10,1.75
3463.39,1.56
3498.03,1.99
3533.01,2.87
3568.34,3.16
3604.02,2.88
3640.06,2.49
3676.46,2.12
3713.22,2.12
3750.36,2.79
3787.86,2.53
3825.74,2.32
3864.00,2.31
3902.64,2.15
3941.66,1.96
3981.08,1.91
4020.89,1.87
4061.10,1.78
4101.71,1.34
4142.73,1.23
4184.15,1.39
4226.00,1.49
4268.26,1.58
4310.94,1.67
4354.05,1.64
4397.59,1.69
4441.56,1.78
4485.98,1.98
4530.84,2.38
4576.15,2.70
4621.91,2.90
4668.13,2.97
4714.81,2.85
4761.96,2.67
4809.58,2.54
4857.67,2.22
4906.25,1.79
4955.31,1.37
5004.87,1.03
5054.91,0.96
5105.46,0.84
5156.52,0.68
5208.08,0.72
5260.16,0.39
5312.77,0.02
5365.89,-0.17
5419.55,-0.55
5473.75,-0.64
5528.49,-0.25
5583.77,0.42
5639.61,0.52
5696.00,0.39
5752.96,0.60
5810.49,0.90
5868.60,1.55
5927.28,2.08
5986.56,2.47
6046.42,2.69
6106.89,2.78
6167.96,2.81
6229.64,2.94
6291.93,3.09
6354.85,3.16
6418.40,3.13
6482.58,2.90
6547.41,2.75
6612.88,2.52
6679.01,1.80
6745.80,1.40
6813.26,1.16
6881.39,0.90
6950.21,0.56
7019.71,0.27
7089.91,0.19
7160.81,0.04
7232.41,-0.13
7304.74,-0.26
7377.79,0.05
7451.56,0.11
7526.08,0.09
7601.34,0.11
7677.35,-0.01
7754.13,-0.15
7831.67,0.20
7909.98,0.53
7989.08,0.83
8068.98,1.01
8149.67,1.24
8231.16,1.60
8313.47,1.85
8396.61,1.97
8480.57,1.70
8565.38,1.19
8651.03,0.65
8737.54,0.16
8824.92,-0.42
8913.17,-1.26
9002.30,-2.19
9092.32,-2.97
9183.25,-3.48
9275.08,-4.06
9367.83,-5.11
9461.51,-6.61
9556.12,-7.62
9651.68,-8.41
9748.20,-9.53
9845.68,-10.35
9944.14,-10.68
10043.58,-10.19
10144.02,-8.96
10245.46,-7.24
10347.91,-5.57
10451.39,-3.97
10555.91,-2.09
10661.46,-0.35
10768.08,1.14
10875.76,1.93
10984.52,2.60
11094.36,2.83
11205.31,2.20
11317.36,1.55
11430.53,1.07
11544.84,0.55
11660.29,-0.34
11776.89,-0.61
11894.66,-0.45
12013.60,-0.34
12133.74,-0.11
12255.08,0.21
12377.63,0.57
12501.41,0.91
12626.42,2.00
12752.68,2.47
12880.21,1.87
13009.01,0.72
13139.10,-0.44
13270.49,-1.60
13403.20,-2.14
13537.23,-2.83
13672.60,-3.63
13809.33,-4.54
13947.42,-5.69
14086.90,-6.23
14227.77,-6.39
14370.04,-6.55
14513.74,-6.81
14658.88,-8.21
14805.47,-10.06
14953.52,-12.65
15103.06,-14.25
15254.09,-15.38
15406.63,-15.89
15560.70,-15.83
15716.30,-14.90
15873.47,-14.55
16032.20,-14.42
16192.52,-14.55
16354.45,-14.69
16517.99,-14.77
16683.17,-14.17
16850.01,-14.06
17018.51,-14.35
17188.69,-15.34
17360.58,-16.81
17534.18,-18.39
17709.53,-19.30
17886.62,-20.88
18065.49,-22.34
18246.14,-23.26
18428.60,-23.45
18612.89,-22.93
18799.02,-21.68
18987.01,-19.64
19176.88,-18.47
19368.65,-17.50
19562.33,-17.16
19757.96,-17.99
