frequency,raw
20.00,2.40
20.20,2.38
20.40,2.37
20.61,2.38
20.81,2.37
21.02,2.37
21.23,2.37
21.44,2.37
21.66,2.38
21.87,2.39
22.09,2.42
22.31,2.46
22.54,2.50
22.76,2.55
22.99,2.60
23.22,2.66
23.45,2.71
23.69,2.75
23.92,2.79
24.16,2.82
24.40,2.85
24.65,2.87
24.89,2.88
25.14,2.89
25.39,2.90
25.65,2.91
25.91,2.92
26.16,2.93
26.43,2.94
26.69,2.95
26.96,2.97
27.23,2.99
27.50,3.01
27.77,3.03
28.05,3.05
28.33,3.07
28.62,3.10
28.90,3.13
29.19,3.14
29.48,3.16
29.78,3.16
30.08,3.16
30.38,3.16
30.68,3.17
30.99,3.19
31.30,3.21
31.61,3.24
31.93,3.25
32.24,3.26
32.57,3.26
32.89,3.27
33.22,3.29
33.55,3.32
33.89,3.35
34.23,3.37
34.57,3.39
34.92,3.38
35.27,3.37
35.62,3.36
35.97,3.35
36.33,3.35
36.70,3.36
37.06,3.36
37.43,3.37
37.81,3.37
38.19,3.38
38.57,3.39
38.95,3.41
39.34,3.43
39.74,3.45
40.14,3.47
40.54,3.48
40.94,3.47
41.35,3.46
41.76,3.44
42.18,3.45
42.60,3.46
43.03,3.46
43.46,3.43
43.90,3.40
44.33,3.37
44.78,3.38
45.23,3.40
45.68,3.42
46.13,3.43
46.60,3.41
47.06,3.39
47.53,3.38
48.01,3.40
48.49,3.41
48.97,3.43
49.46,3.44
49.96,3.46
50.46,3.46
50.96,3.45
51.47,3.39
51.99,3.35
52.51,3.34
53.03,3.35
53.56,3.36
54.10,3.33
54.64,3.28
55.18,3.23
55.74,3.21
56.29,3.19
56.86,3.18
57.42,3.18
58.00,3.19
58.58,3.18
59.16,3.17
59.76,3.15
60.35,3.13
60.96,3.12
61.57,3.11
62.18,3.11
62.80,3.10
63.43,3.09
64.07,3.09
64.71,3.11
65.35,3.13
66.01,3.13
66.67,3.13
67.33,3.13
68.01,3.13
68.69,3.12
69.37,3.12
70.07,3.13
70.77,3.14
71.48,3.14
72.19,3.13
72.91,3.15
73.64,3.15
74.38,3.13
75.12,3.10
75.87,3.09
76.63,3.08
77.40,3.08
78.17,3.08
78.95,3.08
79.74,3.07
80.54,3.04
81.35,3.01
82.16,2.98
82.98,2.96
83.81,2.94
84.65,2.92
85.50,2.92
86.35,2.91
87.22,2.87
88.09,2.83
88.97,2.81
89.86,2.81
90.76,2.79
91.66,2.77
92.58,2.75
93.51,2.71
94.44,2.68
95.39,2.66
96.34,2.63
97.30,2.61
98.28,2.57
99.26,2.53
100.25,2.50
101.25,2.49
102.27,2.46
103.29,2.43
104.32,2.41
105.37,2.40
106.42,2.39
107.48,2.37
108.56,2.33
109.64,2.30
110.74,2.28
111.85,2.21
112.97,2.19
114.10,2.17
115.24,2.14
116.39,2.12
117.55,2.10
118.73,2.05
119.92,2.01
121.12,1.97
122.33,1.93
123.55,1.89
124.79,1.86
126.03,1.82
127.29,1.79
128.57,1.76
129.85,1.72
131.15,1.69
132.46,1.65
133.79,1.64
135.12,1.59
136.48,1.55
137.84,1.53
139.22,1.50
140.61,1.47
142.02,1.43
143.44,1.38
144.87,1.31
146.32,1.26
147.78,1.22
149.26,1.20
150.75,1.17
152.26,1.13
153.78,1.08
155.32,1.03
156.88,1.00
158.44,0.96
160.03,0.92
161.63,0.88
163.24,0.85
164.88,0.82
166.53,0.77
168.19,0.75
169.87,0.75
171.57,0.74
173.29,0.70
175.02,0.65
176.77,0.67
178.54,0.67
180.32,0.64
182.13,0.60
183.95,0.58
185.79,0.56
187.65,0.55
189.52,0.52
191.42,0.48
193.33,0.44
195.27,0.44
197.22,0.41
199.19,0.37
201.18,0.34
203.19,0.31
205.23,0.25
207.28,0.21
209.35,0.18
211.44,0.15
213.56,0.14
215.69,0.13
217.85,0.12
220.03,0.09
222.23,0.04
224.45,0.01
226.70,0.04
228.96,0.00
231.25,-0.05
233.57,-0.08
235.90,-0.07
238.26,-0.11
240.64,-0.14
243.05,-0.16
245.48,-0.19
247.93,-0.22
250.41,-0.27
252.92,-0.32
255.45,-0.37
258.00,-0.42
260.58,-0.47
263.19,-0.52
265.82,-0.59
268.48,-0.64
271.16,-0.69
273.87,-0.73
276.61,-0.77
279.38,-0.81
282.17,-0.87
284.99,-0.94
287.84,-1.05
290.72,-1.15
293.63,-1.21
296.57,-1.26
299.53,-1.31
302.53,-1.37
305.55,-1.45
308.61,-1.52
311.69,-1.59
314.81,-1.68
317.96,-1.85
321.14,-1.98
324.35,-2.00
327.59,-2.12
330.87,-2.27
334.18,-2.44
337.52,-2.52
340.90,-2.55
344.30,-2.54
347.75,-2.58
351.23,-2.65
354.74,-2.75
358.28,-2.82
361.87,-2.90
365.49,-3.00
369.14,-3.10
372.83,-3.22
376.56,-3.33
380.33,-3.40
384.13,-3.49
387.97,-3.61
391.85,-3.74
395.77,-3.87
399.73,-4.00
403.72,-4.10
407.76,-4.21
411.84,-4.34
415.96,-4.48
420.12,-4.64
424.32,-4.80
428.56,-4.89
432.85,-4.98
437.18,-5.07
441.55,-5.16
445.96,-5.21
450.42,-5.21
454.93,-5.22
459.48,-5.26
464.07,-5.26
468.71,-5.22
473.40,-5.17
478.13,-5.16
482.91,-5.15
487.74,-5.12
492.62,-5.11
497.55,-5.09
502.52,-5.09
507.55,-5.12
512.62,-5.06
517.75,-5.05
522.93,-5.06
528.16,-5.08
533.44,-5.05
538.77,-5.01
544.16,-5.03
549.60,-5.06
555.10,-5.06
560.65,-5.04
566.25,-5.03
571.92,-5.03
577.64,-5.03
583.41,-5.01
589.25,-4.99
595.14,-4.99
601.09,-5.00
607.10,-4.97
613.17,-4.99
619.30,-4.88
625.50,-4.81
631.75,-4.78
638.07,-4.75
644.45,-4.69
650.89,-4.63
657.40,-4.50
663.98,-4.39
670.62,-4.30
677.32,-4.21
684.10,-4.13
690.94,-4.03
697.85,-3.91
704.83,-3.78
711.87,-3.67
718.99,-3.58
726.18,-3.48
733.44,-3.38
740.78,-3.32
748.19,-3.28
755.67,-3.20
763.23,-3.12
770.86,-3.08
778.57,-3.00
786.35,-2.88
794.22,-2.74
802.16,-2.61
810.18,-2.50
818.28,-2.41
826.46,-2.31
834.73,-2.20
843.08,-2.06
851.51,-1.92
860.02,-1.77
868.62,-1.61
877.31,-1.47
886.08,-1.33
894.94,-1.17
903.89,-1.01
912.93,-0.83
922.06,-0.66
931.28,-0.51
940.59,-0.37
950.00,-0.20
959.50,-0.07
969.09,-0.01
978.78,-0.00
988.57,-0.05
998.46,-0.02
1008.44,0.11
1018.53,0.26
1028.71,0.40
1039.00,0.55
1049.39,0.69
1059.88,0.81
1070.48,0.95
1081.19,1.10
1092.00,1.27
1102.92,1.41
1113.95,1.56
1125.09,1.71
1136.34,1.84
1147.70,2.00
1159.18,2.10
1170.77,2.19
1182.48,2.31
1194.30,2.37
1206.25,2.44
1218.31,2.51
1230.49,2.57
1242.80,2.63
1255.22,2.68
1267.78,2.77
1280.45,2.83
1293.26,2.90
1306.19,2.97
1319.25,3.04
1332.45,3.08
1345.77,3.09
1359.23,3.09
1372.82,3.05
1386.55,3.04
1400.41,3.05
1414.42,3.05
1428.56,3.06
1442.85,3.03
1457.28,3.03
1471.85,3.07
1486.57,3.12
1501.43,3.17
1516.45,3.24
1531.61,3.31
1546.93,3.37
1562.40,3.47
1578.02,3.57
1593.80,3.62
1609.74,3.68
1625.84,3.73
1642.10,3.77
1658.52,3.79
1675.10,3.81
1691.85,3.83
1708.77,3.81
1725.86,3.78
1743.12,3.70
1760.55,3.61
1778.15,3.51
1795.94,3.42
1813.90,3.30
1832.03,3.17
1850.36,3.03
1868.86,2.81
1887.55,2.66
1906.42,2.54
1925.49,2.45
1944.74,2.29
1964.19,2.19
1983.83,2.09
2003.67,1.95
2023.71,1.81
2043.94,1.69
2064.38,1.60
2085.03,1.52
2105.88,1.50
2126.94,1.48
2148.20,1.42
2169.69,1.32
2191.38,1.28
2213.30,1.32
2235.43,1.38
2257.78,1.57
2280.36,1.76
2303.17,1.92
2326.20,2.13
2349.46,2.41
2372.95,2.61
2396.68,2.76
2420.65,3.07
2444.86,3.41
2469.31,3.77
2494.00,4.19
2518.94,4.59
2544.13,4.97
2569.57,5.31
2595.27,5.64
2621.22,5.95
2647.43,6.23
2673.90,6.47
2700.64,6.75
2727.65,7.06
2754.93,7.32
2782.48,7.50
2810.30,7.71
2838.40,8.01
2866.79,8.42
2895.46,8.89
2924.41,9.21
2953.65,9.50
2983.19,9.66
3013.02,9.78
3043.15,9.84
3073.58,9.84
3104.32,9.90
3135.36,9.93
3166.72,10.09
3198.38,10.39
3230.37,10.72
3262.67,10.95
3295.30,11.05
3328.25,11.10
3361.53,11.06
3395.15,10.83
