frequency,raw
20.00,4.59
20.20,4.59
20.40,4.59
20.61,4.59
20.81,4.60
21.02,4.62
21.23,4.64
21.44,4.67
21.66,4.71
21.87,4.75
22.09,4.80
22.31,4.85
22.54,4.90
22.76,4.96
22.99,5.01
23.22,5.07
23.45,5.13
23.69,5.19
23.92,5.26
24.16,5.31
24.40,5.36
24.65,5.40
24.89,5.44
25.14,5.47
25.39,5.49
25.65,5.52
25.91,5.54
26.16,5.56
26.43,5.57
26.69,5.57
26.96,5.56
27.23,5.55
27.50,5.53
27.77,5.52
28.05,5.50
28.33,5.49
28.62,5.47
28.90,5.46
29.19,5.45
29.48,5.45
29.78,5.44
30.08,5.44
30.38,5.45
30.68,5.46
30.99,5.48
31.30,5.50
31.61,5.53
31.93,5.56
32.24,5.58
32.57,5.59
32.89,5.58
33.22,5.58
33.55,5.58
33.89,5.58
34.23,5.58
34.57,5.57
34.92,5.57
35.27,5.55
35.62,5.53
35.97,5.51
36.33,5.48
36.70,5.45
37.06,5.42
37.43,5.39
37.81,5.37
38.19,5.34
38.57,5.32
38.95,5.30
39.34,5.27
39.74,5.25
40.14,5.22
40.54,5.20
40.94,5.18
41.35,5.16
41.76,5.14
42.18,5.11
42.60,5.08
43.03,5.04
43.46,5.01
43.90,4.98
44.33,4.96
44.78,4.93
45.23,4.89
45.68,4.85
46.13,4.81
46.60,4.78
47.06,4.76
47.53,4.73
48.01,4.69
48.49,4.65
48.97,4.60
49.46,4.56
49.96,4.53
50.46,4.49
50.96,4.44
51.47,4.40
51.99,4.36
52.51,4.32
53.03,4.28
53.56,4.24
54.10,4.19
54.64,4.15
55.18,4.11
55.74,4.07
56.29,4.02
56.86,3.97
57.42,3.93
58.00,3.88
58.58,3.83
59.16,3.78
59.76,3.72
60.35,3.66
60.96,3.61
61.57,3.56
62.18,3.51
62.80,3.46
63.43,3.42
64.07,3.37
64.71,3.32
65.35,3.28
66.01,3.23
66.67,3.18
67.33,3.13
68.01,3.08
68.69,3.04
69.37,2.99
70.07,2.93
70.77,2.89
71.48,2.84
72.19,2.80
72.91,2.75
73.64,2.70
74.38,2.66
75.12,2.61
75.87,2.56
76.63,2.51
77.40,2.46
78.17,2.41
78.95,2.36
79.74,2.30
80.54,2.26
81.35,2.21
82.16,2.16
82.98,2.11
83.81,2.06
84.65,2.00
85.50,1.95
86.35,1.91
87.22,1.86
88.09,1.80
88.97,1.75
89.86,1.69
90.76,1.63
91.66,1.57
92.58,1.51
93.51,1.45
94.44,1.38
95.39,1.32
96.34,1.25
97.30,1.19
98.28,1.12
99.26,1.05
100.25,0.98
101.25,0.89
102.27,0.81
103.29,0.74
104.32,0.67
105.37,0.60
106.42,0.53
107.48,0.45
108.56,0.40
109.64,0.33
110.74,0.27
111.85,0.21
112.97,0.14
114.10,0.08
115.24,0.03
116.39,-0.05
117.55,-0.11
118.73,-0.15
119.92,-0.21
121.12,-0.27
122.33,-0.33
123.55,-0.38
124.79,-0.44
126.03,-0.50
127.29,-0.56
128.57,-0.63
129.85,-0.70
131.15,-0.76
132.46,-0.82
133.79,-0.88
135.12,-0.94
136.48,-1.00
137.84,-1.05
139.22,-1.10
140.61,-1.15
142.02,-1.19
143.44,-1.23
144.87,-1.27
146.32,-1.30
147.78,-1.34
149.26,-1.37
150.75,-1.40
152.26,-1.43
153.78,-1.46
155.32,-1.50
156.88,-1.53
158.44,-1.58
160.03,-1.62
161.63,-1.66
163.24,-1.70
164.88,-1.75
166.53,-1.78
168.19,-1.81
169.87,-1.86
171.57,-1.90
173.29,-1.94
175.02,-1.98
176.77,-2.02
178.54,-2.06
180.32,-2.10
182.13,-2.14
183.95,-2.16
185.79,-2.19
187.65,-2.22
189.52,-2.24
191.42,-2.26
193.33,-2.27
195.27,-2.29
197.22,-2.30
199.19,-2.31
201.18,-2.32
203.19,-2.33
205.23,-2.35
207.28,-2.36
209.35,-2.36
211.44,-2.38
213.56,-2.42
215.69,-2.45
217.85,-2.48
220.03,-2.50
222.23,-2.51
224.45,-2.52
226.70,-2.52
228.96,-2.51
231.25,-2.50
233.57,-2.49
235.90,-2.46
238.26,-2.44
240.64,-2.41
243.05,-2.40
245.48,-2.40
247.93,-2.39
250.41,-2.37
252.92,-2.36
255.45,-2.36
258.00,-2.36
260.58,-2.37
263.19,-2.39
265.82,-2.41
268.48,-2.41
271.16,-2.40
273.87,-2.38
276.61,-2.36
279.38,-2.31
282.17,-2.27
284.99,-2.23
287.84,-2.19
290.72,-2.15
293.63,-2.13
296.57,-2.10
299.53,-2.05
302.53,-2.00
305.55,-1.94
308.61,-1.89
311.69,-1.85
314.81,-1.79
317.96,-1.75
321.14,-1.71
324.35,-1.66
327.59,-1.62
330.87,-1.57
334.18,-1.53
337.52,-1.49
340.90,-1.45
344.30,-1.41
347.75,-1.36
351.23,-1.32
354.74,-1.28
358.28,-1.24
361.87,-1.20
365.49,-1.16
369.14,-1.12
372.83,-1.08
376.56,-1.02
380.33,-0.94
384.13,-0.87
387.97,-0.81
391.85,-0.75
395.77,-0.70
399.73,-0.64
403.72,-0.58
407.76,-0.53
411.84,-0.48
415.96,-0.43
420.12,-0.38
424.32,-0.33
428.56,-0.26
432.85,-0.20
437.18,-0.13
441.55,-0.07
445.96,-0.01
450.42,0.05
454.93,0.11
459.48,0.17
464.07,0.22
468.71,0.27
473.40,0.33
478.13,0.37
482.91,0.42
487.74,0.47
492.62,0.51
497.55,0.54
502.52,0.58
507.55,0.62
512.62,0.66
517.75,0.69
522.93,0.73
528.16,0.76
533.44,0.79
538.77,0.82
544.16,0.85
549.60,0.86
555.10,0.88
560.65,0.90
566.25,0.91
571.92,0.92
577.64,0.93
583.41,0.93
589.25,0.93
595.14,0.93
601.09,0.94
607.10,0.93
613.17,0.93
619.30,0.92
625.50,0.91
631.75,0.90
638.07,0.90
644.45,0.89
650.89,0.88
657.40,0.88
663.98,0.87
670.62,0.86
677.32,0.85
684.10,0.83
690.94,0.81
697.85,0.80
704.83,0.78
711.87,0.76
718.99,0.76
726.18,0.74
733.44,0.72
740.78,0.71
748.19,0.68
755.67,0.66
763.23,0.65
770.86,0.63
778.57,0.61
786.35,0.59
794.22,0.57
802.16,0.55
810.18,0.54
818.28,0.52
826.46,0.50
834.73,0.48
843.08,0.45
851.51,0.43
860.02,0.41
868.62,0.38
877.31,0.36
886.08,0.33
894.94,0.30
903.89,0.28
912.93,0.24
922.06,0.21
931.28,0.18
940.59,0.15
950.00,0.12
959.50,0.10
969.09,0.07
978.78,0.04
988.57,0.02
998.46,0.00
1008.44,-0.01
1018.53,-0.03
1028.71,-0.04
1039.00,-0.05
1049.39,-0.06
1059.88,-0.08
1070.48,-0.08
1081.19,-0.08
1092.00,-0.08
1102.92,-0.05
1113.95,-0.02
1125.09,0.03
1136.34,0.07
1147.70,0.13
1159.18,0.17
1170.77,0.20
1182.48,0.24
1194.30,0.26
1206.25,0.28
1218.31,0.30
1230.49,0.30
1242.80,0.29
1255.22,0.29
1267.78,0.29
1280.45,0.29
1293.26,0.29
1306.19,0.29
1319.25,0.30
1332.45,0.30
1345.77,0.31
1359.23,0.33
1372.82,0.35
1386.55,0.36
1400.41,0.36
1414.42,0.38
1428.56,0.40
1442.85,0.41
1457.28,0.41
1471.85,0.40
1486.57,0.36
1501.43,0.31
1516.45,0.18
1531.61,0.08
1546.93,0.01
1562.40,0.07
1578.02,0.17
1593.80,0.30
1609.74,0.45
1625.84,0.60
1642.10,0.72
1658.52,0.83
1675.10,0.93
1691.85,1.01
1708.77,1.10
1725.86,1.18
1743.12,1.26
1760.55,1.34
1778.15,1.43
1795.94,1.55
1813.90,1.69
1832.03,1.81
1850.36,1.90
1868.86,1.98
1887.55,2.06
1906.42,2.14
1925.49,2.21
1944.74,2.31
1964.19,2.41
1983.83,2.52
2003.67,2.64
2023.71,2.76
2043.94,2.88
2064.38,3.00
2085.03,3.13
2105.88,3.27
2126.94,3.42
2148.20,3.57
2169.69,3.73
2191.38,3.90
2213.30,4.06
2235.43,4.23
2257.78,4.38
2280.36,4.52
2303.17,4.68
2326.20,4.89
2349.46,5.07
2372.95,5.25
2396.68,5.42
2420.65,5.59
2444.86,5.79
2469.31,6.01
2494.00,6.28
2518.94,6.51
2544.13,6.73
2569.57,6.94
2595.27,7.16
2621.22,7.37
2647.43,7.58
2673.90,7.78
2700.64,7.97
2727.65,8.15
2754.93,8.32
2782.48,8.49
2810.30,8.64
2838.40,8.76
2866.79,8.89
2895.46,9.03
2924.41,9.18
2953.65,9.33
2983.19,9.42
3013.02,9.47
3043.15,9.47
3073.58,9.31
3104.32,9.14
3135.36,9.33
3166.72,9.67
3198.38,10.07
3230.37,10.39
3262.67,10.67
3295.30,10.91
3328.25,11.08
3361.53,11.21
3395.15,11.28
3429.10,11.27
3463.39,11.23
3498.03,11.15
3533.01,11.03
3568.34,10.89
3604.02,10.75
3640.06,10.59
3676.46,10.43
3713.22,10.25
3750.36,10.07
3787.86,9.91
3825.74,9.74
3864.00,9.56
3902.64,9.33
3941.66,9.09
3981.08,8.83
4020.89,8.56
4061.10,8.29
4101.71,8.03
4142.73,7.77
4184.15,7.49
4226.00,7.21
4268.26,6.94
4310.94,6.68
4354.05,6.38
4397.59,6.09
4441.56,5.79
4485.98,5.50
4530.84,5.23
4576.15,4.98
4621.91,4.74
4668.13,4.53
4714.81,4.32
4761.96,4.13
4809.58,3.96
4857.67,3.81
4906.25,3.69
4955.31,3.61
5004.87,3.56
5054.91,3.40
5105.46,3.17
5156.52,2.88
5208.08,2.66
5260.16,2.99
5312.77,3.56
5365.89,4.37
5419.55,5.04
5473.75,5.56
5528.49,5.93
5583.77,6.14
5639.61,6.25
5696.00,6.31
5752.96,6.33
5810.49,6.35
5868.60,6.42
5927.28,6.53
5986.56,6.71
6046.42,6.93
6106.89,7.18
6167.96,7.45
6229.64,7.71
6291.93,7.99
6354.85,8.26
6418.40,8.49
6482.58,8.65
6547.41,8.67
6612.88,8.58
6679.01,8.30
6745.80,7.83
6813.26,7.27
6881.39,6.62
6950.21,5.93
7019.71,5.23
7089.91,4.58
7160.81,4.00
7232.41,3.41
7304.74,2.80
7377.79,2.23
7451.56,1.82
7526.08,1.58
7601.34,1.53
7677.35,1.67
7754.13,1.87
7831.67,2.02
7909.98,2.08
7989.08,2.00
8068.98,1.90
8149.67,1.82
8231.16,1.80
8313.47,1.85
8396.61,1.95
8480.57,2.15
8565.38,2.24
8651.03,2.09
8737.54,1.60
8824.92,0.85
8913.17,-0.22
9002.30,-1.39
9092.32,-2.63
9183.25,-3.58
9275.08,-4.25
9367.83,-4.55
9461.51,-4.85
9556.12,-5.18
9651.68,-5.51
9748.20,-5.83
9845.68,-5.85
9944.14,-5.80
10043.58,-5.71
10144.02,-5.62
10245.46,-5.32
10347.91,-4.86
10451.39,-4.19
10555.91,-3.16
10661.46,-1.89
10768.08,-0.38
10875.76,1.42
10984.52,2.82
11094.36,3.49
11205.31,2.74
11317.36,0.93
11430.53,-0.81
11544.84,-2.17
11660.29,-3.08
11776.89,-3.52
11894.66,-2.38
12013.60,-0.97
12133.74,0.31
12255.08,1.15
12377.63,1.54
12501.41,1.79
12626.42,2.08
12752.68,2.46
12880.21,2.72
13009.01,2.90
13139.10,3.08
13270.49,2.75
13403.20,2.28
13537.23,1.99
13672.60,1.89
13809.33,1.98
13947.42,2.18
14086.90,2.57
14227.77,3.07
14370.04,3.64
14513.74,4.24
14658.88,4.39
14805.47,3.94
14953.52,2.51
15103.06,0.91
15254.09,-0.74
15406.63,-1.96
15560.70,-3.27
15716.30,-4.72
15873.47,-5.94
16032.20,-7.00
16192.52,-7.70
16354.45,-7.98
16517.99,-7.96
16683.17,-7.36
16850.01,-6.73
17018.51,-6.33
17188.69,-8.10
17360.58,-10.33
17534.18,-12.44
17709.53,-13.01
17886.62,-12.93
18065.49,-12.55
18246.14,-11.99
18428.60,-11.71
18612.89,-11.52
18799.02,-11.35
18987.01,-11.05
19176.88,-10.29
19368.65,-9.52
19562.33,-8.86
19757.96,-8.37
19955.54,-7.87
