frequency,raw
20.00,7.37
20.20,7.38
20.40,7.40
20.61,7.43
20.81,7.46
21.02,7.50
21.23,7.54
21.44,7.58
21.66,7.64
21.87,7.69
22.09,7.75
22.31,7.81
22.54,7.86
22.76,7.91
22.99,7.96
23.22,8.00
23.45,8.05
23.69,8.11
23.92,8.18
24.16,8.25
24.40,8.32
24.65,8.38
24.89,8.43
25.14,8.47
25.39,8.49
25.65,8.50
25.91,8.50
26.16,8.51
26.43,8.53
26.69,8.56
26.96,8.59
27.23,8.61
27.50,8.62
27.77,8.63
28.05,8.62
28.33,8.61
28.62,8.61
28.90,8.62
29.19,8.66
29.48,8.72
29.78,8.78
30.08,8.84
30.38,8.88
30.68,8.90
30.99,8.91
31.30,8.91
31.61,8.92
31.93,8.95
32.24,9.00
32.57,9.06
32.89,9.12
33.22,9.18
33.55,9.24
33.89,9.27
34.23,9.28
34.57,9.29
34.92,9.29
35.27,9.30
35.62,9.31
35.97,9.33
36.33,9.35
36.70,9.36
37.06,9.36
37.43,9.34
37.81,9.33
38.19,9.32
38.57,9.34
38.95,9.36
39.34,9.39
39.74,9.41
40.14,9.41
40.54,9.40
40.94,9.39
41.35,9.37
41.76,9.37
42.18,9.37
42.60,9.36
43.03,9.34
43.46,9.31
43.90,9.27
44.33,9.25
44.78,9.23
45.23,9.21
45.68,9.18
46.13,9.15
46.60,9.11
47.06,9.08
47.53,9.04
48.01,9.02
48.49,9.00
48.97,8.98
49.46,8.95
49.96,8.91
50.46,8.84
50.96,8.76
51.47,8.69
51.99,8.64
52.51,8.60
53.03,8.55
53.56,8.49
54.10,8.44
54.64,8.37
55.18,8.31
55.74,8.25
56.29,8.20
56.86,8.14
57.42,8.07
58.00,8.00
58.58,7.93
59.16,7.86
59.76,7.79
60.35,7.72
60.96,7.63
61.57,7.55
62.18,7.47
62.80,7.39
63.43,7.32
64.07,7.25
64.71,7.16
65.35,7.08
66.01,7.02
66.67,6.95
67.33,6.87
68.01,6.77
68.69,6.70
69.37,6.65
70.07,6.59
70.77,6.53
71.48,6.48
72.19,6.44
72.91,6.41
73.64,6.39
74.38,6.38
75.12,6.39
75.87,6.39
76.63,6.41
77.40,6.43
78.17,6.49
78.95,6.55
79.74,6.60
80.54,6.64
81.35,6.68
82.16,6.71
82.98,6.77
83.81,6.84
84.65,6.87
85.50,6.92
86.35,6.97
87.22,6.99
88.09,7.02
88.97,7.08
89.86,7.14
90.76,7.19
91.66,7.22
92.58,7.25
93.51,7.28
94.44,7.31
95.39,7.35
96.34,7.37
97.30,7.42
98.28,7.45
99.26,7.48
100.25,7.52
101.25,7.57
102.27,7.61
103.29,7.64
104.32,7.68
105.37,7.74
106.42,7.79
107.48,7.81
108.56,7.83
109.64,7.87
110.74,7.91
111.85,7.91
112.97,7.93
114.10,7.95
115.24,7.98
116.39,7.97
117.55,7.97
118.73,7.97
119.92,7.95
121.12,7.94
122.33,7.92
123.55,7.88
124.79,7.86
126.03,7.82
127.29,7.80
128.57,7.78
129.85,7.73
131.15,7.68
132.46,7.64
133.79,7.60
135.12,7.56
136.48,7.50
137.84,7.45
139.22,7.42
140.61,7.38
142.02,7.32
143.44,7.25
144.87,7.16
146.32,7.11
147.78,7.05
149.26,7.00
150.75,6.94
152.26,6.87
153.78,6.76
155.32,6.66
156.88,6.60
158.44,6.52
160.03,6.42
161.63,6.34
163.24,6.26
164.88,6.16
166.53,6.05
168.19,5.96
169.87,5.87
171.57,5.75
173.29,5.62
175.02,5.51
176.77,5.43
178.54,5.32
180.32,5.19
182.13,5.10
183.95,4.99
185.79,4.88
187.65,4.77
189.52,4.64
191.42,4.52
193.33,4.41
195.27,4.30
197.22,4.15
199.19,4.03
201.18,3.92
203.19,3.83
205.23,3.69
207.28,3.57
209.35,3.47
211.44,3.33
213.56,3.23
215.69,3.12
217.85,3.01
220.03,2.92
222.23,2.78
224.45,2.67
226.70,2.63
228.96,2.51
231.25,2.39
233.57,2.29
235.90,2.24
238.26,2.12
240.64,2.00
243.05,1.90
245.48,1.80
247.93,1.69
250.41,1.55
252.92,1.43
255.45,1.30
258.00,1.16
260.58,1.08
263.19,0.98
265.82,0.86
268.48,0.77
271.16,0.68
273.87,0.59
276.61,0.50
279.38,0.40
282.17,0.31
284.99,0.22
287.84,0.13
290.72,0.04
293.63,-0.05
296.57,-0.13
299.53,-0.18
302.53,-0.25
305.55,-0.33
308.61,-0.40
311.69,-0.45
314.81,-0.55
317.96,-0.73
321.14,-0.85
324.35,-0.86
327.59,-0.96
330.87,-1.07
334.18,-1.13
337.52,-1.13
340.90,-1.12
344.30,-1.13
347.75,-1.17
351.23,-1.21
354.74,-1.25
358.28,-1.27
361.87,-1.28
365.49,-1.30
369.14,-1.34
372.83,-1.39
376.56,-1.43
380.33,-1.43
384.13,-1.46
387.97,-1.49
391.85,-1.50
395.77,-1.51
399.73,-1.50
403.72,-1.52
407.76,-1.53
411.84,-1.54
415.96,-1.55
420.12,-1.56
424.32,-1.59
428.56,-1.61
432.85,-1.63
437.18,-1.68
441.55,-1.69
445.96,-1.71
450.42,-1.73
454.93,-1.76
459.48,-1.83
464.07,-1.87
468.71,-1.88
473.40,-1.92
478.13,-1.95
482.91,-1.98
487.74,-2.05
492.62,-2.04
497.55,-2.13
502.52,-2.19
507.55,-2.20
512.62,-2.22
517.75,-2.26
522.93,-2.31
528.16,-2.33
533.44,-2.34
538.77,-2.34
544.16,-2.41
549.60,-2.41
555.10,-2.43
560.65,-2.46
566.25,-2.46
571.92,-2.45
577.64,-2.42
583.41,-2.40
589.25,-2.40
595.14,-2.40
601.09,-2.40
607.10,-2.37
613.17,-2.41
619.30,-2.35
625.50,-2.28
631.75,-2.27
638.07,-2.31
644.45,-2.31
650.89,-2.28
657.40,-2.22
663.98,-2.16
670.62,-2.10
677.32,-2.09
684.10,-2.05
690.94,-2.02
697.85,-2.00
704.83,-1.98
711.87,-1.95
718.99,-1.92
726.18,-1.83
733.44,-1.76
740.78,-1.74
748.19,-1.72
755.67,-1.69
763.23,-1.65
770.86,-1.58
778.57,-1.50
786.35,-1.43
794.22,-1.39
802.16,-1.34
810.18,-1.27
818.28,-1.21
826.46,-1.13
834.73,-1.02
843.08,-0.94
851.51,-0.86
860.02,-0.78
868.62,-0.72
877.31,-0.65
886.08,-0.56
894.94,-0.47
903.89,-0.41
912.93,-0.37
922.06,-0.27
931.28,-0.23
940.59,-0.20
950.00,-0.16
959.50,-0.12
969.09,-0.11
978.78,-0.08
988.57,-0.02
998.46,-0.01
1008.44,0.06
1018.53,0.10
1028.71,0.04
1039.00,0.07
1049.39,0.10
1059.88,0.10
1070.48,0.10
1081.19,0.11
1092.00,0.13
1102.92,0.14
1113.95,0.16
1125.09,0.15
1136.34,0.13
1147.70,0.17
1159.18,0.14
1170.77,0.09
1182.48,0.15
1194.30,0.15
1206.25,0.16
1218.31,0.20
1230.49,0.23
1242.80,0.26
1255.22,0.29
1267.78,0.33
1280.45,0.33
1293.26,0.35
1306.19,0.38
1319.25,0.41
1332.45,0.49
1345.77,0.49
1359.23,0.39
1372.82,0.24
1386.55,0.17
1400.41,0.19
1414.42,0.24
1428.56,0.29
1442.85,0.32
1457.28,0.34
1471.85,0.36
1486.57,0.41
1501.43,0.46
1516.45,0.47
1531.61,0.48
1546.93,0.50
1562.40,0.63
1578.02,0.80
1593.80,1.04
1609.74,1.25
1625.84,1.43
1642.10,1.48
1658.52,1.54
1675.10,1.59
1691.85,1.59
1708.77,1.59
1725.86,1.61
1743.12,1.63
1760.55,1.63
1778.15,1.62
1795.94,1.59
1813.90,1.54
1832.03,1.62
1850.36,1.91
1868.86,2.22
1887.55,2.41
1906.42,2.47
1925.49,2.41
1944.74,2.26
1964.19,2.21
1983.83,2.14
2003.67,2.03
2023.71,2.00
2043.94,1.99
2064.38,1.99
2085.03,1.97
2105.88,1.99
2126.94,2.03
2148.20,2.01
2169.69,1.94
2191.38,1.97
2213.30,2.06
2235.43,2.13
2257.78,2.32
2280.36,2.49
2303.17,2.61
2326.20,2.76
2349.46,3.04
2372.95,3.30
2396.68,3.51
2420.65,3.95
2444.86,4.40
2469.31,4.84
2494.00,5.17
2518.94,5.38
2544.13,5.54
2569.57,5.71
2595.27,5.89
2621.22,6.09
2647.43,6.35
2673.90,6.51
2700.64,6.62
2727.65,6.68
2754.93,6.71
2782.48,6.82
2810.30,6.93
2838.40,6.98
2866.79,7.08
2895.46,7.23
2924.41,7.29
2953.65,7.33
2983.19,7.39
3013.02,7.46
3043.15,7.54
3073.58,7.55
3104.32,7.72
3135.36,7.83
3166.72,7.93
3198.38,8.02
3230.37,7.92
3262.67,7.67
3295.30,7.19
3328.25,6.73
3361.53,6.31
3395.15,5.98
3429.10,5.79
3463.39,5.58
3498.03,5.32
3533.01,4.91
3568.34,4.40
3604.02,3.82
3640.06,3.27
3676.46,2.64
3713.22,1.97
3750.36,1.29
3787.86,0.63
3825.74,-0.05
3864.00,-0.82
3902.64,-1.72
3941.66,-2.63
3981.08,-3.22
4020.89,-3.30
4061.10,-2.98
4101.71,-2.28
4142.73,-1.60
4184.15,-0.94
4226.00,-0.24
4268.26,0.46
4310.94,1.18
4354.05,1.70
4397.59,2.05
4441.56,2.28
4485.98,2.32
4530.84,2.36
4576.15,2.51
4621.91,2.75
4668.13,3.23
4714.81,3.93
4761.96,4.67
4809.58,5.35
4857.67,5.93
4906.25,6.30
4955.31,6.56
5004.87,6.71
5054.91,6.73
5105.46,6.70
5156.52,6.64
5208.08,6.59
5260.16,6.51
5312.77,6.42
5365.89,6.30
5419.55,6.16
5473.75,6.05
5528.49,5.97
5583.77,5.77
5639.61,5.53
5696.00,5.27
5752.96,5.12
5810.49,5.02
5868.60,5.08
5927.28,5.21
5986.56,5.41
6046.42,5.65
6106.89,5.96
6167.96,6.36
6229.64,6.80
6291.93,7.27
6354.85,7.64
6418.40,7.94
6482.58,8.09
6547.41,7.93
6612.88,7.61
6679.01,7.07
6745.80,6.40
6813.26,5.65
6881.39,4.79
6950.21,3.98
7019.71,3.20
7089.91,2.41
7160.81,1.65
7232.41,1.02
7304.74,0.54
7377.79,0.17
7451.56,-0.12
7526.08,-0.27
7601.34,-0.24
7677.35,-0.12
7754.13,0.03
7831.67,0.33
7909.98,0.71
7989.08,1.22
8068.98,2.04
8149.67,3.04
8231.16,4.27
8313.47,5.47
8396.61,6.46
8480.57,6.60
8565.38,5.75
8651.03,4.59
8737.54,3.43
8824.92,2.34
8913.17,1.23
9002.30,0.11
9092.32,-0.95
9183.25,-2.28
9275.08,-3.90
9367.83,-5.99
9461.51,-8.36
9556.12,-10.21
9651.68,-11.39
9748.20,-11.94
9845.68,-11.26
9944.14,-10.22
10043.58,-8.89
10144.02,-7.43
10245.46,-6.03
10347.91,-4.86
