frequency,raw
20.00,5.25
20.20,5.27
20.40,5.29
20.61,5.31
20.81,5.32
21.02,5.34
21.23,5.35
21.44,5.37
21.66,5.39
21.87,5.40
22.09,5.42
22.31,5.44
22.54,5.46
22.76,5.48
22.99,5.50
23.22,5.52
23.45,5.54
23.69,5.55
23.92,5.56
24.16,5.57
24.40,5.59
24.65,5.60
24.89,5.61
25.14,5.63
25.39,5.63
25.65,5.64
25.91,5.65
26.16,5.65
26.43,5.65
26.69,5.65
26.96,5.66
27.23,5.66
27.50,5.67
27.77,5.67
28.05,5.68
28.33,5.68
28.62,5.69
28.90,5.69
29.19,5.70
29.48,5.70
29.78,5.71
30.08,5.72
30.38,5.72
30.68,5.73
30.99,5.73
31.30,5.74
31.61,5.74
31.93,5.74
32.24,5.74
32.57,5.74
32.89,5.74
33.22,5.73
33.55,5.74
33.89,5.74
34.23,5.74
34.57,5.73
34.92,5.73
35.27,5.72
35.62,5.71
35.97,5.71
36.33,5.71
36.70,5.71
37.06,5.72
37.43,5.71
37.81,5.71
38.19,5.71
38.57,5.71
38.95,5.72
39.34,5.72
39.74,5.72
40.14,5.73
40.54,5.74
40.94,5.74
41.35,5.75
41.76,5.75
42.18,5.75
42.60,5.74
43.03,5.73
43.46,5.72
43.90,5.71
44.33,5.70
44.78,5.68
45.23,5.66
45.68,5.63
46.13,5.61
46.60,5.59
47.06,5.57
47.53,5.55
48.01,5.53
48.49,5.50
48.97,5.46
49.46,5.43
49.96,5.40
50.46,5.39
50.96,5.37
51.47,5.35
51.99,5.32
52.51,5.30
53.03,5.27
53.56,5.25
54.10,5.23
54.64,5.21
55.18,5.21
55.74,5.20
56.29,5.19
56.86,5.17
57.42,5.17
58.00,5.16
58.58,5.16
59.16,5.16
59.76,5.16
60.35,5.18
60.96,5.19
61.57,5.20
62.18,5.22
62.80,5.24
63.43,5.27
64.07,5.30
64.71,5.33
65.35,5.36
66.01,5.40
66.67,5.43
67.33,5.47
68.01,5.52
68.69,5.56
69.37,5.61
70.07,5.65
70.77,5.71
71.48,5.76
72.19,5.81
