frequency,raw
20.00,11.79
20.20,11.66
20.40,11.54
20.61,11.44
20.81,11.33
21.02,11.23
21.23,11.12
21.44,11.02
21.66,10.92
21.87,10.82
22.09,10.73
22.31,10.63
22.54,10.54
22.76,10.45
22.99,10.36
23.22,10.27
23.45,10.19
23.69,10.12
23.92,10.04
24.16,9.97
24.40,9.90
24.65,9.82
24.89,9.74
25.14,9.65
25.39,9.56
25.65,9.46
25.91,9.36
26.16,9.26
26.43,9.17
26.69,9.07
26.96,8.98
27.23,8.89
27.50,8.80
27.77,8.71
28.05,8.62
28.33,8.53
28.62,8.45
28.90,8.38
29.19,8.31
29.48,8.25
29.78,8.20
30.08,8.14
30.38,8.09
30.68,8.04
30.99,7.99
31.30,7.94
31.61,7.89
31.93,7.85
32.24,7.81
32.57,7.78
32.89,7.75
33.22,7.72
33.55,7.69
33.89,7.65
34.23,7.61
34.57,7.56
34.92,7.50
35.27,7.45
35.62,7.40
35.97,7.35
36.33,7.30
36.70,7.25
37.06,7.21
37.43,7.17
37.81,7.14
38.19,7.11
38.57,7.08
38.95,7.05
39.34,7.02
39.74,7.00
40.14,6.98
40.54,6.97
40.94,6.95
41.35,6.92
41.76,6.89
42.18,6.87
42.60,6.86
43.03,6.84
43.46,6.83
43.90,6.80
44.33,6.78
44.78,6.75
45.23,6.73
45.68,6.71
46.13,6.69
46.60,6.66
47.06,6.64
47.53,6.61
48.01,6.59
48.49,6.57
48.97,6.56
49.46,6.55
49.96,6.54
50.46,6.52
50.96,6.51
51.47,6.48
51.99,6.46
52.51,6.45
53.03,6.43
53.56,6.42
54.10,6.41
54.64,6.40
55.18,6.38
55.74,6.38
56.29,6.37
56.86,6.36
57.42,6.36
58.00,6.35
58.58,6.34
59.16,6.34
59.76,6.32
60.35,6.31
60.96,6.29
61.57,6.29
62.18,6.30
62.80,6.30
63.43,6.29
64.07,6.29
64.71,6.30
65.35,6.31
66.01,6.31
66.67,6.32
67.33,6.33
68.01,6.34
68.69,6.34
69.37,6.35
70.07,6.37
70.77,6.38
71.48,6.38
72.19,6.38
72.91,6.41
73.64,6.45
74.38,6.46
75.12,6.46
75.87,6.48
76.63,6.50
77.40,6.51
78.17,6.55
78.95,6.58
79.74,6.60
80.54,6.61
81.35,6.62
82.16,6.63
82.98,6.64
83.81,6.66
84.65,6.66
85.50,6.67
86.35,6.68
87.22,6.67
88.09,6.66
88.97,6.67
89.86,6.67
90.76,6.67
91.66,6.68
92.58,6.68
93.51,6.67
94.44,6.67
95.39,6.68
96.34,6.68
97.30,6.70
98.28,6.68
99.26,6.67
100.25,6.67
101.25,6.69
102.27,6.69
103.29,6.69
104.32,6.69
105.37,6.70
106.42,6.70
107.48,6.69
108.56,6.67
109.64,6.67
110.74,6.67
111.85,6.62
112.97,6.62
114.10,6.63
115.24,6.62
116.39,6.60
117.55,6.59
118.73,6.55
119.92,6.52
121.12,6.49
122.33,6.46
123.55,6.42
124.79,6.39
126.03,6.34
127.29,6.30
128.57,6.25
129.85,6.19
131.15,6.13
132.46,6.08
133.79,6.03
135.12,5.97
136.48,5.91
137.84,5.88
139.22,5.84
140.61,5.80
142.02,5.76
143.44,5.71
144.87,5.64
146.32,5.60
147.78,5.55
149.26,5.52
150.75,5.47
152.26,5.42
153.78,5.35
155.32,5.29
156.88,5.24
158.44,5.18
160.03,5.11
161.63,5.05
163.24,4.98
164.88,4.90
166.53,4.81
168.19,4.73
169.87,4.66
171.57,4.57
173.29,4.47
175.02,4.37
176.77,4.31
178.54,4.23
180.32,4.13
182.13,4.06
183.95,4.00
185.79,3.94
187.65,3.89
189.52,3.83
191.42,3.75
193.33,3.69
195.27,3.64
197.22,3.57
199.19,3.50
201.18,3.45
203.19,3.40
205.23,3.32
207.28,3.25
209.35,3.19
211.44,3.11
213.56,3.07
215.69,3.03
217.85,2.98
220.03,2.92
222.23,2.85
224.45,2.81
