frequency,raw
20.00,13.22
20.20,13.24
20.40,13.27
20.61,13.31
20.81,13.35
21.02,13.38
21.23,13.42
21.44,13.45
21.66,13.49
21.87,13.52
22.09,13.56
22.31,13.59
22.54,13.63
22.76,13.67
22.99,13.70
23.22,13.73
23.45,13.76
23.69,13.79
23.92,13.82
24.16,13.85
24.40,13.89
24.65,13.94
24.89,13.98
25.14,14.01
25.39,14.04
25.65,14.05
25.91,14.06
26.16,14.07
26.43,14.08
26.69,14.08
26.96,14.10
27.23,14.11
27.50,14.13
27.77,14.15
28.05,14.17
28.33,14.19
28.62,14.20
28.90,14.21
29.19,14.23
29.48,14.24
29.78,14.25
30.08,14.27
30.38,14.27
30.68,14.28
30.99,14.27
31.30,14.26
31.61,14.25
31.93,14.24
32.24,14.24
32.57,14.24
32.89,14.25
33.22,14.25
33.55,14.26
33.89,14.24
34.23,14.23
34.57,14.21
34.92,14.19
35.27,14.19
35.62,14.18
35.97,14.18
36.33,14.17
36.70,14.16
37.06,14.15
37.43,14.14
37.81,14.12
38.19,14.10
38.57,14.06
38.95,14.03
39.34,14.01
39.74,14.00
40.14,13.99
40.54,13.97
40.94,13.94
41.35,13.91
41.76,13.88
42.18,13.86
42.60,13.83
43.03,13.78
43.46,13.74
43.90,13.70
44.33,13.68
44.78,13.67
45.23,13.65
45.68,13.62
46.13,13.59
46.60,13.54
47.06,13.47
47.53,13.38
48.01,13.28
48.49,13.21
48.97,13.19
49.46,13.17
49.96,13.14
50.46,13.07
50.96,13.01
51.47,12.94
51.99,12.89
52.51,12.84
53.03,12.77
53.56,12.71
54.10,12.66
54.64,12.62
55.18,12.57
55.74,12.52
56.29,12.46
56.86,12.39
57.42,12.33
58.00,12.27
58.58,12.24
59.16,12.21
59.76,12.18
60.35,12.12
60.96,12.07
61.57,12.05
62.18,12.06
62.80,12.05
63.43,12.03
64.07,12.00
64.71,11.99
65.35,11.99
66.01,11.99
66.67,11.99
67.33,12.00
68.01,12.00
68.69,12.02
69.37,12.05
70.07,12.07
70.77,12.10
71.48,12.12
72.19,12.13
72.91,12.17
73.64,12.22
74.38,12.26
75.12,12.29
75.87,12.33
76.63,12.36
77.40,12.40
78.17,12.45
78.95,12.50
79.74,12.55
80.54,12.60
81.35,12.64
82.16,12.67
82.98,12.72
83.81,12.78
84.65,12.83
85.50,12.86
86.35,12.88
87.22,12.85
88.09,12.81
88.97,12.73
89.86,12.64
90.76,12.54
91.66,12.47
92.58,12.41
93.51,12.40
94.44,12.42
95.39,12.46
96.34,12.51
97.30,12.58
98.28,12.62
99.26,12.66
100.25,12.71
101.25,12.78
102.27,12.83
103.29,12.87
104.32,12.92
105.37,12.97
106.42,13.01
107.48,13.04
108.56,13.07
109.64,13.11
110.74,13.15
111.85,13.14
112.97,13.18
114.10,13.22
115.24,13.25
116.39,13.27
117.55,13.28
118.73,13.26
119.92,13.26
121.12,13.25
122.33,13.25
123.55,13.24
124.79,13.24
126.03,13.23
127.29,13.23
128.57,13.23
129.85,13.22
131.15,13.20
132.46,13.20
133.79,13.21
135.12,13.21
136.48,13.21
137.84,13.24
139.22,13.26
140.61,13.28
142.02,13.30
143.44,13.31
144.87,13.31
146.32,13.34
147.78,13.37
149.26,13.41
150.75,13.44
152.26,13.45
153.78,13.46
155.32,13.48
156.88,13.51
158.44,13.53
160.03,13.54
161.63,13.56
163.24,13.58
164.88,13.58
166.53,13.56
168.19,13.55
169.87,13.55
171.57,13.52
173.29,13.48
175.02,13.43
176.77,13.44
178.54,13.42
180.32,13.36
182.13,13.34
183.95,13.29
185.79,13.24
187.65,13.19
189.52,13.10
191.42,13.01
193.33,12.92
195.27,12.85
197.22,12.76
199.19,12.66
201.18,12.57
203.19,12.48
205.23,12.38
207.28,12.29
209.35,12.20
211.44,12.09
213.56,12.01
215.69,11.91
217.85,11.81
220.03,11.70
222.23,11.56
224.45,11.43
226.70,11.34
228.96,11.20
231.25,11.04
233.57,10.89
235.90,10.77
238.26,10.62
240.64,10.47
243.05,10.33
245.48,10.19
247.93,10.03
250.41,9.84
252.92,9.68
255.45,9.52
258.00,9.36
260.58,9.19
263.19,9.00
265.82,8.81
268.48,8.65
271.16,8.46
273.87,8.26
276.61,8.07
279.38,7.89
282.17,7.70
284.99,7.51
287.84,7.29
290.72,7.07
293.63,6.86
296.57,6.64
299.53,6.40
302.53,6.22
305.55,5.99
308.61,5.75
311.69,5.53
314.81,5.29
317.96,4.93
321.14,4.63
324.35,4.42
327.59,4.14
330.87,3.86
334.18,3.63
337.52,3.51
340.90,3.41
344.30,3.32
347.75,3.19
351.23,3.05
354.74,2.92
358.28,2.77
361.87,2.62
365.49,2.46
369.14,2.27
372.83,2.11
376.56,1.99
380.33,1.90
384.13,1.79
387.97,1.68
391.85,1.59
395.77,1.50
399.73,1.45
403.72,1.42
407.76,1.40
411.84,1.39
415.96,1.42
420.12,1.43
424.32,1.44
428.56,1.50
432.85,1.58
437.18,1.67
441.55,1.73
445.96,1.83
450.42,1.97
454.93,2.11
459.48,2.18
464.07,2.29
468.71,2.43
473.40,2.54
478.13,2.64
482.91,2.73
487.74,2.83
492.62,2.92
497.55,3.01
502.52,3.09
507.55,3.16
512.62,3.22
517.75,3.27
522.93,3.32
528.16,3.35
533.44,3.38
538.77,3.39
544.16,3.33
549.60,3.30
555.10,3.25
560.65,3.19
566.25,3.11
571.92,3.04
577.64,2.95
583.41,2.84
589.25,2.72
595.14,2.60
601.09,2.48
607.10,2.31
613.17,2.13
619.30,2.02
625.50,1.90
631.75,1.74
638.07,1.56
644.45,1.37
650.89,1.19
657.40,1.05
663.98,0.91
670.62,0.76
677.32,0.57
684.10,0.39
690.94,0.23
697.85,0.09
704.83,-0.05
711.87,-0.19
718.99,-0.34
726.18,-0.44
733.44,-0.54
740.78,-0.62
748.19,-0.60
755.67,-0.44
763.23,-0.22
770.86,0.00
778.57,0.20
786.35,0.36
794.22,0.41
802.16,0.41
810.18,0.35
818.28,0.26
826.46,0.18
834.73,0.11
843.08,0.04
851.51,-0.03
860.02,-0.08
868.62,-0.12
877.31,-0.17
886.08,-0.23
894.94,-0.27
903.89,-0.28
912.93,-0.26
922.06,-0.26
931.28,-0.29
940.59,-0.30
950.00,-0.25
959.50,-0.23
969.09,-0.20
978.78,-0.15
988.57,-0.09
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.17
1039.00,0.27
1049.39,0.38
1059.88,0.51
1070.48,0.62
1081.19,0.75
1092.00,0.88
1102.92,0.99
1113.95,1.12
1125.09,1.25
1136.34,1.36
1147.70,1.50
1159.18,1.63
1170.77,1.76
1182.48,1.90
1194.30,2.01
1206.25,2.12
1218.31,2.26
1230.49,2.37
1242.80,2.48
1255.22,2.63
1267.78,2.78
1280.45,2.89
1293.26,3.03
1306.19,3.16
1319.25,3.29
1332.45,3.44
1345.77,3.59
1359.23,3.72
1372.82,3.87
1386.55,4.02
1400.41,4.18
1414.42,4.37
1428.56,4.55
1442.85,4.71
1457.28,4.88
1471.85,5.06
1486.57,5.25
1501.43,5.44
1516.45,5.65
1531.61,5.84
1546.93,6.00
1562.40,6.22
1578.02,6.43
1593.80,6.57
1609.74,6.73
1625.84,6.91
1642.10,7.12
1658.52,7.33
1675.10,7.54
1691.85,7.75
1708.77,7.96
1725.86,8.16
1743.12,8.38
1760.55,8.65
1778.15,8.96
1795.94,9.36
1813.90,9.84
1832.03,10.39
1850.36,11.03
1868.86,11.69
1887.55,12.46
1906.42,13.27
1925.49,14.08
1944.74,14.73
1964.19,15.33
1983.83,15.81
2003.67,16.15
2023.71,16.47
2043.94,16.73
2064.38,16.94
2085.03,17.08
2105.88,17.24
2126.94,17.41
2148.20,17.51
2169.69,17.55
2191.38,17.60
2213.30,17.61
2235.43,17.61
2257.78,17.59
2280.36,17.50
2303.17,17.35
2326.20,17.18
2349.46,17.08
2372.95,16.91
2396.68,16.67
2420.65,16.58
2444.86,16.55
2469.31,16.55
2494.00,16.59
2518.94,16.63
2544.13,16.69
2569.57,16.80
2595.27,16.97
2621.22,17.18
2647.43,17.49
2673.90,17.70
2700.64,17.89
2727.65,18.04
2754.93,18.18
2782.48,18.43
2810.30,18.69
2838.40,18.93
2866.79,19.22
2895.46,19.54
2924.41,19.70
2953.65,19.81
2983.19,19.83
3013.02,19.82
3043.15,19.74
3073.58,19.56
3104.32,19.45
3135.36,19.26
3166.72,19.06
3198.38,18.87
3230.37,18.66
3262.67,18.40
3295.30,18.06
3328.25,17.74
3361.53,17.37
3395.15,16.94
3429.10,16.46
3463.39,15.94
3498.03,15.40
3533.01,14.81
3568.34,14.21
3604.02,13.60
3640.06,13.04
3676.46,12.48
3713.22,11.91
3750.36,11.32
3787.86,10.77
3825.74,10.22
3864.00,9.66
3902.64,9.15
3941.66,8.65
3981.08,8.20
4020.89,7.82
4061.10,7.50
4101.71,7.20
4142.73,6.94
4184.15,6.70
4226.00,6.54
4268.26,6.41
4310.94,6.33
4354.05,6.38
4397.59,6.52
4441.56,6.72
4485.98,7.09
4530.84,7.51
4576.15,8.04
4621.91,8.63
4668.13,9.26
4714.81,9.86
4761.96,10.43
4809.58,10.90
4857.67,11.26
4906.25,11.50
4955.31,11.67
5004.87,11.76
5054.91,11.83
5105.46,11.90
5156.52,11.95
5208.08,11.97
5260.16,11.95
5312.77,11.91
5365.89,11.84
5419.55,11.75
5473.75,11.68
5528.49,11.65
5583.77,11.65
5639.61,11.69
5696.00,11.75
5752.96,11.86
5810.49,11.99
5868.60,12.13
5927.28,12.29
5986.56,12.48
6046.42,12.68
6106.89,12.90
6167.96,13.15
6229.64,13.35
6291.93,13.50
6354.85,13.47
6418.40,13.33
6482.58,13.01
6547.41,12.70
6612.88,12.43
6679.01,12.28
6745.80,12.18
6813.26,12.10
6881.39,11.98
6950.21,11.82
7019.71,11.63
7089.91,11.36
7160.81,11.07
7232.41,10.76
7304.74,10.44
7377.79,10.18
7451.56,9.89
7526.08,9.62
7601.34,9.40
7677.35,9.26
7754.13,9.15
7831.67,9.05
7909.98,8.99
7989.08,8.96
8068.98,9.06
8149.67,9.25
8231.16,9.55
8313.47,10.04
8396.61,10.66
8480.57,11.57
8565.38,12.89
8651.03,14.55
8737.54,16.63
8824.92,17.84
8913.17,17.36
9002.30,16.25
9092.32,14.32
9183.25,12.02
9275.08,9.43
9367.83,6.52
9461.51,3.17
9556.12,-0.19
9651.68,-2.81
9748.20,-4.01
9845.68,-3.48
9944.14,-2.56
10043.58,-1.00
10144.02,1.14
10245.46,3.58
10347.91,5.93
10451.39,7.89
10555.91,7.81
10661.46,6.63
10768.08,4.77
10875.76,3.52
10984.52,3.36
11094.36,3.80
11205.31,4.87
11317.36,6.41
11430.53,8.02
11544.84,9.66
11660.29,11.19
11776.89,12.33
11894.66,12.84
12013.60,13.30
12133.74,14.01
12255.08,15.11
12377.63,16.50
12501.41,18.34
12626.42,20.17
12752.68,21.03
12880.21,20.70
13009.01,19.80
13139.10,18.90
13270.49,17.13
13403.20,15.34
13537.23,13.83
13672.60,12.21
13809.33,10.43
13947.42,7.89
14086.90,5.06
14227.77,2.05
14370.04,-1.07
14513.74,-4.41
14658.88,-8.47
14805.47,-10.50
14953.52,-9.15
15103.06,-7.99
15254.09,-6.97
15406.63,-7.70
15560.70,-7.58
15716.30,-6.13
15873.47,-3.90
16032.20,-1.58
16192.52,0.27
16354.45,0.84
16517.99,0.47
16683.17,-1.83
16850.01,-3.87
17018.51,-5.80
17188.69,-8.41
17360.58,-10.82
17534.18,-13.34
17709.53,-16.73
17886.62,-20.37
18065.49,-22.32
18246.14,-21.19
18428.60,-19.24
18612.89,-17.88
18799.02,-17.22
18987.01,-17.44
19176.88,-15.27
19368.65,-13.12
19562.33,-11.30
19757.96,-9.91
19955.54,-8.52
