frequency,raw
20.00,1.23
20.20,1.27
20.40,1.31
20.61,1.35
20.81,1.38
21.02,1.42
21.23,1.46
21.44,1.50
21.66,1.54
21.87,1.58
22.09,1.63
22.31,1.68
22.54,1.73
22.76,1.78
22.99,1.83
23.22,1.88
23.45,1.92
23.69,1.97
23.92,2.02
24.16,2.07
24.40,2.12
24.65,2.16
24.89,2.21
25.14,2.26
25.39,2.30
25.65,2.34
25.91,2.38
26.16,2.42
26.43,2.45
26.69,2.48
26.96,2.52
27.23,2.55
27.50,2.58
27.77,2.61
28.05,2.63
28.33,2.66
28.62,2.68
28.90,2.70
29.19,2.72
29.48,2.75
29.78,2.78
30.08,2.81
30.38,2.84
30.68,2.87
30.99,2.90
31.30,2.93
31.61,2.96
31.93,2.99
32.24,3.02
32.57,3.05
32.89,3.08
33.22,3.11
33.55,3.14
33.89,3.17
34.23,3.20
34.57,3.22
34.92,3.24
35.27,3.26
35.62,3.29
35.97,3.31
36.33,3.33
36.70,3.35
37.06,3.37
37.43,3.39
37.81,3.41
38.19,3.43
38.57,3.44
38.95,3.46
39.34,3.47
39.74,3.48
40.14,3.50
40.54,3.51
40.94,3.53
41.35,3.54
41.76,3.55
42.18,3.56
42.60,3.57
43.03,3.59
43.46,3.60
43.90,3.60
44.33,3.61
44.78,3.62
45.23,3.63
45.68,3.64
46.13,3.65
46.60,3.66
47.06,3.67
47.53,3.68
48.01,3.69
48.49,3.70
48.97,3.71
49.46,3.72
49.96,3.73
50.46,3.73
50.96,3.73
51.47,3.73
51.99,3.73
52.51,3.73
53.03,3.74
53.56,3.73
54.10,3.73
54.64,3.72
55.18,3.71
55.74,3.71
56.29,3.71
56.86,3.70
57.42,3.70
58.00,3.69
58.58,3.68
59.16,3.67
59.76,3.64
60.35,3.61
60.96,3.58
61.57,3.55
62.18,3.50
62.80,3.45
63.43,3.40
64.07,3.35
64.71,3.29
65.35,3.24
66.01,3.18
66.67,3.12
67.33,3.07
68.01,3.01
68.69,2.95
69.37,2.89
70.07,2.84
70.77,2.79
71.48,2.74
72.19,2.69
72.91,2.65
73.64,2.61
74.38,2.58
75.12,2.55
75.87,2.54
76.63,2.52
77.40,2.51
78.17,2.51
78.95,2.51
79.74,2.51
80.54,2.52
81.35,2.54
82.16,2.56
82.98,2.58
83.81,2.61
84.65,2.66
85.50,2.71
86.35,2.75
87.22,2.80
88.09,2.85
88.97,2.91
89.86,2.97
90.76,3.03
91.66,3.09
92.58,3.15
93.51,3.21
94.44,3.26
95.39,3.32
96.34,3.37
97.30,3.42
98.28,3.47
99.26,3.52
100.25,3.57
101.25,3.60
102.27,3.65
103.29,3.69
104.32,3.73
105.37,3.77
106.42,3.81
107.48,3.85
108.56,3.88
109.64,3.92
110.74,3.95
111.85,3.97
112.97,4.00
114.10,4.02
115.24,4.04
116.39,4.06
117.55,4.08
118.73,4.10
119.92,4.11
121.12,4.13
122.33,4.16
123.55,4.15
124.79,4.14
126.03,4.14
127.29,4.13
128.57,4.10
129.85,4.07
131.15,4.04
132.46,4.01
133.79,3.98
135.12,3.93
136.48,3.88
137.84,3.81
139.22,3.76
140.61,3.69
142.02,3.60
143.44,3.52
144.87,3.42
146.32,3.31
147.78,3.19
149.26,3.06
150.75,2.93
152.26,2.79
153.78,2.64
155.32,2.49
156.88,2.34
158.44,2.18
160.03,2.02
161.63,1.85
163.24,1.68
164.88,1.52
166.53,1.35
168.19,1.18
169.87,1.01
171.57,0.84
173.29,0.68
175.02,0.52
176.77,0.37
178.54,0.23
180.32,0.10
182.13,-0.00
183.95,-0.12
185.79,-0.23
187.65,-0.32
189.52,-0.42
191.42,-0.51
193.33,-0.59
195.27,-0.66
197.22,-0.72
199.19,-0.77
201.18,-0.81
203.19,-0.84
205.23,-0.86
207.28,-0.88
209.35,-0.89
211.44,-0.89
213.56,-0.88
215.69,-0.87
217.85,-0.86
220.03,-0.82
222.23,-0.79
224.45,-0.75
226.70,-0.70
228.96,-0.66
231.25,-0.61
233.57,-0.55
235.90,-0.50
238.26,-0.44
240.64,-0.39
243.05,-0.32
245.48,-0.26
247.93,-0.19
250.41,-0.13
252.92,-0.08
255.45,-0.02
258.00,0.04
260.58,0.11
263.19,0.17
265.82,0.23
268.48,0.28
271.16,0.34
273.87,0.40
276.61,0.46
279.38,0.52
282.17,0.58
284.99,0.64
287.84,0.69
290.72,0.74
293.63,0.80
296.57,0.85
299.53,0.90
302.53,0.95
305.55,0.99
308.61,1.04
311.69,1.09
314.81,1.13
317.96,1.16
321.14,1.20
324.35,1.23
327.59,1.27
330.87,1.30
334.18,1.34
337.52,1.37
340.90,1.39
344.30,1.41
347.75,1.43
351.23,1.45
354.74,1.46
358.28,1.45
361.87,1.44
365.49,1.42
369.14,1.38
372.83,1.41
376.56,1.47
380.33,1.56
384.13,1.61
387.97,1.62
391.85,1.61
395.77,1.60
399.73,1.58
403.72,1.55
407.76,1.52
411.84,1.48
415.96,1.45
420.12,1.41
424.32,1.37
428.56,1.32
432.85,1.28
437.18,1.23
441.55,1.18
445.96,1.14
450.42,1.10
454.93,1.05
459.48,1.01
464.07,0.97
468.71,0.92
473.40,0.87
478.13,0.83
482.91,0.78
487.74,0.73
492.62,0.68
497.55,0.64
502.52,0.61
507.55,0.57
512.62,0.54
517.75,0.52
522.93,0.49
528.16,0.48
533.44,0.47
538.77,0.45
544.16,0.43
549.60,0.43
555.10,0.42
560.65,0.41
566.25,0.40
571.92,0.39
577.64,0.38
583.41,0.37
589.25,0.35
595.14,0.35
601.09,0.34
607.10,0.34
613.17,0.34
619.30,0.33
625.50,0.32
631.75,0.32
638.07,0.31
644.45,0.31
650.89,0.31
657.40,0.30
663.98,0.30
670.62,0.29
677.32,0.29
684.10,0.29
690.94,0.29
697.85,0.30
704.83,0.31
711.87,0.31
718.99,0.33
726.18,0.34
733.44,0.35
740.78,0.36
748.19,0.36
755.67,0.38
763.23,0.40
770.86,0.42
778.57,0.44
786.35,0.46
794.22,0.48
802.16,0.49
810.18,0.51
818.28,0.52
826.46,0.53
834.73,0.54
843.08,0.54
851.51,0.53
860.02,0.53
868.62,0.51
877.31,0.50
886.08,0.48
894.94,0.45
903.89,0.42
912.93,0.39
922.06,0.35
931.28,0.31
940.59,0.27
950.00,0.23
959.50,0.18
969.09,0.13
978.78,0.08
988.57,0.03
998.46,0.01
1008.44,-0.07
1018.53,-0.15
1028.71,-0.22
1039.00,-0.27
1049.39,-0.33
1059.88,-0.40
1070.48,-0.45
1081.19,-0.51
1092.00,-0.57
1102.92,-0.61
1113.95,-0.66
1125.09,-0.70
1136.34,-0.75
1147.70,-0.79
1159.18,-0.83
1170.77,-0.89
1182.48,-0.92
1194.30,-0.96
1206.25,-1.00
1218.31,-1.03
1230.49,-1.06
1242.80,-1.09
