frequency,raw
20.00,-22.72
20.20,-22.51
20.40,-22.31
20.61,-22.11
20.81,-21.89
21.02,-21.66
21.23,-21.43
21.44,-21.20
21.66,-20.95
21.87,-20.69
22.09,-20.41
22.31,-20.11
22.54,-19.80
22.76,-19.49
22.99,-19.17
23.22,-18.86
23.45,-18.57
23.69,-18.29
23.92,-18.03
24.16,-17.79
24.40,-17.58
24.65,-17.38
24.89,-17.18
25.14,-16.98
25.39,-16.78
25.65,-16.56
25.91,-16.33
26.16,-16.07
26.43,-15.79
26.69,-15.50
26.96,-15.20
27.23,-14.91
27.50,-14.63
27.77,-14.37
28.05,-14.12
28.33,-13.90
28.62,-13.68
28.90,-13.46
29.19,-13.22
29.48,-12.97
29.78,-12.69
30.08,-12.41
30.38,-12.14
30.68,-11.88
30.99,-11.63
31.30,-11.39
31.61,-11.15
31.93,-10.91
32.24,-10.69
32.57,-10.47
32.89,-10.28
33.22,-10.11
33.55,-9.96
33.89,-9.81
34.23,-9.66
34.57,-9.50
34.92,-9.35
35.27,-9.19
35.62,-9.04
35.97,-8.89
36.33,-8.75
36.70,-8.60
37.06,-8.45
37.43,-8.32
37.81,-8.22
38.19,-8.12
38.57,-8.03
38.95,-7.92
39.34,-7.80
39.74,-7.68
40.14,-7.56
40.54,-7.46
40.94,-7.37
41.35,-7.28
41.76,-7.21
42.18,-7.12
42.60,-7.03
43.03,-6.94
43.46,-6.85
43.90,-6.78
44.33,-6.72
44.78,-6.67
45.23,-6.60
45.68,-6.52
46.13,-6.44
46.60,-6.39
47.06,-6.35
47.53,-6.32
48.01,-6.29
48.49,-6.25
48.97,-6.21
49.46,-6.17
49.96,-6.12
50.46,-6.06
50.96,-6.01
51.47,-5.97
51.99,-5.96
52.51,-5.93
53.03,-5.89
53.56,-5.83
54.10,-5.78
54.64,-5.75
55.18,-5.72
55.74,-5.71
56.29,-5.71
56.86,-5.73
57.42,-5.74
58.00,-5.74
58.58,-5.69
59.16,-5.64
59.76,-5.59
60.35,-5.56
60.96,-5.52
61.57,-5.49
62.18,-5.47
62.80,-5.45
63.43,-5.43
64.07,-5.41
64.71,-5.40
65.35,-5.39
66.01,-5.38
66.67,-5.35
67.33,-5.32
68.01,-5.28
68.69,-5.25
69.37,-5.24
70.07,-5.24
70.77,-5.22
71.48,-5.17
72.19,-5.12
72.91,-5.08
73.64,-5.06
74.38,-5.04
75.12,-5.04
75.87,-5.05
76.63,-5.06
77.40,-5.07
78.17,-5.06
78.95,-5.05
79.74,-5.05
80.54,-5.05
81.35,-5.04
82.16,-5.00
82.98,-4.97
83.81,-4.94
84.65,-4.94
85.50,-4.94
86.35,-4.95
87.22,-4.94
88.09,-4.94
88.97,-4.94
89.86,-4.95
90.76,-4.94
91.66,-4.91
92.58,-4.88
93.51,-4.86
94.44,-4.86
95.39,-4.87
96.34,-4.88
97.30,-4.89
98.28,-4.89
99.26,-4.88
100.25,-4.88
101.25,-4.90
102.27,-4.92
103.29,-4.94
104.32,-4.94
105.37,-4.93
106.42,-4.93
107.48,-4.94
108.56,-4.93
109.64,-4.94
110.74,-4.97
111.85,-5.00
112.97,-5.02
114.10,-5.03
115.24,-5.05
116.39,-5.07
117.55,-5.09
118.73,-5.10
119.92,-5.12
121.12,-5.14
122.33,-5.16
123.55,-5.17
124.79,-5.17
126.03,-5.18
127.29,-5.21
128.57,-5.26
129.85,-5.30
131.15,-5.35
132.46,-5.38
133.79,-5.41
135.12,-5.44
136.48,-5.47
137.84,-5.48
139.22,-5.51
140.61,-5.54
142.02,-5.57
143.44,-5.60
144.87,-5.64
146.32,-5.65
147.78,-5.67
149.26,-5.70
150.75,-5.74
152.26,-5.79
153.78,-5.83
155.32,-5.86
156.88,-5.86
158.44,-5.86
160.03,-5.86
161.63,-5.90
163.24,-5.94
164.88,-5.97
166.53,-5.98
168.19,-6.00
169.87,-6.01
171.57,-6.03
173.29,-6.04
175.02,-6.05
176.77,-6.05
178.54,-6.08
180.32,-6.11
182.13,-6.15
183.95,-6.16
185.79,-6.17
187.65,-6.19
189.52,-6.22
191.42,-6.24
193.33,-6.27
195.27,-6.30
197.22,-6.35
199.19,-6.39
201.18,-6.40
203.19,-6.40
205.23,-6.39
207.28,-6.36
209.35,-6.33
211.44,-6.28
213.56,-6.22
215.69,-6.18
217.85,-6.15
220.03,-6.14
222.23,-6.14
224.45,-6.14
226.70,-6.12
228.96,-6.12
231.25,-6.12
233.57,-6.13
235.90,-6.13
238.26,-6.14
240.64,-6.15
243.05,-6.16
245.48,-6.18
247.93,-6.21
250.41,-6.27
252.92,-6.32
255.45,-6.36
258.00,-6.39
260.58,-6.41
263.19,-6.42
265.82,-6.43
268.48,-6.43
271.16,-6.42
273.87,-6.39
276.61,-6.35
279.38,-6.30
282.17,-6.25
284.99,-6.21
287.84,-6.18
290.72,-6.15
293.63,-6.13
296.57,-6.11
299.53,-6.08
302.53,-6.06
305.55,-6.03
308.61,-6.00
311.69,-5.98
314.81,-5.95
317.96,-5.93
321.14,-5.92
324.35,-5.90
327.59,-5.86
330.87,-5.82
334.18,-5.77
337.52,-5.71
340.90,-5.66
344.30,-5.62
347.75,-5.58
351.23,-5.56
354.74,-5.54
358.28,-5.53
361.87,-5.51
365.49,-5.47
369.14,-5.43
372.83,-5.40
376.56,-5.36
380.33,-5.32
384.13,-5.28
387.97,-5.23
391.85,-5.18
395.77,-5.13
399.73,-5.07
403.72,-5.00
407.76,-4.92
411.84,-4.85
415.96,-4.79
420.12,-4.74
424.32,-4.70
428.56,-4.66
432.85,-4.62
437.18,-4.59
441.55,-4.55
445.96,-4.51
450.42,-4.49
454.93,-4.48
459.48,-4.43
464.07,-4.37
468.71,-4.31
473.40,-4.28
478.13,-4.25
482.91,-4.22
487.74,-4.18
492.62,-4.14
497.55,-4.10
502.52,-4.06
507.55,-4.03
512.62,-4.00
517.75,-3.97
522.93,-3.92
528.16,-3.87
533.44,-3.82
538.77,-3.78
544.16,-3.75
549.60,-3.72
555.10,-3.68
560.65,-3.65
566.25,-3.63
571.92,-3.61
577.64,-3.60
583.41,-3.58
589.25,-3.55
595.14,-3.51
601.09,-3.48
607.10,-3.45
613.17,-3.42
619.30,-3.38
625.50,-3.34
631.75,-3.31
638.07,-3.27
644.45,-3.22
650.89,-3.17
657.40,-3.12
663.98,-3.07
670.62,-3.02
677.32,-2.95
684.10,-2.90
690.94,-2.85
697.85,-2.81
704.83,-2.76
711.87,-2.72
718.99,-2.69
726.18,-2.64
733.44,-2.58
740.78,-2.51
748.19,-2.44
755.67,-2.37
763.23,-2.29
770.86,-2.24
778.57,-2.18
786.35,-2.13
794.22,-2.05
802.16,-1.96
810.18,-1.86
818.28,-1.75
826.46,-1.65
834.73,-1.56
843.08,-1.48
851.51,-1.40
860.02,-1.33
868.62,-1.25
877.31,-1.16
886.08,-1.07
894.94,-0.96
903.89,-0.86
912.93,-0.76
922.06,-0.66
931.28,-0.56
940.59,-0.48
950.00,-0.40
959.50,-0.34
969.09,-0.27
978.78,-0.20
988.57,-0.12
998.46,-0.02
1008.44,0.09
1018.53,0.19
1028.71,0.30
1039.00,0.41
1049.39,0.53
1059.88,0.65
1070.48,0.76
1081.19,0.87
1092.00,0.97
1102.92,1.07
1113.95,1.20
1125.09,1.32
1136.34,1.45
1147.70,1.58
1159.18,1.72
1170.77,1.85
1182.48,2.01
1194.30,2.17
1206.25,2.34
1218.31,2.53
1230.49,2.73
1242.80,2.95
1255.22,3.18
1267.78,3.41
1280.45,3.65
1293.26,3.89
1306.19,4.12
1319.25,4.35
1332.45,4.54
1345.77,4.71
1359.23,4.86
1372.82,4.97
1386.55,5.06
1400.41,5.13
1414.42,5.22
1428.56,5.31
1442.85,5.44
1457.28,5.59
1471.85,5.76
1486.57,5.92
1501.43,6.08
1516.45,6.22
1531.61,6.36
1546.93,6.50
1562.40,6.62
1578.02,6.75
1593.80,6.86
1609.74,6.97
1625.84,7.08
1642.10,7.17
1658.52,7.26
1675.10,7.34
1691.85,7.41
1708.77,7.48
1725.86,7.53
1743.12,7.58
1760.55,7.62
1778.15,7.65
1795.94,7.68
1813.90,7.71
1832.03,7.73
1850.36,7.75
1868.86,7.75
1887.55,7.76
1906.42,7.76
1925.49,7.77
1944.74,7.78
1964.19,7.78
1983.83,7.79
2003.67,7.80
2023.71,7.80
2043.94,7.81
2064.38,7.81
2085.03,7.82
2105.88,7.84
2126.94,7.85
2148.20,7.86
2169.69,7.86
2191.38,7.87
2213.30,7.86
2235.43,7.85
2257.78,7.85
2280.36,7.86
2303.17,7.89
2326.20,7.91
2349.46,7.92
2372.95,7.94
2396.68,7.97
2420.65,8.00
2444.86,8.05
2469.31,8.10
2494.00,8.14
2518.94,8.17
2544.13,8.21
2569.57,8.25
2595.27,8.30
2621.22,8.35
2647.43,8.40
2673.90,8.46
2700.64,8.51
2727.65,8.57
2754.93,8.64
2782.48,8.72
2810.30,8.79
2838.40,8.85
2866.79,8.91
2895.46,8.97
2924.41,9.01
2953.65,9.06
2983.19,9.10
3013.02,9.15
3043.15,9.20
3073.58,9.28
3104.32,9.38
3135.36,9.48
3166.72,9.57
3198.38,9.66
3230.37,9.73
3262.67,9.80
3295.30,9.85
3328.25,9.88
3361.53,9.91
3395.15,9.93
3429.10,9.94
3463.39,9.93
3498.03,9.93
3533.01,9.89
3568.34,9.85
3604.02,9.79
3640.06,9.72
3676.46,9.65
3713.22,9.56
3750.36,9.47
3787.86,9.39
3825.74,9.32
3864.00,9.27
3902.64,9.22
3941.66,9.16
3981.08,9.09
4020.89,9.02
4061.10,8.95
4101.71,8.87
4142.73,8.77
4184.15,8.67
4226.00,8.54
4268.26,8.42
4310.94,8.29
4354.05,8.17
4397.59,8.05
4441.56,7.94
4485.98,7.84
4530.84,7.75
4576.15,7.68
4621.91,7.62
4668.13,7.60
4714.81,7.63
4761.96,7.68
4809.58,7.77
4857.67,7.86
4906.25,7.94
4955.31,8.02
5004.87,8.11
5054.91,8.21
5105.46,8.31
5156.52,8.41
5208.08,8.52
5260.16,8.63
5312.77,8.73
5365.89,8.81
5419.55,8.88
5473.75,8.96
5528.49,9.05
5583.77,9.17
5639.61,9.22
5696.00,9.24
5752.96,9.19
5810.49,9.12
5868.60,9.00
5927.28,8.88
5986.56,8.74
6046.42,8.56
6106.89,8.36
6167.96,8.13
6229.64,7.87
6291.93,7.57
6354.85,7.25
6418.40,6.93
6482.58,6.62
6547.41,6.35
6612.88,6.11
6679.01,5.92
6745.80,5.79
6813.26,5.68
6881.39,5.60
6950.21,5.56
7019.71,5.55
7089.91,5.59
7160.81,5.69
7232.41,5.82
7304.74,5.99
7377.79,6.18
7451.56,6.42
7526.08,6.70
7601.34,7.02
7677.35,7.37
7754.13,7.73
7831.67,8.04
7909.98,8.31
7989.08,8.52
8068.98,8.63
8149.67,8.66
8231.16,8.61
8313.47,8.45
8396.61,8.23
8480.57,7.93
8565.38,7.54
8651.03,7.09
8737.54,6.58
8824.92,6.00
8913.17,5.40
9002.30,4.78
9092.32,4.13
9183.25,3.47
9275.08,2.81
9367.83,2.13
9461.51,1.45
9556.12,0.80
9651.68,0.19
9748.20,-0.37
9845.68,-0.88
9944.14,-1.36
10043.58,-1.81
10144.02,-2.24
10245.46,-2.63
10347.91,-2.98
10451.39,-3.29
10555.91,-3.55
10661.46,-3.77
10768.08,-3.94
10875.76,-4.07
10984.52,-4.15
11094.36,-4.20
11205.31,-4.21
11317.36,-4.22
11430.53,-4.23
11544.84,-4.25
11660.29,-4.26
11776.89,-4.26
11894.66,-4.18
12013.60,-4.09
12133.74,-3.92
12255.08,-3.65
12377.63,-3.31
12501.41,-2.87
12626.42,-2.25
12752.68,-1.49
12880.21,-0.73
13009.01,0.01
13139.10,0.75
13270.49,0.82
13403.20,0.60
13537.23,-0.37
13672.60,-1.58
13809.33,-3.01
13947.42,-4.54
14086.90,-5.98
14227.77,-7.36
14370.04,-8.58
14513.74,-9.60
14658.88,-10.40
14805.47,-11.18
14953.52,-11.92
15103.06,-12.66
15254.09,-13.41
15406.63,-14.07
15560.70,-14.68
15716.30,-15.20
15873.47,-15.65
16032.20,-16.05
16192.52,-16.37
16354.45,-16.61
16517.99,-16.79
16683.17,-16.79
16850.01,-16.63
17018.51,-16.34
17188.69,-15.86
17360.58,-15.36
17534.18,-14.84
17709.53,-14.36
17886.62,-13.89
18065.49,-13.48
18246.14,-13.15
18428.60,-13.16
18612.89,-13.45
18799.02,-14.00
18987.01,-14.76
19176.88,-15.56
19368.65,-16.34
19562.33,-17.13
19757.96,-17.99
19955.54,-18.85
