frequency,raw
20.00,11.79
20.20,11.81
20.40,11.82
20.61,11.83
20.81,11.85
21.02,11.86
21.23,11.87
21.44,11.87
21.66,11.88
21.87,11.88
22.09,11.89
22.31,11.89
22.54,11.90
22.76,11.90
22.99,11.91
23.22,11.93
23.45,11.95
23.69,11.97
23.92,11.99
24.16,12.01
24.40,12.04
24.65,12.06
24.89,12.09
25.14,12.12
25.39,12.15
25.65,12.18
25.91,12.20
26.16,12.22
26.43,12.24
26.69,12.26
26.96,12.27
27.23,12.28
27.50,12.28
27.77,12.29
28.05,12.30
28.33,12.30
28.62,12.30
28.90,12.29
29.19,12.29
29.48,12.28
29.78,12.27
30.08,12.27
30.38,12.26
30.68,12.25
30.99,12.24
31.30,12.23
31.61,12.22
31.93,12.21
32.24,12.21
32.57,12.20
32.89,12.21
33.22,12.21
33.55,12.21
33.89,12.22
34.23,12.22
34.57,12.22
34.92,12.21
35.27,12.21
35.62,12.20
35.97,12.20
36.33,12.19
36.70,12.18
37.06,12.17
37.43,12.15
37.81,12.13
38.19,12.11
38.57,12.09
38.95,12.06
39.34,12.03
39.74,12.01
40.14,11.98
40.54,11.95
40.94,11.92
41.35,11.89
41.76,11.87
42.18,11.85
42.60,11.82
43.03,11.79
43.46,11.76
43.90,11.73
44.33,11.71
44.78,11.68
45.23,11.65
45.68,11.62
46.13,11.57
46.60,11.53
47.06,11.48
47.53,11.44
48.01,11.39
48.49,11.35
48.97,11.32
49.46,11.28
49.96,11.23
50.46,11.18
50.96,11.12
51.47,11.05
51.99,10.99
52.51,10.93
53.03,10.86
53.56,10.80
54.10,10.74
54.64,10.68
55.18,10.61
55.74,10.55
56.29,10.48
56.86,10.42
57.42,10.35
58.00,10.28
58.58,10.20
59.16,10.12
59.76,10.05
60.35,9.97
60.96,9.90
61.57,9.83
62.18,9.76
62.80,9.67
63.43,9.59
64.07,9.51
64.71,9.42
65.35,9.33
66.01,9.24
66.67,9.15
67.33,9.06
68.01,8.96
68.69,8.86
69.37,8.76
70.07,8.65
70.77,8.55
71.48,8.45
72.19,8.35
72.91,8.26
73.64,8.17
74.38,8.07
75.12,7.97
75.87,7.86
76.63,7.75
77.40,7.64
78.17,7.53
78.95,7.41
79.74,7.30
80.54,7.18
81.35,7.06
82.16,6.93
82.98,6.81
83.81,6.69
84.65,6.57
85.50,6.45
86.35,6.34
87.22,6.22
88.09,6.10
88.97,5.99
89.86,5.87
90.76,5.75
91.66,5.63
92.58,5.50
93.51,5.37
94.44,5.24
95.39,5.11
96.34,4.98
97.30,4.86
98.28,4.74
99.26,4.61
100.25,4.50
101.25,4.38
102.27,4.26
103.29,4.14
104.32,4.01
105.37,3.89
106.42,3.76
107.48,3.64
108.56,3.52
109.64,3.40
110.74,3.29
111.85,3.18
112.97,3.07
114.10,2.95
115.24,2.84
116.39,2.73
117.55,2.62
118.73,2.51
119.92,2.40
121.12,2.29
122.33,2.19
123.55,2.09
124.79,1.99
126.03,1.90
127.29,1.81
128.57,1.73
129.85,1.64
131.15,1.55
132.46,1.47
133.79,1.39
135.12,1.31
136.48,1.23
137.84,1.17
139.22,1.10
140.61,1.03
142.02,0.96
143.44,0.90
144.87,0.83
146.32,0.77
147.78,0.72
149.26,0.66
150.75,0.61
152.26,0.55
153.78,0.51
155.32,0.46
156.88,0.43
158.44,0.40
160.03,0.37
161.63,0.34
163.24,0.31
164.88,0.29
166.53,0.27
168.19,0.26
169.87,0.23
171.57,0.20
173.29,0.17
175.02,0.14
176.77,0.11
178.54,0.08
180.32,0.06
182.13,0.03
183.95,-0.00
185.79,-0.04
187.65,-0.08
189.52,-0.14
191.42,-0.19
193.33,-0.24
195.27,-0.28
197.22,-0.30
199.19,-0.31
201.18,-0.30
203.19,-0.30
205.23,-0.29
207.28,-0.28
209.35,-0.27
211.44,-0.25
213.56,-0.23
215.69,-0.23
217.85,-0.22
220.03,-0.23
222.23,-0.24
224.45,-0.25
226.70,-0.26
228.96,-0.28
231.25,-0.29
233.57,-0.30
235.90,-0.31
238.26,-0.32
240.64,-0.32
243.05,-0.33
245.48,-0.33
247.93,-0.33
250.41,-0.33
252.92,-0.31
255.45,-0.30
258.00,-0.30
260.58,-0.29
263.19,-0.29
265.82,-0.30
268.48,-0.30
271.16,-0.31
273.87,-0.31
276.61,-0.31
279.38,-0.32
282.17,-0.33
284.99,-0.34
287.84,-0.35
290.72,-0.36
293.63,-0.36
296.57,-0.37
299.53,-0.37
302.53,-0.38
305.55,-0.38
308.61,-0.38
311.69,-0.38
314.81,-0.39
317.96,-0.40
321.14,-0.41
324.35,-0.42
327.59,-0.43
330.87,-0.44
334.18,-0.46
337.52,-0.46
340.90,-0.47
344.30,-0.46
347.75,-0.46
351.23,-0.47
354.74,-0.48
358.28,-0.51
361.87,-0.53
365.49,-0.55
369.14,-0.56
372.83,-0.56
376.56,-0.57
380.33,-0.57
384.13,-0.58
387.97,-0.59
391.85,-0.60
395.77,-0.60
399.73,-0.61
403.72,-0.60
407.76,-0.60
411.84,-0.59
415.96,-0.60
420.12,-0.61
424.32,-0.62
428.56,-0.63
432.85,-0.65
437.18,-0.67
441.55,-0.68
445.96,-0.70
450.42,-0.71
454.93,-0.73
459.48,-0.74
464.07,-0.74
468.71,-0.74
473.40,-0.74
478.13,-0.72
482.91,-0.71
487.74,-0.70
492.62,-0.70
497.55,-0.69
502.52,-0.69
507.55,-0.68
512.62,-0.68
517.75,-0.67
522.93,-0.66
528.16,-0.65
533.44,-0.65
538.77,-0.64
544.16,-0.64
549.60,-0.62
555.10,-0.61
560.65,-0.59
566.25,-0.58
571.92,-0.57
577.64,-0.56
583.41,-0.55
589.25,-0.54
595.14,-0.53
601.09,-0.53
607.10,-0.52
613.17,-0.51
619.30,-0.51
625.50,-0.51
631.75,-0.50
638.07,-0.49
644.45,-0.48
650.89,-0.47
657.40,-0.46
663.98,-0.46
670.62,-0.45
677.32,-0.43
684.10,-0.41
690.94,-0.39
697.85,-0.37
704.83,-0.35
711.87,-0.33
718.99,-0.32
726.18,-0.32
733.44,-0.31
740.78,-0.30
748.19,-0.28
755.67,-0.26
763.23,-0.25
770.86,-0.25
778.57,-0.25
786.35,-0.24
794.22,-0.23
802.16,-0.22
810.18,-0.21
818.28,-0.20
826.46,-0.18
834.73,-0.16
843.08,-0.15
851.51,-0.13
860.02,-0.11
868.62,-0.09
877.31,-0.08
886.08,-0.07
894.94,-0.07
903.89,-0.08
912.93,-0.08
922.06,-0.08
931.28,-0.08
940.59,-0.08
950.00,-0.06
959.50,-0.03
969.09,-0.01
978.78,-0.00
988.57,-0.00
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.03
1039.00,0.04
1049.39,0.05
1059.88,0.06
1070.48,0.06
1081.19,0.06
1092.00,0.06
1102.92,0.07
1113.95,0.07
1125.09,0.07
1136.34,0.07
1147.70,0.07
1159.18,0.08
1170.77,0.09
1182.48,0.11
1194.30,0.13
1206.25,0.15
1218.31,0.17
1230.49,0.20
1242.80,0.22
1255.22,0.27
1267.78,0.31
1280.45,0.35
1293.26,0.39
1306.19,0.44
1319.25,0.48
1332.45,0.49
1345.77,0.49
1359.23,0.46
1372.82,0.40
1386.55,0.34
1400.41,0.27
1414.42,0.23
1428.56,0.19
1442.85,0.18
1457.28,0.20
1471.85,0.23
1486.57,0.29
1501.43,0.34
