frequency,raw
20.00,9.45
20.20,9.49
20.40,9.54
20.61,9.58
20.81,9.62
21.02,9.66
21.23,9.71
21.44,9.75
21.66,9.78
21.87,9.82
22.09,9.85
22.31,9.88
22.54,9.90
22.76,9.92
22.99,9.94
23.22,9.96
23.45,9.97
23.69,9.98
23.92,9.99
24.16,9.99
24.40,9.99
24.65,9.99
24.89,9.99
25.14,9.99
25.39,9.98
25.65,9.97
25.91,9.95
26.16,9.93
26.43,9.91
26.69,9.88
26.96,9.86
27.23,9.84
27.50,9.81
27.77,9.78
28.05,9.76
28.33,9.72
28.62,9.69
28.90,9.65
29.19,9.62
29.48,9.58
29.78,9.56
30.08,9.53
30.38,9.50
30.68,9.47
30.99,9.44
31.30,9.41
31.61,9.37
31.93,9.34
32.24,9.31
32.57,9.29
32.89,9.26
33.22,9.22
33.55,9.19
33.89,9.15
34.23,9.11
34.57,9.07
34.92,9.03
35.27,8.99
35.62,8.95
35.97,8.91
36.33,8.87
36.70,8.83
37.06,8.79
37.43,8.75
37.81,8.71
38.19,8.67
38.57,8.64
38.95,8.60
39.34,8.57
39.74,8.53
40.14,8.50
40.54,8.46
40.94,8.42
41.35,8.39
41.76,8.35
42.18,8.32
42.60,8.28
43.03,8.24
43.46,8.20
43.90,8.16
44.33,8.11
44.78,8.07
45.23,8.02
45.68,7.98
46.13,7.94
46.60,7.90
47.06,7.86
47.53,7.82
48.01,7.78
48.49,7.74
48.97,7.70
49.46,7.67
49.96,7.63
50.46,7.58
50.96,7.53
51.47,7.47
51.99,7.41
52.51,7.35
53.03,7.30
53.56,7.25
54.10,7.21
54.64,7.17
55.18,7.12
55.74,7.06
56.29,7.01
56.86,6.95
57.42,6.89
58.00,6.84
58.58,6.79
59.16,6.74
59.76,6.69
60.35,6.64
60.96,6.58
61.57,6.52
62.18,6.46
62.80,6.41
63.43,6.35
64.07,6.29
64.71,6.24
65.35,6.19
66.01,6.13
66.67,6.07
67.33,6.01
68.01,5.94
68.69,5.88
69.37,5.81
70.07,5.75
70.77,5.68
71.48,5.61
72.19,5.54
72.91,5.48
73.64,5.41
74.38,5.35
75.12,5.28
