frequency,raw
20.00,10.35
20.20,10.38
20.40,10.41
20.61,10.44
20.81,10.46
21.02,10.49
21.23,10.52
21.44,10.54
21.66,10.57
21.87,10.60
22.09,10.62
22.31,10.65
22.54,10.68
22.76,10.70
22.99,10.73
23.22,10.75
23.45,10.77
23.69,10.79
23.92,10.82
24.16,10.84
24.40,10.86
24.65,10.87
24.89,10.89
25.14,10.91
25.39,10.93
25.65,10.95
25.91,10.97
26.16,10.99
26.43,11.01
26.69,11.02
26.96,11.04
27.23,11.06
27.50,11.08
27.77,11.09
28.05,11.11
28.33,11.12
28.62,11.13
28.90,11.15
29.19,11.16
29.48,11.17
29.78,11.19
30.08,11.20
30.38,11.21
30.68,11.22
30.99,11.23
31.30,11.24
31.61,11.24
31.93,11.25
32.24,11.26
32.57,11.27
32.89,11.28
33.22,11.28
33.55,11.29
33.89,11.30
34.23,11.30
34.57,11.31
34.92,11.31
35.27,11.31
35.62,11.32
35.97,11.32
36.33,11.32
36.70,11.32
37.06,11.32
37.43,11.33
37.81,11.33
38.19,11.33
38.57,11.33
38.95,11.33
39.34,11.33
39.74,11.33
40.14,11.33
40.54,11.33
40.94,11.33
41.35,11.32
41.76,11.32
42.18,11.31
42.60,11.31
43.03,11.30
43.46,11.30
43.90,11.29
44.33,11.29
44.78,11.28
45.23,11.27
45.68,11.26
46.13,11.26
46.60,11.25
47.06,11.24
47.53,11.22
48.01,11.21
48.49,11.21
48.97,11.20
49.46,11.19
49.96,11.18
50.46,11.16
50.96,11.15
51.47,11.14
51.99,11.14
52.51,11.13
53.03,11.12
53.56,11.10
54.10,11.08
54.64,11.06
55.18,11.05
55.74,11.03
56.29,11.01
56.86,10.99
57.42,10.97
58.00,10.96
58.58,10.94
59.16,10.92
59.76,10.90
60.35,10.88
60.96,10.86
61.57,10.84
62.18,10.82
62.80,10.79
63.43,10.77
64.07,10.75
64.71,10.73
65.35,10.70
66.01,10.68
66.67,10.65
67.33,10.63
68.01,10.61
68.69,10.58
69.37,10.55
70.07,10.53
70.77,10.50
71.48,10.47
72.19,10.45
72.91,10.42
73.64,10.39
74.38,10.36
75.12,10.33
75.87,10.30
76.63,10.27
77.40,10.24
78.17,10.21
78.95,10.18
79.74,10.15
80.54,10.11
81.35,10.08
82.16,10.05
82.98,10.02
83.81,9.98
84.65,9.95
85.50,9.91
86.35,9.88
87.22,9.84
88.09,9.81
88.97,9.77
89.86,9.73
90.76,9.70
91.66,9.66
92.58,9.62
93.51,9.58
94.44,9.54
95.39,9.51
96.34,9.47
97.30,9.42
98.28,9.38
99.26,9.34
100.25,9.30
101.25,9.26
102.27,9.22
103.29,9.18
104.32,9.14
105.37,9.09
106.42,9.05
107.48,9.01
108.56,8.96
109.64,8.92
110.74,8.87
111.85,8.83
112.97,8.78
114.10,8.74
115.24,8.69
116.39,8.64
117.55,8.60
118.73,8.55
119.92,8.50
121.12,8.45
122.33,8.41
123.55,8.36
124.79,8.31
126.03,8.26
127.29,8.21
128.57,8.16
129.85,8.11
131.15,8.06
132.46,8.01
133.79,7.96
135.12,7.91
136.48,7.86
137.84,7.81
139.22,7.75
140.61,7.70
142.02,7.65
143.44,7.60
144.87,7.54
146.32,7.49
147.78,7.44
149.26,7.38
150.75,7.33
152.26,7.27
153.78,7.22
155.32,7.16
156.88,7.11
158.44,7.05
160.03,7.00
161.63,6.95
163.24,6.89
164.88,6.84
166.53,6.78
168.19,6.73
169.87,6.67
171.57,6.62
173.29,6.56
175.02,6.51
176.77,6.45
178.54,6.40
180.32,6.34
182.13,6.29
183.95,6.23
185.79,6.18
187.65,6.12
189.52,6.06
191.42,6.01
193.33,5.96
195.27,5.90
197.22,5.85
199.19,5.80
201.18,5.75
203.19,5.69
205.23,5.64
207.28,5.58
209.35,5.52
211.44,5.46
213.56,5.40
215.69,5.34
217.85,5.28
220.03,5.22
222.23,5.16
224.45,5.10
226.70,5.04
228.96,4.99
231.25,4.93
233.57,4.88
235.90,4.83
238.26,4.80
240.64,4.75
243.05,4.69
245.48,4.63
247.93,4.58
250.41,4.53
252.92,4.47
255.45,4.41
258.00,4.36
260.58,4.30
263.19,4.24
265.82,4.18
268.48,4.13
271.16,4.07
273.87,4.01
276.61,3.95
279.38,3.90
282.17,3.84
284.99,3.78
287.84,3.72
290.72,3.67
293.63,3.61
296.57,3.56
299.53,3.50
302.53,3.44
305.55,3.39
308.61,3.33
311.69,3.27
314.81,3.22
317.96,3.17
321.14,3.11
324.35,3.06
327.59,3.01
330.87,2.95
334.18,2.90
337.52,2.85
340.90,2.79
344.30,2.74
347.75,2.69
351.23,2.63
354.74,2.58
358.28,2.53
361.87,2.47
365.49,2.42
369.14,2.37
372.83,2.32
376.56,2.26
380.33,2.21
384.13,2.16
387.97,2.12
391.85,2.07
395.77,2.02
399.73,1.97
403.72,1.92
407.76,1.87
411.84,1.83
415.96,1.78
420.12,1.73
424.32,1.68
428.56,1.63
432.85,1.59
437.18,1.54
441.55,1.49
445.96,1.44
450.42,1.40
454.93,1.35
459.48,1.31
464.07,1.26
468.71,1.22
473.40,1.17
478.13,1.13
482.91,1.09
487.74,1.04
492.62,1.00
497.55,0.96
502.52,0.91
507.55,0.87
512.62,0.83
517.75,0.79
522.93,0.75
528.16,0.71
533.44,0.67
538.77,0.63
544.16,0.59
549.60,0.55
555.10,0.51
560.65,0.47
566.25,0.43
571.92,0.40
577.64,0.36
583.41,0.32
589.25,0.29
595.14,0.26
601.09,0.22
607.10,0.19
613.17,0.15
619.30,0.12
625.50,0.09
631.75,0.06
638.07,0.03
644.45,-0.00
650.89,-0.03
657.40,-0.06
663.98,-0.09
670.62,-0.11
677.32,-0.14
684.10,-0.17
690.94,-0.19
697.85,-0.21
704.83,-0.23
711.87,-0.25
718.99,-0.28
726.18,-0.30
733.44,-0.31
740.78,-0.33
748.19,-0.35
755.67,-0.36
763.23,-0.38
770.86,-0.39
778.57,-0.40
786.35,-0.41
794.22,-0.42
802.16,-0.42
810.18,-0.43
818.28,-0.43
826.46,-0.43
834.73,-0.43
843.08,-0.43
851.51,-0.42
860.02,-0.42
868.62,-0.41
877.31,-0.40
886.08,-0.38
894.94,-0.37
903.89,-0.35
912.93,-0.33
922.06,-0.30
931.28,-0.28
940.59,-0.25
950.00,-0.21
959.50,-0.18
969.09,-0.14
978.78,-0.10
988.57,-0.06
998.46,-0.01
1008.44,0.04
1018.53,0.09
1028.71,0.15
1039.00,0.21
1049.39,0.27
1059.88,0.33
1070.48,0.39
1081.19,0.46
1092.00,0.53
1102.92,0.60
1113.95,0.67
1125.09,0.75
1136.34,0.82
1147.70,0.89
1159.18,0.97
1170.77,1.04
1182.48,1.12
1194.30,1.19
1206.25,1.27
1218.31,1.34
1230.49,1.41
1242.80,1.49
1255.22,1.56
1267.78,1.63
1280.45,1.70
1293.26,1.77
1306.19,1.84
1319.25,1.90
1332.45,1.97
1345.77,2.04
1359.23,2.10
1372.82,2.17
1386.55,2.23
1400.41,2.29
1414.42,2.35
1428.56,2.41
1442.85,2.47
1457.28,2.53
1471.85,2.59
1486.57,2.65
1501.43,2.70
1516.45,2.77
1531.61,2.83
1546.93,2.90
1562.40,2.96
1578.02,3.04
1593.80,3.11
1609.74,3.19
1625.84,3.27
1642.10,3.36
1658.52,3.45
1675.10,3.54
1691.85,3.63
1708.77,3.73
1725.86,3.82
1743.12,3.91
1760.55,3.99
1778.15,4.06
1795.94,4.11
1813.90,4.13
1832.03,4.12
1850.36,4.09
1868.86,4.03
1887.55,3.96
1906.42,3.89
1925.49,3.83
1944.74,3.79
1964.19,3.77
1983.83,3.76
2003.67,3.78
2023.71,3.81
2043.94,3.86
2064.38,3.91
2085.03,3.97
2105.88,4.04
2126.94,4.11
2148.20,4.19
2169.69,4.26
2191.38,4.34
2213.30,4.42
2235.43,4.50
2257.78,4.58
2280.36,4.65
2303.17,4.73
2326.20,4.80
2349.46,4.87
2372.95,4.95
2396.68,5.02
2420.65,5.09
2444.86,5.15
2469.31,5.22
2494.00,5.28
2518.94,5.35
2544.13,5.41
2569.57,5.47
2595.27,5.53
2621.22,5.58
2647.43,5.65
2673.90,5.71
2700.64,5.78
2727.65,5.85
2754.93,5.92
2782.48,5.99
2810.30,6.07
2838.40,6.15
2866.79,6.22
2895.46,6.31
2924.41,6.39
2953.65,6.47
2983.19,6.55
3013.02,6.63
3043.15,6.71
3073.58,6.78
3104.32,6.84
3135.36,6.86
3166.72,6.84
3198.38,6.79
3230.37,6.61
3262.67,6.37
3295.30,6.02
3328.25,5.65
3361.53,5.33
3395.15,5.11
3429.10,5.07
3463.39,5.12
3498.03,5.27
3533.01,5.55
3568.34,5.87
3604.02,6.22
3640.06,6.55
3676.46,6.83
3713.22,7.05
3750.36,7.20
3787.86,7.19
3825.74,7.15
3864.00,6.94
3902.64,6.56
3941.66,6.15
3981.08,5.61
4020.89,5.03
4061.10,4.42
4101.71,3.87
4142.73,3.40
4184.15,3.02
4226.00,2.82
4268.26,2.72
4310.94,2.74
4354.05,2.91
4397.59,3.14
4441.56,3.42
4485.98,3.72
4530.84,4.02
4576.15,4.31
4621.91,4.58
4668.13,4.81
4714.81,5.00
4761.96,5.17
4809.58,5.30
4857.67,5.38
4906.25,5.41
4955.31,5.41
5004.87,5.35
5054.91,5.24
5105.46,5.09
5156.52,4.91
5208.08,4.67
5260.16,4.39
5312.77,4.08
5365.89,3.73
5419.55,3.35
5473.75,2.95
5528.49,2.52
5583.77,2.06
5639.61,1.59
5696.00,1.11
5752.96,0.63
5810.49,0.16
5868.60,-0.29
5927.28,-0.71
5986.56,-1.09
6046.42,-1.40
6106.89,-1.65
6167.96,-1.81
6229.64,-1.88
6291.93,-1.87
6354.85,-1.74
6418.40,-1.57
6482.58,-1.30
6547.41,-0.99
6612.88,-0.66
6679.01,-0.32
6745.80,0.01
6813.26,0.35
6881.39,0.73
6950.21,1.15
7019.71,1.62
7089.91,2.16
7160.81,2.75
7232.41,3.34
7304.74,3.94
7377.79,4.45
7451.56,4.85
7526.08,5.13
7601.34,5.29
7677.35,5.36
7754.13,5.39
7831.67,5.33
7909.98,5.24
7989.08,5.08
8068.98,4.86
8149.67,4.61
8231.16,4.33
8313.47,4.03
8396.61,3.72
8480.57,3.38
8565.38,3.02
8651.03,2.62
8737.54,2.18
8824.92,1.72
8913.17,1.27
9002.30,0.82
9092.32,0.40
9183.25,-0.01
9275.08,-0.44
9367.83,-0.89
9461.51,-1.36
9556.12,-1.84
9651.68,-2.31
9748.20,-2.74
9845.68,-3.12
9944.14,-3.48
10043.58,-3.82
10144.02,-4.14
10245.46,-4.45
10347.91,-4.72
10451.39,-4.95
10555.91,-5.10
10661.46,-5.19
10768.08,-5.23
10875.76,-5.23
10984.52,-5.21
11094.36,-5.18
11205.31,-5.15
11317.36,-5.10
11430.53,-5.03
11544.84,-4.94
11660.29,-4.86
11776.89,-4.80
11894.66,-4.86
12013.60,-4.93
12133.74,-5.07
12255.08,-5.24
12377.63,-5.42
12501.41,-5.59
12626.42,-5.74
12752.68,-5.88
12880.21,-5.92
13009.01,-5.90
13139.10,-5.89
13270.49,-5.71
13403.20,-5.49
13537.23,-5.21
13672.60,-4.93
13809.33,-4.66
13947.42,-4.38
14086.90,-4.09
14227.77,-3.80
14370.04,-3.49
14513.74,-3.16
14658.88,-2.87
14805.47,-2.60
14953.52,-2.40
15103.06,-2.42
15254.09,-2.56
15406.63,-3.17
15560.70,-4.01
15716.30,-5.17
15873.47,-6.67
16032.20,-8.29
16192.52,-10.01
16354.45,-11.65
16517.99,-13.23
16683.17,-14.66
16850.01,-16.00
17018.51,-17.25
17188.69,-18.33
17360.58,-19.22
17534.18,-19.98
17709.53,-20.60
17886.62,-21.26
18065.49,-22.17
18246.14,-23.51
18428.60,-25.70
18612.89,-28.49
18799.02,-31.77
18987.01,-35.40
19176.88,-40.75
19368.65,-47.15
19562.33,-55.39
19757.96,-66.32
19955.54,-77.25
