frequency,raw
20.00,8.13
20.20,8.14
20.40,8.16
20.61,8.17
20.81,8.17
21.02,8.16
21.23,8.16
21.44,8.15
21.66,8.14
21.87,8.14
22.09,8.14
22.31,8.14
22.54,8.13
22.76,8.13
22.99,8.12
23.22,8.12
23.45,8.12
23.69,8.12
23.92,8.12
24.16,8.13
24.40,8.14
24.65,8.15
24.89,8.15
25.14,8.14
25.39,8.12
25.65,8.10
25.91,8.09
26.16,8.08
26.43,8.08
26.69,8.08
26.96,8.09
27.23,8.09
27.50,8.07
27.77,8.05
28.05,8.02
28.33,8.00
28.62,7.98
28.90,7.96
29.19,7.96
29.48,7.95
29.78,7.94
30.08,7.93
30.38,7.91
30.68,7.89
30.99,7.88
31.30,7.86
31.61,7.84
31.93,7.82
32.24,7.80
32.57,7.77
32.89,7.75
33.22,7.73
33.55,7.71
33.89,7.70
34.23,7.68
34.57,7.66
34.92,7.63
35.27,7.61
35.62,7.58
35.97,7.55
36.33,7.52
36.70,7.49
37.06,7.46
37.43,7.44
37.81,7.42
38.19,7.40
38.57,7.38
38.95,7.35
39.34,7.31
39.74,7.27
40.14,7.24
40.54,7.20
40.94,7.16
41.35,7.12
41.76,7.07
42.18,7.04
42.60,7.00
43.03,6.98
43.46,6.95
43.90,6.92
44.33,6.88
44.78,6.84
45.23,6.80
45.68,6.77
46.13,6.73
46.60,6.67
47.06,6.62
47.53,6.59
48.01,6.55
48.49,6.51
48.97,6.45
49.46,6.39
49.96,6.33
50.46,6.28
50.96,6.23
51.47,6.15
51.99,6.07
52.51,6.00
53.03,5.94
53.56,5.89
54.10,5.83
54.64,5.77
55.18,5.70
55.74,5.63
56.29,5.55
56.86,5.48
57.42,5.40
58.00,5.33
58.58,5.26
59.16,5.19
59.76,5.12
60.35,5.04
60.96,4.96
61.57,4.90
62.18,4.82
62.80,4.74
63.43,4.66
64.07,4.58
64.71,4.51
65.35,4.43
66.01,4.35
66.67,4.28
67.33,4.20
68.01,4.10
68.69,4.04
69.37,3.96
70.07,3.88
70.77,3.79
71.48,3.71
72.19,3.63
72.91,3.52
73.64,3.43
74.38,3.35
75.12,3.28
75.87,3.18
76.63,3.08
77.40,2.97
78.17,2.88
78.95,2.79
79.74,2.67
80.54,2.58
81.35,2.50
82.16,2.41
82.98,2.32
83.81,2.22
84.65,2.11
85.50,2.00
86.35,1.90
87.22,1.81
88.09,1.72
88.97,1.62
89.86,1.52
90.76,1.42
91.66,1.32
92.58,1.22
93.51,1.11
94.44,1.02
95.39,0.93
96.34,0.83
97.30,0.72
98.28,0.62
99.26,0.53
100.25,0.45
101.25,0.35
102.27,0.26
103.29,0.17
104.32,0.07
105.37,-0.03
106.42,-0.13
107.48,-0.24
108.56,-0.33
109.64,-0.42
110.74,-0.52
111.85,-0.60
112.97,-0.70
114.10,-0.79
115.24,-0.87
116.39,-0.99
117.55,-1.09
118.73,-1.18
119.92,-1.28
121.12,-1.36
122.33,-1.41
123.55,-1.47
124.79,-1.57
126.03,-1.63
127.29,-1.71
128.57,-1.80
129.85,-1.87
131.15,-1.93
132.46,-1.99
133.79,-2.07
135.12,-2.12
136.48,-2.16
137.84,-2.19
139.22,-2.24
140.61,-2.28
142.02,-2.33
143.44,-2.36
144.87,-2.37
146.32,-2.40
147.78,-2.42
149.26,-2.44
150.75,-2.45
152.26,-2.46
153.78,-2.45
155.32,-2.44
156.88,-2.46
158.44,-2.45
160.03,-2.44
161.63,-2.42
163.24,-2.40
164.88,-2.38
166.53,-2.36
168.19,-2.33
169.87,-2.30
171.57,-2.26
173.29,-2.21
175.02,-2.18
176.77,-2.13
178.54,-2.09
180.32,-2.05
182.13,-2.01
183.95,-1.97
185.79,-1.92
187.65,-1.85
189.52,-1.81
191.42,-1.75
193.33,-1.69
195.27,-1.64
197.22,-1.58
199.19,-1.52
201.18,-1.46
203.19,-1.42
205.23,-1.41
207.28,-1.37
209.35,-1.32
211.44,-1.26
213.56,-1.24
215.69,-1.19
217.85,-1.13
220.03,-1.09
222.23,-1.10
224.45,-1.10
226.70,-1.06
228.96,-1.01
231.25,-0.97
233.57,-0.95
235.90,-0.93
238.26,-0.98
240.64,-1.01
243.05,-0.97
245.48,-0.95
247.93,-0.93
250.41,-0.94
252.92,-0.99
255.45,-1.01
258.00,-1.00
260.58,-1.01
263.19,-1.03
265.82,-1.07
268.48,-1.13
271.16,-1.16
273.87,-1.13
276.61,-1.11
279.38,-1.14
282.17,-1.15
284.99,-1.15
287.84,-1.19
290.72,-1.20
293.63,-1.15
296.57,-1.16
299.53,-1.21
302.53,-1.19
305.55,-1.17
308.61,-1.15
311.69,-1.11
314.81,-1.06
317.96,-1.09
321.14,-1.08
324.35,-1.01
327.59,-1.00
330.87,-0.99
334.18,-0.96
337.52,-0.91
340.90,-0.88
344.30,-0.91
347.75,-0.86
351.23,-0.80
354.74,-0.80
358.28,-0.80
361.87,-0.78
365.49,-0.74
369.14,-0.72
372.83,-0.73
376.56,-0.73
380.33,-0.71
384.13,-0.71
387.97,-0.73
391.85,-0.74
395.77,-0.74
399.73,-0.72
403.72,-0.68
407.76,-0.70
411.84,-0.78
415.96,-0.73
420.12,-0.75
424.32,-0.83
428.56,-0.81
432.85,-0.84
437.18,-0.92
441.55,-0.90
445.96,-0.93
450.42,-1.03
454.93,-1.12
459.48,-1.10
464.07,-1.11
468.71,-1.16
473.40,-1.25
478.13,-1.27
482.91,-1.27
487.74,-1.31
492.62,-1.41
497.55,-1.41
502.52,-1.44
507.55,-1.54
512.62,-1.50
517.75,-1.49
522.93,-1.52
528.16,-1.55
533.44,-1.56
538.77,-1.57
544.16,-1.62
549.60,-1.58
555.10,-1.56
560.65,-1.58
566.25,-1.53
571.92,-1.49
577.64,-1.47
583.41,-1.47
589.25,-1.48
595.14,-1.46
601.09,-1.44
607.10,-1.41
613.17,-1.37
619.30,-1.37
625.50,-1.36
631.75,-1.34
638.07,-1.31
644.45,-1.29
650.89,-1.27
657.40,-1.22
663.98,-1.17
670.62,-1.13
677.32,-1.10
684.10,-1.04
690.94,-0.97
697.85,-0.92
704.83,-0.84
711.87,-0.77
718.99,-0.77
726.18,-0.65
733.44,-0.56
740.78,-0.51
748.19,-0.39
755.67,-0.33
763.23,-0.29
770.86,-0.22
778.57,-0.13
786.35,-0.01
794.22,0.04
802.16,0.06
810.18,0.03
818.28,0.08
826.46,0.12
834.73,0.09
843.08,0.05
851.51,0.02
860.02,0.06
868.62,0.03
877.31,-0.00
886.08,-0.01
894.94,0.00
903.89,0.02
912.93,0.05
922.06,0.04
931.28,0.04
940.59,0.03
950.00,0.01
959.50,0.00
969.09,-0.00
978.78,-0.02
988.57,-0.05
998.46,0.00
1008.44,-0.01
1018.53,-0.01
1028.71,0.04
1039.00,0.08
1049.39,0.11
1059.88,0.13
1070.48,0.25
1081.19,0.35
1092.00,0.43
1102.92,0.57
1113.95,0.67
1125.09,0.78
1136.34,0.91
1147.70,0.98
1159.18,1.06
1170.77,1.16
1182.48,1.19
1194.30,1.16
1206.25,1.12
1218.31,1.10
1230.49,0.95
1242.80,0.77
1255.22,0.62
1267.78,0.53
1280.45,0.32
1293.26,0.33
1306.19,0.34
1319.25,0.16
1332.45,0.21
1345.77,0.32
1359.23,0.47
1372.82,0.58
1386.55,0.69
1400.41,0.81
1414.42,0.84
1428.56,0.87
1442.85,0.86
1457.28,0.85
1471.85,0.87
1486.57,0.89
1501.43,0.91
1516.45,0.92
1531.61,0.94
1546.93,0.96
1562.40,0.98
1578.02,1.03
1593.80,1.14
1609.74,1.29
1625.84,1.47
1642.10,1.67
1658.52,1.87
1675.10,2.09
1691.85,2.37
1708.77,2.67
1725.86,2.98
1743.12,3.25
1760.55,3.52
1778.15,3.80
1795.94,4.15
1813.90,4.55
1832.03,4.88
1850.36,5.09
1868.86,5.25
1887.55,5.50
1906.42,5.78
1925.49,5.99
1944.74,6.17
1964.19,6.36
1983.83,6.54
2003.67,6.71
2023.71,6.86
2043.94,7.04
2064.38,7.22
2085.03,7.40
2105.88,7.61
2126.94,7.76
2148.20,7.80
2169.69,7.83
2191.38,7.91
2213.30,8.01
2235.43,8.07
2257.78,8.07
2280.36,8.05
2303.17,8.01
2326.20,8.00
2349.46,7.97
2372.95,7.94
2396.68,7.91
2420.65,7.94
2444.86,7.97
2469.31,7.97
2494.00,7.95
2518.94,7.94
2544.13,7.92
2569.57,7.93
2595.27,7.91
2621.22,7.86
2647.43,7.84
2673.90,7.76
2700.64,7.66
2727.65,7.53
2754.93,7.42
2782.48,7.26
2810.30,7.08
2838.40,6.89
2866.79,6.76
2895.46,6.65
2924.41,6.55
2953.65,6.46
2983.19,6.36
3013.02,6.33
3043.15,6.35
3073.58,6.18
3104.32,6.17
3135.36,6.08
3166.72,5.99
3198.38,5.92
3230.37,5.86
3262.67,5.80
3295.30,5.76
3328.25,5.72
3361.53,5.69
3395.15,5.67
3429.10,5.64
3463.39,5.62
3498.03,5.63
3533.01,5.68
3568.34,5.78
3604.02,5.88
3640.06,5.91
3676.46,5.91
3713.22,5.93
3750.36,5.96
3787.86,5.93
3825.74,5.89
3864.00,5.85
3902.64,5.81
3941.66,5.76
3981.08,5.71
4020.89,5.67
4061.10,5.63
4101.71,5.59
4142.73,5.56
4184.15,5.56
4226.00,5.57
4268.26,5.61
4310.94,5.70
4354.05,5.92
4397.59,6.11
4441.56,6.30
4485.98,6.44
4530.84,6.61
4576.15,6.76
4621.91,6.90
4668.13,7.01
4714.81,7.11
4761.96,7.20
4809.58,7.27
4857.67,7.29
4906.25,7.28
4955.31,7.25
5004.87,7.18
5054.91,7.10
5105.46,7.02
5156.52,6.94
5208.08,6.92
5260.16,7.00
5312.77,7.17
5365.89,7.48
5419.55,7.86
5473.75,8.19
5528.49,8.44
5583.77,8.67
5639.61,8.88
5696.00,9.07
5752.96,9.12
5810.49,9.14
5868.60,9.05
5927.28,8.92
5986.56,8.74
6046.42,8.51
6106.89,8.28
6167.96,8.05
6229.64,7.81
6291.93,7.56
6354.85,7.36
6418.40,7.19
6482.58,7.10
6547.41,7.11
6612.88,7.15
6679.01,7.16
6745.80,7.18
6813.26,7.19
6881.39,7.21
6950.21,7.26
7019.71,7.32
7089.91,7.40
7160.81,7.54
7232.41,7.71
7304.74,7.91
7377.79,8.15
7451.56,8.46
7526.08,8.81
7601.34,9.18
7677.35,9.55
7754.13,9.92
7831.67,10.19
7909.98,10.38
7989.08,10.42
8068.98,10.32
8149.67,10.10
8231.16,9.71
8313.47,9.21
8396.61,8.67
8480.57,8.09
8565.38,7.54
8651.03,7.02
8737.54,6.50
8824.92,6.02
8913.17,5.56
9002.30,5.11
9092.32,4.68
9183.25,4.22
9275.08,3.76
9367.83,3.27
9461.51,2.76
9556.12,2.25
9651.68,1.75
9748.20,1.27
9845.68,0.83
9944.14,0.50
10043.58,0.27
10144.02,0.11
10245.46,0.08
10347.91,0.04
10451.39,-0.02
10555.91,-0.12
10661.46,-0.24
10768.08,-0.39
10875.76,-0.61
10984.52,-0.82
11094.36,-1.03
11205.31,-1.25
11317.36,-1.44
11430.53,-1.58
11544.84,-1.68
11660.29,-1.77
11776.89,-1.85
11894.66,-1.87
12013.60,-1.87
12133.74,-1.86
12255.08,-1.82
12377.63,-1.74
12501.41,-1.62
12626.42,-1.55
12752.68,-1.40
12880.21,-1.13
13009.01,-0.81
13139.10,-0.49
13270.49,-0.10
13403.20,0.36
13537.23,0.84
13672.60,1.28
13809.33,1.69
13947.42,2.01
14086.90,2.29
14227.77,2.53
14370.04,2.77
14513.74,3.00
14658.88,3.24
14805.47,3.49
14953.52,3.75
