frequency,raw
20.00,7.92
20.20,7.91
20.40,7.91
20.61,7.92
20.81,7.93
21.02,7.94
21.23,7.94
21.44,7.93
21.66,7.91
21.87,7.89
22.09,7.86
22.31,7.83
22.54,7.81
22.76,7.81
22.99,7.82
23.22,7.85
23.45,7.88
23.69,7.91
23.92,7.94
24.16,7.95
24.40,7.94
24.65,7.92
24.89,7.90
25.14,7.88
25.39,7.87
25.65,7.87
25.91,7.87
26.16,7.88
26.43,7.89
26.69,7.90
26.96,7.90
27.23,7.89
27.50,7.87
27.77,7.85
28.05,7.84
28.33,7.83
28.62,7.81
28.90,7.80
29.19,7.80
29.48,7.79
29.78,7.78
30.08,7.77
30.38,7.77
30.68,7.75
30.99,7.73
31.30,7.71
31.61,7.69
31.93,7.67
32.24,7.66
32.57,7.65
32.89,7.64
33.22,7.62
33.55,7.60
33.89,7.58
34.23,7.56
34.57,7.54
34.92,7.52
35.27,7.50
35.62,7.47
35.97,7.44
36.33,7.41
36.70,7.39
37.06,7.37
37.43,7.35
37.81,7.33
38.19,7.30
38.57,7.27
38.95,7.24
39.34,7.21
39.74,7.19
40.14,7.17
40.54,7.14
40.94,7.12
41.35,7.08
41.76,7.05
42.18,7.02
42.60,6.98
43.03,6.94
43.46,6.90
43.90,6.87
44.33,6.83
44.78,6.80
45.23,6.77
45.68,6.73
46.13,6.69
46.60,6.64
47.06,6.59
47.53,6.54
48.01,6.49
48.49,6.44
48.97,6.39
49.46,6.34
49.96,6.29
50.46,6.24
50.96,6.18
51.47,6.13
51.99,6.09
52.51,6.04
53.03,5.99
53.56,5.92
54.10,5.85
54.64,5.79
55.18,5.74
55.74,5.68
56.29,5.61
56.86,5.54
57.42,5.48
58.00,5.41
58.58,5.35
59.16,5.28
59.76,5.20
60.35,5.13
60.96,5.05
61.57,4.99
62.18,4.94
62.80,4.87
63.43,4.79
64.07,4.71
64.71,4.65
65.35,4.57
66.01,4.49
66.67,4.42
67.33,4.34
68.01,4.26
68.69,4.17
69.37,4.09
70.07,4.02
70.77,3.94
71.48,3.86
72.19,3.78
72.91,3.70
73.64,3.61
74.38,3.52
