frequency,raw
20.00,9.81
20.20,9.83
20.40,9.85
20.61,9.87
20.81,9.89
21.02,9.91
21.23,9.92
21.44,9.91
21.66,9.89
21.87,9.86
22.09,9.83
22.31,9.79
22.54,9.76
22.76,9.73
22.99,9.72
23.22,9.72
23.45,9.73
23.69,9.74
23.92,9.75
24.16,9.75
24.40,9.75
24.65,9.74
24.89,9.73
25.14,9.71
25.39,9.70
25.65,9.69
25.91,9.68
26.16,9.67
26.43,9.66
26.69,9.65
26.96,9.64
27.23,9.65
27.50,9.65
27.77,9.66
28.05,9.66
28.33,9.65
28.62,9.63
28.90,9.60
29.19,9.57
29.48,9.53
29.78,9.51
30.08,9.49
30.38,9.48
30.68,9.46
30.99,9.45
31.30,9.43
31.61,9.40
31.93,9.37
32.24,9.33
32.57,9.30
32.89,9.27
33.22,9.25
33.55,9.23
33.89,9.21
34.23,9.20
34.57,9.17
34.92,9.14
35.27,9.10
35.62,9.06
35.97,9.02
36.33,9.00
36.70,8.99
37.06,8.98
37.43,8.95
37.81,8.91
38.19,8.88
38.57,8.84
38.95,8.82
39.34,8.79
39.74,8.75
40.14,8.70
40.54,8.65
40.94,8.61
41.35,8.58
41.76,8.55
42.18,8.52
42.60,8.48
43.03,8.43
43.46,8.39
43.90,8.34
44.33,8.30
44.78,8.26
45.23,8.20
45.68,8.16
46.13,8.12
46.60,8.09
47.06,8.05
47.53,8.01
48.01,7.94
48.49,7.87
48.97,7.81
49.46,7.75
49.96,7.71
50.46,7.66
50.96,7.60
51.47,7.54
51.99,7.48
52.51,7.42
53.03,7.37
53.56,7.30
54.10,7.23
54.64,7.17
55.18,7.10
55.74,7.03
56.29,6.96
56.86,6.88
57.42,6.81
58.00,6.74
58.58,6.67
59.16,6.60
59.76,6.52
60.35,6.45
60.96,6.38
61.57,6.30
62.18,6.21
62.80,6.12
63.43,6.03
64.07,5.95
64.71,5.88
65.35,5.80
66.01,5.72
66.67,5.64
67.33,5.56
68.01,5.47
68.69,5.38
69.37,5.30
70.07,5.22
70.77,5.14
71.48,5.05
72.19,4.95
72.91,4.86
73.64,4.78
74.38,4.70
75.12,4.61
75.87,4.52
76.63,4.43
77.40,4.32
78.17,4.23
78.95,4.14
79.74,4.03
80.54,3.95
81.35,3.86
82.16,3.76
82.98,3.66
83.81,3.57
84.65,3.47
85.50,3.36
86.35,3.25
87.22,3.16
88.09,3.06
88.97,2.95
89.86,2.86
90.76,2.76
91.66,2.66
92.58,2.56
93.51,2.47
94.44,2.35
95.39,2.24
96.34,2.14
97.30,2.02
98.28,1.92
99.26,1.82
100.25,1.71
101.25,1.61
102.27,1.50
103.29,1.40
104.32,1.31
105.37,1.21
106.42,1.10
107.48,0.99
108.56,0.90
109.64,0.81
110.74,0.70
111.85,0.58
112.97,0.49
114.10,0.40
115.24,0.29
116.39,0.21
117.55,0.12
118.73,0.03
119.92,-0.03
121.12,-0.13
122.33,-0.25
123.55,-0.33
124.79,-0.41
126.03,-0.49
127.29,-0.56
128.57,-0.63
129.85,-0.70
131.15,-0.78
132.46,-0.87
133.79,-0.94
135.12,-1.00
136.48,-1.06
137.84,-1.12
139.22,-1.17
140.61,-1.21
142.02,-1.25
143.44,-1.28
144.87,-1.33
146.32,-1.36
147.78,-1.39
149.26,-1.41
150.75,-1.42
152.26,-1.44
153.78,-1.44
155.32,-1.45
156.88,-1.45
158.44,-1.45
160.03,-1.45
161.63,-1.44
163.24,-1.43
164.88,-1.41
166.53,-1.38
168.19,-1.35
169.87,-1.31
171.57,-1.31
173.29,-1.29
175.02,-1.27
176.77,-1.21
178.54,-1.16
180.32,-1.12
182.13,-1.07
183.95,-1.04
185.79,-1.01
187.65,-0.98
189.52,-0.93
191.42,-0.89
193.33,-0.84
195.27,-0.79
197.22,-0.75
199.19,-0.72
201.18,-0.67
203.19,-0.62
205.23,-0.58
207.28,-0.54
209.35,-0.51
211.44,-0.46
213.56,-0.41
215.69,-0.38
217.85,-0.35
220.03,-0.33
222.23,-0.30
224.45,-0.27
226.70,-0.26
228.96,-0.27
231.25,-0.26
233.57,-0.24
235.90,-0.23
238.26,-0.24
240.64,-0.25
243.05,-0.25
245.48,-0.26
247.93,-0.28
250.41,-0.29
252.92,-0.30
255.45,-0.32
258.00,-0.34
260.58,-0.37
263.19,-0.38
265.82,-0.38
268.48,-0.43
271.16,-0.45
273.87,-0.49
276.61,-0.52
279.38,-0.53
282.17,-0.55
284.99,-0.57
287.84,-0.56
290.72,-0.56
293.63,-0.58
296.57,-0.59
299.53,-0.58
302.53,-0.57
305.55,-0.56
308.61,-0.56
311.69,-0.56
314.81,-0.57
317.96,-0.54
321.14,-0.51
324.35,-0.50
327.59,-0.48
330.87,-0.46
334.18,-0.44
337.52,-0.44
340.90,-0.43
344.30,-0.37
347.75,-0.36
351.23,-0.35
354.74,-0.32
358.28,-0.31
361.87,-0.30
365.49,-0.30
369.14,-0.27
372.83,-0.27
376.56,-0.27
380.33,-0.26
384.13,-0.25
387.97,-0.24
391.85,-0.24
395.77,-0.24
399.73,-0.26
403.72,-0.26
407.76,-0.28
411.84,-0.31
415.96,-0.34
420.12,-0.35
424.32,-0.34
428.56,-0.39
432.85,-0.43
437.18,-0.44
441.55,-0.49
445.96,-0.54
450.42,-0.58
454.93,-0.58
459.48,-0.65
464.07,-0.70
468.71,-0.74
473.40,-0.77
478.13,-0.82
482.91,-0.87
487.74,-0.90
492.62,-0.92
497.55,-0.97
502.52,-1.00
507.55,-1.00
512.62,-1.02
517.75,-1.04
522.93,-1.05
528.16,-1.08
533.44,-1.08
538.77,-1.06
544.16,-1.03
549.60,-1.04
555.10,-1.02
560.65,-0.97
566.25,-0.95
571.92,-0.95
577.64,-0.97
583.41,-0.96
589.25,-0.93
595.14,-0.90
601.09,-0.88
607.10,-0.92
613.17,-0.92
619.30,-0.88
625.50,-0.89
631.75,-0.91
638.07,-0.89
644.45,-0.88
650.89,-0.88
657.40,-0.86
663.98,-0.84
670.62,-0.81
677.32,-0.74
684.10,-0.69
690.94,-0.66
697.85,-0.61
704.83,-0.57
711.87,-0.51
718.99,-0.45
726.18,-0.41
733.44,-0.36
740.78,-0.28
748.19,-0.22
755.67,-0.15
763.23,-0.07
770.86,0.01
778.57,0.07
786.35,0.10
794.22,0.12
802.16,0.16
810.18,0.21
818.28,0.22
826.46,0.21
834.73,0.23
843.08,0.25
851.51,0.27
860.02,0.24
868.62,0.27
877.31,0.28
886.08,0.22
894.94,0.23
903.89,0.23
912.93,0.20
922.06,0.18
931.28,0.16
940.59,0.15
950.00,0.15
959.50,0.11
969.09,0.08
978.78,0.05
988.57,0.02
998.46,-0.01
1008.44,0.04
1018.53,0.07
1028.71,0.08
1039.00,0.13
1049.39,0.17
1059.88,0.20
1070.48,0.26
1081.19,0.34
1092.00,0.44
1102.92,0.54
1113.95,0.67
1125.09,0.77
1136.34,0.85
1147.70,1.03
1159.18,1.13
1170.77,1.21
1182.48,1.28
1194.30,1.28
1206.25,1.28
1218.31,1.15
1230.49,1.04
1242.80,0.93
1255.22,0.78
1267.78,0.57
1280.45,0.51
1293.26,0.42
1306.19,0.33
1319.25,0.42
1332.45,0.49
1345.77,0.55
1359.23,0.62
1372.82,0.73
1386.55,0.82
1400.41,0.90
1414.42,0.98
1428.56,1.07
1442.85,1.08
1457.28,1.06
1471.85,1.02
1486.57,0.99
1501.43,0.97
1516.45,1.00
1531.61,1.04
1546.93,1.10
1562.40,1.19
1578.02,1.30
1593.80,1.44
1609.74,1.59
1625.84,1.73
1642.10,1.94
1658.52,2.17
1675.10,2.44
1691.85,2.70
1708.77,2.97
1725.86,3.25
1743.12,3.59
1760.55,3.96
1778.15,4.33
1795.94,4.63
1813.90,4.86
1832.03,5.11
1850.36,5.42
1868.86,5.78
1887.55,6.04
1906.42,6.25
1925.49,6.47
1944.74,6.70
1964.19,6.93
1983.83,7.14
2003.67,7.35
2023.71,7.55
2043.94,7.74
2064.38,7.93
2085.03,8.09
2105.88,8.19
2126.94,8.32
2148.20,8.51
2169.69,8.65
2191.38,8.72
2213.30,8.75
2235.43,8.79
2257.78,8.84
2280.36,8.88
2303.17,8.89
2326.20,8.88
2349.46,8.88
2372.95,8.89
2396.68,8.91
2420.65,8.92
2444.86,8.94
2469.31,8.97
2494.00,8.98
2518.94,8.99
2544.13,9.01
2569.57,9.02
2595.27,9.01
2621.22,8.99
2647.43,8.95
2673.90,8.88
2700.64,8.81
2727.65,8.72
2754.93,8.62
2782.48,8.50
2810.30,8.38
2838.40,8.24
2866.79,8.12
2895.46,8.01
2924.41,7.96
2953.65,7.92
2983.19,7.87
3013.02,7.78
3043.15,7.66
3073.58,7.67
3104.32,7.54
3135.36,7.52
3166.72,7.48
3198.38,7.40
3230.37,7.36
3262.67,7.34
3295.30,7.34
3328.25,7.32
3361.53,7.30
3395.15,7.29
3429.10,7.28
3463.39,7.30
3498.03,7.34
3533.01,7.41
3568.34,7.46
3604.02,7.48
3640.06,7.52
3676.46,7.55
3713.22,7.56
3750.36,7.51
3787.86,7.46
3825.74,7.40
3864.00,7.33
3902.64,7.28
3941.66,7.22
3981.08,7.14
4020.89,7.07
4061.10,7.01
4101.71,6.98
4142.73,6.95
4184.15,6.92
4226.00,6.92
4268.26,6.94
4310.94,7.01
4354.05,7.12
4397.59,7.25
4441.56,7.40
4485.98,7.59
4530.84,7.72
4576.15,7.84
