frequency,raw
20.00,12.53
20.20,12.53
20.40,12.53
20.61,12.52
20.81,12.52
21.02,12.52
21.23,12.52
21.44,12.52
21.66,12.52
21.87,12.52
22.09,12.52
22.31,12.52
22.54,12.51
22.76,12.51
22.99,12.50
23.22,12.49
23.45,12.49
23.69,12.48
23.92,12.47
24.16,12.47
24.40,12.47
24.65,12.46
24.89,12.46
25.14,12.45
25.39,12.44
25.65,12.43
25.91,12.42
26.16,12.40
26.43,12.39
26.69,12.38
26.96,12.37
27.23,12.36
27.50,12.35
27.77,12.33
28.05,12.32
28.33,12.31
28.62,12.29
28.90,12.28
29.19,12.27
29.48,12.25
29.78,12.24
30.08,12.22
30.38,12.21
30.68,12.19
30.99,12.17
31.30,12.16
31.61,12.14
31.93,12.12
32.24,12.10
32.57,12.09
32.89,12.06
33.22,12.05
33.55,12.03
33.89,12.01
34.23,11.99
34.57,11.97
34.92,11.94
35.27,11.92
35.62,11.90
35.97,11.87
36.33,11.85
36.70,11.83
37.06,11.80
37.43,11.78
37.81,11.75
38.19,11.72
38.57,11.70
38.95,11.67
39.34,11.65
39.74,11.62
40.14,11.59
40.54,11.56
40.94,11.53
41.35,11.51
41.76,11.50
42.18,11.47
42.60,11.44
43.03,11.39
43.46,11.34
43.90,11.31
44.33,11.29
44.78,11.27
45.23,11.25
45.68,11.22
46.13,11.19
46.60,11.16
47.06,11.12
47.53,11.09
48.01,11.03
48.49,10.99
48.97,10.95
49.46,10.92
49.96,10.89
50.46,10.85
50.96,10.81
51.47,10.77
51.99,10.74
52.51,10.71
53.03,10.67
53.56,10.63
54.10,10.58
54.64,10.55
55.18,10.51
55.74,10.47
56.29,10.43
56.86,10.39
57.42,10.35
58.00,10.30
58.58,10.25
59.16,10.21
59.76,10.17
60.35,10.13
60.96,10.08
61.57,10.04
62.18,10.00
62.80,9.96
63.43,9.91
64.07,9.87
64.71,9.82
65.35,9.78
66.01,9.73
66.67,9.68
67.33,9.63
68.01,9.59
68.69,9.55
69.37,9.50
70.07,9.45
70.77,9.40
71.48,9.35
72.19,9.31
72.91,9.26
73.64,9.21
74.38,9.15
75.12,9.10
75.87,9.05
76.63,9.00
77.40,8.95
78.17,8.90
78.95,8.85
79.74,8.80
80.54,8.75
81.35,8.70
82.16,8.64
82.98,8.59
83.81,8.53
84.65,8.48
85.50,8.43
86.35,8.38
87.22,8.32
88.09,8.27
88.97,8.22
89.86,8.17
90.76,8.11
91.66,8.06
92.58,8.00
93.51,7.95
94.44,7.89
95.39,7.83
96.34,7.78
97.30,7.72
98.28,7.66
99.26,7.61
100.25,7.55
101.25,7.50
102.27,7.44
103.29,7.38
104.32,7.32
105.37,7.27
106.42,7.21
107.48,7.15
108.56,7.09
109.64,7.03
110.74,6.97
111.85,6.92
112.97,6.86
114.10,6.80
115.24,6.74
116.39,6.68
117.55,6.62
118.73,6.57
119.92,6.51
121.12,6.45
122.33,6.38
123.55,6.32
124.79,6.26
