frequency,raw
20.00,4.71
20.20,4.73
20.40,4.75
20.61,4.77
20.81,4.79
21.02,4.81
21.23,4.83
21.44,4.85
21.66,4.86
21.87,4.87
22.09,4.88
22.31,4.90
22.54,4.91
22.76,4.93
22.99,4.96
23.22,4.98
23.45,5.00
23.69,5.02
23.92,5.03
24.16,5.04
24.40,5.05
24.65,5.06
24.89,5.07
25.14,5.08
25.39,5.10
25.65,5.11
25.91,5.13
26.16,5.14
26.43,5.14
26.69,5.14
26.96,5.14
27.23,5.14
27.50,5.15
27.77,5.16
28.05,5.18
28.33,5.20
28.62,5.21
28.90,5.22
29.19,5.21
29.48,5.20
29.78,5.20
30.08,5.20
30.38,5.21
30.68,5.23
30.99,5.25
31.30,5.26
31.61,5.26
31.93,5.26
32.24,5.24
32.57,5.23
32.89,5.22
33.22,5.22
33.55,5.22
33.89,5.24
34.23,5.25
34.57,5.27
34.92,5.29
35.27,5.30
35.62,5.30
35.97,5.29
36.33,5.29
36.70,5.28
37.06,5.28
37.43,5.28
37.81,5.28
38.19,5.28
38.57,5.28
38.95,5.28
39.34,5.29
39.74,5.29
40.14,5.29
40.54,5.27
40.94,5.27
41.35,5.27
41.76,5.27
42.18,5.27
42.60,5.26
43.03,5.24
43.46,5.23
43.90,5.22
44.33,5.23
44.78,5.23
45.23,5.21
45.68,5.18
46.13,5.16
46.60,5.15
47.06,5.15
47.53,5.14
48.01,5.12
48.49,5.10
48.97,5.09
49.46,5.09
49.96,5.10
50.46,5.10
50.96,5.09
51.47,5.07
51.99,5.04
52.51,5.01
53.03,4.98
53.56,4.97
54.10,4.96
54.64,4.95
55.18,4.93
55.74,4.91
56.29,4.89
56.86,4.87
57.42,4.80
58.00,4.71
58.58,4.70
59.16,4.70
59.76,4.74
60.35,4.73
60.96,4.68
61.57,4.66
62.18,4.68
62.80,4.66
63.43,4.64
64.07,4.62
64.71,4.60
65.35,4.57
66.01,4.54
66.67,4.52
67.33,4.50
68.01,4.47
68.69,4.44
69.37,4.41
70.07,4.38
70.77,4.36
71.48,4.33
72.19,4.31
72.91,4.29
73.64,4.25
74.38,4.21
75.12,4.17
75.87,4.15
76.63,4.12
77.40,4.07
78.17,4.05
78.95,4.03
79.74,3.99
80.54,3.95
81.35,3.91
82.16,3.88
82.98,3.85
83.81,3.81
84.65,3.78
85.50,3.74
86.35,3.70
87.22,3.68
88.09,3.64
88.97,3.60
89.86,3.56
90.76,3.51
91.66,3.47
92.58,3.45
93.51,3.40
94.44,3.36
95.39,3.32
96.34,3.29
97.30,3.23
98.28,3.20
99.26,3.16
100.25,3.10
101.25,3.07
102.27,3.04
103.29,3.00
104.32,2.94
105.37,2.91
106.42,2.88
107.48,2.81
108.56,2.76
109.64,2.72
110.74,2.69
111.85,2.66
112.97,2.62
114.10,2.57
115.24,2.48
116.39,2.44
117.55,2.41
118.73,2.35
119.92,2.26
121.12,2.23
122.33,2.25
123.55,2.22
124.79,2.19
126.03,2.14
127.29,2.10
128.57,2.07
129.85,2.03
131.15,1.99
132.46,1.96
133.79,1.90
135.12,1.86
136.48,1.84
137.84,1.82
139.22,1.78
140.61,1.74
142.02,1.70
143.44,1.66
144.87,1.63
146.32,1.59
147.78,1.54
149.26,1.50
150.75,1.47
152.26,1.46
153.78,1.42
155.32,1.39
156.88,1.36
158.44,1.35
160.03,1.34
161.63,1.32
163.24,1.29
164.88,1.24
166.53,1.21
168.19,1.19
169.87,1.19
171.57,1.17
173.29,1.15
175.02,1.14
176.77,1.14
178.54,1.11
180.32,1.06
182.13,1.07
183.95,1.08
185.79,1.08
187.65,1.05
189.52,1.05
191.42,1.01
193.33,1.00
195.27,1.03
197.22,1.00
199.19,1.01
201.18,1.01
203.19,0.99
205.23,0.99
207.28,0.99
209.35,0.99
211.44,1.00
213.56,1.01
215.69,1.02
217.85,1.03
220.03,1.02
222.23,1.03
224.45,1.04
226.70,1.05
228.96,1.06
231.25,1.07
233.57,1.07
235.90,1.09
238.26,1.10
240.64,1.12
243.05,1.12
245.48,1.12
247.93,1.13
250.41,1.15
252.92,1.15
255.45,1.16
258.00,1.18
260.58,1.19
263.19,1.21
265.82,1.22
268.48,1.23
271.16,1.23
273.87,1.24
276.61,1.26
279.38,1.28
282.17,1.29
284.99,1.30
287.84,1.31
290.72,1.33
293.63,1.34
296.57,1.35
299.53,1.36
302.53,1.37
305.55,1.37
308.61,1.38
311.69,1.39
314.81,1.41
317.96,1.42
321.14,1.43
324.35,1.45
327.59,1.46
330.87,1.47
334.18,1.49
