frequency,raw
20.00,11.35
20.20,11.34
20.40,11.33
20.61,11.32
20.81,11.31
21.02,11.30
21.23,11.29
21.44,11.28
21.66,11.27
21.87,11.26
22.09,11.24
22.31,11.23
22.54,11.21
22.76,11.19
22.99,11.17
23.22,11.15
23.45,11.14
23.69,11.13
23.92,11.12
24.16,11.11
24.40,11.10
24.65,11.09
24.89,11.07
25.14,11.05
25.39,11.03
25.65,11.01
25.91,10.99
26.16,10.97
26.43,10.95
26.69,10.93
26.96,10.92
27.23,10.90
27.50,10.88
27.77,10.86
28.05,10.84
28.33,10.82
28.62,10.80
28.90,10.78
29.19,10.75
29.48,10.73
29.78,10.71
30.08,10.68
30.38,10.65
30.68,10.62
30.99,10.60
31.30,10.57
31.61,10.55
31.93,10.52
32.24,10.49
32.57,10.46
32.89,10.43
33.22,10.40
33.55,10.37
33.89,10.33
34.23,10.30
34.57,10.27
34.92,10.24
35.27,10.21
35.62,10.18
35.97,10.14
36.33,10.11
36.70,10.08
37.06,10.04
37.43,10.01
37.81,9.97
38.19,9.93
38.57,9.90
38.95,9.86
39.34,9.82
39.74,9.79
40.14,9.75
40.54,9.70
40.94,9.65
41.35,9.61
41.76,9.57
42.18,9.54
42.60,9.50
43.03,9.46
43.46,9.41
43.90,9.37
44.33,9.32
44.78,9.28
45.23,9.24
45.68,9.19
46.13,9.15
46.60,9.10
47.06,9.05
47.53,9.00
48.01,8.95
48.49,8.91
48.97,8.85
49.46,8.80
49.96,8.75
50.46,8.70
50.96,8.65
51.47,8.59
51.99,8.52
52.51,8.45
53.03,8.39
53.56,8.36
54.10,8.32
54.64,8.27
55.18,8.20
55.74,8.14
56.29,8.09
56.86,8.04
57.42,7.98
58.00,7.92
58.58,7.86
59.16,7.80
59.76,7.74
60.35,7.68
60.96,7.62
61.57,7.56
62.18,7.50
62.80,7.43
63.43,7.37
64.07,7.30
64.71,7.23
65.35,7.17
66.01,7.10
66.67,7.04
67.33,6.97
68.01,6.90
68.69,6.84
69.37,6.77
70.07,6.70
70.77,6.64
71.48,6.57
72.19,6.50
72.91,6.43
73.64,6.36
74.38,6.29
75.12,6.21
75.87,6.14
76.63,6.07
77.40,6.00
78.17,5.93
78.95,5.86
79.74,5.78
80.54,5.71
81.35,5.64
82.16,5.56
82.98,5.49
83.81,5.42
84.65,5.34
85.50,5.27
86.35,5.20
87.22,5.12
88.09,5.05
88.97,4.98
89.86,4.91
90.76,4.83
91.66,4.75
92.58,4.68
93.51,4.60
94.44,4.52
95.39,4.44
96.34,4.37
97.30,4.30
98.28,4.23
99.26,4.15
100.25,4.08
101.25,4.00
102.27,3.93
103.29,3.85
104.32,3.77
105.37,3.71
106.42,3.64
107.48,3.55
108.56,3.49
109.64,3.42
110.74,3.34
111.85,3.27
112.97,3.20
114.10,3.12
115.24,3.05
116.39,2.99
117.55,2.92
118.73,2.85
119.92,2.79
121.12,2.73
122.33,2.66
123.55,2.60
124.79,2.54
126.03,2.47
127.29,2.41
128.57,2.36
129.85,2.30
131.15,2.24
132.46,2.19
133.79,2.13
135.12,2.07
136.48,2.01
137.84,1.96
139.22,1.91
140.61,1.85
142.02,1.80
143.44,1.74
144.87,1.69
146.32,1.64
147.78,1.58
149.26,1.53
150.75,1.48
152.26,1.43
153.78,1.38
155.32,1.32
156.88,1.28
158.44,1.24
160.03,1.20
161.63,1.17
163.24,1.13
164.88,1.10
166.53,1.05
168.19,1.00
169.87,0.97
171.57,0.94
173.29,0.91
175.02,0.88
176.77,0.85
178.54,0.82
180.32,0.80
182.13,0.77
183.95,0.74
185.79,0.70
187.65,0.67
189.52,0.65
191.42,0.62
193.33,0.59
195.27,0.57
197.22,0.54
199.19,0.52
201.18,0.49
203.19,0.47
205.23,0.45
207.28,0.44
209.35,0.42
211.44,0.42
213.56,0.40
215.69,0.40
217.85,0.39
220.03,0.38
222.23,0.38
224.45,0.37
226.70,0.36
228.96,0.34
231.25,0.32
233.57,0.30
235.90,0.28
238.26,0.26
240.64,0.25
243.05,0.23
245.48,0.21
247.93,0.19
250.41,0.18
252.92,0.16
255.45,0.15
258.00,0.13
260.58,0.12
263.19,0.10
265.82,0.09
268.48,0.08
271.16,0.07
273.87,0.06
276.61,0.04
279.38,0.03
282.17,0.02
284.99,0.01
287.84,0.00
290.72,-0.01
293.63,-0.01
296.57,-0.02
299.53,-0.03
302.53,-0.03
305.55,-0.04
308.61,-0.05
311.69,-0.05
314.81,-0.06
317.96,-0.07
321.14,-0.07
324.35,-0.08
327.59,-0.09
330.87,-0.10
334.18,-0.11
337.52,-0.12
340.90,-0.13
344.30,-0.14
347.75,-0.15
351.23,-0.16
354.74,-0.16
358.28,-0.17
361.87,-0.18
365.49,-0.19
369.14,-0.20
372.83,-0.21
376.56,-0.22
380.33,-0.23
384.13,-0.24
387.97,-0.25
391.85,-0.26
395.77,-0.27
399.73,-0.28
403.72,-0.29
407.76,-0.30
411.84,-0.31
415.96,-0.32
420.12,-0.33
424.32,-0.34
428.56,-0.35
432.85,-0.36
437.18,-0.36
441.55,-0.37
445.96,-0.38
450.42,-0.39
454.93,-0.40
459.48,-0.41
464.07,-0.41
468.71,-0.42
473.40,-0.43
478.13,-0.44
482.91,-0.45
487.74,-0.45
492.62,-0.46
497.55,-0.47
502.52,-0.48
507.55,-0.49
512.62,-0.50
517.75,-0.50
522.93,-0.51
528.16,-0.52
533.44,-0.53
538.77,-0.53
544.16,-0.54
549.60,-0.55
555.10,-0.56
560.65,-0.56
566.25,-0.57
571.92,-0.58
577.64,-0.59
583.41,-0.59
589.25,-0.60
595.14,-0.61
601.09,-0.62
607.10,-0.62
613.17,-0.63
619.30,-0.63
625.50,-0.64
631.75,-0.65
638.07,-0.65
644.45,-0.66
650.89,-0.66
657.40,-0.66
663.98,-0.67
670.62,-0.67
677.32,-0.68
684.10,-0.68
690.94,-0.68
697.85,-0.69
704.83,-0.69
711.87,-0.69
718.99,-0.69
726.18,-0.69
733.44,-0.69
740.78,-0.69
748.19,-0.69
755.67,-0.68
763.23,-0.68
770.86,-0.68
778.57,-0.67
786.35,-0.66
794.22,-0.66
802.16,-0.65
810.18,-0.64
818.28,-0.63
826.46,-0.61
834.73,-0.60
843.08,-0.58
851.51,-0.56
860.02,-0.55
868.62,-0.53
877.31,-0.50
886.08,-0.48
894.94,-0.45
903.89,-0.42
912.93,-0.39
922.06,-0.36
931.28,-0.32
940.59,-0.29
950.00,-0.25
959.50,-0.20
969.09,-0.16
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.16
1039.00,0.22
1049.39,0.29
1059.88,0.35
1070.48,0.42
1081.19,0.49
1092.00,0.56
1102.92,0.63
1113.95,0.70
1125.09,0.77
1136.34,0.84
1147.70,0.91
1159.18,0.98
1170.77,1.06
1182.48,1.13
1194.30,1.20
1206.25,1.27
1218.31,1.34
1230.49,1.41
1242.80,1.48
1255.22,1.54
1267.78,1.61
1280.45,1.68
1293.26,1.74
1306.19,1.81
1319.25,1.88
1332.45,1.94
1345.77,2.00
1359.23,2.07
1372.82,2.13
1386.55,2.19
1400.41,2.25
1414.42,2.31
1428.56,2.38
1442.85,2.43
1457.28,2.49
1471.85,2.55
1486.57,2.60
1501.43,2.66
1516.45,2.71
1531.61,2.77
1546.93,2.82
1562.40,2.88
1578.02,2.93
1593.80,2.99
1609.74,3.05
1625.84,3.11
1642.10,3.17
1658.52,3.23
1675.10,3.29
1691.85,3.35
1708.77,3.41
1725.86,3.47
1743.12,3.53
1760.55,3.60
1778.15,3.66
1795.94,3.73
1813.90,3.80
1832.03,3.87
1850.36,3.94
1868.86,4.02
1887.55,4.10
1906.42,4.18
1925.49,4.26
1944.74,4.34
1964.19,4.43
1983.83,4.52
2003.67,4.61
2023.71,4.69
2043.94,4.78
2064.38,4.88
2085.03,4.97
2105.88,5.07
2126.94,5.17
2148.20,5.27
2169.69,5.38
2191.38,5.49
2213.30,5.62
2235.43,5.75
2257.78,5.89
2280.36,6.04
2303.17,6.19
2326.20,6.34
2349.46,6.49
2372.95,6.64
2396.68,6.78
2420.65,6.91
2444.86,7.03
2469.31,7.15
2494.00,7.26
2518.94,7.36
2544.13,7.45
2569.57,7.54
2595.27,7.63
2621.22,7.71
2647.43,7.78
2673.90,7.84
2700.64,7.89
2727.65,7.94
2754.93,7.98
2782.48,8.02
2810.30,8.05
2838.40,8.07
2866.79,8.09
2895.46,8.10
2924.41,8.11
2953.65,8.11
2983.19,8.11
3013.02,8.11
3043.15,8.11
3073.58,8.10
3104.32,8.09
3135.36,8.08
3166.72,8.07
3198.38,8.05
3230.37,8.03
3262.67,8.00
3295.30,7.97
3328.25,7.94
3361.53,7.90
3395.15,7.86
3429.10,7.82
3463.39,7.77
3498.03,7.72
3533.01,7.66
3568.34,7.60
3604.02,7.54
3640.06,7.49
3676.46,7.43
3713.22,7.36
