frequency,raw
20.00,7.87
20.20,7.87
20.40,7.88
20.61,7.90
20.81,7.93
21.02,7.96
21.23,7.99
21.44,8.03
21.66,8.06
21.87,8.09
22.09,8.12
22.31,8.15
22.54,8.18
22.76,8.20
22.99,8.23
23.22,8.26
23.45,8.28
23.69,8.30
23.92,8.31
24.16,8.32
24.40,8.32
24.65,8.32
24.89,8.32
25.14,8.32
25.39,8.32
25.65,8.34
25.91,8.35
26.16,8.37
26.43,8.39
26.69,8.40
26.96,8.40
27.23,8.40
27.50,8.40
27.77,8.40
28.05,8.40
28.33,8.41
28.62,8.42
28.90,8.43
29.19,8.44
29.48,8.45
29.78,8.45
30.08,8.46
30.38,8.46
30.68,8.47
30.99,8.48
31.30,8.49
31.61,8.50
31.93,8.50
32.24,8.50
32.57,8.50
32.89,8.50
33.22,8.50
33.55,8.51
33.89,8.51
34.23,8.51
34.57,8.51
34.92,8.51
35.27,8.52
35.62,8.53
35.97,8.53
36.33,8.54
36.70,8.54
37.06,8.54
37.43,8.54
37.81,8.53
38.19,8.53
38.57,8.53
38.95,8.53
39.34,8.53
39.74,8.53
40.14,8.53
40.54,8.52
40.94,8.52
41.35,8.52
41.76,8.53
42.18,8.53
42.60,8.53
43.03,8.52
43.46,8.52
43.90,8.51
44.33,8.51
44.78,8.51
45.23,8.50
45.68,8.50
46.13,8.49
46.60,8.48
47.06,8.47
47.53,8.46
48.01,8.46
48.49,8.45
48.97,8.44
49.46,8.44
49.96,8.43
50.46,8.43
50.96,8.43
51.47,8.42
51.99,8.41
52.51,8.40
53.03,8.39
53.56,8.39
54.10,8.38
54.64,8.37
55.18,8.36
55.74,8.35
56.29,8.34
56.86,8.32
57.42,8.32
58.00,8.31
58.58,8.30
59.16,8.29
59.76,8.28
60.35,8.28
60.96,8.28
61.57,8.26
62.18,8.21
62.80,8.19
63.43,8.18
64.07,8.18
64.71,8.16
65.35,8.15
66.01,8.13
66.67,8.12
67.33,8.10
68.01,8.08
68.69,8.07
69.37,8.05
70.07,8.04
70.77,8.02
71.48,8.00
72.19,7.98
72.91,7.96
73.64,7.95
74.38,7.93
75.12,7.91
75.87,7.89
76.63,7.86
77.40,7.84
78.17,7.82
78.95,7.81
79.74,7.79
80.54,7.77
81.35,7.74
82.16,7.72
82.98,7.70
83.81,7.68
84.65,7.65
85.50,7.63
86.35,7.61
87.22,7.58
88.09,7.56
88.97,7.53
89.86,7.51
90.76,7.48
91.66,7.46
92.58,7.43
93.51,7.41
94.44,7.38
95.39,7.35
96.34,7.32
97.30,7.29
98.28,7.26
99.26,7.24
100.25,7.21
101.25,7.18
102.27,7.15
103.29,7.12
104.32,7.09
105.37,7.06
106.42,7.03
107.48,7.00
108.56,6.96
109.64,6.93
110.74,6.90
111.85,6.87
112.97,6.84
114.10,6.80
115.24,6.77
116.39,6.74
117.55,6.70
118.73,6.67
