frequency,raw
20.00,9.32
20.20,9.31
20.40,9.30
20.61,9.29
20.81,9.28
21.02,9.26
21.23,9.25
21.44,9.24
21.66,9.22
21.87,9.21
22.09,9.20
22.31,9.18
22.54,9.16
22.76,9.15
22.99,9.13
23.22,9.12
23.45,9.10
23.69,9.08
23.92,9.07
24.16,9.05
24.40,9.03
24.65,9.01
24.89,8.99
25.14,8.97
25.39,8.94
25.65,8.93
25.91,8.91
26.16,8.89
26.43,8.87
26.69,8.85
26.96,8.83
27.23,8.81
27.50,8.78
27.77,8.75
28.05,8.73
28.33,8.70
28.62,8.68
28.90,8.66
29.19,8.64
29.48,8.63
29.78,8.60
30.08,8.58
30.38,8.55
30.68,8.53
30.99,8.50
31.30,8.47
31.61,8.45
31.93,8.42
32.24,8.39
32.57,8.37
32.89,8.34
33.22,8.31
33.55,8.29
33.89,8.26
34.23,8.23
34.57,8.20
34.92,8.17
35.27,8.14
35.62,8.11
35.97,8.08
36.33,8.06
36.70,8.03
37.06,7.99
37.43,7.96
37.81,7.93
38.19,7.90
38.57,7.87
38.95,7.83
39.34,7.80
39.74,7.77
40.14,7.73
40.54,7.70
40.94,7.66
41.35,7.63
41.76,7.60
42.18,7.56
42.60,7.53
43.03,7.49
43.46,7.46
43.90,7.42
44.33,7.38
44.78,7.35
45.23,7.31
45.68,7.28
46.13,7.24
46.60,7.20
47.06,7.16
47.53,7.12
48.01,7.09
48.49,7.05
48.97,7.01
49.46,6.96
49.96,6.92
50.46,6.88
50.96,6.84
51.47,6.81
51.99,6.77
52.51,6.73
53.03,6.68
53.56,6.64
54.10,6.60
54.64,6.56
55.18,6.52
55.74,6.47
56.29,6.43
56.86,6.38
57.42,6.34
58.00,6.30
58.58,6.26
59.16,6.21
59.76,6.16
60.35,6.11
60.96,6.08
61.57,6.04
62.18,5.99
62.80,5.95
63.43,5.90
64.07,5.85
64.71,5.80
65.35,5.76
66.01,5.72
66.67,5.67
67.33,5.62
68.01,5.57
68.69,5.53
69.37,5.48
70.07,5.44
70.77,5.39
71.48,5.34
72.19,5.29
72.91,5.24
73.64,5.19
74.38,5.14
75.12,5.09
75.87,5.04
76.63,4.99
77.40,4.95
78.17,4.90
78.95,4.85
79.74,4.80
80.54,4.75
81.35,4.70
82.16,4.65
82.98,4.60
83.81,4.55
84.65,4.50
85.50,4.45
86.35,4.40
87.22,4.35
88.09,4.30
88.97,4.25
89.86,4.20
90.76,4.15
91.66,4.10
92.58,4.05
93.51,4.00
94.44,3.95
95.39,3.90
96.34,3.84
97.30,3.79
98.28,3.74
99.26,3.69
100.25,3.64
101.25,3.59
102.27,3.54
103.29,3.49
104.32,3.43
105.37,3.38
106.42,3.33
107.48,3.28
108.56,3.23
109.64,3.17
110.74,3.12
111.85,3.07
112.97,3.02
114.10,2.97
115.24,2.92
116.39,2.87
117.55,2.82
118.73,2.78
119.92,2.75
121.12,2.70
122.33,2.62
123.55,2.58
124.79,2.53
126.03,2.48
127.29,2.44
128.57,2.39
129.85,2.34
131.15,2.30
132.46,2.25
133.79,2.20
135.12,2.15
136.48,2.10
137.84,2.05
139.22,2.00
140.61,1.96
142.02,1.91
143.44,1.86
144.87,1.82
146.32,1.78
147.78,1.74
149.26,1.70
150.75,1.66
152.26,1.61
153.78,1.57
155.32,1.52
