frequency,raw
20.00,13.07
20.20,13.07
20.40,13.07
20.61,13.07
20.81,13.06
21.02,13.06
21.23,13.06
21.44,13.05
21.66,13.05
21.87,13.05
22.09,13.04
22.31,13.04
22.54,13.04
22.76,13.04
22.99,13.03
23.22,13.03
23.45,13.03
23.69,13.03
23.92,13.02
24.16,13.02
24.40,13.01
24.65,13.01
24.89,13.00
25.14,13.00
25.39,12.99
25.65,12.99
25.91,12.98
26.16,12.97
26.43,12.97
26.69,12.96
26.96,12.96
27.23,12.95
27.50,12.95
27.77,12.94
28.05,12.93
28.33,12.91
28.62,12.90
28.90,12.89
29.19,12.88
29.48,12.87
29.78,12.86
30.08,12.85
30.38,12.84
30.68,12.83
30.99,12.82
31.30,12.81
31.61,12.79
31.93,12.78
32.24,12.77
32.57,12.75
32.89,12.74
33.22,12.73
33.55,12.71
33.89,12.70
34.23,12.68
34.57,12.67
34.92,12.65
35.27,12.63
35.62,12.62
35.97,12.60
36.33,12.58
36.70,12.56
37.06,12.55
37.43,12.53
37.81,12.51
38.19,12.50
38.57,12.48
38.95,12.46
39.34,12.44
39.74,12.42
40.14,12.39
40.54,12.37
40.94,12.35
41.35,12.33
41.76,12.31
42.18,12.29
42.60,12.27
43.03,12.24
43.46,12.22
43.90,12.20
44.33,12.17
44.78,12.15
45.23,12.12
45.68,12.10
46.13,12.07
46.60,12.05
47.06,12.02
47.53,12.00
48.01,11.97
48.49,11.95
48.97,11.92
49.46,11.89
49.96,11.86
50.46,11.83
50.96,11.80
51.47,11.78
51.99,11.75
52.51,11.72
53.03,11.69
53.56,11.66
54.10,11.63
54.64,11.60
55.18,11.57
55.74,11.53
56.29,11.50
56.86,11.47
57.42,11.44
58.00,11.41
58.58,11.38
59.16,11.35
59.76,11.32
60.35,11.28
60.96,11.24
61.57,11.20
62.18,11.17
62.80,11.13
63.43,11.09
64.07,11.06
64.71,11.02
65.35,10.98
66.01,10.94
66.67,10.91
67.33,10.87
68.01,10.83
68.69,10.79
69.37,10.75
70.07,10.71
70.77,10.67
71.48,10.63
72.19,10.59
72.91,10.55
73.64,10.51
74.38,10.47
75.12,10.43
75.87,10.39
76.63,10.35
77.40,10.30
78.17,10.26
78.95,10.22
79.74,10.17
80.54,10.13
81.35,10.09
82.16,10.04
82.98,10.00
