frequency,raw
20.00,9.03
20.20,9.02
20.40,9.02
20.61,9.01
20.81,9.00
21.02,8.99
21.23,8.97
21.44,8.96
21.66,8.95
21.87,8.94
22.09,8.93
22.31,8.92
22.54,8.91
22.76,8.90
22.99,8.89
23.22,8.89
23.45,8.88
23.69,8.87
23.92,8.86
24.16,8.84
24.40,8.83
24.65,8.81
24.89,8.80
25.14,8.78
25.39,8.77
25.65,8.76
25.91,8.75
26.16,8.73
26.43,8.72
26.69,8.71
26.96,8.69
27.23,8.68
27.50,8.66
27.77,8.65
28.05,8.63
28.33,8.61
28.62,8.60
28.90,8.58
29.19,8.56
29.48,8.55
29.78,8.53
30.08,8.51
30.38,8.50
30.68,8.48
30.99,8.46
31.30,8.44
31.61,8.42
31.93,8.41
32.24,8.39
32.57,8.37
32.89,8.35
33.22,8.33
33.55,8.31
33.89,8.29
34.23,8.27
34.57,8.24
34.92,8.22
35.27,8.20
35.62,8.18
35.97,8.16
36.33,8.14
36.70,8.12
37.06,8.09
37.43,8.07
37.81,8.05
38.19,8.02
38.57,8.00
38.95,7.97
39.34,7.95
39.74,7.92
40.14,7.90
40.54,7.87
40.94,7.85
41.35,7.82
41.76,7.79
42.18,7.77
42.60,7.74
43.03,7.71
43.46,7.69
43.90,7.66
44.33,7.63
44.78,7.60
45.23,7.57
45.68,7.54
46.13,7.51
46.60,7.48
47.06,7.46
47.53,7.42
48.01,7.39
48.49,7.36
48.97,7.33
49.46,7.30
49.96,7.27
50.46,7.24
50.96,7.20
51.47,7.17
51.99,7.14
52.51,7.10
53.03,7.07
53.56,7.03
54.10,7.00
54.64,6.97
55.18,6.93
55.74,6.90
56.29,6.86
56.86,6.82
57.42,6.79
58.00,6.75
58.58,6.72
59.16,6.69
59.76,6.67
60.35,6.63
60.96,6.58
61.57,6.53
62.18,6.49
62.80,6.45
63.43,6.42
64.07,6.37
64.71,6.33
65.35,6.29
66.01,6.25
66.67,6.21
67.33,6.18
68.01,6.13
68.69,6.09
69.37,6.05
70.07,6.01
70.77,5.97
71.48,5.93
72.19,5.89
72.91,5.84
73.64,5.80
74.38,5.76
75.12,5.71
75.87,5.67
76.63,5.63
77.40,5.58
78.17,5.54
78.95,5.50
79.74,5.45
80.54,5.41
81.35,5.36
82.16,5.32
82.98,5.27
83.81,5.23
84.65,5.18
85.50,5.14
86.35,5.09
87.22,5.04
88.09,5.00
88.97,4.95
89.86,4.91
90.76,4.86
91.66,4.81
92.58,4.76
93.51,4.72
94.44,4.67
95.39,4.62
96.34,4.58
97.30,4.53
98.28,4.48
99.26,4.43
100.25,4.38
101.25,4.34
102.27,4.29
103.29,4.24
104.32,4.19
105.37,4.14
106.42,4.09
107.48,4.05
108.56,4.00
109.64,3.95
110.74,3.90
111.85,3.85
112.97,3.80
114.10,3.75
115.24,3.70
116.39,3.65
117.55,3.61
118.73,3.54
119.92,3.47
121.12,3.43
122.33,3.42
123.55,3.36
124.79,3.30
126.03,3.26
127.29,3.21
128.57,3.15
129.85,3.11
131.15,3.06
132.46,3.01
133.79,2.97
135.12,2.92
136.48,2.87
137.84,2.82
139.22,2.78
140.61,2.74
142.02,2.69
143.44,2.65
144.87,2.60
146.32,2.56
147.78,2.51
149.26,2.47
150.75,2.42
152.26,2.37
153.78,2.32
155.32,2.28
156.88,2.23
158.44,2.18
160.03,2.13
161.63,2.08
163.24,2.04
164.88,1.99
166.53,1.94
168.19,1.89
169.87,1.85
171.57,1.79
173.29,1.74
175.02,1.69
176.77,1.64
178.54,1.56
180.32,1.48
182.13,1.49
183.95,1.46
185.79,1.41
187.65,1.36
189.52,1.33
191.42,1.30
193.33,1.28
195.27,1.27
197.22,1.26
199.19,1.25
201.18,1.23
203.19,1.21
205.23,1.19
207.28,1.16
209.35,1.12
211.44,1.09
213.56,1.06
215.69,1.03
217.85,1.01
220.03,0.97
222.23,0.94
224.45,0.91
226.70,0.88
228.96,0.85
231.25,0.82
233.57,0.79
235.90,0.77
238.26,0.78
240.64,0.77
243.05,0.72
245.48,0.70
247.93,0.68
250.41,0.65
252.92,0.62
255.45,0.59
258.00,0.56
260.58,0.52
263.19,0.49
265.82,0.46
268.48,0.43
271.16,0.40
273.87,0.37
276.61,0.34
279.38,0.31
282.17,0.28
284.99,0.26
287.84,0.23
290.72,0.21
293.63,0.18
296.57,0.16
299.53,0.13
302.53,0.11
305.55,0.08
308.61,0.06
311.69,0.04
314.81,0.02
317.96,-0.00
321.14,-0.02
324.35,-0.04
327.59,-0.06
330.87,-0.08
334.18,-0.10
337.52,-0.12
340.90,-0.13
344.30,-0.15
347.75,-0.17
351.23,-0.18
354.74,-0.20
358.28,-0.22
361.87,-0.23
365.49,-0.24
369.14,-0.26
372.83,-0.27
376.56,-0.28
380.33,-0.29
384.13,-0.30
387.97,-0.31
391.85,-0.32
395.77,-0.32
399.73,-0.33
403.72,-0.33
407.76,-0.33
411.84,-0.33
415.96,-0.33
420.12,-0.34
424.32,-0.34
428.56,-0.35
432.85,-0.36
437.18,-0.36
441.55,-0.37
445.96,-0.37
450.42,-0.38
454.93,-0.39
459.48,-0.39
464.07,-0.40
468.71,-0.40
473.40,-0.40
478.13,-0.41
482.91,-0.42
487.74,-0.41
492.62,-0.41
497.55,-0.42
502.52,-0.42
507.55,-0.42
512.62,-0.42
517.75,-0.43
522.93,-0.43
528.16,-0.43
533.44,-0.43
538.77,-0.43
544.16,-0.43
549.60,-0.43
555.10,-0.43
560.65,-0.43
566.25,-0.42
571.92,-0.42
577.64,-0.42
583.41,-0.42
589.25,-0.42
595.14,-0.40
601.09,-0.39
607.10,-0.41
613.17,-0.41
619.30,-0.40
625.50,-0.40
631.75,-0.40
638.07,-0.39
644.45,-0.39
650.89,-0.38
657.40,-0.37
663.98,-0.37
670.62,-0.37
677.32,-0.37
684.10,-0.36
690.94,-0.36
697.85,-0.36
704.83,-0.35
711.87,-0.35
718.99,-0.33
726.18,-0.33
733.44,-0.33
740.78,-0.33
748.19,-0.32
755.67,-0.32
763.23,-0.31
770.86,-0.31
778.57,-0.30
786.35,-0.30
794.22,-0.29
802.16,-0.28
810.18,-0.28
818.28,-0.27
826.46,-0.26
834.73,-0.26
843.08,-0.25
851.51,-0.24
860.02,-0.23
868.62,-0.21
877.31,-0.20
886.08,-0.19
894.94,-0.17
903.89,-0.15
912.93,-0.15
922.06,-0.13
931.28,-0.12
940.59,-0.10
950.00,-0.08
959.50,-0.07
969.09,-0.05
978.78,-0.04
988.57,-0.02
998.46,-0.00
1008.44,0.01
1018.53,0.03
1028.71,0.05
1039.00,0.08
1049.39,0.10
1059.88,0.12
1070.48,0.14
1081.19,0.17
1092.00,0.19
1102.92,0.21
1113.95,0.23
1125.09,0.25
1136.34,0.26
1147.70,0.29
1159.18,0.31
1170.77,0.34
1182.48,0.36
1194.30,0.39
1206.25,0.42
1218.31,0.46
1230.49,0.50
1242.80,0.54
1255.22,0.59
1267.78,0.65
1280.45,0.70
1293.26,0.78
1306.19,0.85
1319.25,0.93
1332.45,1.01
1345.77,1.10
1359.23,1.19
1372.82,1.28
1386.55,1.37
1400.41,1.47
1414.42,1.57
1428.56,1.67
1442.85,1.78
1457.28,1.88
1471.85,1.98
1486.57,2.08
1501.43,2.18
1516.45,2.28
1531.61,2.38
1546.93,2.48
1562.40,2.57
1578.02,2.66
1593.80,2.75
1609.74,2.83
1625.84,2.91
1642.10,2.99
1658.52,3.07
1675.10,3.15
1691.85,3.22
1708.77,3.31
1725.86,3.39
1743.12,3.48
1760.55,3.58
1778.15,3.67
1795.94,3.77
1813.90,3.86
1832.03,3.95
1850.36,4.04
1868.86,4.17
1887.55,4.34
1906.42,4.55
1925.49,4.80
1944.74,5.12
1964.19,5.44
1983.83,5.76
2003.67,6.05
2023.71,6.29
2043.94,6.49
2064.38,6.67
2085.03,6.81
2105.88,6.94
2126.94,7.05
2148.20,7.15
2169.69,7.24
2191.38,7.32
2213.30,7.38
2235.43,7.44
2257.78,7.50
2280.36,7.54
2303.17,7.58
2326.20,7.61
2349.46,7.64
2372.95,7.65
2396.68,7.67
2420.65,7.68
2444.86,7.69
2469.31,7.69
2494.00,7.69
2518.94,7.69
2544.13,7.69
2569.57,7.68
2595.27,7.67
2621.22,7.66
2647.43,7.65
2673.90,7.64
2700.64,7.63
2727.65,7.63
2754.93,7.63
2782.48,7.65
2810.30,7.68
2838.40,7.73
2866.79,7.79
2895.46,7.86
2924.41,7.92
2953.65,7.99
2983.19,8.04
3013.02,8.09
3043.15,8.13
3073.58,8.17
3104.32,8.21
3135.36,8.25
3166.72,8.29
3198.38,8.32
3230.37,8.36
3262.67,8.40
3295.30,8.43
3328.25,8.46
3361.53,8.49
3395.15,8.51
