frequency,raw
20.00,9.46
20.20,9.46
20.40,9.47
20.61,9.47
20.81,9.47
21.02,9.47
21.23,9.47
21.44,9.46
21.66,9.46
21.87,9.46
22.09,9.46
22.31,9.46
22.54,9.46
22.76,9.47
22.99,9.47
23.22,9.47
23.45,9.47
23.69,9.48
23.92,9.47
24.16,9.47
24.40,9.47
24.65,9.47
24.89,9.46
25.14,9.46
25.39,9.46
25.65,9.46
25.91,9.47
26.16,9.47
26.43,9.47
26.69,9.47
26.96,9.46
27.23,9.46
27.50,9.46
27.77,9.45
28.05,9.45
28.33,9.44
28.62,9.44
28.90,9.44
29.19,9.44
29.48,9.43
29.78,9.43
30.08,9.43
30.38,9.43
30.68,9.42
30.99,9.42
31.30,9.41
31.61,9.41
31.93,9.41
32.24,9.40
32.57,9.40
32.89,9.40
33.22,9.40
33.55,9.40
33.89,9.39
34.23,9.39
34.57,9.38
34.92,9.38
35.27,9.38
35.62,9.37
35.97,9.36
36.33,9.35
36.70,9.34
37.06,9.33
37.43,9.33
37.81,9.33
38.19,9.32
38.57,9.31
38.95,9.30
39.34,9.28
39.74,9.27
40.14,9.26
40.54,9.26
40.94,9.25
41.35,9.24
41.76,9.22
42.18,9.21
42.60,9.19
43.03,9.18
43.46,9.17
43.90,9.17
44.33,9.15
44.78,9.14
45.23,9.11
45.68,9.09
46.13,9.08
46.60,9.07
47.06,9.05
47.53,9.04
48.01,9.02
48.49,9.00
48.97,8.98
49.46,8.97
49.96,8.95
50.46,8.93
50.96,8.90
51.47,8.87
51.99,8.85
52.51,8.83
53.03,8.80
53.56,8.77
54.10,8.75
54.64,8.74
55.18,8.73
55.74,8.71
56.29,8.68
56.86,8.65
57.42,8.63
58.00,8.61
58.58,8.58
59.16,8.55
59.76,8.51
60.35,8.48
60.96,8.45
61.57,8.42
62.18,8.38
62.80,8.34
63.43,8.31
64.07,8.29
64.71,8.25
65.35,8.22
66.01,8.18
66.67,8.14
67.33,8.10
68.01,8.06
68.69,8.03
69.37,7.99
70.07,7.96
70.77,7.92
71.48,7.87
72.19,7.83
72.91,7.79
73.64,7.74
74.38,7.70
75.12,7.66
75.87,7.61
76.63,7.55
77.40,7.49
78.17,7.45
78.95,7.41
79.74,7.37
80.54,7.32
81.35,7.27
82.16,7.22
82.98,7.17
83.81,7.11
84.65,7.05
85.50,7.00
86.35,6.95
87.22,6.90
88.09,6.83
88.97,6.77
89.86,6.71
90.76,6.66
91.66,6.60
92.58,6.55
93.51,6.50
94.44,6.43
95.39,6.35
96.34,6.27
97.30,6.21
98.28,6.16
99.26,6.11
100.25,6.04
101.25,5.98
102.27,5.91
103.29,5.85
104.32,5.79
105.37,5.73
106.42,5.66
107.48,5.59
108.56,5.53
109.64,5.46
110.74,5.38
111.85,5.30
112.97,5.24
114.10,5.18
115.24,5.10
116.39,5.02
117.55,4.94
118.73,4.88
119.92,4.80
121.12,4.73
122.33,4.67
123.55,4.60
124.79,4.54
126.03,4.47
127.29,4.40
128.57,4.33
129.85,4.27
131.15,4.21
132.46,4.13
133.79,4.06
135.12,4.00
136.48,3.94
137.84,3.88
139.22,3.80
140.61,3.73
142.02,3.68
143.44,3.63
144.87,3.56
146.32,3.48
147.78,3.41
149.26,3.35
150.75,3.30
152.26,3.24
153.78,3.19
155.32,3.13
156.88,3.07
158.44,3.01
160.03,2.96
161.63,2.90
163.24,2.85
164.88,2.80
166.53,2.75
168.19,2.70
169.87,2.66
171.57,2.60
173.29,2.56
175.02,2.51
176.77,2.48
178.54,2.46
180.32,2.44
182.13,2.38
183.95,2.35
185.79,2.33
187.65,2.32
189.52,2.30
191.42,2.28
193.33,2.26
195.27,2.25
197.22,2.23
199.19,2.22
201.18,2.23
203.19,2.24
205.23,2.24
207.28,2.25
209.35,2.26
211.44,2.27
213.56,2.27
215.69,2.27
217.85,2.27
220.03,2.26
222.23,2.26
224.45,2.26
226.70,2.27
228.96,2.27
231.25,2.26
233.57,2.26
235.90,2.26
238.26,2.24
240.64,2.24
243.05,2.26
245.48,2.26
247.93,2.27
250.41,2.27
252.92,2.27
255.45,2.27
258.00,2.27
260.58,2.28
263.19,2.28
265.82,2.29
268.48,2.28
271.16,2.29
273.87,2.30
276.61,2.30
279.38,2.30
282.17,2.31
284.99,2.32
287.84,2.32
290.72,2.32
293.63,2.33
296.57,2.33
299.53,2.34
302.53,2.34
305.55,2.35
308.61,2.36
311.69,2.37
314.81,2.37
317.96,2.38
321.14,2.39
324.35,2.39
327.59,2.39
330.87,2.39
334.18,2.39
337.52,2.39
340.90,2.39
344.30,2.40
347.75,2.40
351.23,2.39
354.74,2.38
358.28,2.38
361.87,2.38
365.49,2.38
369.14,2.37
372.83,2.36
376.56,2.35
380.33,2.35
384.13,2.34
387.97,2.32
391.85,2.31
395.77,2.31
399.73,2.30
403.72,2.29
407.76,2.28
411.84,2.27
415.96,2.26
420.12,2.25
424.32,2.23
428.56,2.22
432.85,2.20
437.18,2.18
441.55,2.16
445.96,2.14
450.42,2.12
454.93,2.11
459.48,2.09
464.07,2.07
468.71,2.05
473.40,2.03
478.13,2.01
482.91,1.98
487.74,1.96
492.62,1.94
497.55,1.91
502.52,1.89
507.55,1.87
512.62,1.85
517.75,1.82
522.93,1.79
528.16,1.77
533.44,1.74
538.77,1.72
544.16,1.69
549.60,1.66
555.10,1.63
560.65,1.61
566.25,1.58
571.92,1.55
577.64,1.52
583.41,1.48
589.25,1.44
595.14,1.41
601.09,1.39
607.10,1.35
613.17,1.32
619.30,1.30
625.50,1.26
631.75,1.21
638.07,1.17
644.45,1.14
650.89,1.10
657.40,1.06
663.98,1.01
670.62,0.97
677.32,0.93
684.10,0.89
690.94,0.85
697.85,0.82
704.83,0.78
711.87,0.73
718.99,0.70
726.18,0.66
733.44,0.62
740.78,0.59
748.19,0.55
755.67,0.53
763.23,0.50
770.86,0.47
778.57,0.43
786.35,0.40
794.22,0.37
802.16,0.34
810.18,0.32
818.28,0.29
826.46,0.26
834.73,0.24
843.08,0.22
851.51,0.19
860.02,0.16
868.62,0.14
877.31,0.12
886.08,0.09
894.94,0.08
903.89,0.06
912.93,0.05
922.06,0.04
931.28,0.03
940.59,0.02
950.00,0.01
959.50,0.00
969.09,-0.01
978.78,-0.01
988.57,0.00
998.46,-0.00
1008.44,0.00
1018.53,0.01
1028.71,0.04
1039.00,0.06
1049.39,0.08
1059.88,0.11
1070.48,0.12
1081.19,0.14
1092.00,0.18
1102.92,0.20
1113.95,0.24
1125.09,0.27
1136.34,0.30
1147.70,0.34
1159.18,0.38
1170.77,0.41
1182.48,0.45
1194.30,0.49
1206.25,0.53
1218.31,0.58
1230.49,0.62
1242.80,0.66
1255.22,0.71
1267.78,0.74
1280.45,0.77
1293.26,0.82
1306.19,0.87
1319.25,0.91
1332.45,0.96
1345.77,1.00
1359.23,1.01
1372.82,1.08
1386.55,1.13
1400.41,1.15
1414.42,1.19
1428.56,1.23
1442.85,1.26
1457.28,1.30
1471.85,1.35
1486.57,1.39
1501.43,1.42
1516.45,1.47
1531.61,1.51
1546.93,1.56
1562.40,1.60
1578.02,1.64
1593.80,1.70
1609.74,1.74
1625.84,1.78
1642.10,1.83
1658.52,1.88
1675.10,1.93
1691.85,1.99
1708.77,2.05
1725.86,2.10
1743.12,2.15
1760.55,2.20
1778.15,2.26
1795.94,2.33
1813.90,2.39
1832.03,2.44
1850.36,2.51
1868.86,2.59
1887.55,2.65
1906.42,2.73
1925.49,2.82
1944.74,2.87
1964.19,2.95
1983.83,3.05
2003.67,3.16
2023.71,3.26
2043.94,3.34
2064.38,3.42
2085.03,3.53
2105.88,3.64
2126.94,3.75
2148.20,3.86
2169.69,3.98
2191.38,4.07
2213.30,4.15
2235.43,4.24
2257.78,4.40
2280.36,4.54
2303.17,4.65
2326.20,4.81
2349.46,4.94
2372.95,5.07
2396.68,5.20
2420.65,5.36
2444.86,5.52
2469.31,5.68
2494.00,5.85
2518.94,6.01
2544.13,6.17
2569.57,6.34
2595.27,6.52
2621.22,6.69
2647.43,6.93
2673.90,7.10
2700.64,7.27
2727.65,7.45
2754.93,7.62
2782.48,7.80
2810.30,7.98
2838.40,8.16
2866.79,8.32
2895.46,8.47
2924.41,8.59
2953.65,8.71
2983.19,8.81
3013.02,8.89
3043.15,8.93
3073.58,8.95
3104.32,8.93
3135.36,8.94
3166.72,8.95
3198.38,8.95
3230.37,8.92
3262.67,8.89
3295.30,8.86
3328.25,8.83
3361.53,8.79
3395.15,8.75
3429.10,8.72
3463.39,8.70
3498.03,8.69
3533.01,8.64
3568.34,8.59
3604.02,8.55
3640.06,8.50
3676.46,8.44
3713.22,8.37
3750.36,8.30
3787.86,8.25
3825.74,8.20
3864.00,8.13
3902.64,8.06
3941.66,7.99
3981.08,7.92
4020.89,7.83
4061.10,7.74
4101.71,7.67
4142.73,7.59
4184.15,7.51
4226.00,7.42
4268.26,7.33
4310.94,7.23
4354.05,7.14
4397.59,7.04
4441.56,6.96
4485.98,6.89
4530.84,6.82
4576.15,6.76
4621.91,6.71
4668.13,6.72
4714.81,6.68
4761.96,6.66
4809.58,6.71
4857.67,6.76
4906.25,6.84
4955.31,6.92
5004.87,6.99
5054.91,7.13
5105.46,7.26
5156.52,7.38
5208.08,7.49
5260.16,7.58
5312.77,7.68
5365.89,7.80
5419.55,7.90
5473.75,8.01
5528.49,8.14
5583.77,8.22
5639.61,8.35
5696.00,8.49
5752.96,8.64
5810.49,8.79
5868.60,8.96
5927.28,9.14
5986.56,9.32
6046.42,9.53
6106.89,9.76
6167.96,10.01
6229.64,10.25
6291.93,10.52
6354.85,10.83
6418.40,11.15
6482.58,11.49
6547.41,11.84
6612.88,12.20
6679.01,12.58
6745.80,12.90
6813.26,13.19
6881.39,13.40
6950.21,13.38
7019.71,13.16
7089.91,12.62
7160.81,11.66
7232.41,10.47
7304.74,9.09
7377.79,7.48
7451.56,5.75
7526.08,3.94
7601.34,2.05
7677.35,0.17
7754.13,-1.70
7831.67,-3.35
7909.98,-4.82
7989.08,-5.98
8068.98,-6.40
8149.67,-6.48
8231.16,-6.19
8313.47,-5.74
8396.61,-5.25
8480.57,-4.75
8565.38,-4.30
8651.03,-3.90
8737.54,-3.54
8824.92,-3.29
8913.17,-3.09
9002.30,-2.91
9092.32,-2.82
9183.25,-2.79
9275.08,-2.81
9367.83,-2.90
9461.51,-3.04
9556.12,-3.22
9651.68,-3.43
9748.20,-3.65
9845.68,-3.89
9944.14,-4.07
10043.58,-4.22
10144.02,-4.37
10245.46,-4.49
10347.91,-4.58
10451.39,-4.62
10555.91,-4.59
10661.46,-4.55
10768.08,-4.48
10875.76,-4.37
10984.52,-4.20
11094.36,-3.99
11205.31,-3.74
11317.36,-3.46
11430.53,-3.18
11544.84,-2.94
11660.29,-2.76
11776.89,-2.79
11894.66,-3.56
12013.60,-4.45
12133.74,-5.67
12255.08,-6.82
12377.63,-7.61
12501.41,-7.42
12626.42,-4.89
12752.68,-1.16
12880.21,2.14
13009.01,5.04
13139.10,7.94
13270.49,8.12
13403.20,7.82
13537.23,7.52
13672.60,7.00
13809.33,6.22
13947.42,4.26
14086.90,1.63
14227.77,-1.39
14370.04,-3.77
14513.74,-5.32
14658.88,-5.39
14805.47,-5.30
14953.52,-4.95
15103.06,-4.54
15254.09,-4.12
15406.63,-3.82
15560.70,-3.40
15716.30,-2.79
15873.47,-1.95
16032.20,-0.98
16192.52,0.26
16354.45,1.03
16517.99,1.27
16683.17,-0.77
16850.01,-3.29
17018.51,-6.10
17188.69,-8.68
17360.58,-10.87
17534.18,-17.48
17709.53,-43.08
17886.62,-48.43
18065.49,-48.29
18246.14,-49.10
18428.60,-48.43
18612.89,-49.27
18799.02,-50.44
18987.01,-49.75
19176.88,-47.50
19368.65,-47.76
19562.33,-49.84
19757.96,-52.32
19955.54,-54.81
