frequency,raw
20.00,7.68
20.20,7.74
20.40,7.79
20.61,7.84
20.81,7.88
21.02,7.92
21.23,7.96
21.44,8.01
21.66,8.05
21.87,8.09
22.09,8.13
22.31,8.18
22.54,8.22
22.76,8.25
22.99,8.29
23.22,8.32
23.45,8.35
23.69,8.38
23.92,8.41
24.16,8.44
24.40,8.46
24.65,8.48
24.89,8.50
25.14,8.52
25.39,8.54
25.65,8.56
25.91,8.59
26.16,8.62
26.43,8.66
26.69,8.70
26.96,8.73
27.23,8.76
27.50,8.78
27.77,8.79
28.05,8.81
28.33,8.82
28.62,8.84
28.90,8.86
29.19,8.88
29.48,8.90
29.78,8.91
30.08,8.91
30.38,8.91
30.68,8.91
30.99,8.92
31.30,8.93
31.61,8.95
31.93,8.98
32.24,9.00
32.57,9.01
32.89,9.00
33.22,8.98
33.55,8.97
33.89,8.98
34.23,9.00
34.57,9.04
34.92,9.07
35.27,9.08
35.62,9.09
35.97,9.08
36.33,9.09
36.70,9.11
37.06,9.14
37.43,9.15
37.81,9.15
38.19,9.13
38.57,9.12
38.95,9.12
39.34,9.12
39.74,9.12
40.14,9.13
40.54,9.13
40.94,9.15
41.35,9.16
41.76,9.16
42.18,9.12
42.60,9.08
43.03,9.04
43.46,9.04
43.90,9.06
44.33,9.07
44.78,9.05
45.23,9.02
45.68,9.01
46.13,9.03
46.60,9.05
47.06,9.05
47.53,9.03
48.01,9.02
48.49,9.02
48.97,9.02
49.46,8.99
49.96,8.93
50.46,8.89
50.96,8.87
51.47,8.88
51.99,8.86
52.51,8.83
53.03,8.79
53.56,8.79
54.10,8.78
54.64,8.76
55.18,8.72
55.74,8.71
56.29,8.70
56.86,8.69
57.42,8.66
58.00,8.61
58.58,8.58
59.16,8.55
59.76,8.53
60.35,8.51
60.96,8.49
61.57,8.45
62.18,8.41
62.80,8.38
63.43,8.34
64.07,8.29
64.71,8.32
65.35,8.32
66.01,8.29
66.67,8.15
67.33,8.07
68.01,8.05
68.69,7.99
