frequency,raw
20.00,7.44
20.20,7.46
20.40,7.48
20.61,7.50
20.81,7.52
21.02,7.53
21.23,7.54
21.44,7.55
21.66,7.56
21.87,7.57
22.09,7.59
22.31,7.61
22.54,7.63
22.76,7.65
22.99,7.68
23.22,7.69
23.45,7.71
23.69,7.73
23.92,7.75
24.16,7.76
24.40,7.78
24.65,7.80
24.89,7.81
25.14,7.83
25.39,7.84
25.65,7.85
25.91,7.86
26.16,7.87
26.43,7.89
26.69,7.90
26.96,7.92
27.23,7.93
27.50,7.95
27.77,7.96
28.05,7.97
28.33,7.98
28.62,7.98
28.90,7.99
29.19,8.00
29.48,8.01
29.78,8.02
30.08,8.03
30.38,8.03
30.68,8.04
30.99,8.05
31.30,8.06
31.61,8.06
31.93,8.07
32.24,8.07
32.57,8.08
32.89,8.09
33.22,8.09
33.55,8.10
33.89,8.10
34.23,8.11
34.57,8.11
34.92,8.12
35.27,8.13
35.62,8.13
35.97,8.14
36.33,8.14
36.70,8.14
37.06,8.14
37.43,8.15
37.81,8.15
38.19,8.15
38.57,8.15
38.95,8.16
39.34,8.16
39.74,8.16
40.14,8.17
40.54,8.17
40.94,8.16
41.35,8.16
41.76,8.15
42.18,8.15
42.60,8.15
43.03,8.15
43.46,8.15
43.90,8.15
44.33,8.14
44.78,8.14
45.23,8.15
45.68,8.15
46.13,8.15
46.60,8.15
47.06,8.14
47.53,8.14
48.01,8.14
48.49,8.13
48.97,8.11
49.46,8.09
49.96,8.09
50.46,8.10
50.96,8.11
51.47,8.11
51.99,8.09
52.51,8.08
53.03,8.07
53.56,8.07
54.10,8.07
54.64,8.06
55.18,8.05
55.74,8.04
56.29,8.03
56.86,8.02
57.42,8.01
58.00,8.00
58.58,7.99
59.16,7.98
59.76,7.97
60.35,7.97
60.96,7.96
61.57,7.95
62.18,7.93
62.80,7.92
63.43,7.91
64.07,7.90
64.71,7.89
65.35,7.87
66.01,7.86
66.67,7.85
67.33,7.83
68.01,7.82
68.69,7.80
69.37,7.79
70.07,7.77
70.77,7.76
71.48,7.74
72.19,7.73
72.91,7.72
73.64,7.71
74.38,7.69
75.12,7.67
75.87,7.63
76.63,7.62
77.40,7.63
78.17,7.61
78.95,7.59
79.74,7.56
80.54,7.55
81.35,7.53
82.16,7.51
82.98,7.49
83.81,7.47
84.65,7.45
85.50,7.43
86.35,7.41
87.22,7.39
88.09,7.36
88.97,7.34
89.86,7.32
90.76,7.30
91.66,7.27
92.58,7.25
93.51,7.22
94.44,7.20
95.39,7.18
96.34,7.15
97.30,7.13
98.28,7.10
99.26,7.08
100.25,7.05
101.25,7.02
102.27,7.00
103.29,6.97
104.32,6.94
105.37,6.92
106.42,6.89
107.48,6.86
108.56,6.83
109.64,6.80
110.74,6.77
111.85,6.74
112.97,6.71
114.10,6.68
115.24,6.65
116.39,6.62
117.55,6.58
118.73,6.55
119.92,6.52
121.12,6.48
122.33,6.45
123.55,6.42
