frequency,raw
20.00,11.57
20.20,11.57
20.40,11.56
20.61,11.56
20.81,11.55
21.02,11.54
21.23,11.53
21.44,11.52
21.66,11.52
21.87,11.51
22.09,11.50
22.31,11.49
22.54,11.49
22.76,11.48
22.99,11.47
23.22,11.45
23.45,11.44
23.69,11.43
23.92,11.42
24.16,11.40
24.40,11.39
24.65,11.37
24.89,11.36
25.14,11.34
25.39,11.33
25.65,11.32
25.91,11.30
26.16,11.29
26.43,11.27
26.69,11.26
26.96,11.24
27.23,11.23
27.50,11.21
27.77,11.19
28.05,11.18
28.33,11.16
28.62,11.14
28.90,11.12
29.19,11.11
29.48,11.09
29.78,11.07
30.08,11.06
30.38,11.04
30.68,11.01
30.99,10.99
31.30,10.97
31.61,10.95
31.93,10.93
32.24,10.90
32.57,10.88
32.89,10.86
33.22,10.84
33.55,10.82
33.89,10.80
34.23,10.77
34.57,10.75
34.92,10.72
35.27,10.70
35.62,10.67
35.97,10.65
36.33,10.62
36.70,10.60
37.06,10.57
37.43,10.55
37.81,10.52
38.19,10.49
38.57,10.47
38.95,10.44
39.34,10.41
39.74,10.38
40.14,10.35
40.54,10.32
40.94,10.29
41.35,10.27
41.76,10.24
42.18,10.20
42.60,10.17
43.03,10.14
43.46,10.11
43.90,10.08
44.33,10.05
44.78,10.01
45.23,9.98
45.68,9.95
46.13,9.92
46.60,9.88
47.06,9.85
47.53,9.82
48.01,9.78
48.49,9.74
48.97,9.71
49.46,9.67
49.96,9.64
50.46,9.60
50.96,9.57
51.47,9.53
51.99,9.49
52.51,9.46
53.03,9.42
53.56,9.38
54.10,9.34
54.64,9.31
55.18,9.27
55.74,9.23
56.29,9.19
56.86,9.15
57.42,9.11
58.00,9.07
58.58,9.03
59.16,8.99
59.76,8.95
60.35,8.91
60.96,8.87
61.57,8.83
62.18,8.79
62.80,8.74
63.43,8.70
64.07,8.66
64.71,8.62
65.35,8.57
66.01,8.53
66.67,8.49
67.33,8.44
68.01,8.40
68.69,8.36
69.37,8.32
70.07,8.27
70.77,8.22
71.48,8.18
72.19,8.13
72.91,8.08
73.64,8.04
74.38,7.99
75.12,7.95
75.87,7.90
76.63,7.85
77.40,7.81
78.17,7.76
78.95,7.72
79.74,7.67
80.54,7.62
81.35,7.58
82.16,7.53
82.98,7.48
83.81,7.43
84.65,7.38
85.50,7.34
86.35,7.29
87.22,7.24
88.09,7.19
88.97,7.14
89.86,7.09
90.76,7.04
91.66,6.99
92.58,6.94
93.51,6.90
94.44,6.85
95.39,6.80
96.34,6.75
97.30,6.70
98.28,6.65
99.26,6.60
100.25,6.54
101.25,6.49
102.27,6.44
103.29,6.40
104.32,6.34
105.37,6.29
106.42,6.24
107.48,6.19
108.56,6.14
109.64,6.09
110.74,6.04
111.85,5.99
112.97,5.94
114.10,5.88
115.24,5.83
116.39,5.78
117.55,5.73
118.73,5.68
119.92,5.62
121.12,5.57
122.33,5.53
123.55,5.47
124.79,5.42
126.03,5.37
127.29,5.32
128.57,5.27
129.85,5.22
131.15,5.17
132.46,5.12
133.79,5.07
135.12,5.02
136.48,4.97
137.84,4.93
139.22,4.88
140.61,4.82
142.02,4.77
143.44,4.72
144.87,4.68
146.32,4.63
147.78,4.57
149.26,4.52
150.75,4.46
152.26,4.40
153.78,4.36
155.32,4.32
156.88,4.27
158.44,4.22
160.03,4.17
161.63,4.12
163.24,4.07
164.88,4.02
166.53,3.97
168.19,3.92
169.87,3.87
171.57,3.83
173.29,3.78
175.02,3.74
176.77,3.69
178.54,3.65
180.32,3.60
182.13,3.56
183.95,3.52
185.79,3.48
187.65,3.44
189.52,3.40
191.42,3.36
193.33,3.32
195.27,3.28
197.22,3.24
199.19,3.20
201.18,3.16
203.19,3.11
205.23,3.06
207.28,3.02
209.35,2.98
211.44,2.93
213.56,2.89
215.69,2.84
217.85,2.80
220.03,2.76
222.23,2.71
224.45,2.67
226.70,2.62
228.96,2.58
231.25,2.54
233.57,2.49
235.90,2.45
238.26,2.41
240.64,2.37
243.05,2.33
245.48,2.29
247.93,2.25
250.41,2.21
252.92,2.17
255.45,2.13
258.00,2.09
260.58,2.05
263.19,2.01
265.82,1.97
268.48,1.93
271.16,1.89
273.87,1.85
276.61,1.81
279.38,1.78
282.17,1.74
284.99,1.70
287.84,1.66
290.72,1.62
293.63,1.59
296.57,1.55
299.53,1.52
302.53,1.48
305.55,1.44
308.61,1.41
311.69,1.37
314.81,1.34
317.96,1.30
321.14,1.27
324.35,1.23
327.59,1.20
330.87,1.17
334.18,1.13
337.52,1.10
340.90,1.07
344.30,1.04
347.75,1.01
351.23,0.98
354.74,0.95
358.28,0.92
361.87,0.89
365.49,0.86
