frequency,raw
20.00,10.32
20.20,10.33
20.40,10.34
20.61,10.35
20.81,10.36
21.02,10.37
21.23,10.38
21.44,10.39
21.66,10.39
21.87,10.40
22.09,10.40
22.31,10.40
22.54,10.40
22.76,10.40
22.99,10.40
23.22,10.40
23.45,10.40
23.69,10.41
23.92,10.41
24.16,10.41
24.40,10.42
24.65,10.42
24.89,10.42
25.14,10.42
25.39,10.42
25.65,10.42
25.91,10.41
26.16,10.41
26.43,10.41
26.69,10.41
26.96,10.40
27.23,10.40
27.50,10.40
27.77,10.40
28.05,10.39
28.33,10.38
28.62,10.37
28.90,10.36
29.19,10.36
29.48,10.35
29.78,10.34
30.08,10.33
30.38,10.32
30.68,10.31
30.99,10.30
31.30,10.29
31.61,10.28
31.93,10.27
32.24,10.25
32.57,10.24
32.89,10.23
33.22,10.21
33.55,10.20
33.89,10.19
34.23,10.17
34.57,10.16
34.92,10.14
35.27,10.13
35.62,10.11
35.97,10.10
36.33,10.08
36.70,10.06
37.06,10.04
37.43,10.03
37.81,10.01
38.19,9.99
38.57,9.97
38.95,9.95
39.34,9.93
39.74,9.91
40.14,9.89
40.54,9.87
40.94,9.84
41.35,9.82
41.76,9.80
42.18,9.77
42.60,9.75
43.03,9.72
43.46,9.70
43.90,9.68
44.33,9.65
44.78,9.63
45.23,9.60
45.68,9.57
46.13,9.55
46.60,9.52
47.06,9.49
47.53,9.46
48.01,9.44
48.49,9.41
48.97,9.38
49.46,9.34
49.96,9.31
50.46,9.28
50.96,9.25
51.47,9.21
51.99,9.18
52.51,9.15
53.03,9.13
53.56,9.10
54.10,9.07
54.64,9.03
55.18,9.00
55.74,8.96
56.29,8.93
56.86,8.89
57.42,8.86
58.00,8.82
58.58,8.79
59.16,8.75
59.76,8.72
60.35,8.68
60.96,8.64
61.57,8.61
62.18,8.57
62.80,8.53
63.43,8.49
64.07,8.45
64.71,8.41
65.35,8.37
66.01,8.33
66.67,8.29
67.33,8.25
68.01,8.21
68.69,8.17
69.37,8.13
70.07,8.09
70.77,8.05
71.48,8.00
72.19,7.96
72.91,7.92
73.64,7.87
74.38,7.83
75.12,7.79
75.87,7.74
76.63,7.69
77.40,7.65
78.17,7.61
78.95,7.57
79.74,7.52
80.54,7.47
81.35,7.43
82.16,7.38
82.98,7.34
83.81,7.29
84.65,7.24
85.50,7.20
86.35,7.15
87.22,7.10
88.09,7.06
88.97,7.01
89.86,6.96
90.76,6.91
91.66,6.86
92.58,6.81
93.51,6.77
94.44,6.72
95.39,6.67
96.34,6.62
97.30,6.57
98.28,6.52
99.26,6.47
100.25,6.42
101.25,6.37
102.27,6.32
103.29,6.27
104.32,6.22
105.37,6.17
106.42,6.12
107.48,6.07
108.56,6.02
109.64,5.97
110.74,5.91
111.85,5.86
112.97,5.81
114.10,5.76
115.24,5.71
116.39,5.66
117.55,5.61
118.73,5.55
119.92,5.50
121.12,5.45
122.33,5.40
123.55,5.35
124.79,5.29
126.03,5.24
127.29,5.19
128.57,5.14
129.85,5.08
131.15,5.03
132.46,4.98
133.79,4.93
135.12,4.88
136.48,4.82
137.84,4.77
139.22,4.72
140.61,4.67
142.02,4.61
143.44,4.56
144.87,4.51
146.32,4.46
147.78,4.40
149.26,4.35
150.75,4.30
152.26,4.25
153.78,4.20
155.32,4.14
156.88,4.09
158.44,4.04
160.03,3.99
161.63,3.94
163.24,3.89
164.88,3.84
166.53,3.78
168.19,3.73
169.87,3.68
171.57,3.63
173.29,3.58
175.02,3.53
176.77,3.48
178.54,3.43
180.32,3.38
182.13,3.33
183.95,3.28
185.79,3.23
187.65,3.18
189.52,3.13
191.42,3.08
193.33,3.03
195.27,2.98
197.22,2.93
199.19,2.88
201.18,2.84
203.19,2.79
205.23,2.74
207.28,2.69
209.35,2.64
211.44,2.60
213.56,2.55
215.69,2.50
217.85,2.45
220.03,2.41
222.23,2.36
224.45,2.31
226.70,2.27
228.96,2.23
231.25,2.18
233.57,2.13
235.90,2.08
