frequency,raw
20.00,11.58
20.20,11.58
20.40,11.57
20.61,11.56
20.81,11.56
21.02,11.55
21.23,11.54
21.44,11.54
21.66,11.53
21.87,11.52
22.09,11.51
22.31,11.51
22.54,11.50
22.76,11.49
22.99,11.48
23.22,11.47
23.45,11.46
23.69,11.45
23.92,11.44
24.16,11.42
24.40,11.41
24.65,11.40
24.89,11.39
25.14,11.38
25.39,11.36
25.65,11.35
25.91,11.34
26.16,11.32
26.43,11.31
26.69,11.29
26.96,11.28
27.23,11.26
27.50,11.25
27.77,11.23
28.05,11.21
28.33,11.19
28.62,11.18
28.90,11.16
29.19,11.14
29.48,11.12
29.78,11.10
30.08,11.08
30.38,11.06
30.68,11.04
30.99,11.02
31.30,11.00
31.61,10.98
31.93,10.96
32.24,10.93
32.57,10.91
32.89,10.89
33.22,10.87
33.55,10.84
33.89,10.82
34.23,10.80
34.57,10.77
34.92,10.75
35.27,10.72
35.62,10.70
35.97,10.67
36.33,10.64
36.70,10.61
37.06,10.59
37.43,10.56
37.81,10.53
38.19,10.50
38.57,10.47
38.95,10.44
39.34,10.42
39.74,10.39
40.14,10.36
40.54,10.32
40.94,10.29
41.35,10.26
41.76,10.23
42.18,10.19
42.60,10.16
43.03,10.13
43.46,10.10
43.90,10.06
44.33,10.03
44.78,9.99
45.23,9.96
45.68,9.92
46.13,9.89
46.60,9.85
47.06,9.81
47.53,9.78
48.01,9.74
48.49,9.70
48.97,9.66
49.46,9.63
49.96,9.59
50.46,9.54
50.96,9.50
51.47,9.47
51.99,9.43
52.51,9.39
53.03,9.35
53.56,9.30
54.10,9.26
54.64,9.22
55.18,9.18
55.74,9.14
56.29,9.09
56.86,9.05
57.42,9.01
58.00,8.96
58.58,8.92
59.16,8.87
59.76,8.83
60.35,8.78
60.96,8.74
61.57,8.69
62.18,8.65
62.80,8.60
63.43,8.55
64.07,8.51
64.71,8.46
65.35,8.41
66.01,8.36
66.67,8.32
67.33,8.27
68.01,8.22
68.69,8.17
69.37,8.12
70.07,8.07
70.77,8.02
71.48,7.97
72.19,7.92
72.91,7.87
73.64,7.82
74.38,7.77
75.12,7.72
75.87,7.67
76.63,7.61
77.40,7.56
78.17,7.51
78.95,7.46
79.74,7.40
80.54,7.35
81.35,7.30
82.16,7.24
82.98,7.19
83.81,7.14
84.65,7.08
85.50,7.03
86.35,6.97
87.22,6.92
88.09,6.86
88.97,6.81
89.86,6.75
90.76,6.70
91.66,6.64
92.58,6.59
93.51,6.53
94.44,6.48
95.39,6.42
96.34,6.36
97.30,6.31
98.28,6.25
99.26,6.19
100.25,6.14
101.25,6.08
102.27,6.02
103.29,5.96
104.32,5.91
105.37,5.85
106.42,5.79
107.48,5.74
108.56,5.68
109.64,5.62
110.74,5.56
111.85,5.50
112.97,5.45
114.10,5.39
115.24,5.33
116.39,5.27
117.55,5.21
118.73,5.16
119.92,5.09
121.12,5.04
122.33,4.98
123.55,4.92
124.79,4.86
126.03,4.81
127.29,4.75
128.57,4.69
129.85,4.63
131.15,4.57
132.46,4.51
133.79,4.45
135.12,4.40
136.48,4.34
137.84,4.28
139.22,4.22
140.61,4.16
142.02,4.10
143.44,4.04
144.87,3.99
146.32,3.93
147.78,3.87
149.26,3.81
150.75,3.75
152.26,3.70
153.78,3.64
155.32,3.58
156.88,3.52
158.44,3.46
160.03,3.41
161.63,3.35
163.24,3.29
164.88,3.24
166.53,3.18
168.19,3.12
169.87,3.06
171.57,3.00
173.29,2.95
175.02,2.89
176.77,2.83
178.54,2.77
180.32,2.71
182.13,2.66
183.95,2.60
185.79,2.55
187.65,2.49
189.52,2.43
191.42,2.38
193.33,2.32
195.27,2.26
197.22,2.21
199.19,2.15
201.18,2.10
203.19,2.04
205.23,1.98
207.28,1.93
209.35,1.87
211.44,1.82
213.56,1.76
215.69,1.71
217.85,1.67
220.03,1.62
222.23,1.58
224.45,1.54
226.70,1.50
228.96,1.45
231.25,1.41
233.57,1.36
235.90,1.32
238.26,1.27
240.64,1.22
243.05,1.17
245.48,1.12
247.93,1.07
250.41,1.02
252.92,0.97
255.45,0.92
258.00,0.87
260.58,0.82
263.19,0.78
265.82,0.73
268.48,0.68
271.16,0.63
273.87,0.59
276.61,0.55
279.38,0.50
282.17,0.46
284.99,0.42
287.84,0.37
290.72,0.33
293.63,0.29
296.57,0.25
299.53,0.21
302.53,0.16
305.55,0.12
308.61,0.08
311.69,0.04
314.81,-0.01
317.96,-0.05
321.14,-0.09
324.35,-0.13
327.59,-0.17
330.87,-0.21
334.18,-0.25
337.52,-0.29
340.90,-0.33
344.30,-0.37
347.75,-0.41
351.23,-0.44
354.74,-0.48
358.28,-0.52
361.87,-0.55
365.49,-0.59
369.14,-0.62
372.83,-0.65
376.56,-0.69
380.33,-0.72
384.13,-0.75
387.97,-0.78
391.85,-0.82
395.77,-0.85
399.73,-0.88
403.72,-0.91
407.76,-0.94
411.84,-0.97
415.96,-0.99
420.12,-1.01
424.32,-1.03
428.56,-1.05
432.85,-1.07
437.18,-1.09
441.55,-1.12
445.96,-1.14
450.42,-1.17
454.93,-1.19
459.48,-1.21
464.07,-1.24
468.71,-1.26
473.40,-1.28
478.13,-1.30
482.91,-1.32
487.74,-1.35
492.62,-1.36
497.55,-1.38
502.52,-1.40
507.55,-1.42
512.62,-1.43
517.75,-1.45
522.93,-1.46
528.16,-1.48
533.44,-1.49
538.77,-1.50
544.16,-1.52
549.60,-1.53
555.10,-1.54
560.65,-1.55
566.25,-1.56
571.92,-1.57
577.64,-1.58
583.41,-1.59
589.25,-1.60
595.14,-1.60
601.09,-1.60
607.10,-1.61
613.17,-1.62
619.30,-1.62
625.50,-1.62
631.75,-1.62
638.07,-1.62
644.45,-1.62
650.89,-1.62
657.40,-1.62
663.98,-1.61
670.62,-1.61
677.32,-1.60
684.10,-1.60
690.94,-1.59
697.85,-1.58
704.83,-1.57
711.87,-1.56
718.99,-1.55
726.18,-1.53
733.44,-1.52
740.78,-1.50
748.19,-1.48
755.67,-1.46
763.23,-1.44
770.86,-1.42
778.57,-1.39
786.35,-1.36
794.22,-1.34
802.16,-1.30
810.18,-1.27
818.28,-1.24
826.46,-1.20
834.73,-1.16
843.08,-1.12
851.51,-1.08
860.02,-1.03
868.62,-0.98
877.31,-0.93
886.08,-0.88
894.94,-0.82
903.89,-0.76
912.93,-0.70
922.06,-0.64
931.28,-0.57
940.59,-0.50
950.00,-0.43
959.50,-0.35
969.09,-0.27
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.27
1039.00,0.37
1049.39,0.47
1059.88,0.57
1070.48,0.68
1081.19,0.79
1092.00,0.90
1102.92,1.01
1113.95,1.12
1125.09,1.24
1136.34,1.36
1147.70,1.47
1159.18,1.60
1170.77,1.72
1182.48,1.84
1194.30,1.96
1206.25,2.08
1218.31,2.21
1230.49,2.33
1242.80,2.45
1255.22,2.57
1267.78,2.69
1280.45,2.81
1293.26,2.93
1306.19,3.05
1319.25,3.17
1332.45,3.29
1345.77,3.42
1359.23,3.54
1372.82,3.67
1386.55,3.79
1400.41,3.92
1414.42,4.04
1428.56,4.17
1442.85,4.29
1457.28,4.41
1471.85,4.53
1486.57,4.65
1501.43,4.76
1516.45,4.87
1531.61,4.98
1546.93,5.09
1562.40,5.19
1578.02,5.29
1593.80,5.38
1609.74,5.46
1625.84,5.54
1642.10,5.61
1658.52,5.67
1675.10,5.73
1691.85,5.77
1708.77,5.81
1725.86,5.83
1743.12,5.84
1760.55,5.84
1778.15,5.82
1795.94,5.79
1813.90,5.75
1832.03,5.70
1850.36,5.63
1868.86,5.54
1887.55,5.44
1906.42,5.33
1925.49,5.21
1944.74,5.07
1964.19,4.93
1983.83,4.79
2003.67,4.65
2023.71,4.51
2043.94,4.38
2064.38,4.26
2085.03,4.13
2105.88,3.99
2126.94,3.85
2148.20,3.69
2169.69,3.52
2191.38,3.34
2213.30,3.15
2235.43,2.96
2257.78,2.76
2280.36,2.56
2303.17,2.38
2326.20,2.22
2349.46,2.11
2372.95,2.04
2396.68,1.99
2420.65,1.95
2444.86,1.91
2469.31,1.88
2494.00,1.85
2518.94,1.83
2544.13,1.81
2569.57,1.78
2595.27,1.73
2621.22,1.68
2647.43,1.61
2673.90,1.53
2700.64,1.46
2727.65,1.39
2754.93,1.32
2782.48,1.25
2810.30,1.19
2838.40,1.14
2866.79,1.10
2895.46,1.06
2924.41,1.03
2953.65,1.01
2983.19,1.01
3013.02,1.01
3043.15,1.01
3073.58,1.03
3104.32,1.06
3135.36,1.10
3166.72,1.14
3198.38,1.19
3230.37,1.26
3262.67,1.33
3295.30,1.41
3328.25,1.50
3361.53,1.60
3395.15,1.70
3429.10,1.82
3463.39,1.94
3498.03,2.06
3533.01,2.19
3568.34,2.34
3604.02,2.49
3640.06,2.64
3676.46,2.81
3713.22,2.98
3750.36,3.15
3787.86,3.32
3825.74,3.48
3864.00,3.63
3902.64,3.76
3941.66,3.88
3981.08,3.97
4020.89,4.03
4061.10,4.08
4101.71,4.07
4142.73,4.04
4184.15,3.98
4226.00,3.88
4268.26,3.77
4310.94,3.63
4354.05,3.46
4397.59,3.27
4441.56,3.07
4485.98,2.83
4530.84,2.59
4576.15,2.34
4621.91,2.10
4668.13,1.90
4714.81,1.76
4761.96,1.68
4809.58,1.68
4857.67,1.75
4906.25,1.87
4955.31,2.02
5004.87,2.18
5054.91,2.32
5105.46,2.44
5156.52,2.53
5208.08,2.56
5260.16,2.55
5312.77,2.52
5365.89,2.45
5419.55,2.36
5473.75,2.28
5528.49,2.20
5583.77,2.15
5639.61,2.12
5696.00,2.09
5752.96,2.05
5810.49,2.01
5868.60,1.95
5927.28,1.90
5986.56,1.83
6046.42,1.77
6106.89,1.71
6167.96,1.66
6229.64,1.61
6291.93,1.58
6354.85,1.55
6418.40,1.52
6482.58,1.51
6547.41,1.50
6612.88,1.50
6679.01,1.51
6745.80,1.53
6813.26,1.55
6881.39,1.58
6950.21,1.63
7019.71,1.70
7089.91,1.79
7160.81,1.92
7232.41,2.08
7304.74,2.28
7377.79,2.53
7451.56,2.82
7526.08,3.14
7601.34,3.49
7677.35,3.85
7754.13,4.22
7831.67,4.53
7909.98,4.79
7989.08,4.97
8068.98,5.00
8149.67,4.94
8231.16,4.78
8313.47,4.53
8396.61,4.25
8480.57,3.93
8565.38,3.61
8651.03,3.30
8737.54,2.99
8824.92,2.73
8913.17,2.52
9002.30,2.34
9092.32,2.23
9183.25,2.18
9275.08,2.18
9367.83,2.22
9461.51,2.31
9556.12,2.41
9651.68,2.53
9748.20,2.65
9845.68,2.72
9944.14,2.74
10043.58,2.69
10144.02,2.60
10245.46,2.43
10347.91,2.24
10451.39,2.01
10555.91,1.77
10661.46,1.51
10768.08,1.25
10875.76,1.00
10984.52,0.75
11094.36,0.51
11205.31,0.30
11317.36,0.13
11430.53,-0.00
11544.84,-0.05
11660.29,-0.03
11776.89,0.04
11894.66,0.24
12013.60,0.46
12133.74,0.75
12255.08,1.11
12377.63,1.53
12501.41,2.01
12626.42,2.57
12752.68,3.13
12880.21,3.37
13009.01,3.42
13139.10,3.48
13270.49,2.54
13403.20,1.30
13537.23,-0.40
13672.60,-2.16
13809.33,-3.97
13947.42,-5.67
14086.90,-7.26
14227.77,-8.78
14370.04,-10.17
14513.74,-11.43
14658.88,-12.58
14805.47,-13.65
14953.52,-14.58
15103.06,-15.41
15254.09,-16.17
15406.63,-16.65
15560.70,-17.02
15716.30,-17.20
15873.47,-17.08
16032.20,-16.83
16192.52,-16.34
16354.45,-15.71
16517.99,-14.98
16683.17,-14.19
16850.01,-13.34
17018.51,-12.41
17188.69,-11.22
17360.58,-9.88
17534.18,-8.55
17709.53,-7.66
17886.62,-8.55
18065.49,-10.49
18246.14,-13.35
18428.60,-16.25
18612.89,-19.15
18799.02,-22.02
18987.01,-24.76
19176.88,-27.15
19368.65,-30.30
19562.33,-34.16
19757.96,-38.52
19955.54,-42.87
