frequency,raw
20.00,11.56
20.20,11.54
20.40,11.53
20.61,11.51
20.81,11.50
21.02,11.48
21.23,11.47
21.44,11.45
21.66,11.43
21.87,11.41
22.09,11.39
22.31,11.37
22.54,11.35
22.76,11.33
22.99,11.31
23.22,11.29
23.45,11.26
23.69,11.24
23.92,11.22
24.16,11.20
24.40,11.17
24.65,11.15
24.89,11.13
25.14,11.10
25.39,11.08
25.65,11.05
25.91,11.03
26.16,11.00
26.43,10.97
26.69,10.95
26.96,10.92
27.23,10.89
27.50,10.87
27.77,10.84
28.05,10.81
28.33,10.78
28.62,10.75
28.90,10.71
29.19,10.69
29.48,10.66
29.78,10.62
30.08,10.59
30.38,10.56
30.68,10.53
30.99,10.50
31.30,10.46
31.61,10.43
31.93,10.40
32.24,10.36
32.57,10.33
32.89,10.29
33.22,10.26
33.55,10.22
33.89,10.18
34.23,10.15
34.57,10.11
34.92,10.08
35.27,10.04
35.62,10.01
35.97,9.97
36.33,9.93
36.70,9.89
37.06,9.85
37.43,9.81
37.81,9.78
38.19,9.74
38.57,9.70
38.95,9.66
39.34,9.62
39.74,9.58
40.14,9.54
40.54,9.49
40.94,9.45
41.35,9.41
41.76,9.37
42.18,9.33
42.60,9.28
43.03,9.24
43.46,9.20
43.90,9.16
44.33,9.11
44.78,9.07
45.23,9.03
45.68,8.99
46.13,8.94
46.60,8.90
47.06,8.86
47.53,8.82
48.01,8.77
48.49,8.73
48.97,8.68
49.46,8.63
49.96,8.59
50.46,8.54
50.96,8.49
51.47,8.44
51.99,8.40
52.51,8.35
53.03,8.30
53.56,8.25
54.10,8.21
54.64,8.16
55.18,8.11
55.74,8.07
56.29,8.02
56.86,7.97
57.42,7.92
58.00,7.88
58.58,7.83
59.16,7.78
59.76,7.74
60.35,7.69
60.96,7.64
61.57,7.59
62.18,7.54
62.80,7.49
63.43,7.44
64.07,7.39
64.71,7.34
65.35,7.29
66.01,7.24
66.67,7.19
67.33,7.14
68.01,7.09
68.69,7.04
69.37,6.99
70.07,6.95
70.77,6.90
71.48,6.85
72.19,6.80
72.91,6.75
73.64,6.70
74.38,6.65
75.12,6.60
75.87,6.55
76.63,6.50
77.40,6.45
78.17,6.40
78.95,6.35
79.74,6.30
80.54,6.25
81.35,6.20
82.16,6.15
82.98,6.10
83.81,6.05
84.65,6.00
85.50,5.95
86.35,5.90
87.22,5.85
88.09,5.80
88.97,5.75
89.86,5.70
90.76,5.65
91.66,5.61
92.58,5.56
93.51,5.51
94.44,5.46
95.39,5.41
96.34,5.36
97.30,5.32
98.28,5.27
99.26,5.22
100.25,5.17
101.25,5.12
102.27,5.07
103.29,5.02
104.32,4.98
105.37,4.93
106.42,4.88
107.48,4.83
108.56,4.79
109.64,4.74
110.74,4.69
111.85,4.65
112.97,4.60
114.10,4.55
115.24,4.51
116.39,4.46
117.55,4.41
118.73,4.37
119.92,4.32
121.12,4.27
122.33,4.23
123.55,4.19
124.79,4.14
126.03,4.10
127.29,4.05
128.57,4.01
129.85,3.96
131.15,3.92
132.46,3.88
133.79,3.83
135.12,3.79
136.48,3.74
137.84,3.70
139.22,3.66
140.61,3.61
142.02,3.57
143.44,3.53
144.87,3.49
146.32,3.44
147.78,3.40
149.26,3.36
150.75,3.32
152.26,3.28
153.78,3.24
155.32,3.20
156.88,3.16
158.44,3.12
160.03,3.08
161.63,3.04
163.24,3.00
164.88,2.96
166.53,2.92
168.19,2.88
169.87,2.84
171.57,2.80
173.29,2.76
175.02,2.72
176.77,2.68
178.54,2.64
180.32,2.61
182.13,2.57
183.95,2.54
185.79,2.50
187.65,2.46
189.52,2.42
191.42,2.39
193.33,2.35
195.27,2.32
197.22,2.28
199.19,2.25
201.18,2.21
203.19,2.18
205.23,2.14
207.28,2.11
209.35,2.07
211.44,2.04
213.56,2.01
215.69,1.97
217.85,1.94
220.03,1.90
222.23,1.87
224.45,1.84
226.70,1.81
228.96,1.77
231.25,1.74
233.57,1.71
235.90,1.68
238.26,1.65
240.64,1.62
243.05,1.58
245.48,1.55
247.93,1.52
250.41,1.49
252.92,1.46
255.45,1.43
258.00,1.40
260.58,1.37
263.19,1.34
265.82,1.31
268.48,1.28
271.16,1.25
273.87,1.22
276.61,1.19
279.38,1.16
282.17,1.14
284.99,1.11
287.84,1.08
290.72,1.05
293.63,1.02
296.57,1.00
299.53,0.97
302.53,0.95
305.55,0.92
308.61,0.89
311.69,0.87
314.81,0.84
317.96,0.81
321.14,0.79
324.35,0.76
327.59,0.74
330.87,0.71
334.18,0.68
337.52,0.66
340.90,0.63
344.30,0.61
347.75,0.58
351.23,0.55
354.74,0.53
358.28,0.50
361.87,0.48
365.49,0.46
369.14,0.43
372.83,0.41
376.56,0.38
380.33,0.36
384.13,0.33
387.97,0.30
391.85,0.28
395.77,0.26
399.73,0.23
403.72,0.20
407.76,0.18
411.84,0.16
415.96,0.14
420.12,0.11
424.32,0.09
428.56,0.06
432.85,0.04
437.18,0.02
441.55,-0.00
445.96,-0.02
450.42,-0.04
454.93,-0.07
459.48,-0.08
464.07,-0.10
468.71,-0.12
473.40,-0.14
478.13,-0.16
482.91,-0.18
487.74,-0.20
492.62,-0.22
497.55,-0.24
502.52,-0.26
507.55,-0.28
512.62,-0.30
517.75,-0.32
522.93,-0.34
528.16,-0.36
533.44,-0.38
538.77,-0.41
544.16,-0.43
549.60,-0.45
555.10,-0.46
560.65,-0.49
566.25,-0.50
571.92,-0.52
577.64,-0.54
583.41,-0.56
589.25,-0.58
595.14,-0.60
601.09,-0.61
607.10,-0.63
613.17,-0.64
619.30,-0.66
625.50,-0.68
631.75,-0.69
638.07,-0.70
644.45,-0.72
650.89,-0.74
657.40,-0.75
663.98,-0.76
670.62,-0.78
677.32,-0.79
684.10,-0.80
690.94,-0.81
697.85,-0.82
704.83,-0.82
711.87,-0.83
718.99,-0.83
726.18,-0.84
733.44,-0.84
740.78,-0.84
748.19,-0.83
755.67,-0.83
763.23,-0.83
770.86,-0.82
778.57,-0.82
786.35,-0.81
794.22,-0.80
802.16,-0.79
810.18,-0.78
818.28,-0.77
826.46,-0.75
834.73,-0.74
843.08,-0.72
851.51,-0.70
860.02,-0.67
868.62,-0.65
877.31,-0.62
886.08,-0.59
894.94,-0.56
903.89,-0.52
912.93,-0.49
922.06,-0.45
931.28,-0.40
940.59,-0.36
950.00,-0.31
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.28
1049.39,0.36
1059.88,0.44
1070.48,0.53
1081.19,0.61
1092.00,0.70
1102.92,0.79
1113.95,0.87
1125.09,0.96
1136.34,1.05
1147.70,1.14
1159.18,1.23
1170.77,1.32
1182.48,1.41
1194.30,1.50
1206.25,1.58
1218.31,1.67
1230.49,1.75
1242.80,1.83
1255.22,1.91
1267.78,1.98
1280.45,2.06
1293.26,2.13
1306.19,2.20
1319.25,2.27
1332.45,2.34
1345.77,2.40
1359.23,2.47
1372.82,2.53
1386.55,2.59
1400.41,2.64
1414.42,2.70
1428.56,2.76
1442.85,2.82
1457.28,2.87
1471.85,2.92
1486.57,2.98
1501.43,3.03
1516.45,3.09
1531.61,3.14
1546.93,3.20
1562.40,3.25
1578.02,3.31
1593.80,3.36
1609.74,3.42
1625.84,3.48
1642.10,3.54
1658.52,3.60
1675.10,3.67
1691.85,3.73
1708.77,3.80
1725.86,3.86
1743.12,3.94
1760.55,4.01
1778.15,4.08
1795.94,4.16
1813.90,4.24
1832.03,4.32
1850.36,4.40
1868.86,4.49
1887.55,4.58
1906.42,4.67
1925.49,4.76
1944.74,4.86
1964.19,4.96
1983.83,5.06
2003.67,5.16
2023.71,5.27
2043.94,5.38
2064.38,5.49
2085.03,5.61
2105.88,5.73
2126.94,5.85
2148.20,5.97
2169.69,6.10
2191.38,6.22
2213.30,6.35
2235.43,6.48
2257.78,6.62
2280.36,6.75
2303.17,6.89
2326.20,7.02
2349.46,7.16
2372.95,7.29
2396.68,7.43
2420.65,7.56
2444.86,7.69
2469.31,7.81
2494.00,7.93
2518.94,8.05
2544.13,8.16
2569.57,8.26
2595.27,8.35
2621.22,8.44
2647.43,8.52
2673.90,8.58
2700.64,8.64
2727.65,8.69
2754.93,8.74
2782.48,8.77
2810.30,8.80
2838.40,8.83
2866.79,8.84
2895.46,8.86
2924.41,8.86
2953.65,8.86
2983.19,8.85
3013.02,8.83
3043.15,8.80
3073.58,8.76
3104.32,8.71
3135.36,8.65
3166.72,8.58
3198.38,8.50
3230.37,8.42
3262.67,8.33
3295.30,8.23
3328.25,8.12
3361.53,8.01
3395.15,7.90
3429.10,7.78
3463.39,7.66
3498.03,7.53
3533.01,7.39
3568.34,7.26
3604.02,7.12
3640.06,6.97
3676.46,6.83
3713.22,6.69
3750.36,6.55
3787.86,6.41
3825.74,6.27
3864.00,6.14
3902.64,6.02
3941.66,5.90
3981.08,5.79
4020.89,5.69
4061.10,5.59
4101.71,5.51
4142.73,5.43
4184.15,5.36
4226.00,5.30
4268.26,5.25
4310.94,5.20
4354.05,5.16
4397.59,5.12
4441.56,5.09
4485.98,5.06
4530.84,5.03
4576.15,5.01
4621.91,4.98
4668.13,4.96
4714.81,4.94
4761.96,4.91
4809.58,4.89
4857.67,4.86
4906.25,4.83
4955.31,4.80
5004.87,4.77
5054.91,4.72
5105.46,4.68
5156.52,4.63
5208.08,4.57
5260.16,4.52
5312.77,4.45
5365.89,4.38
5419.55,4.31
5473.75,4.23
5528.49,4.14
5583.77,4.04
5639.61,3.93
5696.00,3.82
5752.96,3.70
5810.49,3.59
5868.60,3.47
5927.28,3.35
5986.56,3.23
6046.42,3.12
6106.89,3.01
6167.96,2.92
6229.64,2.82
6291.93,2.74
6354.85,2.66
6418.40,2.59
6482.58,2.53
6547.41,2.47
6612.88,2.42
6679.01,2.38
6745.80,2.33
6813.26,2.27
6881.39,2.20
6950.21,2.11
7019.71,1.98
7089.91,1.81
7160.81,1.62
7232.41,1.36
7304.74,1.03
7377.79,0.60
7451.56,0.09
7526.08,-0.46
7601.34,-1.01
7677.35,-1.47
7754.13,-1.88
7831.67,-2.05
7909.98,-2.11
7989.08,-2.00
8068.98,-1.68
8149.67,-1.26
8231.16,-0.72
8313.47,-0.07
8396.61,0.63
8480.57,1.41
8565.38,2.23
8651.03,3.06
8737.54,3.88
8824.92,4.61
8913.17,5.15
9002.30,5.61
9092.32,5.71
9183.25,5.58
9275.08,5.31
9367.83,4.87
9461.51,4.36
9556.12,3.84
9651.68,3.34
9748.20,2.86
9845.68,2.46
9944.14,2.11
10043.58,1.83
10144.02,1.60
10245.46,1.46
10347.91,1.38
10451.39,1.35
10555.91,1.39
10661.46,1.49
10768.08,1.64
10875.76,1.87
10984.52,2.17
11094.36,2.51
11205.31,2.87
11317.36,3.21
11430.53,3.49
11544.84,3.63
11660.29,3.65
11776.89,3.57
11894.66,3.28
12013.60,2.96
12133.74,2.59
12255.08,2.21
12377.63,1.84
12501.41,1.50
12626.42,1.21
12752.68,0.94
12880.21,0.68
13009.01,0.43
13139.10,0.17
13270.49,-0.10
13403.20,-0.37
13537.23,-0.62
13672.60,-0.87
13809.33,-1.09
13947.42,-1.26
14086.90,-1.39
14227.77,-1.48
14370.04,-1.54
14513.74,-1.54
14658.88,-1.50
14805.47,-1.45
14953.52,-1.39
15103.06,-1.38
15254.09,-1.40
15406.63,-1.63
15560.70,-1.98
15716.30,-2.55
15873.47,-3.38
16032.20,-4.32
16192.52,-5.40
16354.45,-6.45
16517.99,-7.50
16683.17,-8.55
16850.01,-9.60
17018.51,-10.63
17188.69,-11.52
17360.58,-12.23
17534.18,-12.81
17709.53,-13.23
17886.62,-13.61
18065.49,-13.95
18246.14,-14.24
18428.60,-14.39
18612.89,-14.39
18799.02,-14.36
18987.01,-14.45
19176.88,-15.09
19368.65,-16.30
19562.33,-18.26
19757.96,-21.10
19955.54,-23.93
