frequency,raw
20.00,2.31
20.20,2.36
20.40,2.41
20.61,2.46
20.81,2.52
21.02,2.58
21.23,2.64
21.44,2.71
21.66,2.78
21.87,2.84
22.09,2.90
22.31,2.95
22.54,3.00
22.76,3.04
22.99,3.08
23.22,3.12
23.45,3.16
23.69,3.20
23.92,3.24
24.16,3.29
24.40,3.33
24.65,3.38
24.89,3.41
25.14,3.45
25.39,3.48
25.65,3.51
25.91,3.54
26.16,3.57
26.43,3.60
26.69,3.63
26.96,3.65
27.23,3.68
27.50,3.70
27.77,3.72
28.05,3.74
28.33,3.75
28.62,3.77
28.90,3.79
29.19,3.81
29.48,3.82
29.78,3.84
30.08,3.85
30.38,3.87
30.68,3.88
30.99,3.90
31.30,3.92
31.61,3.94
31.93,3.96
32.24,3.98
32.57,4.00
32.89,4.01
33.22,4.02
33.55,4.03
33.89,4.03
34.23,4.04
34.57,4.05
34.92,4.07
35.27,4.08
35.62,4.09
35.97,4.11
36.33,4.12
36.70,4.12
37.06,4.13
37.43,4.14
37.81,4.15
38.19,4.16
38.57,4.17
38.95,4.18
39.34,4.19
39.74,4.20
40.14,4.20
40.54,4.21
40.94,4.22
41.35,4.22
41.76,4.22
42.18,4.23
42.60,4.24
43.03,4.25
43.46,4.27
43.90,4.28
44.33,4.29
44.78,4.30
45.23,4.30
45.68,4.31
46.13,4.32
46.60,4.33
47.06,4.34
47.53,4.36
48.01,4.37
48.49,4.38
48.97,4.39
49.46,4.40
49.96,4.41
50.46,4.42
50.96,4.43
51.47,4.44
51.99,4.45
52.51,4.45
53.03,4.46
53.56,4.47
54.10,4.48
54.64,4.49
55.18,4.51
55.74,4.51
56.29,4.52
56.86,4.53
57.42,4.54
58.00,4.55
58.58,4.56
59.16,4.57
59.76,4.58
60.35,4.59
60.96,4.60
61.57,4.60
62.18,4.61
62.80,4.61
63.43,4.62
64.07,4.63
64.71,4.63
65.35,4.64
66.01,4.64
66.67,4.65
67.33,4.65
68.01,4.65
68.69,4.65
69.37,4.64
70.07,4.64
70.77,4.63
71.48,4.62
72.19,4.61
72.91,4.60
73.64,4.58
74.38,4.56
75.12,4.54
75.87,4.52
76.63,4.49
77.40,4.46
78.17,4.42
78.95,4.38
79.74,4.33
80.54,4.28
81.35,4.23
82.16,4.17
82.98,4.10
83.81,4.03
84.65,3.96
85.50,3.88
86.35,3.79
87.22,3.69
88.09,3.59
88.97,3.48
89.86,3.37
90.76,3.26
91.66,3.14
92.58,3.01
93.51,2.88
94.44,2.75
95.39,2.61
96.34,2.47
97.30,2.32
98.28,2.17
99.26,2.02
100.25,1.88
101.25,1.73
102.27,1.58
103.29,1.44
104.32,1.29
105.37,1.15
106.42,1.01
107.48,0.87
