frequency,raw
20.00,9.18
20.20,9.18
20.40,9.19
20.61,9.20
20.81,9.20
21.02,9.21
21.23,9.21
21.44,9.22
21.66,9.22
21.87,9.23
22.09,9.23
22.31,9.23
22.54,9.23
22.76,9.23
22.99,9.24
23.22,9.24
23.45,9.24
23.69,9.24
23.92,9.24
24.16,9.24
24.40,9.24
24.65,9.24
24.89,9.23
25.14,9.23
25.39,9.22
25.65,9.22
25.91,9.21
26.16,9.21
26.43,9.20
26.69,9.20
26.96,9.19
27.23,9.18
27.50,9.17
27.77,9.16
28.05,9.15
28.33,9.15
28.62,9.14
28.90,9.13
29.19,9.12
29.48,9.11
29.78,9.10
30.08,9.08
30.38,9.07
30.68,9.05
30.99,9.04
31.30,9.03
31.61,9.02
31.93,9.01
32.24,8.99
32.57,8.98
32.89,8.96
33.22,8.95
33.55,8.93
33.89,8.91
34.23,8.89
34.57,8.87
34.92,8.85
35.27,8.84
35.62,8.82
35.97,8.80
36.33,8.78
36.70,8.76
37.06,8.73
37.43,8.70
37.81,8.68
38.19,8.66
38.57,8.64
38.95,8.62
39.34,8.59
39.74,8.57
40.14,8.54
40.54,8.52
40.94,8.50
41.35,8.47
41.76,8.45
42.18,8.42
42.60,8.39
43.03,8.36
43.46,8.33
43.90,8.30
44.33,8.27
44.78,8.24
45.23,8.21
45.68,8.18
46.13,8.15
46.60,8.11
47.06,8.08
47.53,8.05
48.01,8.02
48.49,7.99
48.97,7.95
49.46,7.91
49.96,7.87
50.46,7.84
50.96,7.81
51.47,7.77
51.99,7.73
52.51,7.69
53.03,7.65
53.56,7.62
54.10,7.58
54.64,7.54
55.18,7.50
55.74,7.46
56.29,7.42
56.86,7.38
57.42,7.34
58.00,7.30
58.58,7.26
59.16,7.21
59.76,7.17
60.35,7.13
60.96,7.08
61.57,7.04
62.18,7.00
62.80,6.95
63.43,6.90
64.07,6.86
64.71,6.81
65.35,6.77
66.01,6.72
66.67,6.67
67.33,6.62
68.01,6.58
68.69,6.53
69.37,6.48
70.07,6.43
70.77,6.38
71.48,6.33
72.19,6.28
72.91,6.23
73.64,6.18
74.38,6.13
75.12,6.08
75.87,6.03
76.63,5.98
77.40,5.93
78.17,5.87
78.95,5.82
79.74,5.77
80.54,5.72
81.35,5.66
82.16,5.61
82.98,5.55
83.81,5.50
84.65,5.45
85.50,5.39
86.35,5.34
87.22,5.28
88.09,5.23
88.97,5.17
89.86,5.12
90.76,5.06
91.66,5.01
92.58,4.95
93.51,4.90
94.44,4.84
95.39,4.78
96.34,4.73
97.30,4.67
98.28,4.61
99.26,4.56
100.25,4.50
101.25,4.44
102.27,4.39
103.29,4.33
104.32,4.27
105.37,4.21
106.42,4.16
107.48,4.10
108.56,4.05
109.64,3.99
110.74,3.93
111.85,3.88
112.97,3.82
114.10,3.76
115.24,3.70
116.39,3.65
117.55,3.59
118.73,3.53
119.92,3.48
121.12,3.42
122.33,3.36
123.55,3.31
124.79,3.25
126.03,3.19
127.29,3.14
128.57,3.08
129.85,3.03
131.15,2.97
132.46,2.92
133.79,2.87
135.12,2.81
136.48,2.75
137.84,2.70
139.22,2.65
140.61,2.59
142.02,2.54
143.44,2.49
144.87,2.44
146.32,2.39
147.78,2.33
149.26,2.28
150.75,2.23
152.26,2.18
153.78,2.13
155.32,2.08
156.88,2.04
158.44,1.99
160.03,1.94
161.63,1.89
163.24,1.85
164.88,1.80
166.53,1.75
168.19,1.71
169.87,1.67
171.57,1.62
173.29,1.58
175.02,1.54
176.77,1.49
178.54,1.45
180.32,1.42
182.13,1.37
183.95,1.33
185.79,1.29
187.65,1.25
189.52,1.22
191.42,1.18
193.33,1.14
195.27,1.11
197.22,1.08
199.19,1.04
201.18,1.01
203.19,0.98
205.23,0.95
207.28,0.92
209.35,0.89
211.44,0.86
213.56,0.84
215.69,0.81
217.85,0.78
220.03,0.76
222.23,0.74
224.45,0.71
226.70,0.69
228.96,0.67
231.25,0.65
233.57,0.63
235.90,0.61
238.26,0.59
240.64,0.57
243.05,0.56
245.48,0.54
247.93,0.52
250.41,0.51
252.92,0.50
255.45,0.49
258.00,0.47
260.58,0.47
263.19,0.46
265.82,0.45
268.48,0.44
271.16,0.43
273.87,0.43
276.61,0.42
279.38,0.42
282.17,0.41
284.99,0.41
287.84,0.41
290.72,0.41
293.63,0.40
296.57,0.40
299.53,0.40
302.53,0.40
305.55,0.41
308.61,0.41
311.69,0.41
314.81,0.41
317.96,0.42
321.14,0.42
324.35,0.43
327.59,0.43
330.87,0.44
334.18,0.44
337.52,0.45
340.90,0.46
344.30,0.46
347.75,0.47
351.23,0.48
354.74,0.48
358.28,0.49
361.87,0.50
365.49,0.51
369.14,0.52
372.83,0.52
376.56,0.53
380.33,0.54
384.13,0.55
387.97,0.55
391.85,0.56
395.77,0.57
399.73,0.58
403.72,0.59
407.76,0.59
411.84,0.60
415.96,0.61
420.12,0.61
424.32,0.62
428.56,0.62
432.85,0.63
437.18,0.63
441.55,0.64
445.96,0.64
450.42,0.65
454.93,0.65
459.48,0.65
464.07,0.65
468.71,0.65
473.40,0.65
478.13,0.65
482.91,0.65
487.74,0.66
492.62,0.65
497.55,0.65
502.52,0.65
507.55,0.65
512.62,0.65
517.75,0.64
522.93,0.64
528.16,0.63
533.44,0.63
538.77,0.62
544.16,0.61
549.60,0.60
555.10,0.59
560.65,0.58
566.25,0.57
571.92,0.56
577.64,0.55
583.41,0.54
589.25,0.52
595.14,0.51
601.09,0.50
607.10,0.49
613.17,0.48
619.30,0.46
625.50,0.45
631.75,0.43
638.07,0.41
644.45,0.40
650.89,0.38
657.40,0.35
663.98,0.33
670.62,0.31
677.32,0.29
684.10,0.27
690.94,0.24
697.85,0.22
704.83,0.20
711.87,0.18
718.99,0.15
726.18,0.13
733.44,0.11
740.78,0.08
748.19,0.06
755.67,0.04
763.23,0.02
770.86,0.00
778.57,-0.02
786.35,-0.04
794.22,-0.06
802.16,-0.07
810.18,-0.09
818.28,-0.11
826.46,-0.12
834.73,-0.13
843.08,-0.15
851.51,-0.15
860.02,-0.16
868.62,-0.17
877.31,-0.17
886.08,-0.18
894.94,-0.18
903.89,-0.17
912.93,-0.17
922.06,-0.16
931.28,-0.15
940.59,-0.14
950.00,-0.12
959.50,-0.10
969.09,-0.08
978.78,-0.06
988.57,-0.04
998.46,-0.01
1008.44,0.03
1018.53,0.06
1028.71,0.10
1039.00,0.13
1049.39,0.17
1059.88,0.22
1070.48,0.26
1081.19,0.31
1092.00,0.35
1102.92,0.40
1113.95,0.45
1125.09,0.50
1136.34,0.55
1147.70,0.60
1159.18,0.65
1170.77,0.70
1182.48,0.75
1194.30,0.79
1206.25,0.84
1218.31,0.89
1230.49,0.93
1242.80,0.98
1255.22,1.02
1267.78,1.06
1280.45,1.10
1293.26,1.13
1306.19,1.17
1319.25,1.20
1332.45,1.24
1345.77,1.27
1359.23,1.30
1372.82,1.33
1386.55,1.36
1400.41,1.39
1414.42,1.42
1428.56,1.45
1442.85,1.49
1457.28,1.52
1471.85,1.55
1486.57,1.58
1501.43,1.62
1516.45,1.65
1531.61,1.69
1546.93,1.73
1562.40,1.77
1578.02,1.81
1593.80,1.85
1609.74,1.89
1625.84,1.94
1642.10,1.99
1658.52,2.03
1675.10,2.08
1691.85,2.13
1708.77,2.18
1725.86,2.23
1743.12,2.28
1760.55,2.34
1778.15,2.39
1795.94,2.45
1813.90,2.50
1832.03,2.56
1850.36,2.63
1868.86,2.69
1887.55,2.76
1906.42,2.83
1925.49,2.90
1944.74,2.97
1964.19,3.04
1983.83,3.12
2003.67,3.19
2023.71,3.26
