frequency,raw
20.00,7.38
20.20,7.38
20.40,7.38
20.61,7.37
20.81,7.37
21.02,7.36
21.23,7.36
21.44,7.36
21.66,7.35
21.87,7.34
22.09,7.33
22.31,7.31
22.54,7.30
22.76,7.28
22.99,7.26
23.22,7.25
23.45,7.24
23.69,7.22
23.92,7.21
24.16,7.20
24.40,7.19
24.65,7.17
24.89,7.16
25.14,7.14
25.39,7.12
25.65,7.11
25.91,7.09
26.16,7.07
26.43,7.06
26.69,7.05
26.96,7.03
27.23,7.02
27.50,7.00
27.77,6.98
28.05,6.96
28.33,6.93
28.62,6.91
28.90,6.89
29.19,6.87
29.48,6.85
29.78,6.82
30.08,6.80
30.38,6.78
30.68,6.75
30.99,6.73
31.30,6.71
31.61,6.68
31.93,6.66
32.24,6.64
32.57,6.61
32.89,6.59
33.22,6.56
33.55,6.53
33.89,6.50
34.23,6.48
34.57,6.45
34.92,6.42
35.27,6.40
35.62,6.37
35.97,6.34
36.33,6.31
36.70,6.28
37.06,6.25
37.43,6.21
37.81,6.18
38.19,6.15
38.57,6.12
38.95,6.08
39.34,6.04
39.74,6.01
40.14,5.97
40.54,5.94
40.94,5.92
41.35,5.89
41.76,5.85
42.18,5.81
42.60,5.78
43.03,5.74
43.46,5.72
43.90,5.69
44.33,5.65
44.78,5.61
45.23,5.56
45.68,5.52
46.13,5.49
46.60,5.46
47.06,5.42
47.53,5.37
48.01,5.33
48.49,5.29
48.97,5.25
49.46,5.21
49.96,5.17
50.46,5.11
50.96,5.06
51.47,5.02
51.99,4.99
52.51,4.95
53.03,4.91
53.56,4.86
54.10,4.81
54.64,4.78
55.18,4.74
55.74,4.70
56.29,4.66
56.86,4.62
57.42,4.57
58.00,4.51
58.58,4.47
59.16,4.43
59.76,4.38
60.35,4.34
60.96,4.29
61.57,4.25
62.18,4.20
62.80,4.15
63.43,4.10
64.07,4.06
64.71,4.01
65.35,3.97
66.01,3.92
66.67,3.87
67.33,3.82
68.01,3.78
68.69,3.73
69.37,3.68
70.07,3.63
70.77,3.58
71.48,3.53
72.19,3.48
72.91,3.43
73.64,3.39
74.38,3.34
75.12,3.28
75.87,3.24
76.63,3.19
77.40,3.15
78.17,3.09
78.95,3.04
79.74,2.99
80.54,2.95
81.35,2.90
82.16,2.85
82.98,2.80
83.81,2.75
84.65,2.70
85.50,2.65
86.35,2.60
87.22,2.55
88.09,2.50
88.97,2.45
89.86,2.40
90.76,2.35
91.66,2.30
92.58,2.26
93.51,2.21
94.44,2.16
95.39,2.11
96.34,2.06
97.30,2.01
98.28,1.96
99.26,1.91
100.25,1.87
101.25,1.82
102.27,1.77
103.29,1.72
104.32,1.68
105.37,1.63
106.42,1.58
107.48,1.54
108.56,1.49
109.64,1.44
110.74,1.39
111.85,1.35
112.97,1.30
114.10,1.26
115.24,1.21
116.39,1.17
117.55,1.13
118.73,1.08
119.92,1.05
121.12,1.00
122.33,0.95
123.55,0.90
124.79,0.86
126.03,0.82
127.29,0.77
128.57,0.73
129.85,0.69
