frequency,raw
20.00,7.87
20.20,7.86
20.40,7.86
20.61,7.85
20.81,7.84
21.02,7.83
21.23,7.82
21.44,7.81
21.66,7.80
21.87,7.78
22.09,7.76
22.31,7.75
22.54,7.73
22.76,7.72
22.99,7.71
23.22,7.70
23.45,7.69
23.69,7.68
23.92,7.67
24.16,7.66
24.40,7.64
24.65,7.61
24.89,7.59
25.14,7.56
25.39,7.54
25.65,7.53
25.91,7.52
26.16,7.51
26.43,7.50
26.69,7.49
26.96,7.47
27.23,7.44
27.50,7.40
27.77,7.37
28.05,7.34
28.33,7.31
28.62,7.29
28.90,7.28
29.19,7.26
29.48,7.24
29.78,7.21
30.08,7.19
30.38,7.15
30.68,7.12
30.99,7.09
31.30,7.06
31.61,7.04
31.93,7.02
32.24,6.99
32.57,6.97
32.89,6.94
33.22,6.91
33.55,6.88
33.89,6.85
34.23,6.82
34.57,6.79
34.92,6.76
35.27,6.72
35.62,6.69
35.97,6.65
36.33,6.62
36.70,6.59
37.06,6.55
37.43,6.52
37.81,6.48
38.19,6.45
38.57,6.41
38.95,6.37
39.34,6.34
39.74,6.30
40.14,6.27
40.54,6.23
40.94,6.19
41.35,6.15
41.76,6.11
42.18,6.08
42.60,6.04
43.03,6.01
43.46,5.96
43.90,5.91
44.33,5.87
44.78,5.83
45.23,5.80
45.68,5.77
46.13,5.72
46.60,5.66
47.06,5.61
47.53,5.57
48.01,5.54
48.49,5.50
48.97,5.45
49.46,5.40
49.96,5.35
50.46,5.33
50.96,5.29
51.47,5.25
51.99,5.18
52.51,5.13
53.03,5.09
53.56,5.06
54.10,5.02
54.64,4.97
55.18,4.91
55.74,4.86
56.29,4.81
56.86,4.76
57.42,4.71
58.00,4.66
58.58,4.61
59.16,4.56
59.76,4.51
60.35,4.46
60.96,4.41
61.57,4.36
62.18,4.32
62.80,4.26
63.43,4.22
64.07,4.17
64.71,4.12
65.35,4.07
66.01,4.01
66.67,3.96
67.33,3.91
68.01,3.86
68.69,3.81
69.37,3.75
70.07,3.70
70.77,3.65
71.48,3.60
72.19,3.55
72.91,3.50
73.64,3.45
74.38,3.39
75.12,3.34
75.87,3.29
76.63,3.24
77.40,3.18
78.17,3.13
78.95,3.08
79.74,3.03
80.54,2.97
81.35,2.92
82.16,2.87
82.98,2.81
83.81,2.77
84.65,2.71
85.50,2.66
86.35,2.61
87.22,2.55
88.09,2.50
88.97,2.45
89.86,2.40
90.76,2.35
91.66,2.30
92.58,2.24
93.51,2.19
94.44,2.14
95.39,2.09
96.34,2.04
97.30,1.99
98.28,1.93
99.26,1.88
100.25,1.83
101.25,1.78
102.27,1.73
103.29,1.68
104.32,1.63
105.37,1.58
106.42,1.53
107.48,1.48
108.56,1.44
109.64,1.39
110.74,1.34
111.85,1.29
112.97,1.24
114.10,1.19
115.24,1.14
116.39,1.09
117.55,1.05
118.73,1.00
119.92,0.96
121.12,0.91
122.33,0.86
123.55,0.81
124.79,0.77
126.03,0.72
127.29,0.68
128.57,0.63
129.85,0.59
131.15,0.54
132.46,0.50
133.79,0.46
135.12,0.42
136.48,0.37
137.84,0.33
139.22,0.29
140.61,0.25
142.02,0.21
143.44,0.17
144.87,0.12
146.32,0.09
147.78,0.05
149.26,0.01
150.75,-0.03
152.26,-0.07
153.78,-0.10
155.32,-0.14
156.88,-0.18
158.44,-0.21
160.03,-0.25
161.63,-0.28
163.24,-0.32
164.88,-0.35
166.53,-0.38
168.19,-0.40
169.87,-0.43
171.57,-0.45
173.29,-0.48
175.02,-0.50
176.77,-0.52
178.54,-0.53
180.32,-0.55
182.13,-0.58
183.95,-0.60
185.79,-0.62
187.65,-0.65
189.52,-0.67
191.42,-0.69
193.33,-0.71
195.27,-0.73
197.22,-0.75
199.19,-0.77
201.18,-0.79
203.19,-0.81
205.23,-0.82
207.28,-0.84
209.35,-0.86
211.44,-0.88
213.56,-0.90
215.69,-0.91
217.85,-0.92
220.03,-0.94
222.23,-0.95
224.45,-0.97
226.70,-0.97
228.96,-0.98
231.25,-0.99
233.57,-1.00
235.90,-1.01
238.26,-1.00
240.64,-0.99
243.05,-1.01
245.48,-1.01
247.93,-1.02
250.41,-1.02
252.92,-1.02
255.45,-1.02
258.00,-1.02
260.58,-1.02
263.19,-1.02
265.82,-1.02
268.48,-1.02
271.16,-1.02
273.87,-1.01
276.61,-1.01
279.38,-1.00
282.17,-0.98
284.99,-0.96
287.84,-0.94
290.72,-0.92
293.63,-0.90
296.57,-0.88
299.53,-0.86
302.53,-0.85
305.55,-0.84
308.61,-0.82
311.69,-0.81
314.81,-0.80
317.96,-0.79
321.14,-0.78
324.35,-0.76
327.59,-0.75
330.87,-0.73
334.18,-0.71
337.52,-0.70
340.90,-0.68
344.30,-0.67
347.75,-0.65
351.23,-0.64
354.74,-0.62
358.28,-0.60
361.87,-0.58
365.49,-0.56
369.14,-0.54
372.83,-0.52
376.56,-0.50
380.33,-0.47
384.13,-0.45
387.97,-0.43
391.85,-0.41
395.77,-0.38
399.73,-0.36
403.72,-0.34
407.76,-0.31
411.84,-0.29
415.96,-0.26
420.12,-0.24
424.32,-0.21
428.56,-0.19
432.85,-0.16
437.18,-0.14
441.55,-0.11
445.96,-0.09
450.42,-0.06
454.93,-0.04
459.48,-0.02
464.07,0.01
468.71,0.03
473.40,0.05
478.13,0.07
482.91,0.09
487.74,0.12
492.62,0.14
497.55,0.16
502.52,0.17
507.55,0.19
512.62,0.21
517.75,0.23
522.93,0.25
528.16,0.26
533.44,0.28
538.77,0.29
544.16,0.31
549.60,0.32
555.10,0.34
560.65,0.35
566.25,0.36
571.92,0.37
577.64,0.37
583.41,0.38
589.25,0.39
595.14,0.39
601.09,0.40
607.10,0.40
613.17,0.40
619.30,0.41
625.50,0.41
631.75,0.41
638.07,0.40
644.45,0.40
650.89,0.39
657.40,0.39
663.98,0.38
670.62,0.38
677.32,0.37
684.10,0.36
690.94,0.35
697.85,0.33
704.83,0.32
711.87,0.31
718.99,0.29
726.18,0.27
733.44,0.26
740.78,0.24
748.19,0.23
755.67,0.23
763.23,0.22
770.86,0.21
778.57,0.19
786.35,0.17
794.22,0.16
802.16,0.14
810.18,0.13
818.28,0.11
826.46,0.10
834.73,0.08
843.08,0.07
851.51,0.05
860.02,0.04
868.62,0.03
877.31,0.02
886.08,0.00
894.94,-0.00
903.89,-0.01
912.93,-0.02
922.06,-0.03
931.28,-0.03
940.59,-0.03
950.00,-0.03
959.50,-0.03
969.09,-0.02
978.78,-0.02
988.57,-0.01
998.46,-0.00
1008.44,0.01
1018.53,0.02
1028.71,0.03
1039.00,0.05
1049.39,0.06
1059.88,0.07
1070.48,0.09
1081.19,0.11
1092.00,0.12
1102.92,0.14
1113.95,0.15
1125.09,0.17
1136.34,0.18
1147.70,0.20
1159.18,0.21
1170.77,0.23
1182.48,0.25
1194.30,0.26
1206.25,0.28
1218.31,0.29
1230.49,0.31
1242.80,0.32
1255.22,0.34
1267.78,0.35
1280.45,0.36
1293.26,0.37
1306.19,0.38
1319.25,0.40
1332.45,0.41
1345.77,0.41
1359.23,0.42
1372.82,0.42
1386.55,0.43
1400.41,0.43
1414.42,0.43
1428.56,0.44
1442.85,0.44
1457.28,0.44
1471.85,0.44
1486.57,0.44
1501.43,0.44
1516.45,0.45
1531.61,0.45
1546.93,0.45
1562.40,0.45
1578.02,0.45
1593.80,0.46
1609.74,0.47
1625.84,0.48
1642.10,0.49
1658.52,0.50
1675.10,0.51
1691.85,0.53
1708.77,0.55
1725.86,0.57
1743.12,0.59
1760.55,0.61
1778.15,0.64
1795.94,0.67
1813.90,0.71
1832.03,0.74
1850.36,0.78
1868.86,0.83
1887.55,0.87
1906.42,0.92
1925.49,0.98
1944.74,1.03
1964.19,1.10
1983.83,1.16
2003.67,1.22
2023.71,1.30
2043.94,1.38
2064.38,1.45
2085.03,1.54
2105.88,1.63
2126.94,1.72
2148.20,1.82
2169.69,1.92
2191.38,2.03
2213.30,2.13
2235.43,2.24
2257.78,2.36
2280.36,2.48
2303.17,2.61
2326.20,2.73
2349.46,2.86
2372.95,2.99
2396.68,3.12
2420.65,3.26
2444.86,3.40
2469.31,3.53
2494.00,3.67
2518.94,3.81
2544.13,3.95
2569.57,4.09
2595.27,4.22
2621.22,4.35
2647.43,4.48
2673.90,4.61
2700.64,4.72
2727.65,4.83
2754.93,4.93
2782.48,5.02
2810.30,5.09
2838.40,5.16
2866.79,5.21
2895.46,5.26
2924.41,5.29
2953.65,5.31
2983.19,5.32
3013.02,5.32
3043.15,5.31
3073.58,5.28
3104.32,5.25
3135.36,5.22
3166.72,5.18
3198.38,5.13
3230.37,5.09
3262.67,5.04
3295.30,5.00
3328.25,4.96
3361.53,4.92
3395.15,4.88
3429.10,4.85
3463.39,4.83
3498.03,4.82
3533.01,4.81
3568.34,4.81
3604.02,4.83
3640.06,4.85
3676.46,4.88
3713.22,4.91
3750.36,4.95
3787.86,4.99
3825.74,5.03
3864.00,5.08
3902.64,5.11
3941.66,5.15
3981.08,5.17
4020.89,5.17
4061.10,5.17
4101.71,5.14
4142.73,5.10
4184.15,5.04
4226.00,4.95
4268.26,4.86
4310.94,4.76
4354.05,4.64
4397.59,4.52
4441.56,4.40
4485.98,4.30
4530.84,4.20
4576.15,4.12
4621.91,4.05
4668.13,4.00
4714.81,3.94
4761.96,3.90
4809.58,3.86
4857.67,3.83
4906.25,3.82
4955.31,3.81
5004.87,3.81
5054.91,3.83
5105.46,3.86
5156.52,3.89
5208.08,3.94
5260.16,3.99
5312.77,4.06
5365.89,4.13
5419.55,4.20
5473.75,4.27
5528.49,4.35
5583.77,4.42
5639.61,4.49
5696.00,4.56
5752.96,4.60
5810.49,4.63
5868.60,4.63
5927.28,4.60
5986.56,4.54
6046.42,4.43
6106.89,4.28
6167.96,4.07
6229.64,3.83
6291.93,3.54
6354.85,3.22
6418.40,2.89
6482.58,2.54
6547.41,2.20
6612.88,1.85
6679.01,1.51
6745.80,1.18
6813.26,0.87
6881.39,0.56
6950.21,0.04
7019.71,-0.51
7089.91,-0.98
7160.81,-0.73
7232.41,-0.49
7304.74,-0.41
7377.79,-0.35
7451.56,-0.28
7526.08,-0.20
7601.34,-0.12
7677.35,-0.06
7754.13,0.00
7831.67,0.03
7909.98,0.04
7989.08,0.03
8068.98,-0.12
8149.67,-0.68
8231.16,-1.93
8313.47,-1.59
8396.61,-0.99
8480.57,-1.25
8565.38,-1.71
8651.03,-2.24
8737.54,-2.78
8824.92,-3.28
8913.17,-3.73
9002.30,-4.16
9092.32,-4.51
9183.25,-4.84
9275.08,-5.13
9367.83,-5.35
9461.51,-5.52
9556.12,-5.64
9651.68,-5.71
9748.20,-5.76
9845.68,-5.74
9944.14,-5.68
10043.58,-5.59
10144.02,-5.49
10245.46,-5.36
10347.91,-5.23
10451.39,-5.08
10555.91,-4.94
10661.46,-4.81
10768.08,-4.70
10875.76,-4.61
10984.52,-4.55
11094.36,-4.52
11205.31,-4.52
11317.36,-4.58
11430.53,-4.69
11544.84,-4.89
11660.29,-5.14
11776.89,-5.44
11894.66,-5.85
12013.60,-6.27
12133.74,-6.71
12255.08,-7.15
12377.63,-7.57
12501.41,-7.93
12626.42,-8.15
12752.68,-8.28
12880.21,-8.24
13009.01,-8.10
13139.10,-7.97
13270.49,-7.60
13403.20,-7.16
13537.23,-6.51
13672.60,-5.76
13809.33,-4.92
13947.42,-3.89
14086.90,-2.71
14227.77,-1.45
14370.04,-0.11
14513.74,1.31
14658.88,2.63
14805.47,3.74
14953.52,4.53
15103.06,4.92
15254.09,5.12
15406.63,5.01
15560.70,4.79
15716.30,4.43
15873.47,3.84
16032.20,3.15
16192.52,2.32
16354.45,1.47
16517.99,0.60
16683.17,-0.35
16850.01,-1.36
17018.51,-2.42
17188.69,-3.54
17360.58,-4.66
17534.18,-5.74
17709.53,-6.73
17886.62,-7.56
18065.49,-8.36
18246.14,-9.18
18428.60,-10.35
18612.89,-11.96
18799.02,-13.96
18987.01,-16.28
19176.88,-18.81
19368.65,-21.54
19562.33,-24.54
19757.96,-27.84
19955.54,-31.14
