frequency,raw
20.00,4.54
20.20,4.57
20.40,4.60
20.61,4.63
20.81,4.67
21.02,4.71
21.23,4.76
21.44,4.80
21.66,4.84
21.87,4.87
22.09,4.90
22.31,4.92
22.54,4.93
22.76,4.94
22.99,4.96
23.22,4.97
23.45,4.99
23.69,5.01
23.92,5.04
24.16,5.07
24.40,5.10
24.65,5.13
24.89,5.16
25.14,5.18
25.39,5.19
25.65,5.21
25.91,5.22
26.16,5.23
26.43,5.25
26.69,5.27
26.96,5.29
27.23,5.32
27.50,5.35
27.77,5.37
28.05,5.39
28.33,5.41
28.62,5.42
28.90,5.44
29.19,5.45
29.48,5.47
29.78,5.48
30.08,5.50
30.38,5.52
30.68,5.53
30.99,5.54
31.30,5.56
31.61,5.57
31.93,5.59
32.24,5.61
32.57,5.63
32.89,5.65
33.22,5.66
33.55,5.67
33.89,5.68
34.23,5.68
34.57,5.69
34.92,5.70
35.27,5.71
35.62,5.73
35.97,5.74
36.33,5.75
36.70,5.76
37.06,5.77
37.43,5.78
37.81,5.79
38.19,5.80
38.57,5.81
38.95,5.82
39.34,5.83
39.74,5.84
40.14,5.85
40.54,5.86
40.94,5.86
41.35,5.86
41.76,5.86
42.18,5.88
42.60,5.89
43.03,5.89
43.46,5.89
43.90,5.89
44.33,5.89
44.78,5.90
45.23,5.90
45.68,5.91
46.13,5.92
46.60,5.93
47.06,5.94
47.53,5.95
48.01,5.95
48.49,5.94
48.97,5.94
49.46,5.94
49.96,5.95
50.46,5.96
50.96,5.96
51.47,5.95
51.99,5.95
52.51,5.96
53.03,5.96
53.56,5.95
54.10,5.95
54.64,5.95
55.18,5.96
55.74,5.96
56.29,5.95
56.86,5.95
57.42,5.95
58.00,5.94
58.58,5.95
59.16,5.95
59.76,5.95
60.35,5.93
60.96,5.92
61.57,5.92
62.18,5.93
62.80,5.92
63.43,5.92
64.07,5.92
64.71,5.91
65.35,5.90
66.01,5.90
66.67,5.89
67.33,5.89
68.01,5.88
68.69,5.87
69.37,5.87
70.07,5.86
70.77,5.85
71.48,5.84
72.19,5.84
72.91,5.83
73.64,5.81
74.38,5.80
75.12,5.80
75.87,5.79
76.63,5.78
77.40,5.79
78.17,5.77
78.95,5.75
79.74,5.74
80.54,5.73
81.35,5.72
82.16,5.71
82.98,5.70
83.81,5.68
84.65,5.67
85.50,5.66
86.35,5.64
87.22,5.63
88.09,5.62
88.97,5.60
89.86,5.59
90.76,5.57
91.66,5.56
92.58,5.54
93.51,5.53
94.44,5.51
95.39,5.49
96.34,5.48
97.30,5.46
98.28,5.44
99.26,5.43
100.25,5.41
101.25,5.39
102.27,5.37
103.29,5.35
104.32,5.33
105.37,5.31
106.42,5.29
107.48,5.27
108.56,5.25
109.64,5.23
110.74,5.21
111.85,5.18
112.97,5.16
114.10,5.14
115.24,5.12
116.39,5.09
117.55,5.07
118.73,5.05
119.92,5.01
121.12,4.99
122.33,4.97
123.55,4.95
124.79,4.92
126.03,4.90
127.29,4.87
128.57,4.84
129.85,4.82
131.15,4.79
132.46,4.76
133.79,4.73
135.12,4.70
136.48,4.68
137.84,4.65
139.22,4.61
140.61,4.58
142.02,4.55
143.44,4.52
144.87,4.49
146.32,4.45
147.78,4.42
149.26,4.39
150.75,4.35
152.26,4.31
153.78,4.27
155.32,4.24
156.88,4.21
158.44,4.17
160.03,4.14
161.63,4.10
163.24,4.07
164.88,4.04
166.53,4.01
168.19,3.99
169.87,3.97
171.57,3.94
173.29,3.91
175.02,3.89
176.77,3.86
178.54,3.83
180.32,3.80
182.13,3.77
183.95,3.74
185.79,3.71
187.65,3.68
189.52,3.64
191.42,3.61
193.33,3.57
195.27,3.53
197.22,3.50
199.19,3.46
201.18,3.42
203.19,3.38
205.23,3.34
207.28,3.30
209.35,3.27
211.44,3.22
213.56,3.18
215.69,3.14
217.85,3.10
220.03,3.06
222.23,3.01
224.45,2.97
226.70,2.93
228.96,2.89
231.25,2.85
233.57,2.80
235.90,2.76
238.26,2.72
240.64,2.68
243.05,2.63
245.48,2.58
247.93,2.54
250.41,2.49
252.92,2.45
255.45,2.41
258.00,2.37
260.58,2.33
263.19,2.30
265.82,2.27
268.48,2.24
271.16,2.21
273.87,2.18
276.61,2.15
279.38,2.12
282.17,2.08
284.99,2.04
287.84,2.01
290.72,1.97
293.63,1.93
296.57,1.88
299.53,1.83
302.53,1.80
305.55,1.77
308.61,1.72
311.69,1.68
314.81,1.64
317.96,1.60
321.14,1.56
324.35,1.51
327.59,1.47
330.87,1.43
334.18,1.39
337.52,1.35
340.90,1.31
344.30,1.27
347.75,1.23
351.23,1.18
354.74,1.15
358.28,1.10
361.87,1.06
365.49,1.02
369.14,0.98
372.83,0.94
376.56,0.91
380.33,0.87
384.13,0.83
387.97,0.79
391.85,0.75
395.77,0.71
399.73,0.67
403.72,0.63
407.76,0.60
411.84,0.56
415.96,0.52
420.12,0.48
424.32,0.44
428.56,0.41
432.85,0.37
437.18,0.34
441.55,0.30
445.96,0.26
450.42,0.23
454.93,0.20
459.48,0.16
464.07,0.12
468.71,0.09
473.40,0.05
478.13,0.02
482.91,-0.01
487.74,-0.05
492.62,-0.08
497.55,-0.10
502.52,-0.13
507.55,-0.17
512.62,-0.21
517.75,-0.24
522.93,-0.27
528.16,-0.30
533.44,-0.33
538.77,-0.35
544.16,-0.38
549.60,-0.41
555.10,-0.44
560.65,-0.47
566.25,-0.49
571.92,-0.52
577.64,-0.55
583.41,-0.57
589.25,-0.60
595.14,-0.62
601.09,-0.64
607.10,-0.67
613.17,-0.69
619.30,-0.72
625.50,-0.74
631.75,-0.76
638.07,-0.79
644.45,-0.81
650.89,-0.83
657.40,-0.85
663.98,-0.87
670.62,-0.89
677.32,-0.91
684.10,-0.93
690.94,-0.95
697.85,-0.96
704.83,-0.98
711.87,-0.99
718.99,-1.00
726.18,-1.02
733.44,-1.03
740.78,-1.03
748.19,-1.03
755.67,-1.03
763.23,-1.03
770.86,-1.02
778.57,-1.01
786.35,-0.99
794.22,-0.97
802.16,-0.94
810.18,-0.92
818.28,-0.89
826.46,-0.86
834.73,-0.83
843.08,-0.80
851.51,-0.77
860.02,-0.73
868.62,-0.70
877.31,-0.67
886.08,-0.63
894.94,-0.58
903.89,-0.54
912.93,-0.51
922.06,-0.46
931.28,-0.41
940.59,-0.36
950.00,-0.31
959.50,-0.26
969.09,-0.20
978.78,-0.14
988.57,-0.08
998.46,-0.01
1008.44,0.06
1018.53,0.13
1028.71,0.21
1039.00,0.29
1049.39,0.37
1059.88,0.45
1070.48,0.54
1081.19,0.63
1092.00,0.72
1102.92,0.82
1113.95,0.91
1125.09,1.01
1136.34,1.11
1147.70,1.20
1159.18,1.30
1170.77,1.40
1182.48,1.50
1194.30,1.60
1206.25,1.69
1218.31,1.78
1230.49,1.87
1242.80,1.97
1255.22,2.05
1267.78,2.13
1280.45,2.22
1293.26,2.28
1306.19,2.35
1319.25,2.41
1332.45,2.48
1345.77,2.53
1359.23,2.58
1372.82,2.61
1386.55,2.63
1400.41,2.65
1414.42,2.64
1428.56,2.64
1442.85,2.63
1457.28,2.61
1471.85,2.58
1486.57,2.56
1501.43,2.54
1516.45,2.52
1531.61,2.51
1546.93,2.51
1562.40,2.53
1578.02,2.55
1593.80,2.59
1609.74,2.64
1625.84,2.69
1642.10,2.76
1658.52,2.84
1675.10,2.92
1691.85,3.00
1708.77,3.09
1725.86,3.18
1743.12,3.27
1760.55,3.37
