frequency,raw
20.00,9.36
20.20,9.38
20.40,9.40
20.61,9.41
20.81,9.42
21.02,9.42
21.23,9.43
21.44,9.44
21.66,9.45
21.87,9.46
22.09,9.48
22.31,9.49
22.54,9.50
22.76,9.52
22.99,9.53
23.22,9.54
23.45,9.56
23.69,9.57
23.92,9.59
24.16,9.61
24.40,9.62
24.65,9.64
24.89,9.65
25.14,9.66
25.39,9.66
25.65,9.65
25.91,9.65
26.16,9.64
26.43,9.64
26.69,9.64
26.96,9.65
27.23,9.66
27.50,9.67
27.77,9.68
28.05,9.68
28.33,9.69
28.62,9.69
28.90,9.69
29.19,9.70
29.48,9.70
29.78,9.70
30.08,9.71
30.38,9.71
30.68,9.71
30.99,9.71
31.30,9.71
31.61,9.71
31.93,9.70
32.24,9.69
32.57,9.67
32.89,9.66
33.22,9.66
33.55,9.66
33.89,9.67
34.23,9.68
34.57,9.68
34.92,9.68
35.27,9.67
35.62,9.65
35.97,9.64
36.33,9.64
36.70,9.64
37.06,9.65
37.43,9.65
37.81,9.64
38.19,9.63
38.57,9.61
38.95,9.59
39.34,9.58
39.74,9.57
40.14,9.56
40.54,9.55
40.94,9.54
41.35,9.53
41.76,9.51
42.18,9.50
42.60,9.48
43.03,9.47
43.46,9.46
43.90,9.46
44.33,9.45
44.78,9.44
45.23,9.43
45.68,9.42
46.13,9.41
46.60,9.39
47.06,9.36
47.53,9.33
48.01,9.31
48.49,9.31
48.97,9.33
49.46,9.33
49.96,9.31
50.46,9.28
50.96,9.25
51.47,9.24
51.99,9.20
52.51,9.16
53.03,9.13
53.56,9.13
54.10,9.13
54.64,9.12
55.18,9.10
55.74,9.07
56.29,9.04
56.86,9.01
57.42,8.99
58.00,8.97
58.58,8.95
59.16,8.93
59.76,8.90
60.35,8.87
60.96,8.84
61.57,8.81
62.18,8.79
62.80,8.76
63.43,8.73
64.07,8.70
64.71,8.67
65.35,8.64
66.01,8.61
66.67,8.59
67.33,8.56
68.01,8.53
68.69,8.50
69.37,8.48
70.07,8.45
70.77,8.42
71.48,8.39
72.19,8.35
72.91,8.32
73.64,8.29
74.38,8.26
75.12,8.22
75.87,8.18
76.63,8.13
77.40,8.08
78.17,8.07
78.95,8.05
79.74,8.02
80.54,7.98
81.35,7.94
82.16,7.90
82.98,7.87
83.81,7.85
84.65,7.81
85.50,7.78
86.35,7.74
87.22,7.70
88.09,7.66
88.97,7.62
89.86,7.59
90.76,7.55
91.66,7.51
92.58,7.47
93.51,7.43
94.44,7.39
95.39,7.35
96.34,7.31
97.30,7.27
98.28,7.23
99.26,7.19
100.25,7.15
101.25,7.10
102.27,7.06
103.29,7.02
104.32,6.98
105.37,6.94
106.42,6.89
107.48,6.85
108.56,6.81
109.64,6.76
110.74,6.72
111.85,6.68
112.97,6.64
114.10,6.59
115.24,6.54
116.39,6.50
117.55,6.45
118.73,6.40
119.92,6.36
121.12,6.31
122.33,6.27
123.55,6.22
124.79,6.18
126.03,6.13
127.29,6.08
128.57,6.03
129.85,5.99
131.15,5.94
132.46,5.89
133.79,5.85
135.12,5.80
136.48,5.75
137.84,5.70
139.22,5.66
140.61,5.61
142.02,5.56
143.44,5.51
144.87,5.45
146.32,5.41
147.78,5.36
149.26,5.32
150.75,5.27
152.26,5.22
153.78,5.17
155.32,5.11
156.88,5.06
158.44,5.01
160.03,4.97
161.63,4.92
163.24,4.87
164.88,4.81
