frequency,raw
20.00,10.84
20.20,10.84
20.40,10.84
20.61,10.83
20.81,10.83
21.02,10.83
21.23,10.82
21.44,10.82
21.66,10.82
21.87,10.81
22.09,10.81
22.31,10.81
22.54,10.81
22.76,10.80
22.99,10.80
23.22,10.80
23.45,10.79
23.69,10.78
23.92,10.77
24.16,10.77
24.40,10.76
24.65,10.75
24.89,10.74
25.14,10.73
25.39,10.73
25.65,10.72
25.91,10.71
26.16,10.70
26.43,10.69
26.69,10.68
26.96,10.67
27.23,10.66
27.50,10.65
27.77,10.64
28.05,10.63
28.33,10.62
28.62,10.60
28.90,10.59
29.19,10.58
29.48,10.57
29.78,10.56
30.08,10.54
30.38,10.53
30.68,10.51
30.99,10.50
31.30,10.48
31.61,10.47
31.93,10.45
32.24,10.44
32.57,10.42
32.89,10.41
33.22,10.39
33.55,10.37
33.89,10.35
34.23,10.33
34.57,10.31
34.92,10.29
35.27,10.28
35.62,10.26
35.97,10.24
36.33,10.21
36.70,10.19
37.06,10.17
37.43,10.14
37.81,10.12
38.19,10.10
38.57,10.08
38.95,10.06
39.34,10.03
39.74,10.00
40.14,9.97
40.54,9.95
40.94,9.94
41.35,9.92
41.76,9.89
42.18,9.86
42.60,9.82
43.03,9.80
43.46,9.78
43.90,9.76
44.33,9.74
44.78,9.71
45.23,9.67
45.68,9.64
46.13,9.61
46.60,9.58
47.06,9.55
47.53,9.51
48.01,9.48
48.49,9.45
48.97,9.41
49.46,9.38
49.96,9.35
50.46,9.31
50.96,9.28
51.47,9.24
51.99,9.21
52.51,9.17
53.03,9.14
53.56,9.10
54.10,9.06
54.64,9.02
55.18,8.99
55.74,8.95
56.29,8.91
56.86,8.87
57.42,8.83
58.00,8.78
58.58,8.74
59.16,8.70
59.76,8.66
60.35,8.61
60.96,8.57
61.57,8.52
62.18,8.48
62.80,8.44
63.43,8.39
64.07,8.35
64.71,8.30
65.35,8.25
66.01,8.20
66.67,8.15
67.33,8.10
68.01,8.06
68.69,8.01
69.37,7.96
70.07,7.91
70.77,7.85
71.48,7.80
72.19,7.75
72.91,7.70
73.64,7.64
74.38,7.59
75.12,7.53
75.87,7.48
76.63,7.42
77.40,7.37
78.17,7.31
78.95,7.25
79.74,7.20
80.54,7.14
81.35,7.08
82.16,7.02
82.98,6.96
83.81,6.91
84.65,6.85
85.50,6.78
86.35,6.72
87.22,6.66
88.09,6.60
88.97,6.54
89.86,6.48
90.76,6.42
91.66,6.35
92.58,6.29
93.51,6.22
94.44,6.16
95.39,6.09
96.34,6.03
97.30,5.97
98.28,5.90
99.26,5.83
100.25,5.77
101.25,5.70
102.27,5.64
103.29,5.57
104.32,5.50
105.37,5.44
106.42,5.37
107.48,5.30
108.56,5.24
109.64,5.17
110.74,5.10
111.85,5.03
112.97,4.96
114.10,4.90
115.24,4.83
116.39,4.76
117.55,4.69
118.73,4.63
119.92,4.56
121.12,4.49
122.33,4.42
123.55,4.36
124.79,4.29
126.03,4.22
127.29,4.16
128.57,4.09
129.85,4.02
131.15,3.96
132.46,3.89
133.79,3.83
135.12,3.76
136.48,3.70
137.84,3.63
139.22,3.57
140.61,3.51
142.02,3.44
143.44,3.38
144.87,3.32
146.32,3.26
147.78,3.20
149.26,3.14
150.75,3.08
152.26,3.02
153.78,2.96
155.32,2.90
156.88,2.85
158.44,2.79
160.03,2.74
161.63,2.69
163.24,2.63
164.88,2.58
166.53,2.53
168.19,2.48
169.87,2.43
171.57,2.38
173.29,2.33
175.02,2.28
176.77,2.23
178.54,2.18
180.32,2.14
182.13,2.10
183.95,2.06
185.79,2.02
187.65,1.98
189.52,1.93
191.42,1.89
193.33,1.86
195.27,1.83
197.22,1.79
199.19,1.74
201.18,1.71
203.19,1.68
205.23,1.66
207.28,1.63
209.35,1.59
211.44,1.54
213.56,1.53
215.69,1.50
217.85,1.47
220.03,1.45
222.23,1.42
224.45,1.40
226.70,1.37
228.96,1.34
231.25,1.32
233.57,1.31
235.90,1.28
238.26,1.26
240.64,1.24
243.05,1.22
245.48,1.20
247.93,1.19
250.41,1.17
252.92,1.15
255.45,1.13
258.00,1.12
260.58,1.10
263.19,1.09
265.82,1.07
268.48,1.06
271.16,1.04
273.87,1.03
276.61,1.02
279.38,1.01
282.17,1.00
284.99,0.99
287.84,0.98
290.72,0.97
293.63,0.95
296.57,0.94
299.53,0.94
302.53,0.93
305.55,0.92
308.61,0.91
311.69,0.90
314.81,0.89
317.96,0.88
321.14,0.87
324.35,0.86
327.59,0.86
330.87,0.85
334.18,0.84
337.52,0.83
340.90,0.82
344.30,0.81
347.75,0.80
351.23,0.79
354.74,0.78
358.28,0.77
361.87,0.76
365.49,0.75
369.14,0.74
372.83,0.73
376.56,0.71
380.33,0.70
384.13,0.69
387.97,0.68
391.85,0.67
395.77,0.66
399.73,0.65
403.72,0.63
407.76,0.62
411.84,0.61
415.96,0.60
420.12,0.59
424.32,0.58
428.56,0.56
432.85,0.55
437.18,0.54
441.55,0.52
445.96,0.51
450.42,0.50
454.93,0.48
459.48,0.47
464.07,0.46
468.71,0.44
473.40,0.43
478.13,0.41
482.91,0.40
487.74,0.38
492.62,0.36
497.55,0.35
502.52,0.33
507.55,0.32
512.62,0.30
517.75,0.28
522.93,0.27
528.16,0.25
533.44,0.23
538.77,0.22
544.16,0.19
549.60,0.18
555.10,0.16
560.65,0.14
566.25,0.12
571.92,0.10
577.64,0.08
583.41,0.07
589.25,0.05
595.14,0.03
601.09,0.01
607.10,-0.01
613.17,-0.03
619.30,-0.04
625.50,-0.06
631.75,-0.08
638.07,-0.10
644.45,-0.12
650.89,-0.14
657.40,-0.16
663.98,-0.18
670.62,-0.20
677.32,-0.22
684.10,-0.23
690.94,-0.25
697.85,-0.27
704.83,-0.29
711.87,-0.30
718.99,-0.32
726.18,-0.33
733.44,-0.34
740.78,-0.36
748.19,-0.37
755.67,-0.38
763.23,-0.39
770.86,-0.40
778.57,-0.41
786.35,-0.42
794.22,-0.43
802.16,-0.43
810.18,-0.44
818.28,-0.44
826.46,-0.44
834.73,-0.44
843.08,-0.44
851.51,-0.44
860.02,-0.43
868.62,-0.42
877.31,-0.41
886.08,-0.40
894.94,-0.38
903.89,-0.36
912.93,-0.34
922.06,-0.32
931.28,-0.29
940.59,-0.26
950.00,-0.23
959.50,-0.19
969.09,-0.15
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.16
1039.00,0.22
1049.39,0.29
1059.88,0.35
1070.48,0.42
1081.19,0.50
1092.00,0.57
1102.92,0.65
1113.95,0.73
1125.09,0.81
1136.34,0.89
1147.70,0.97
1159.18,1.05
1170.77,1.13
1182.48,1.22
1194.30,1.30
1206.25,1.38
1218.31,1.46
1230.49,1.54
1242.80,1.62
1255.22,1.70
1267.78,1.78
1280.45,1.86
1293.26,1.93
1306.19,2.01
1319.25,2.08
1332.45,2.16
1345.77,2.23
1359.23,2.30
1372.82,2.38
1386.55,2.45
1400.41,2.52
1414.42,2.59
1428.56,2.66
1442.85,2.74
1457.28,2.81
1471.85,2.88
1486.57,2.96
1501.43,3.04
1516.45,3.11
1531.61,3.19
1546.93,3.27
1562.40,3.35
1578.02,3.44
1593.80,3.52
1609.74,3.61
1625.84,3.70
1642.10,3.80
1658.52,3.89
1675.10,3.99
1691.85,4.09
1708.77,4.19
1725.86,4.29
1743.12,4.39
1760.55,4.50
1778.15,4.61
1795.94,4.72
1813.90,4.83
1832.03,4.94
1850.36,5.05
1868.86,5.16
1887.55,5.28
1906.42,5.39
1925.49,5.50
1944.74,5.61
1964.19,5.71
1983.83,5.82
2003.67,5.92
2023.71,6.02
2043.94,6.12
2064.38,6.21
2085.03,6.30
2105.88,6.38
2126.94,6.46
2148.20,6.53
2169.69,6.60
2191.38,6.66
2213.30,6.71
2235.43,6.76
2257.78,6.80
2280.36,6.83
2303.17,6.86
2326.20,6.88
2349.46,6.89
2372.95,6.89
2396.68,6.89
2420.65,6.87
2444.86,6.85
2469.31,6.82
2494.00,6.79
2518.94,6.74
2544.13,6.69
2569.57,6.63
2595.27,6.57
2621.22,6.50
2647.43,6.43
2673.90,6.35
2700.64,6.27
2727.65,6.19
2754.93,6.10
2782.48,6.02
2810.30,5.93
2838.40,5.85
2866.79,5.77
2895.46,5.68
2924.41,5.61
2953.65,5.53
2983.19,5.46
3013.02,5.39
3043.15,5.33
3073.58,5.27
3104.32,5.22
3135.36,5.18
3166.72,5.14
3198.38,5.10
3230.37,5.07
3262.67,5.05
3295.30,5.04
3328.25,5.03
3361.53,5.02
3395.15,5.02
3429.10,5.03
3463.39,5.04
3498.03,5.05
3533.01,5.07
3568.34,5.09
3604.02,5.11
3640.06,5.13
3676.46,5.15
3713.22,5.17
3750.36,5.18
3787.86,5.19
3825.74,5.20
3864.00,5.21
3902.64,5.20
3941.66,5.20
3981.08,5.19
4020.89,5.18
4061.10,5.17
4101.71,5.15
4142.73,5.14
4184.15,5.12
4226.00,5.11
4268.26,5.11
4310.94,5.10
4354.05,5.10
4397.59,5.10
4441.56,5.10
4485.98,5.10
4530.84,5.11
4576.15,5.12
4621.91,5.13
4668.13,5.12
4714.81,5.10
4761.96,5.08
4809.58,5.07
4857.67,5.05
4906.25,5.01
4955.31,4.96
5004.87,4.90
5054.91,4.82
5105.46,4.72
5156.52,4.60
5208.08,4.46
5260.16,4.29
5312.77,4.11
5365.89,3.90
5419.55,3.69
5473.75,3.46
5528.49,3.22
5583.77,2.98
5639.61,2.74
5696.00,2.50
5752.96,2.27
5810.49,2.05
5868.60,1.85
5927.28,1.66
5986.56,1.49
6046.42,1.35
6106.89,1.23
6167.96,1.14
6229.64,1.08
6291.93,1.05
6354.85,1.06
6418.40,1.09
6482.58,1.17
6547.41,1.28
6612.88,1.41
6679.01,1.57
6745.80,1.75
6813.26,1.93
6881.39,2.11
6950.21,2.28
7019.71,2.44
7089.91,2.60
7160.81,2.81
7232.41,3.04
7304.74,3.27
7377.79,3.51
7451.56,3.73
7526.08,3.92
7601.34,4.08
7677.35,4.21
7754.13,4.31
7831.67,4.39
7909.98,4.45
7989.08,4.49
8068.98,4.52
8149.67,4.56
8231.16,4.60
8313.47,4.68
8396.61,4.79
8480.57,4.95
8565.38,5.16
8651.03,5.41
8737.54,5.68
8824.92,5.95
8913.17,6.20
9002.30,6.42
9092.32,6.53
9183.25,6.49
9275.08,6.31
9367.83,5.96
9461.51,5.44
9556.12,4.84
9651.68,4.20
9748.20,3.55
9845.68,2.93
9944.14,2.35
10043.58,1.82
10144.02,1.33
10245.46,0.90
10347.91,0.50
10451.39,0.14
10555.91,-0.15
10661.46,-0.41
10768.08,-0.62
10875.76,-0.78
10984.52,-0.89
11094.36,-0.97
11205.31,-1.01
11317.36,-1.00
11430.53,-0.94
11544.84,-0.79
11660.29,-0.60
11776.89,-0.40
11894.66,-0.19
12013.60,0.02
12133.74,0.20
12255.08,0.36
12377.63,0.51
12501.41,0.69
12626.42,0.93
12752.68,1.23
12880.21,1.54
13009.01,1.84
13139.10,2.14
13270.49,2.19
13403.20,2.13
13537.23,1.78
13672.60,1.33
13809.33,0.79
13947.42,0.22
14086.90,-0.28
14227.77,-0.73
14370.04,-1.11
14513.74,-1.41
14658.88,-1.60
14805.47,-1.75
14953.52,-1.85
15103.06,-1.97
15254.09,-2.10
15406.63,-2.38
15560.70,-2.75
15716.30,-3.23
15873.47,-3.89
16032.20,-4.61
16192.52,-5.40
16354.45,-6.15
16517.99,-6.87
16683.17,-7.54
16850.01,-8.17
17018.51,-8.75
