frequency,raw
20.00,10.60
20.20,10.60
20.40,10.60
20.61,10.60
20.81,10.60
21.02,10.59
21.23,10.59
21.44,10.59
21.66,10.58
21.87,10.57
22.09,10.56
22.31,10.55
22.54,10.54
22.76,10.53
22.99,10.53
23.22,10.52
23.45,10.52
23.69,10.51
23.92,10.51
24.16,10.50
24.40,10.50
24.65,10.49
24.89,10.48
25.14,10.47
25.39,10.46
25.65,10.45
25.91,10.44
26.16,10.43
26.43,10.42
26.69,10.40
26.96,10.39
27.23,10.38
27.50,10.37
27.77,10.35
28.05,10.34
28.33,10.32
28.62,10.31
28.90,10.29
29.19,10.28
29.48,10.26
29.78,10.24
30.08,10.23
30.38,10.21
30.68,10.20
30.99,10.18
31.30,10.16
31.61,10.14
31.93,10.13
32.24,10.11
32.57,10.09
32.89,10.07
33.22,10.05
33.55,10.03
33.89,10.01
34.23,9.99
34.57,9.97
34.92,9.94
35.27,9.92
35.62,9.90
35.97,9.88
36.33,9.86
36.70,9.84
37.06,9.81
37.43,9.79
37.81,9.76
38.19,9.74
38.57,9.71
38.95,9.69
39.34,9.66
39.74,9.64
40.14,9.61
40.54,9.58
40.94,9.55
41.35,9.52
41.76,9.49
42.18,9.46
42.60,9.43
43.03,9.40
43.46,9.37
43.90,9.34
44.33,9.31
44.78,9.28
45.23,9.25
45.68,9.21
46.13,9.18
46.60,9.14
47.06,9.11
47.53,9.08
48.01,9.04
48.49,9.01
48.97,8.97
49.46,8.93
49.96,8.90
50.46,8.86
50.96,8.82
51.47,8.78
51.99,8.74
52.51,8.70
53.03,8.66
53.56,8.62
54.10,8.58
54.64,8.54
55.18,8.49
55.74,8.45
56.29,8.41
56.86,8.36
57.42,8.32
58.00,8.27
58.58,8.23
59.16,8.18
59.76,8.14
60.35,8.09
60.96,8.04
61.57,7.99
62.18,7.95
62.80,7.90
63.43,7.85
64.07,7.80
64.71,7.75
65.35,7.70
66.01,7.64
66.67,7.59
67.33,7.54
68.01,7.49
68.69,7.43
69.37,7.38
70.07,7.32
70.77,7.27
71.48,7.21
72.19,7.16
72.91,7.10
73.64,7.04
74.38,6.98
75.12,6.93
75.87,6.87
76.63,6.81
77.40,6.75
78.17,6.69
78.95,6.63
79.74,6.57
80.54,6.51
81.35,6.45
82.16,6.38
82.98,6.32
83.81,6.26
84.65,6.19
85.50,6.13
86.35,6.07
87.22,6.00
88.09,5.94
88.97,5.87
89.86,5.81
90.76,5.74
91.66,5.68
92.58,5.61
93.51,5.54
94.44,5.48
95.39,5.41
96.34,5.34
97.30,5.27
98.28,5.21
99.26,5.14
100.25,5.07
101.25,5.00
102.27,4.93
103.29,4.87
104.32,4.80
105.37,4.73
106.42,4.66
107.48,4.59
108.56,4.52
109.64,4.46
110.74,4.39
111.85,4.32
112.97,4.25
114.10,4.18
115.24,4.12
116.39,4.05
117.55,3.98
118.73,3.92
119.92,3.85
121.12,3.78
122.33,3.72
123.55,3.65
124.79,3.58
126.03,3.52
127.29,3.46
128.57,3.39
129.85,3.33
131.15,3.27
132.46,3.20
133.79,3.14
135.12,3.08
136.48,3.02
137.84,2.96
139.22,2.90
140.61,2.84
142.02,2.78
143.44,2.73
144.87,2.67
146.32,2.62
147.78,2.56
149.26,2.51
150.75,2.46
152.26,2.40
153.78,2.35
155.32,2.30
156.88,2.25
158.44,2.21
160.03,2.16
161.63,2.12
163.24,2.07
164.88,2.03
166.53,1.98
168.19,1.94
169.87,1.90
171.57,1.86
173.29,1.82
175.02,1.79
176.77,1.75
178.54,1.72
180.32,1.68
182.13,1.65
183.95,1.62
185.79,1.58
187.65,1.55
189.52,1.53
191.42,1.50
193.33,1.47
195.27,1.44
197.22,1.42
199.19,1.39
201.18,1.37
203.19,1.35
205.23,1.33
207.28,1.31
209.35,1.29
211.44,1.27
213.56,1.25
215.69,1.23
217.85,1.22
220.03,1.20
222.23,1.18
224.45,1.17
226.70,1.16
228.96,1.14
231.25,1.13
233.57,1.12
235.90,1.11
238.26,1.09
240.64,1.08
243.05,1.08
245.48,1.07
247.93,1.06
250.41,1.05
252.92,1.04
255.45,1.03
258.00,1.02
260.58,1.02
263.19,1.01
265.82,1.00
268.48,1.00
271.16,0.99
273.87,0.98
276.61,0.98
279.38,0.97
282.17,0.96
284.99,0.96
287.84,0.95
290.72,0.95
293.63,0.94
296.57,0.94
299.53,0.93
302.53,0.93
305.55,0.92
308.61,0.92
311.69,0.91
314.81,0.90
317.96,0.90
321.14,0.89
324.35,0.89
327.59,0.88
330.87,0.88
334.18,0.87
337.52,0.87
340.90,0.86
344.30,0.85
347.75,0.85
351.23,0.84
354.74,0.83
358.28,0.82
361.87,0.82
365.49,0.81
369.14,0.80
372.83,0.79
376.56,0.78
380.33,0.78
384.13,0.77
387.97,0.76
391.85,0.75
395.77,0.74
399.73,0.73
403.72,0.72
407.76,0.71
411.84,0.69
415.96,0.68
420.12,0.67
424.32,0.66
428.56,0.65
432.85,0.63
437.18,0.62
441.55,0.61
445.96,0.59
450.42,0.58
454.93,0.57
459.48,0.55
464.07,0.54
468.71,0.52
473.40,0.51
478.13,0.50
482.91,0.49
487.74,0.47
492.62,0.46
497.55,0.44
502.52,0.43
507.55,0.41
512.62,0.39
517.75,0.37
522.93,0.36
528.16,0.34
533.44,0.32
538.77,0.30
544.16,0.28
549.60,0.26
555.10,0.24
560.65,0.22
566.25,0.20
571.92,0.18
577.64,0.16
583.41,0.14
589.25,0.12
595.14,0.11
601.09,0.09
607.10,0.07
613.17,0.05
619.30,0.03
625.50,0.01
631.75,-0.01
638.07,-0.03
644.45,-0.05
650.89,-0.07
657.40,-0.09
663.98,-0.11
670.62,-0.13
677.32,-0.15
684.10,-0.17
690.94,-0.19
697.85,-0.21
704.83,-0.23
711.87,-0.25
718.99,-0.26
726.18,-0.28
733.44,-0.30
740.78,-0.31
748.19,-0.33
755.67,-0.35
763.23,-0.36
770.86,-0.37
778.57,-0.39
786.35,-0.40
794.22,-0.41
802.16,-0.42
810.18,-0.42
818.28,-0.43
826.46,-0.43
834.73,-0.43
843.08,-0.43
851.51,-0.43
860.02,-0.42
868.62,-0.42
877.31,-0.41
886.08,-0.39
894.94,-0.38
903.89,-0.36
912.93,-0.34
922.06,-0.32
931.28,-0.29
940.59,-0.26
950.00,-0.23
959.50,-0.19
969.09,-0.15
978.78,-0.11
988.57,-0.06
998.46,-0.01
1008.44,0.05
1018.53,0.10
1028.71,0.16
1039.00,0.23
1049.39,0.29
1059.88,0.36
1070.48,0.44
1081.19,0.51
1092.00,0.59
1102.92,0.67
1113.95,0.75
1125.09,0.84
1136.34,0.92
1147.70,1.01
1159.18,1.10
1170.77,1.19
1182.48,1.28
1194.30,1.37
1206.25,1.45
1218.31,1.54
1230.49,1.63
1242.80,1.71
1255.22,1.80
1267.78,1.88
1280.45,1.97
1293.26,2.05
1306.19,2.14
1319.25,2.22
1332.45,2.30
1345.77,2.38
1359.23,2.46
1372.82,2.55
1386.55,2.63
1400.41,2.71
1414.42,2.79
1428.56,2.87
1442.85,2.95
1457.28,3.04
1471.85,3.12
1486.57,3.20
1501.43,3.29
1516.45,3.38
1531.61,3.47
1546.93,3.56
1562.40,3.65
1578.02,3.74
1593.80,3.83
1609.74,3.93
1625.84,4.03
1642.10,4.13
1658.52,4.23
1675.10,4.33
1691.85,4.43
1708.77,4.53
1725.86,4.64
1743.12,4.75
1760.55,4.85
1778.15,4.96
1795.94,5.06
1813.90,5.17
1832.03,5.27
1850.36,5.38
1868.86,5.49
1887.55,5.59
1906.42,5.69
1925.49,5.79
1944.74,5.89
1964.19,5.98
1983.83,6.08
2003.67,6.17
2023.71,6.25
2043.94,6.34
2064.38,6.42
2085.03,6.50
2105.88,6.57
2126.94,6.64
2148.20,6.70
2169.69,6.76
2191.38,6.82
2213.30,6.87
2235.43,6.91
2257.78,6.95
2280.36,6.99
2303.17,7.02
2326.20,7.04
2349.46,7.05
2372.95,7.06
2396.68,7.07
2420.65,7.06
2444.86,7.05
2469.31,7.03
2494.00,7.01
2518.94,6.98
2544.13,6.94
2569.57,6.89
2595.27,6.84
2621.22,6.79
2647.43,6.73
2673.90,6.66
2700.64,6.59
2727.65,6.51
2754.93,6.44
2782.48,6.36
2810.30,6.28
2838.40,6.20
2866.79,6.12
2895.46,6.04
2924.41,5.96
2953.65,5.88
2983.19,5.81
3013.02,5.74
3043.15,5.67
3073.58,5.61
3104.32,5.56
3135.36,5.51
3166.72,5.47
3198.38,5.43
3230.37,5.40
3262.67,5.37
3295.30,5.36
3328.25,5.35
3361.53,5.34
3395.15,5.34
3429.10,5.35
3463.39,5.36
3498.03,5.38
3533.01,5.40
3568.34,5.43
3604.02,5.46
3640.06,5.49
3676.46,5.53
3713.22,5.56
3750.36,5.60
3787.86,5.63
3825.74,5.67
3864.00,5.70
3902.64,5.72
3941.66,5.74
3981.08,5.75
4020.89,5.76
4061.10,5.76
4101.71,5.75
4142.73,5.73
4184.15,5.72
4226.00,5.69
4268.26,5.66
4310.94,5.63
4354.05,5.60
4397.59,5.57
4441.56,5.54
4485.98,5.51
4530.84,5.49
4576.15,5.46
4621.91,5.43
4668.13,5.41
4714.81,5.37
4761.96,5.33
4809.58,5.28
4857.67,5.22
4906.25,5.13
4955.31,5.03
5004.87,4.90
5054.91,4.74
5105.46,4.56
5156.52,4.35
5208.08,4.11
5260.16,3.85
5312.77,3.57
5365.89,3.27
5419.55,2.96
5473.75,2.65
5528.49,2.33
5583.77,2.02
5639.61,1.72
5696.00,1.43
5752.96,1.16
5810.49,0.90
5868.60,0.68
5927.28,0.48
5986.56,0.31
6046.42,0.17
6106.89,0.06
6167.96,-0.01
6229.64,-0.05
6291.93,-0.05
6354.85,-0.01
6418.40,0.06
6482.58,0.17
6547.41,0.31
6612.88,0.48
6679.01,0.69
6745.80,0.91
6813.26,1.16
6881.39,1.43
6950.21,1.71
7019.71,1.99
7089.91,2.24
7160.81,2.49
7232.41,2.70
7304.74,2.87
7377.79,2.97
7451.56,3.02
7526.08,3.04
7601.34,3.04
7677.35,3.06
7754.13,3.09
7831.67,3.18
7909.98,3.29
7989.08,3.45
8068.98,3.67
8149.67,3.92
8231.16,4.20
8313.47,4.50
8396.61,4.82
8480.57,5.13
8565.38,5.42
8651.03,5.70
8737.54,5.95
8824.92,6.16
8913.17,6.35
9002.30,6.53
9092.32,6.67
9183.25,6.77
9275.08,6.80
9367.83,6.74
9461.51,6.53
9556.12,6.22
9651.68,5.81
9748.20,5.33
9845.68,4.80
9944.14,4.26
10043.58,3.72
10144.02,3.19
10245.46,2.70
10347.91,2.24
10451.39,1.81
10555.91,1.42
10661.46,1.06
10768.08,0.73
10875.76,0.43
10984.52,0.17
11094.36,-0.06
11205.31,-0.26
11317.36,-0.42
11430.53,-0.56
11544.84,-0.66
11660.29,-0.74
11776.89,-0.83
11894.66,-1.00
12013.60,-1.18
12133.74,-1.39
12255.08,-1.57
12377.63,-1.69
12501.41,-1.70
12626.42,-1.54
12752.68,-1.25
12880.21,-0.78
13009.01,-0.23
13139.10,0.33
13270.49,1.02
13403.20,1.72
13537.23,2.33
13672.60,2.78
13809.33,3.06
13947.42,2.95
14086.90,2.62
14227.77,2.16
14370.04,1.65
14513.74,1.10
14658.88,0.61
14805.47,0.18
14953.52,-0.17
15103.06,-0.40
15254.09,-0.58
15406.63,-0.62
15560.70,-0.63
15716.30,-0.60
15873.47,-0.62
16032.20,-0.68
16192.52,-0.86
16354.45,-1.16
16517.99,-1.56
16683.17,-2.21
16850.01,-2.93
17018.51,-3.71
17188.69,-4.49
17360.58,-5.20
17534.18,-5.82
17709.53,-6.19
17886.62,-6.39
18065.49,-6.51
18246.14,-6.57
18428.60,-6.57
18612.89,-6.52
18799.02,-6.46
18987.01,-6.43
19176.88,-6.47
19368.65,-6.64
19562.33,-7.05
19757.96,-7.84
19955.54,-8.62
