frequency,raw
20.00,11.85
20.20,11.84
20.40,11.84
20.61,11.83
20.81,11.82
21.02,11.82
21.23,11.81
21.44,11.80
21.66,11.79
21.87,11.78
22.09,11.77
22.31,11.76
22.54,11.75
22.76,11.75
22.99,11.74
23.22,11.73
23.45,11.72
23.69,11.70
23.92,11.69
24.16,11.68
24.40,11.67
24.65,11.65
24.89,11.64
25.14,11.62
25.39,11.61
25.65,11.59
25.91,11.58
26.16,11.56
26.43,11.55
26.69,11.53
26.96,11.52
27.23,11.50
27.50,11.48
27.77,11.46
28.05,11.45
28.33,11.43
28.62,11.41
28.90,11.39
29.19,11.37
29.48,11.35
29.78,11.33
30.08,11.31
30.38,11.29
30.68,11.27
30.99,11.24
31.30,11.22
31.61,11.20
31.93,11.17
32.24,11.15
32.57,11.13
32.89,11.11
33.22,11.08
33.55,11.06
33.89,11.03
34.23,11.01
34.57,10.98
34.92,10.95
35.27,10.92
35.62,10.90
35.97,10.87
36.33,10.84
36.70,10.81
37.06,10.78
37.43,10.75
37.81,10.72
38.19,10.69
38.57,10.66
38.95,10.62
39.34,10.59
39.74,10.56
40.14,10.52
40.54,10.49
40.94,10.46
41.35,10.42
41.76,10.39
42.18,10.35
42.60,10.31
43.03,10.28
43.46,10.24
43.90,10.20
44.33,10.16
44.78,10.12
45.23,10.09
45.68,10.05
46.13,10.01
46.60,9.97
47.06,9.93
47.53,9.89
48.01,9.84
48.49,9.80
48.97,9.75
49.46,9.71
49.96,9.66
50.46,9.62
50.96,9.57
51.47,9.53
51.99,9.47
52.51,9.42
53.03,9.36
53.56,9.32
54.10,9.28
54.64,9.24
55.18,9.19
55.74,9.13
56.29,9.08
56.86,9.03
57.42,8.98
58.00,8.93
58.58,8.88
59.16,8.83
59.76,8.77
60.35,8.71
60.96,8.65
61.57,8.60
62.18,8.55
62.80,8.49
63.43,8.43
64.07,8.38
64.71,8.32
65.35,8.26
66.01,8.20
66.67,8.14
67.33,8.08
68.01,8.02
68.69,7.96
69.37,7.90
70.07,7.83
70.77,7.77
71.48,7.71
72.19,7.64
72.91,7.58
73.64,7.51
74.38,7.45
75.12,7.38
75.87,7.31
76.63,7.25
77.40,7.18
78.17,7.11
78.95,7.04
79.74,6.98
80.54,6.91
81.35,6.84
82.16,6.77
82.98,6.70
83.81,6.63
84.65,6.55
85.50,6.48
86.35,6.41
87.22,6.34
88.09,6.27
88.97,6.19
89.86,6.12
90.76,6.05
91.66,5.97
92.58,5.90
93.51,5.82
94.44,5.75
95.39,5.67
96.34,5.60
97.30,5.52
98.28,5.45
99.26,5.37
100.25,5.30
101.25,5.22
102.27,5.14
103.29,5.06
104.32,4.99
105.37,4.91
106.42,4.83
107.48,4.76
108.56,4.68
109.64,4.60
110.74,4.52
111.85,4.45
112.97,4.37
114.10,4.29
115.24,4.21
116.39,4.14
117.55,4.06
118.73,3.99
119.92,3.91
121.12,3.84
122.33,3.76
123.55,3.69
124.79,3.62
126.03,3.54
127.29,3.47
128.57,3.40
129.85,3.33
131.15,3.26
132.46,3.19
133.79,3.12
135.12,3.05
136.48,2.98
137.84,2.91
139.22,2.85
140.61,2.78
142.02,2.71
143.44,2.64
144.87,2.57
146.32,2.51
147.78,2.44
149.26,2.38
150.75,2.31
152.26,2.24
153.78,2.18
155.32,2.12
156.88,2.06
158.44,2.01
160.03,1.96
161.63,1.92
163.24,1.88
164.88,1.86
166.53,1.85
168.19,1.85
169.87,1.86
171.57,1.86
173.29,1.85
175.02,1.84
176.77,1.81
178.54,1.77
180.32,1.74
182.13,1.72
183.95,1.69
185.79,1.65
187.65,1.61
189.52,1.58
191.42,1.54
193.33,1.50
195.27,1.47
197.22,1.43
199.19,1.40
201.18,1.37
203.19,1.35
205.23,1.33
207.28,1.31
209.35,1.30
211.44,1.29
213.56,1.28
215.69,1.27
217.85,1.27
220.03,1.26
222.23,1.26
224.45,1.25
226.70,1.24
228.96,1.23
231.25,1.22
233.57,1.21
235.90,1.19
238.26,1.18
240.64,1.17
243.05,1.15
245.48,1.14
247.93,1.13
250.41,1.12
252.92,1.11
255.45,1.09
258.00,1.08
260.58,1.07
263.19,1.05
265.82,1.04
268.48,1.03
271.16,1.01
273.87,1.00
276.61,0.98
279.38,0.97
282.17,0.96
284.99,0.95
287.84,0.94
290.72,0.93
293.63,0.93
296.57,0.92
299.53,0.92
302.53,0.91
305.55,0.91
308.61,0.90
311.69,0.90
314.81,0.89
317.96,0.89
321.14,0.88
324.35,0.88
327.59,0.87
330.87,0.86
334.18,0.85
337.52,0.84
340.90,0.84
344.30,0.83
347.75,0.82
351.23,0.81
354.74,0.80
358.28,0.79
361.87,0.78
365.49,0.76
369.14,0.75
372.83,0.74
376.56,0.73
380.33,0.72
384.13,0.71
387.97,0.70
391.85,0.69
395.77,0.68
399.73,0.67
403.72,0.66
407.76,0.64
411.84,0.63
415.96,0.62
420.12,0.61
424.32,0.60
428.56,0.58
432.85,0.57
437.18,0.56
441.55,0.54
445.96,0.53
450.42,0.52
454.93,0.50
459.48,0.49
