frequency,raw
20.00,10.99
20.20,10.99
20.40,10.98
20.61,10.98
20.81,10.97
21.02,10.97
21.23,10.96
21.44,10.96
21.66,10.96
21.87,10.95
22.09,10.95
22.31,10.94
22.54,10.94
22.76,10.93
22.99,10.92
23.22,10.91
23.45,10.91
23.69,10.90
23.92,10.89
24.16,10.89
24.40,10.88
24.65,10.87
24.89,10.85
25.14,10.84
25.39,10.83
25.65,10.82
25.91,10.81
26.16,10.80
26.43,10.79
26.69,10.78
26.96,10.77
27.23,10.75
27.50,10.74
27.77,10.72
28.05,10.70
28.33,10.69
28.62,10.67
28.90,10.66
29.19,10.65
29.48,10.63
29.78,10.62
30.08,10.60
30.38,10.58
30.68,10.56
30.99,10.54
31.30,10.52
31.61,10.50
31.93,10.48
32.24,10.47
32.57,10.45
32.89,10.43
33.22,10.41
33.55,10.39
33.89,10.37
34.23,10.35
34.57,10.33
34.92,10.30
35.27,10.28
35.62,10.26
35.97,10.23
36.33,10.21
36.70,10.18
37.06,10.16
37.43,10.14
37.81,10.11
38.19,10.09
38.57,10.06
38.95,10.03
39.34,10.00
39.74,9.98
40.14,9.95
40.54,9.92
40.94,9.89
41.35,9.87
41.76,9.84
42.18,9.81
42.60,9.78
43.03,9.75
43.46,9.72
43.90,9.69
44.33,9.66
44.78,9.62
45.23,9.59
45.68,9.55
46.13,9.52
46.60,9.49
47.06,9.45
47.53,9.42
48.01,9.38
48.49,9.34
48.97,9.31
49.46,9.27
49.96,9.23
50.46,9.19
50.96,9.15
51.47,9.11
51.99,9.08
52.51,9.04
53.03,8.99
53.56,8.95
54.10,8.91
54.64,8.87
55.18,8.84
55.74,8.79
56.29,8.75
56.86,8.70
57.42,8.66
58.00,8.62
58.58,8.57
59.16,8.52
59.76,8.48
60.35,8.43
60.96,8.38
61.57,8.33
62.18,8.29
62.80,8.24
63.43,8.19
64.07,8.14
64.71,8.09
65.35,8.04
66.01,7.99
66.67,7.94
67.33,7.88
68.01,7.83
68.69,7.78
69.37,7.73
70.07,7.67
70.77,7.62
71.48,7.56
72.19,7.51
72.91,7.45
73.64,7.40
74.38,7.34
75.12,7.28
75.87,7.22
76.63,7.17
