frequency,raw
20.00,4.81
20.20,4.84
20.40,4.88
20.61,4.91
20.81,4.93
21.02,4.96
21.23,4.99
21.44,5.02
21.66,5.05
21.87,5.08
22.09,5.11
22.31,5.14
22.54,5.17
22.76,5.20
22.99,5.23
23.22,5.26
23.45,5.29
23.69,5.33
23.92,5.36
24.16,5.39
24.40,5.42
24.65,5.44
24.89,5.47
25.14,5.48
25.39,5.50
25.65,5.52
25.91,5.54
26.16,5.56
26.43,5.58
26.69,5.60
26.96,5.62
27.23,5.64
27.50,5.66
27.77,5.68
28.05,5.69
28.33,5.70
28.62,5.71
28.90,5.72
29.19,5.73
29.48,5.74
29.78,5.75
30.08,5.75
30.38,5.76
30.68,5.76
30.99,5.76
31.30,5.77
31.61,5.77
31.93,5.77
32.24,5.77
32.57,5.77
32.89,5.76
33.22,5.76
33.55,5.75
33.89,5.75
34.23,5.75
34.57,5.75
34.92,5.75
35.27,5.74
35.62,5.74
35.97,5.73
36.33,5.71
36.70,5.70
37.06,5.69
37.43,5.67
37.81,5.66
38.19,5.65
38.57,5.64
38.95,5.62
39.34,5.61
39.74,5.60
40.14,5.58
40.54,5.56
40.94,5.55
41.35,5.54
41.76,5.53
42.18,5.51
42.60,5.49
43.03,5.46
43.46,5.43
43.90,5.39
44.33,5.35
44.78,5.32
45.23,5.29
45.68,5.27
46.13,5.25
46.60,5.22
47.06,5.18
47.53,5.15
48.01,5.12
48.49,5.09
48.97,5.06
49.46,5.03
49.96,5.01
50.46,4.98
50.96,4.95
51.47,4.92
51.99,4.88
52.51,4.85
53.03,4.82
53.56,4.78
54.10,4.74
54.64,4.70
55.18,4.66
55.74,4.62
56.29,4.58
56.86,4.53
57.42,4.49
58.00,4.45
58.58,4.40
59.16,4.36
59.76,4.31
60.35,4.26
60.96,4.21
61.57,4.17
62.18,4.13
62.80,4.08
63.43,4.03
64.07,3.98
64.71,3.95
65.35,3.91
66.01,3.87
66.67,3.84
67.33,3.81
68.01,3.79
68.69,3.76
69.37,3.75
70.07,3.74
70.77,3.73
71.48,3.72
72.19,3.72
72.91,3.73
73.64,3.73
74.38,3.75
75.12,3.76
75.87,3.78
76.63,3.80
77.40,3.82
78.17,3.85
78.95,3.88
79.74,3.90
80.54,3.93
81.35,3.96
82.16,4.00
82.98,4.03
83.81,4.07
84.65,4.11
85.50,4.15
86.35,4.19
87.22,4.24
88.09,4.28
88.97,4.32
89.86,4.36
90.76,4.40
91.66,4.43
92.58,4.47
93.51,4.50
94.44,4.54
95.39,4.57
96.34,4.60
97.30,4.63
98.28,4.65
99.26,4.66
100.25,4.68
101.25,4.68
102.27,4.68
103.29,4.67
104.32,4.65
105.37,4.60
106.42,4.55
107.48,4.48
108.56,4.40
109.64,4.33
110.74,4.25
111.85,4.16
112.97,4.09
114.10,4.03
115.24,3.99
116.39,3.98
117.55,3.98
118.73,4.00
119.92,4.04
121.12,4.08
122.33,4.14
123.55,4.19
124.79,4.24
126.03,4.28
127.29,4.32
128.57,4.36
129.85,4.39
131.15,4.43
132.46,4.45
133.79,4.48
135.12,4.50
136.48,4.52
137.84,4.54
139.22,4.56
140.61,4.57
142.02,4.58
143.44,4.59
144.87,4.60
146.32,4.61
147.78,4.62
149.26,4.63
150.75,4.63
152.26,4.63
153.78,4.63
155.32,4.63
156.88,4.62
158.44,4.62
160.03,4.60
161.63,4.59
163.24,4.57
164.88,4.55
166.53,4.53
168.19,4.51
169.87,4.48
171.57,4.47
173.29,4.46
175.02,4.45
176.77,4.45
178.54,4.44
180.32,4.44
182.13,4.45
183.95,4.46
185.79,4.47
187.65,4.47
189.52,4.48
191.42,4.48
193.33,4.49
195.27,4.49
197.22,4.49
199.19,4.49
201.18,4.49
203.19,4.49
205.23,4.48
207.28,4.47
209.35,4.46
211.44,4.46
213.56,4.45
215.69,4.43
217.85,4.42
220.03,4.41
222.23,4.39
224.45,4.37
226.70,4.35
228.96,4.33
231.25,4.32
233.57,4.30
235.90,4.28
238.26,4.27
240.64,4.26
243.05,4.22
245.48,4.19
247.93,4.16
250.41,4.14
252.92,4.11
255.45,4.08
258.00,4.05
260.58,4.01
263.19,3.97
265.82,3.93
268.48,3.89
271.16,3.83
273.87,3.78
276.61,3.72
279.38,3.66
282.17,3.61
284.99,3.58
287.84,3.55
290.72,3.53
293.63,3.52
296.57,3.51
299.53,3.50
302.53,3.48
305.55,3.45
308.61,3.41
311.69,3.37
314.81,3.32
317.96,3.27
321.14,3.21
324.35,3.14
327.59,3.09
330.87,3.05
334.18,3.02
337.52,2.99
340.90,2.96
344.30,2.93
347.75,2.88
351.23,2.84
354.74,2.79
358.28,2.74
361.87,2.70
365.49,2.66
369.14,2.63
372.83,2.59
376.56,2.54
380.33,2.49
384.13,2.42
387.97,2.34
391.85,2.26
395.77,2.18
399.73,2.10
403.72,2.01
407.76,1.92
411.84,1.84
415.96,1.76
420.12,1.67
424.32,1.58
428.56,1.48
432.85,1.39
437.18,1.32
441.55,1.23
445.96,1.14
450.42,1.07
454.93,0.98
459.48,0.89
464.07,0.80
468.71,0.73
473.40,0.66
478.13,0.58
482.91,0.49
487.74,0.41
492.62,0.33
497.55,0.25
502.52,0.18
507.55,0.11
512.62,0.02
517.75,-0.06
522.93,-0.13
528.16,-0.20
533.44,-0.28
538.77,-0.36
544.16,-0.41
549.60,-0.47
555.10,-0.53
560.65,-0.59
566.25,-0.65
571.92,-0.71
577.64,-0.76
583.41,-0.81
589.25,-0.85
595.14,-0.88
601.09,-0.92
607.10,-0.95
613.17,-0.97
619.30,-1.00
625.50,-1.02
631.75,-1.03
638.07,-1.05
644.45,-1.06
650.89,-1.07
657.40,-1.07
663.98,-1.07
670.62,-1.06
677.32,-1.06
684.10,-1.06
690.94,-1.05
697.85,-1.06
704.83,-1.05
711.87,-1.04
718.99,-1.02
726.18,-1.02
733.44,-1.02
740.78,-1.02
748.19,-0.99
755.67,-0.96
763.23,-0.93
770.86,-0.89
778.57,-0.86
786.35,-0.83
794.22,-0.79
802.16,-0.76
810.18,-0.74
818.28,-0.70
826.46,-0.65
834.73,-0.60
843.08,-0.54
851.51,-0.50
860.02,-0.46
868.62,-0.42
877.31,-0.38
886.08,-0.33
894.94,-0.28
903.89,-0.24
912.93,-0.22
922.06,-0.20
931.28,-0.17
940.59,-0.15
950.00,-0.17
959.50,-0.13
969.09,-0.10
978.78,-0.08
988.57,-0.07
998.46,-0.01
1008.44,0.04
1018.53,0.07
1028.71,0.10
1039.00,0.10
1049.39,0.10
1059.88,0.10
1070.48,0.03
1081.19,-0.04
1092.00,-0.10
1102.92,-0.09
1113.95,-0.11
1125.09,-0.16
1136.34,-0.26
1147.70,-0.34
1159.18,-0.43
1170.77,-0.52
1182.48,-0.65
1194.30,-0.72
1206.25,-0.78
1218.31,-0.77
1230.49,-0.76
1242.80,-0.76
1255.22,-0.86
1267.78,-0.90
1280.45,-0.93
1293.26,-0.99
1306.19,-1.05
1319.25,-1.10
1332.45,-1.19
1345.77,-1.27
1359.23,-1.34
1372.82,-1.36
1386.55,-1.41
1400.41,-1.49
1414.42,-1.52
1428.56,-1.55
1442.85,-1.67
1457.28,-1.72
1471.85,-1.70
1486.57,-1.62
1501.43,-1.54
1516.45,-1.57
1531.61,-1.55
1546.93,-1.47
1562.40,-1.42
1578.02,-1.40
1593.80,-1.45
1609.74,-1.44
1625.84,-1.39
1642.10,-1.22
1658.52,-1.08
1675.10,-0.95
1691.85,-0.74
1708.77,-0.52
1725.86,-0.28
1743.12,0.01
1760.55,0.26
1778.15,0.49
1795.94,0.77
1813.90,1.08
1832.03,1.33
1850.36,1.45
1868.86,1.70
1887.55,2.05
1906.42,2.37
1925.49,2.55
1944.74,2.70
1964.19,3.03
1983.83,3.41
2003.67,3.74
2023.71,3.97
2043.94,4.24
2064.38,4.54
2085.03,4.86
2105.88,5.12
2126.94,5.43
2148.20,5.77
2169.69,5.96
2191.38,6.19
2213.30,6.47
2235.43,6.78
2257.78,7.02
2280.36,7.20
2303.17,7.35
2326.20,7.58
2349.46,7.71
2372.95,7.85
2396.68,8.03
2420.65,8.19
2444.86,8.35
2469.31,8.53
2494.00,8.68
2518.94,8.81
2544.13,8.93
2569.57,9.01
2595.27,9.07
2621.22,9.13
2647.43,9.23
2673.90,9.30
2700.64,9.39
2727.65,9.49
2754.93,9.53
2782.48,9.58
2810.30,9.62
2838.40,9.65
2866.79,9.66
2895.46,9.67
2924.41,9.65
2953.65,9.64
2983.19,9.60
3013.02,9.54
3043.15,9.46
3073.58,9.41
3104.32,9.37
3135.36,9.36
3166.72,9.35
3198.38,9.34
3230.37,9.33
3262.67,9.30
3295.30,9.24
3328.25,9.18
3361.53,9.12
3395.15,9.02
3429.10,8.97
3463.39,8.93
3498.03,8.89
3533.01,8.88
3568.34,8.86
3604.02,8.81
