frequency,raw
20.00,4.76
20.20,4.83
20.40,4.92
20.61,5.04
20.81,5.18
21.02,5.33
21.23,5.49
21.44,5.66
21.66,5.84
21.87,6.02
22.09,6.21
22.31,6.39
22.54,6.58
22.76,6.76
22.99,6.94
23.22,7.10
23.45,7.26
23.69,7.41
23.92,7.54
24.16,7.66
24.40,7.78
24.65,7.89
24.89,7.99
25.14,8.09
25.39,8.19
25.65,8.28
25.91,8.37
26.16,8.45
26.43,8.53
26.69,8.60
26.96,8.67
27.23,8.74
27.50,8.81
27.77,8.87
28.05,8.94
28.33,9.01
28.62,9.08
28.90,9.14
29.19,9.21
29.48,9.27
29.78,9.33
30.08,9.39
30.38,9.45
30.68,9.50
30.99,9.56
31.30,9.60
31.61,9.65
31.93,9.69
32.24,9.73
32.57,9.77
32.89,9.80
33.22,9.83
33.55,9.86
33.89,9.89
34.23,9.91
34.57,9.93
34.92,9.95
35.27,9.97
35.62,9.99
35.97,10.00
36.33,10.02
36.70,10.04
37.06,10.06
37.43,10.07
37.81,10.07
38.19,10.07
38.57,10.07
38.95,10.07
39.34,10.07
39.74,10.07
40.14,10.07
40.54,10.06
40.94,10.05
41.35,10.04
41.76,10.03
42.18,10.02
42.60,10.02
43.03,10.00
43.46,9.99
43.90,9.98
44.33,9.97
44.78,9.97
45.23,9.97
45.68,9.98
46.13,9.99
46.60,9.99
47.06,10.00
47.53,10.00
48.01,10.01
48.49,10.02
48.97,10.03
49.46,10.04
49.96,10.04
50.46,10.02
50.96,10.00
51.47,9.97
51.99,9.94
52.51,9.90
53.03,9.86
53.56,9.80
54.10,9.74
54.64,9.68
55.18,9.60
55.74,9.52
56.29,9.45
56.86,9.37
57.42,9.31
58.00,9.24
58.58,9.19
59.16,9.13
59.76,9.08
60.35,9.04
60.96,9.01
61.57,9.00
62.18,9.01
62.80,9.02
63.43,9.07
64.07,9.13
64.71,9.22
65.35,9.33
66.01,9.45
66.67,9.60
67.33,9.76
68.01,9.93
68.69,10.08
69.37,10.21
70.07,10.32
70.77,10.38
71.48,10.39
72.19,10.36
72.91,10.27
73.64,10.14
74.38,9.99
75.12,9.82
75.87,9.65
76.63,9.49
77.40,9.34
78.17,9.23
78.95,9.13
79.74,9.07
80.54,9.05
81.35,9.04
82.16,9.07
82.98,9.12
83.81,9.18
84.65,9.24
85.50,9.28
86.35,9.32
87.22,9.33
88.09,9.33
88.97,9.31
89.86,9.29
90.76,9.29
91.66,9.32
92.58,9.37
93.51,9.47
94.44,9.60
95.39,9.75
96.34,9.92
97.30,10.09
98.28,10.28
99.26,10.47
100.25,10.64
101.25,10.79
102.27,10.92
103.29,11.03
104.32,11.09
105.37,11.09
106.42,11.03
107.48,10.92
108.56,10.71
109.64,10.44
110.74,10.11
111.85,9.74
112.97,9.38
114.10,9.04
115.24,8.81
116.39,8.67
117.55,8.57
118.73,8.57
119.92,8.59
121.12,8.62
122.33,8.63
123.55,8.61
124.79,8.55
126.03,8.43
127.29,8.26
128.57,8.01
129.85,7.72
131.15,7.43
132.46,7.09
133.79,6.72
135.12,6.34
136.48,5.96
