frequency,raw
20.00,-0.30
20.20,-0.27
20.40,-0.24
20.61,-0.21
20.81,-0.18
21.02,-0.15
21.23,-0.12
21.44,-0.09
21.66,-0.05
21.87,-0.02
22.09,0.02
22.31,0.07
22.54,0.11
22.76,0.16
22.99,0.20
23.22,0.24
23.45,0.29
23.69,0.33
23.92,0.37
24.16,0.41
24.40,0.46
24.65,0.51
24.89,0.57
25.14,0.62
25.39,0.68
25.65,0.74
25.91,0.79
26.16,0.84
26.43,0.90
26.69,0.95
26.96,1.00
27.23,1.06
27.50,1.11
27.77,1.16
28.05,1.20
28.33,1.23
28.62,1.27
28.90,1.30
29.19,1.33
29.48,1.37
29.78,1.40
30.08,1.44
30.38,1.47
30.68,1.48
30.99,1.50
31.30,1.51
31.61,1.52
31.93,1.54
32.24,1.56
32.57,1.58
32.89,1.61
33.22,1.62
33.55,1.63
33.89,1.64
34.23,1.64
34.57,1.64
34.92,1.65
35.27,1.66
35.62,1.67
35.97,1.68
36.33,1.69
36.70,1.69
37.06,1.69
37.43,1.68
37.81,1.67
38.19,1.66
38.57,1.65
38.95,1.65
39.34,1.65
39.74,1.65
40.14,1.64
40.54,1.64
40.94,1.63
41.35,1.62
41.76,1.61
42.18,1.60
42.60,1.59
43.03,1.59
43.46,1.59
43.90,1.59
44.33,1.60
44.78,1.60
45.23,1.61
45.68,1.61
46.13,1.62
46.60,1.62
47.06,1.62
47.53,1.63
48.01,1.63
48.49,1.64
48.97,1.64
49.46,1.63
49.96,1.62
50.46,1.62
50.96,1.61
51.47,1.60
51.99,1.60
52.51,1.60
53.03,1.60
53.56,1.59
54.10,1.57
54.64,1.56
55.18,1.55
55.74,1.55
56.29,1.55
56.86,1.56
57.42,1.56
58.00,1.58
58.58,1.62
59.16,1.66
59.76,1.71
60.35,1.76
60.96,1.83
61.57,1.92
62.18,2.03
62.80,2.15
63.43,2.29
64.07,2.45
64.71,2.62
65.35,2.82
66.01,3.02
66.67,3.24
67.33,3.45
68.01,3.66
68.69,3.82
69.37,3.95
70.07,4.05
