frequency,raw
20.00,-12.78
20.20,-12.95
20.40,-13.04
20.61,-13.05
20.81,-12.97
21.02,-12.86
21.23,-12.73
21.44,-12.61
21.66,-12.48
21.87,-12.35
22.09,-12.21
22.31,-12.05
22.54,-11.88
22.76,-11.72
22.99,-11.55
23.22,-11.40
23.45,-11.25
23.69,-11.11
23.92,-10.98
24.16,-10.86
24.40,-10.75
24.65,-10.65
24.89,-10.55
25.14,-10.45
25.39,-10.35
25.65,-10.24
25.91,-10.13
26.16,-10.02
26.43,-9.92
26.69,-9.84
26.96,-9.77
27.23,-9.71
27.50,-9.66
27.77,-9.59
28.05,-9.52
28.33,-9.45
28.62,-9.40
28.90,-9.37
29.19,-9.35
29.48,-9.35
29.78,-9.35
30.08,-9.35
30.38,-9.35
30.68,-9.37
30.99,-9.40
31.30,-9.44
31.61,-9.49
31.93,-9.55
32.24,-9.60
32.57,-9.65
32.89,-9.72
33.22,-9.78
33.55,-9.85
33.89,-9.90
34.23,-9.94
34.57,-9.98
34.92,-10.02
35.27,-10.05
35.62,-10.08
35.97,-10.11
36.33,-10.14
36.70,-10.18
37.06,-10.22
37.43,-10.25
37.81,-10.27
38.19,-10.29
38.57,-10.30
38.95,-10.33
39.34,-10.35
39.74,-10.38
40.14,-10.41
40.54,-10.43
40.94,-10.45
41.35,-10.47
41.76,-10.47
42.18,-10.48
42.60,-10.49
43.03,-10.51
43.46,-10.52
43.90,-10.51
44.33,-10.48
44.78,-10.44
45.23,-10.40
45.68,-10.36
46.13,-10.30
46.60,-10.23
47.06,-10.15
47.53,-10.05
48.01,-9.95
48.49,-9.85
48.97,-9.73
49.46,-9.61
49.96,-9.47
50.46,-9.32
50.96,-9.17
51.47,-8.99
51.99,-8.80
52.51,-8.61
53.03,-8.42
53.56,-8.22
54.10,-8.01
54.64,-7.79
55.18,-7.56
55.74,-7.33
56.29,-7.09
56.86,-6.85
57.42,-6.61
58.00,-6.36
58.58,-6.11
59.16,-5.86
59.76,-5.62
60.35,-5.38
60.96,-5.14
61.57,-4.90
62.18,-4.67
62.80,-4.47
63.43,-4.27
64.07,-4.08
64.71,-3.91
65.35,-3.76
66.01,-3.62
66.67,-3.51
67.33,-3.40
68.01,-3.31
68.69,-3.24
69.37,-3.17
