frequency,raw
20.00,12.38
20.20,12.38
20.40,12.38
20.61,12.38
20.81,12.37
21.02,12.37
21.23,12.37
21.44,12.36
21.66,12.36
21.87,12.36
22.09,12.35
22.31,12.35
22.54,12.34
22.76,12.33
22.99,12.32
23.22,12.31
23.45,12.30
23.69,12.29
23.92,12.28
24.16,12.27
24.40,12.26
24.65,12.25
24.89,12.24
25.14,12.23
25.39,12.22
25.65,12.21
25.91,12.19
26.16,12.18
26.43,12.16
26.69,12.15
26.96,12.13
27.23,12.10
27.50,12.08
27.77,12.06
28.05,12.04
28.33,12.02
28.62,12.01
28.90,11.99
29.19,11.97
29.48,11.95
29.78,11.92
30.08,11.90
30.38,11.87
30.68,11.84
30.99,11.81
31.30,11.77
31.61,11.74
31.93,11.70
32.24,11.67
32.57,11.63
32.89,11.60
33.22,11.57
33.55,11.53
33.89,11.50
34.23,11.46
34.57,11.42
34.92,11.38
35.27,11.34
35.62,11.30
35.97,11.26
36.33,11.21
36.70,11.17
37.06,11.12
37.43,11.07
37.81,11.02
38.19,10.97
38.57,10.92
38.95,10.87
39.34,10.81
39.74,10.76
40.14,10.71
40.54,10.66
40.94,10.61
41.35,10.56
41.76,10.51
42.18,10.47
42.60,10.41
43.03,10.36
43.46,10.30
43.90,10.24
44.33,10.18
44.78,10.12
45.23,10.06
45.68,10.00
46.13,9.93
46.60,9.86
47.06,9.79
47.53,9.72
48.01,9.65
48.49,9.58
48.97,9.50
49.46,9.43
49.96,9.35
50.46,9.28
50.96,9.20
51.47,9.13
51.99,9.05
52.51,8.97
53.03,8.89
53.56,8.81
54.10,8.74
54.64,8.66
55.18,8.58
55.74,8.50
56.29,8.42
56.86,8.34
57.42,8.26
58.00,8.17
58.58,8.08
59.16,7.99
59.76,7.90
60.35,7.81
60.96,7.72
61.57,7.62
62.18,7.52
62.80,7.43
63.43,7.33
64.07,7.24
64.71,7.13
65.35,7.03
66.01,6.93
66.67,6.83
67.33,6.73
68.01,6.62
68.69,6.51
69.37,6.39
70.07,6.28
70.77,6.17
71.48,6.06
72.19,5.95
72.91,5.84
73.64,5.74
74.38,5.64
75.12,5.55
75.87,5.46
76.63,5.37
77.40,5.28
78.17,5.20
78.95,5.11
79.74,5.04
80.54,4.97
81.35,4.90
82.16,4.83
82.98,4.77
83.81,4.72
84.65,4.67
85.50,4.62
86.35,4.58
87.22,4.55
88.09,4.52
88.97,4.49
89.86,4.46
90.76,4.44
91.66,4.42
92.58,4.39
93.51,4.37
94.44,4.35
95.39,4.33
96.34,4.32
97.30,4.31
98.28,4.30
99.26,4.29
100.25,4.28
101.25,4.27
102.27,4.26
103.29,4.25
104.32,4.24
105.37,4.23
106.42,4.23
107.48,4.22
108.56,4.22
109.64,4.21
110.74,4.20
111.85,4.19
112.97,4.19
114.10,4.19
115.24,4.19
116.39,4.18
117.55,4.18
118.73,4.18
119.92,4.18
121.12,4.18
122.33,4.16
123.55,4.15
124.79,4.14
126.03,4.13
127.29,4.13
128.57,4.12
129.85,4.10
131.15,4.08
132.46,4.06
133.79,4.04
135.12,4.02
136.48,4.00
137.84,3.97
139.22,3.94
140.61,3.91
142.02,3.87
143.44,3.84
144.87,3.80
146.32,3.76
