frequency,raw
20.00,11.79
20.20,11.78
20.40,11.76
20.61,11.75
20.81,11.74
21.02,11.72
21.23,11.71
21.44,11.70
21.66,11.69
21.87,11.68
22.09,11.67
22.31,11.67
22.54,11.66
22.76,11.65
22.99,11.63
23.22,11.61
23.45,11.59
23.69,11.57
23.92,11.55
24.16,11.52
24.40,11.50
24.65,11.48
24.89,11.45
25.14,11.43
25.39,11.41
25.65,11.39
25.91,11.38
26.16,11.36
26.43,11.33
26.69,11.31
26.96,11.28
27.23,11.25
27.50,11.22
27.77,11.19
28.05,11.16
28.33,11.14
28.62,11.11
28.90,11.08
29.19,11.05
29.48,11.02
29.78,10.98
30.08,10.94
30.38,10.90
30.68,10.86
30.99,10.82
31.30,10.78
31.61,10.74
31.93,10.70
32.24,10.65
32.57,10.61
32.89,10.56
33.22,10.51
33.55,10.46
33.89,10.41
34.23,10.35
34.57,10.30
34.92,10.25
35.27,10.20
35.62,10.16
35.97,10.11
36.33,10.05
36.70,9.99
37.06,9.93
37.43,9.86
37.81,9.80
38.19,9.74
38.57,9.68
38.95,9.62
39.34,9.55
39.74,9.48
40.14,9.42
40.54,9.36
40.94,9.30
41.35,9.24
41.76,9.17
42.18,9.10
42.60,9.02
43.03,8.95
43.46,8.88
43.90,8.80
44.33,8.72
44.78,8.65
45.23,8.57
45.68,8.50
46.13,8.42
46.60,8.34
47.06,8.25
47.53,8.17
48.01,8.09
48.49,8.01
48.97,7.92
49.46,7.82
49.96,7.73
50.46,7.65
50.96,7.57
51.47,7.48
51.99,7.37
52.51,7.27
53.03,7.18
53.56,7.13
54.10,7.06
54.64,6.98
55.18,6.88
55.74,6.78
56.29,6.69
56.86,6.60
57.42,6.50
58.00,6.40
58.58,6.31
59.16,6.23
59.76,6.14
60.35,6.04
60.96,5.94
61.57,5.85
62.18,5.75
62.80,5.64
63.43,5.53
64.07,5.43
64.71,5.33
65.35,5.23
66.01,5.12
66.67,5.01
67.33,4.90
68.01,4.79
68.69,4.69
69.37,4.59
70.07,4.48
70.77,4.37
71.48,4.27
72.19,4.17
72.91,4.07
73.64,3.98
74.38,3.89
75.12,3.81
75.87,3.74
76.63,3.67
77.40,3.60
78.17,3.55
78.95,3.49
79.74,3.44
80.54,3.40
81.35,3.35
82.16,3.30
82.98,3.26
83.81,3.23
84.65,3.21
85.50,3.19
86.35,3.18
87.22,3.18
88.09,3.17
88.97,3.16
89.86,3.15
90.76,3.16
91.66,3.16
92.58,3.15
93.51,3.16
94.44,3.17
95.39,3.18
96.34,3.19
97.30,3.18
98.28,3.20
99.26,3.22
100.25,3.22
101.25,3.23
102.27,3.25
103.29,3.26
104.32,3.27
105.37,3.26
106.42,3.26
107.48,3.27
108.56,3.28
109.64,3.29
110.74,3.30
111.85,3.31
112.97,3.31
114.10,3.30
115.24,3.29
116.39,3.28
117.55,3.27
118.73,3.24
119.92,3.19
121.12,3.19
122.33,3.23
123.55,3.22
124.79,3.20
126.03,3.18
127.29,3.14
128.57,3.11
129.85,3.07
131.15,3.03
132.46,2.99
133.79,2.95
135.12,2.90
136.48,2.85
137.84,2.80
139.22,2.75
140.61,2.70
142.02,2.65
143.44,2.60
144.87,2.55
146.32,2.49
147.78,2.43
149.26,2.37
150.75,2.31
152.26,2.25
153.78,2.19
155.32,2.14
156.88,2.08
158.44,2.02
160.03,1.97
161.63,1.92
163.24,1.86
164.88,1.81
166.53,1.77
168.19,1.72
169.87,1.67
171.57,1.63
173.29,1.58
175.02,1.53
176.77,1.49
178.54,1.44
180.32,1.40
182.13,1.36
183.95,1.31
185.79,1.26
187.65,1.21
189.52,1.17
191.42,1.14
193.33,1.10
195.27,1.05
197.22,0.99
199.19,0.94
201.18,0.90
203.19,0.88
205.23,0.90
207.28,0.90
209.35,0.88
211.44,0.85
213.56,0.81
215.69,0.79
217.85,0.78
220.03,0.75
222.23,0.73
224.45,0.70
226.70,0.69
228.96,0.68
231.25,0.67
233.57,0.65
235.90,0.63
238.26,0.64
240.64,0.62
243.05,0.57
245.48,0.54
247.93,0.51
250.41,0.49
252.92,0.48
255.45,0.47
258.00,0.45
260.58,0.45
263.19,0.44
265.82,0.44
268.48,0.45
271.16,0.45
273.87,0.45
276.61,0.46
279.38,0.46
282.17,0.45
284.99,0.44
287.84,0.43
290.72,0.41
293.63,0.38
296.57,0.35
299.53,0.31
302.53,0.26
305.55,0.20
308.61,0.14
311.69,0.08
314.81,0.01
317.96,-0.07
321.14,-0.16
324.35,-0.25
327.59,-0.35
330.87,-0.45
334.18,-0.55
337.52,-0.65
340.90,-0.76
344.30,-0.85
347.75,-0.94
351.23,-1.04
354.74,-1.15
358.28,-1.26
361.87,-1.37
365.49,-1.47
369.14,-1.57
372.83,-1.68
376.56,-1.79
380.33,-1.91
384.13,-2.03
387.97,-2.16
391.85,-2.29
395.77,-2.42
399.73,-2.54
403.72,-2.66
407.76,-2.77
411.84,-2.89
415.96,-3.00
420.12,-3.11
424.32,-3.21
428.56,-3.31
432.85,-3.41
437.18,-3.50
441.55,-3.60
445.96,-3.69
450.42,-3.77
454.93,-3.86
459.48,-3.93
464.07,-4.01
468.71,-4.08
473.40,-4.14
478.13,-4.20
482.91,-4.25
487.74,-4.30
492.62,-4.33
497.55,-4.35
502.52,-4.37
507.55,-4.38
512.62,-4.38
517.75,-4.37
522.93,-4.36
528.16,-4.36
533.44,-4.34
538.77,-4.32
544.16,-4.30
549.60,-4.28
555.10,-4.26
560.65,-4.25
566.25,-4.24
571.92,-4.22
577.64,-4.19
583.41,-4.15
589.25,-4.11
595.14,-4.06
601.09,-4.02
607.10,-3.99
613.17,-3.95
619.30,-3.91
625.50,-3.86
631.75,-3.81
638.07,-3.76
644.45,-3.72
650.89,-3.67
657.40,-3.62
663.98,-3.57
670.62,-3.52
677.32,-3.48
684.10,-3.43
690.94,-3.38
697.85,-3.34
704.83,-3.30
711.87,-3.24
718.99,-3.18
726.18,-3.12
733.44,-3.06
740.78,-3.00
748.19,-2.93
755.67,-2.85
763.23,-2.77
770.86,-2.68
778.57,-2.59
786.35,-2.50
794.22,-2.41
802.16,-2.33
810.18,-2.23
818.28,-2.14
826.46,-2.05
834.73,-1.96
843.08,-1.86
851.51,-1.76
860.02,-1.65
868.62,-1.54
877.31,-1.44
886.08,-1.34
894.94,-1.25
903.89,-1.14
912.93,-1.01
922.06,-0.86
931.28,-0.75
940.59,-0.64
