frequency,raw
20.00,-4.53
20.20,-4.53
20.40,-4.54
20.61,-4.55
20.81,-4.55
21.02,-4.55
21.23,-4.55
21.44,-4.54
21.66,-4.53
21.87,-4.52
22.09,-4.51
22.31,-4.49
22.54,-4.48
22.76,-4.47
22.99,-4.46
23.22,-4.45
23.45,-4.44
23.69,-4.42
23.92,-4.41
24.16,-4.39
24.40,-4.37
24.65,-4.35
24.89,-4.33
25.14,-4.31
25.39,-4.29
25.65,-4.28
25.91,-4.26
26.16,-4.25
26.43,-4.24
26.69,-4.23
26.96,-4.22
27.23,-4.20
27.50,-4.19
27.77,-4.18
28.05,-4.17
28.33,-4.17
28.62,-4.17
28.90,-4.17
29.19,-4.17
29.48,-4.17
29.78,-4.16
30.08,-4.15
30.38,-4.15
30.68,-4.15
30.99,-4.15
31.30,-4.16
31.61,-4.16
31.93,-4.16
32.24,-4.17
32.57,-4.17
32.89,-4.17
33.22,-4.17
33.55,-4.17
33.89,-4.17
34.23,-4.17
34.57,-4.17
34.92,-4.18
35.27,-4.19
35.62,-4.20
35.97,-4.21
36.33,-4.20
36.70,-4.19
37.06,-4.17
37.43,-4.16
37.81,-4.15
38.19,-4.15
38.57,-4.15
38.95,-4.14
39.34,-4.14
39.74,-4.13
40.14,-4.13
40.54,-4.14
40.94,-4.13
41.35,-4.12
41.76,-4.11
42.18,-4.10
42.60,-4.10
43.03,-4.10
43.46,-4.11
43.90,-4.11
44.33,-4.11
44.78,-4.11
45.23,-4.11
45.68,-4.12
46.13,-4.13
46.60,-4.13
47.06,-4.13
47.53,-4.13
48.01,-4.13
48.49,-4.13
48.97,-4.14
49.46,-4.14
49.96,-4.14
50.46,-4.14
50.96,-4.14
51.47,-4.15
51.99,-4.15
52.51,-4.15
53.03,-4.15
53.56,-4.15
54.10,-4.16
54.64,-4.15
55.18,-4.15
55.74,-4.15
56.29,-4.15
56.86,-4.15
57.42,-4.16
58.00,-4.16
58.58,-4.17
59.16,-4.17
59.76,-4.15
60.35,-4.13
60.96,-4.13
61.57,-4.15
62.18,-4.16
62.80,-4.15
63.43,-4.15
64.07,-4.16
64.71,-4.17
65.35,-4.16
66.01,-4.15
66.67,-4.15
67.33,-4.15
68.01,-4.14
68.69,-4.14
69.37,-4.14
70.07,-4.15
70.77,-4.15
71.48,-4.15
72.19,-4.15
72.91,-4.15
73.64,-4.14
74.38,-4.14
75.12,-4.14
75.87,-4.14
76.63,-4.15
77.40,-4.15
78.17,-4.15
78.95,-4.15
79.74,-4.15
80.54,-4.16
81.35,-4.16
82.16,-4.17
82.98,-4.17
83.81,-4.17
84.65,-4.18
85.50,-4.19
86.35,-4.19
87.22,-4.19
88.09,-4.19
88.97,-4.20
89.86,-4.21
90.76,-4.21
91.66,-4.21
92.58,-4.21
93.51,-4.22
94.44,-4.22
95.39,-4.22
96.34,-4.23
97.30,-4.21
98.28,-4.22
99.26,-4.23
100.25,-4.23
101.25,-4.24
102.27,-4.24
103.29,-4.24
104.32,-4.24
105.37,-4.25
106.42,-4.25
107.48,-4.25
108.56,-4.25
109.64,-4.25
110.74,-4.25
111.85,-4.25
112.97,-4.25
114.10,-4.26
115.24,-4.27
116.39,-4.27
117.55,-4.27
118.73,-4.29
119.92,-4.33
121.12,-4.31
122.33,-4.26
123.55,-4.25
124.79,-4.26
126.03,-4.26
127.29,-4.26
128.57,-4.27
129.85,-4.27
131.15,-4.27
132.46,-4.27
133.79,-4.27
135.12,-4.28
136.48,-4.28
137.84,-4.28
139.22,-4.28
140.61,-4.29
142.02,-4.29
143.44,-4.28
144.87,-4.28
146.32,-4.28
147.78,-4.28
149.26,-4.28
150.75,-4.28
152.26,-4.28
153.78,-4.27
155.32,-4.27
156.88,-4.27
158.44,-4.26
160.03,-4.26
161.63,-4.26
163.24,-4.26
164.88,-4.25
166.53,-4.25
168.19,-4.25
169.87,-4.25
171.57,-4.25
173.29,-4.24
175.02,-4.24
176.77,-4.24
178.54,-4.23
180.32,-4.23
182.13,-4.23
183.95,-4.22
185.79,-4.22
187.65,-4.22
189.52,-4.22
191.42,-4.22
193.33,-4.22
195.27,-4.22
197.22,-4.22
199.19,-4.21
201.18,-4.21
203.19,-4.21
205.23,-4.21
207.28,-4.21
209.35,-4.21
211.44,-4.20
213.56,-4.20
215.69,-4.20
217.85,-4.20
220.03,-4.21
222.23,-4.20
224.45,-4.20
226.70,-4.20
228.96,-4.20
231.25,-4.20
233.57,-4.21
235.90,-4.20
238.26,-4.20
240.64,-4.20
243.05,-4.16
245.48,-4.15
247.93,-4.13
250.41,-4.12
252.92,-4.12
255.45,-4.11
258.00,-4.10
260.58,-4.09
263.19,-4.09
265.82,-4.09
268.48,-4.08
271.16,-4.07
273.87,-4.04
276.61,-4.01
279.38,-3.98
282.17,-3.96
284.99,-3.93
287.84,-3.91
290.72,-3.90
293.63,-3.88
296.57,-3.87
299.53,-3.86
302.53,-3.84
305.55,-3.83
308.61,-3.82
311.69,-3.81
314.81,-3.79
317.96,-3.77
321.14,-3.75
324.35,-3.74
327.59,-3.72
330.87,-3.71
334.18,-3.70
337.52,-3.68
340.90,-3.67
344.30,-3.65
347.75,-3.64
351.23,-3.63
354.74,-3.63
358.28,-3.63
361.87,-3.64
365.49,-3.66
369.14,-3.66
372.83,-3.65
376.56,-3.63
380.33,-3.60
384.13,-3.57
387.97,-3.53
391.85,-3.49
395.77,-3.45
399.73,-3.42
403.72,-3.39
407.76,-3.35
411.84,-3.32
415.96,-3.29
420.12,-3.25
424.32,-3.22
428.56,-3.19
432.85,-3.16
437.18,-3.12
441.55,-3.09
445.96,-3.07
450.42,-3.05
454.93,-3.02
459.48,-2.99
464.07,-2.96
468.71,-2.93
473.40,-2.91
478.13,-2.88
482.91,-2.84
487.74,-2.82
492.62,-2.84
497.55,-2.89
502.52,-2.97
507.55,-3.07
512.62,-3.07
517.75,-3.03
522.93,-2.97
528.16,-2.88
533.44,-2.78
538.77,-2.69
544.16,-2.64
549.60,-2.58
555.10,-2.53
560.65,-2.49
566.25,-2.46
571.92,-2.44
577.64,-2.43
583.41,-2.45
589.25,-2.48
595.14,-2.44
601.09,-2.37
607.10,-2.24
613.17,-2.13
619.30,-2.05
625.50,-2.01
631.75,-2.00
638.07,-1.98
644.45,-1.94
650.89,-1.89
657.40,-1.86
663.98,-1.81
670.62,-1.75
677.32,-1.72
684.10,-1.66
690.94,-1.59
697.85,-1.52
704.83,-1.44
711.87,-1.39
718.99,-1.37
726.18,-1.32
733.44,-1.27
740.78,-1.21
748.19,-1.15
755.67,-1.09
763.23,-1.05
770.86,-1.05
778.57,-1.09
