frequency,raw
20.00,-4.20
20.20,-4.20
20.40,-4.20
20.61,-4.20
20.81,-4.21
21.02,-4.22
21.23,-4.23
21.44,-4.24
21.66,-4.24
21.87,-4.25
22.09,-4.25
22.31,-4.26
22.54,-4.26
22.76,-4.26
22.99,-4.25
23.22,-4.25
23.45,-4.25
23.69,-4.25
23.92,-4.26
24.16,-4.26
24.40,-4.27
24.65,-4.28
24.89,-4.28
25.14,-4.28
25.39,-4.28
25.65,-4.28
25.91,-4.27
26.16,-4.27
26.43,-4.27
26.69,-4.27
26.96,-4.28
27.23,-4.28
27.50,-4.27
27.77,-4.27
28.05,-4.26
28.33,-4.26
28.62,-4.27
28.90,-4.28
29.19,-4.30
29.48,-4.32
29.78,-4.32
30.08,-4.32
30.38,-4.31
30.68,-4.28
30.99,-4.25
31.30,-4.23
31.61,-4.21
31.93,-4.20
32.24,-4.20
32.57,-4.21
32.89,-4.22
33.22,-4.22
33.55,-4.23
33.89,-4.23
34.23,-4.23
34.57,-4.23
34.92,-4.22
35.27,-4.22
35.62,-4.22
35.97,-4.22
36.33,-4.21
36.70,-4.20
37.06,-4.19
37.43,-4.18
37.81,-4.18
38.19,-4.19
38.57,-4.19
38.95,-4.18
39.34,-4.18
39.74,-4.17
40.14,-4.17
40.54,-4.16
40.94,-4.16
41.35,-4.14
41.76,-4.12
42.18,-4.10
42.60,-4.07
43.03,-4.04
43.46,-4.02
43.90,-4.00
44.33,-3.99
44.78,-3.99
45.23,-3.99
45.68,-4.00
46.13,-4.00
46.60,-3.99
47.06,-4.00
47.53,-4.01
48.01,-4.02
48.49,-4.03
48.97,-4.03
49.46,-4.02
49.96,-4.02
50.46,-4.02
50.96,-4.02
51.47,-4.03
51.99,-4.03
52.51,-4.03
53.03,-4.03
53.56,-4.03
54.10,-4.03
54.64,-4.04
55.18,-4.06
55.74,-4.06
56.29,-4.05
56.86,-4.04
57.42,-4.03
58.00,-4.03
58.58,-4.04
59.16,-4.03
59.76,-4.01
60.35,-4.00
60.96,-4.00
61.57,-4.03
62.18,-4.04
62.80,-4.03
63.43,-4.02
64.07,-4.02
64.71,-4.04
65.35,-4.04
66.01,-4.03
66.67,-4.04
67.33,-4.04
68.01,-4.04
68.69,-4.03
69.37,-4.03
70.07,-4.03
70.77,-4.03
71.48,-4.03
72.19,-4.03
72.91,-4.04
73.64,-4.04
74.38,-4.04
75.12,-4.03
75.87,-4.03
76.63,-4.04
77.40,-4.04
78.17,-4.04
78.95,-4.05
79.74,-4.05
80.54,-4.06
81.35,-4.07
82.16,-4.06
82.98,-4.05
83.81,-4.06
84.65,-4.06
85.50,-4.06
86.35,-4.07
87.22,-4.07
88.09,-4.07
88.97,-4.07
89.86,-4.07
90.76,-4.07
91.66,-4.08
92.58,-4.08
93.51,-4.08
94.44,-4.08
95.39,-4.08
96.34,-4.09
97.30,-4.08
98.28,-4.09
99.26,-4.09
100.25,-4.09
101.25,-4.09
102.27,-4.09
103.29,-4.09
104.32,-4.09
105.37,-4.09
106.42,-4.09
107.48,-4.10
108.56,-4.10
109.64,-4.09
110.74,-4.09
111.85,-4.09
112.97,-4.08
114.10,-4.08
115.24,-4.11
116.39,-4.10
117.55,-4.10
118.73,-4.12
119.92,-4.14
121.12,-4.13
122.33,-4.09
123.55,-4.08
124.79,-4.09
126.03,-4.09
127.29,-4.09
128.57,-4.09
129.85,-4.09
131.15,-4.09
132.46,-4.09
133.79,-4.09
135.12,-4.09
136.48,-4.09
137.84,-4.10
139.22,-4.10
140.61,-4.09
142.02,-4.09
143.44,-4.09
144.87,-4.09
146.32,-4.09
147.78,-4.08
149.26,-4.08
150.75,-4.08
152.26,-4.08
153.78,-4.08
155.32,-4.07
156.88,-4.07
158.44,-4.06
160.03,-4.06
161.63,-4.06
163.24,-4.05
164.88,-4.05
166.53,-4.05
168.19,-4.05
169.87,-4.05
171.57,-4.05
173.29,-4.04
175.02,-4.04
176.77,-4.03
178.54,-4.03
180.32,-4.03
182.13,-4.02
183.95,-4.01
185.79,-4.01
187.65,-4.01
189.52,-4.00
191.42,-4.00
193.33,-4.00
195.27,-4.00
197.22,-4.00
199.19,-4.00
201.18,-3.99
203.19,-3.99
205.23,-3.99
207.28,-3.98
209.35,-3.98
211.44,-3.98
213.56,-3.97
215.69,-3.97
217.85,-3.98
220.03,-3.98
222.23,-3.97
224.45,-3.97
226.70,-3.97
228.96,-3.97
231.25,-3.97
233.57,-3.96
235.90,-3.95
238.26,-3.96
240.64,-3.96
243.05,-3.93
245.48,-3.92
247.93,-3.91
250.41,-3.90
252.92,-3.89
255.45,-3.87
258.00,-3.85
260.58,-3.84
263.19,-3.83
265.82,-3.81
268.48,-3.79
271.16,-3.78
273.87,-3.77
276.61,-3.77
279.38,-3.76
282.17,-3.76
284.99,-3.75
287.84,-3.74
290.72,-3.73
293.63,-3.72
296.57,-3.71
299.53,-3.70
302.53,-3.68
305.55,-3.67
308.61,-3.65
311.69,-3.64
314.81,-3.62
317.96,-3.61
321.14,-3.59
324.35,-3.58
327.59,-3.57
330.87,-3.55
334.18,-3.54
337.52,-3.52
340.90,-3.50
344.30,-3.47
347.75,-3.46
351.23,-3.45
354.74,-3.44
358.28,-3.43
361.87,-3.43
365.49,-3.44
369.14,-3.46
372.83,-3.45
376.56,-3.42
380.33,-3.40
384.13,-3.37
387.97,-3.34
391.85,-3.28
395.77,-3.24
399.73,-3.23
403.72,-3.20
407.76,-3.17
411.84,-3.14
415.96,-3.10
420.12,-3.05
424.32,-2.97
428.56,-2.94
432.85,-2.94
437.18,-2.95
441.55,-2.89
445.96,-2.85
450.42,-2.82
454.93,-2.78
459.48,-2.75
464.07,-2.71
468.71,-2.68
473.40,-2.65
478.13,-2.62
482.91,-2.60
487.74,-2.61
492.62,-2.68
497.55,-2.74
502.52,-2.80
507.55,-2.86
512.62,-2.85
517.75,-2.83
522.93,-2.77
528.16,-2.66
533.44,-2.57
538.77,-2.49
544.16,-2.47
549.60,-2.42
555.10,-2.38
560.65,-2.37
566.25,-2.39
571.92,-2.41
577.64,-2.44
583.41,-2.41
589.25,-2.36
595.14,-2.27
601.09,-2.19
607.10,-2.14
613.17,-2.10
619.30,-2.09
625.50,-2.12
631.75,-2.17
638.07,-2.22
644.45,-2.26
650.89,-2.30
657.40,-2.34
663.98,-2.36
670.62,-2.38
677.32,-2.40
684.10,-2.38
690.94,-2.34
697.85,-2.31
704.83,-2.28
711.87,-2.26
718.99,-2.24
726.18,-2.18
733.44,-2.12
740.78,-2.05
748.19,-1.98
755.67,-1.91
763.23,-1.86
770.86,-1.83
778.57,-1.82
786.35,-1.80
794.22,-1.76
802.16,-1.69
810.18,-1.61
818.28,-1.52
826.46,-1.44
834.73,-1.41
843.08,-1.37
851.51,-1.31
860.02,-1.13
868.62,-0.94
877.31,-0.79
886.08,-0.74
894.94,-0.70
903.89,-0.66
912.93,-0.61
922.06,-0.56
931.28,-0.47
940.59,-0.38
950.00,-0.38
959.50,-0.31
969.09,-0.19
978.78,-0.08
988.57,-0.02
998.46,-0.01
1008.44,0.05
1018.53,0.13
1028.71,0.20
1039.00,0.18
1049.39,0.22
1059.88,0.33
1070.48,0.27
1081.19,0.11
1092.00,-0.07
1102.92,-0.09
1113.95,-0.12
1125.09,-0.18
1136.34,-0.28
1147.70,-0.39
1159.18,-0.31
1170.77,-0.20
1182.48,-0.14
1194.30,-0.17
1206.25,-0.20
1218.31,-0.43
1230.49,-0.53
1242.80,-0.56
1255.22,-0.39
1267.78,-0.23
1280.45,-0.18
1293.26,-0.27
1306.19,-0.35
1319.25,-0.46
1332.45,-0.55
1345.77,-0.60
1359.23,-0.59
1372.82,-0.47
1386.55,-0.30
1400.41,-0.09
1414.42,0.01
1428.56,0.11
1442.85,0.20
1457.28,0.35
1471.85,0.56
1486.57,0.67
1501.43,0.75
1516.45,0.99
1531.61,1.15
1546.93,1.23
1562.40,1.38
1578.02,1.53
1593.80,1.64
1609.74,1.82
1625.84,2.03
1642.10,2.03
1658.52,2.10
1675.10,2.25
1691.85,2.59
1708.77,2.80
1725.86,2.89
1743.12,2.72
1760.55,2.93
1778.15,3.37
1795.94,3.83
1813.90,3.83
1832.03,3.88
1850.36,4.26
1868.86,4.60
1887.55,4.77
1906.42,4.95
1925.49,5.28
1944.74,5.33
1964.19,5.41
1983.83,5.46
2003.67,5.53
2023.71,5.90
2043.94,6.10
2064.38,6.31
2085.03,6.80
2105.88,6.88
2126.94,6.96
2148.20,7.22
2169.69,7.27
2191.38,7.29
2213.30,7.40
2235.43,7.60
2257.78,7.70
2280.36,7.62
2303.17,7.41
2326.20,7.58
2349.46,7.89
2372.95,8.15
2396.68,8.34
2420.65,8.32
2444.86,8.41
2469.31,8.59
2494.00,8.65
2518.94,8.73
2544.13,8.83
2569.57,9.01
2595.27,9.11
2621.22,9.17
2647.43,9.53
2673.90,9.76
2700.64,9.81
2727.65,9.67
2754.93,9.67
2782.48,9.65
2810.30,9.72
2838.40,9.93
2866.79,9.85
2895.46,9.57
2924.41,9.42
2953.65,9.32
2983.19,9.44
3013.02,9.34
3043.15,8.98
3073.58,8.85
3104.32,9.24
3135.36,8.87
3166.72,8.47
3198.38,8.18
3230.37,8.04
3262.67,8.36
3295.30,9.38
3328.25,9.54
3361.53,9.39
3395.15,8.91
3429.10,8.55
3463.39,8.43
3498.03,8.66
3533.01,8.12
3568.34,7.70
3604.02,7.47
3640.06,7.53
3676.46,7.27
3713.22,7.06
3750.36,7.13
3787.86,6.66
3825.74,6.25
3864.00,6.16
3902.64,5.89
3941.66,5.58
3981.08,5.38
4020.89,5.16
4061.10,4.91
4101.71,4.62
4142.73,4.47
4184.15,4.44
4226.00,4.35
4268.26,4.27
4310.94,4.22
4354.05,4.24
4397.59,4.10
4441.56,3.87
4485.98,3.64
4530.84,3.59
4576.15,3.47
4621.91,3.26
4668.13,3.37
4714.81,3.37
4761.96,3.38
4809.58,3.51
4857.67,3.67
4906.25,3.63
4955.31,3.52
5004.87,3.38
5054.91,3.18
5105.46,3.07
5156.52,3.05
5208.08,2.93
5260.16,2.44
5312.77,1.87
5365.89,1.34
5419.55,0.69
5473.75,0.09
5528.49,-0.36
5583.77,-0.77
5639.61,-1.23
5696.00,-1.71
5752.96,-2.23
5810.49,-2.66
5868.60,-2.73
5927.28,-2.98
5986.56,-3.44
6046.42,-3.26
6106.89,-3.07
6167.96,-2.81
6229.64,-1.86
6291.93,-0.96
6354.85,-0.72
6418.40,-0.49
6482.58,-0.07
6547.41,0.51
6612.88,1.15
6679.01,1.83
6745.80,2.33
6813.26,2.65
6881.39,2.58
6950.21,2.68
7019.71,2.79
7089.91,2.77
7160.81,2.43
7232.41,1.85
7304.74,1.06
7377.79,0.44
7451.56,0.24
7526.08,0.29
7601.34,0.50
7677.35,1.07
7754.13,1.80
7831.67,3.24
7909.98,4.68
7989.08,6.15
8068.98,4.63
8149.67,3.06
8231.16,2.23
8313.47,2.49
8396.61,2.86
8480.57,2.40
8565.38,2.58
8651.03,2.21
8737.54,0.54
8824.92,-1.43
8913.17,-4.15
9002.30,-7.15
9092.32,-10.00
9183.25,-12.97
9275.08,-14.98
9367.83,-14.28
9461.51,-11.21
9556.12,-8.47
9651.68,-6.21
9748.20,-3.98
9845.68,-2.80
9944.14,-2.10
10043.58,-1.46
10144.02,-0.56
10245.46,-0.10
10347.91,0.23
10451.39,0.46
10555.91,0.70
10661.46,0.79
10768.08,0.80
10875.76,0.92
10984.52,0.95
11094.36,0.97
11205.31,1.01
11317.36,1.04
11430.53,1.20
11544.84,1.45
11660.29,1.61
11776.89,1.83
11894.66,1.57
12013.60,1.17
12133.74,0.37
12255.08,-0.88
12377.63,-2.36
12501.41,-4.34
12626.42,-5.32
12752.68,-6.43
12880.21,-7.06
13009.01,-7.40
13139.10,-7.73
13270.49,-7.95
13403.20,-8.21
13537.23,-8.02
13672.60,-7.84
13809.33,-7.61
13947.42,-6.64
14086.90,-5.91
14227.77,-5.32
14370.04,-4.52
14513.74,-3.56
14658.88,-3.34
14805.47,-3.10
14953.52,-2.84
15103.06,-2.56
15254.09,-2.25
15406.63,-1.37
15560.70,-0.54
15716.30,0.20
15873.47,0.45
16032.20,0.68
16192.52,1.38
16354.45,1.93
16517.99,2.11
16683.17,0.08
16850.01,-1.74
17018.51,-3.35
17188.69,-4.41
17360.58,-6.12
17534.18,-8.01
17709.53,-9.24
17886.62,-9.28
18065.49,-9.63
18246.14,-11.14
18428.60,-12.31
18612.89,-13.07
18799.02,-13.78
18987.01,-15.07
19176.88,-17.20
19368.65,-19.33
19562.33,-21.73
19757.96,-24.78
19955.54,-27.84
