frequency,raw
20.00,-10.05
20.20,-9.93
20.40,-9.81
20.61,-9.69
20.81,-9.56
21.02,-9.44
21.23,-9.33
21.44,-9.22
21.66,-9.11
21.87,-9.01
22.09,-8.92
22.31,-8.84
22.54,-8.76
22.76,-8.69
22.99,-8.63
23.22,-8.57
23.45,-8.51
23.69,-8.45
23.92,-8.38
24.16,-8.31
24.40,-8.22
24.65,-8.14
24.89,-8.05
25.14,-7.97
25.39,-7.89
25.65,-7.81
25.91,-7.74
26.16,-7.66
26.43,-7.57
26.69,-7.49
26.96,-7.40
27.23,-7.31
27.50,-7.22
27.77,-7.14
28.05,-7.07
28.33,-7.01
28.62,-6.94
28.90,-6.87
29.19,-6.80
29.48,-6.73
29.78,-6.65
30.08,-6.58
30.38,-6.50
30.68,-6.44
30.99,-6.37
31.30,-6.31
31.61,-6.25
31.93,-6.18
32.24,-6.11
32.57,-6.04
32.89,-5.97
33.22,-5.90
33.55,-5.83
33.89,-5.76
34.23,-5.70
34.57,-5.63
34.92,-5.57
35.27,-5.51
35.62,-5.45
35.97,-5.39
36.33,-5.33
36.70,-5.27
37.06,-5.21
37.43,-5.14
37.81,-5.08
38.19,-5.01
38.57,-4.95
38.95,-4.89
39.34,-4.84
39.74,-4.78
40.14,-4.72
40.54,-4.67
40.94,-4.62
41.35,-4.56
41.76,-4.51
42.18,-4.46
42.60,-4.40
43.03,-4.34
43.46,-4.28
43.90,-4.22
44.33,-4.17
44.78,-4.11
45.23,-4.06
45.68,-4.01
46.13,-3.95
46.60,-3.89
47.06,-3.84
47.53,-3.78
48.01,-3.74
48.49,-3.69
48.97,-3.64
49.46,-3.59
49.96,-3.55
50.46,-3.50
50.96,-3.46
51.47,-3.41
51.99,-3.37
52.51,-3.33
53.03,-3.29
53.56,-3.25
54.10,-3.22
54.64,-3.19
55.18,-3.16
55.74,-3.13
56.29,-3.09
56.86,-3.06
57.42,-3.03
58.00,-3.00
58.58,-2.97
59.16,-2.94
59.76,-2.92
60.35,-2.90
60.96,-2.87
61.57,-2.84
62.18,-2.82
62.80,-2.80
63.43,-2.77
64.07,-2.73
64.71,-2.69
65.35,-2.66
66.01,-2.63
66.67,-2.60
67.33,-2.57
68.01,-2.54
68.69,-2.51
69.37,-2.47
70.07,-2.44
70.77,-2.41
71.48,-2.37
72.19,-2.32
72.91,-2.28
73.64,-2.24
74.38,-2.20
75.12,-2.16
75.87,-2.13
76.63,-2.09
77.40,-2.05
78.17,-2.02
78.95,-1.99
79.74,-1.96
80.54,-1.92
81.35,-1.88
82.16,-1.86
82.98,-1.83
83.81,-1.80
84.65,-1.77
85.50,-1.75
86.35,-1.73
87.22,-1.70
88.09,-1.68
88.97,-1.65
89.86,-1.63
90.76,-1.61
91.66,-1.60
92.58,-1.58
93.51,-1.56
94.44,-1.54
95.39,-1.53
96.34,-1.52
97.30,-1.51
98.28,-1.50
99.26,-1.48
100.25,-1.46
101.25,-1.46
102.27,-1.44
103.29,-1.43
104.32,-1.42
105.37,-1.42
106.42,-1.41
107.48,-1.41
108.56,-1.40
109.64,-1.39
110.74,-1.39
111.85,-1.39
112.97,-1.38
114.10,-1.38
115.24,-1.38
116.39,-1.38
117.55,-1.38
118.73,-1.39
119.92,-1.40
121.12,-1.40
122.33,-1.39
123.55,-1.40
124.79,-1.40
126.03,-1.41
127.29,-1.41
128.57,-1.42
129.85,-1.42
131.15,-1.42
132.46,-1.43
133.79,-1.43
135.12,-1.44
136.48,-1.44
137.84,-1.44
139.22,-1.44
140.61,-1.45
142.02,-1.45
143.44,-1.46
144.87,-1.47
146.32,-1.47
147.78,-1.48
149.26,-1.49
150.75,-1.50
152.26,-1.51
153.78,-1.52
155.32,-1.53
156.88,-1.55
158.44,-1.56
160.03,-1.57
161.63,-1.58
163.24,-1.59
164.88,-1.60
166.53,-1.62
168.19,-1.62
169.87,-1.63
171.57,-1.64
173.29,-1.64
175.02,-1.65
176.77,-1.66
178.54,-1.66
180.32,-1.67
182.13,-1.68
183.95,-1.69
185.79,-1.70
187.65,-1.71
189.52,-1.73
191.42,-1.74
193.33,-1.76
195.27,-1.78
197.22,-1.80
199.19,-1.82
201.18,-1.83
203.19,-1.84
205.23,-1.85
207.28,-1.86
209.35,-1.88
211.44,-1.89
213.56,-1.91
215.69,-1.93
217.85,-1.95
220.03,-1.98
222.23,-2.01
224.45,-2.03
226.70,-2.06
228.96,-2.09
231.25,-2.11
233.57,-2.13
235.90,-2.15
238.26,-2.19
240.64,-2.21
243.05,-2.18
245.48,-2.18
247.93,-2.18
250.41,-2.18
252.92,-2.19
255.45,-2.19
258.00,-2.19
260.58,-2.20
263.19,-2.20
265.82,-2.21
268.48,-2.21
271.16,-2.22
273.87,-2.23
276.61,-2.24
279.38,-2.26
282.17,-2.26
284.99,-2.27
287.84,-2.28
290.72,-2.29
293.63,-2.30
296.57,-2.30
299.53,-2.30
302.53,-2.32
305.55,-2.33
308.61,-2.33
311.69,-2.34
314.81,-2.34
317.96,-2.35
321.14,-2.35
324.35,-2.37
327.59,-2.38
330.87,-2.39
334.18,-2.39
337.52,-2.40
340.90,-2.41
344.30,-2.41
347.75,-2.42
351.23,-2.43
354.74,-2.44
358.28,-2.45
361.87,-2.46
365.49,-2.46
369.14,-2.45
372.83,-2.45
376.56,-2.44
380.33,-2.44
384.13,-2.44
387.97,-2.43
391.85,-2.43
395.77,-2.43
399.73,-2.44
403.72,-2.43
407.76,-2.43
411.84,-2.43
415.96,-2.42
420.12,-2.42
424.32,-2.42
428.56,-2.42
432.85,-2.41
437.18,-2.40
441.55,-2.40
445.96,-2.39
450.42,-2.39
454.93,-2.38
459.48,-2.37
464.07,-2.36
468.71,-2.35
473.40,-2.35
478.13,-2.34
482.91,-2.33
487.74,-2.31
492.62,-2.30
497.55,-2.30
502.52,-2.29
507.55,-2.28
512.62,-2.27
517.75,-2.27
522.93,-2.26
528.16,-2.25
533.44,-2.24
538.77,-2.23
544.16,-2.22
549.60,-2.21
555.10,-2.19
560.65,-2.17
566.25,-2.16
571.92,-2.14
577.64,-2.13
583.41,-2.10
589.25,-2.08
595.14,-2.05
601.09,-2.02
607.10,-1.99
613.17,-1.96
619.30,-1.93
625.50,-1.90
631.75,-1.86
638.07,-1.83
644.45,-1.79
650.89,-1.76
657.40,-1.74
663.98,-1.70
670.62,-1.65
677.32,-1.61
684.10,-1.57
690.94,-1.53
697.85,-1.50
704.83,-1.47
711.87,-1.44
718.99,-1.40
726.18,-1.36
733.44,-1.33
740.78,-1.30
748.19,-1.28
755.67,-1.27
763.23,-1.27
770.86,-1.28
778.57,-1.30
