frequency,raw
20.00,14.61
20.20,14.59
20.40,14.57
20.61,14.55
20.81,14.54
21.02,14.52
21.23,14.50
21.44,14.49
21.66,14.47
21.87,14.46
22.09,14.45
22.31,14.43
22.54,14.42
22.76,14.41
22.99,14.39
23.22,14.37
23.45,14.35
23.69,14.34
23.92,14.32
24.16,14.31
24.40,14.29
24.65,14.28
24.89,14.27
25.14,14.26
25.39,14.24
25.65,14.23
25.91,14.21
26.16,14.19
26.43,14.17
26.69,14.16
26.96,14.14
27.23,14.12
27.50,14.10
27.77,14.08
28.05,14.06
28.33,14.04
28.62,14.02
28.90,13.99
29.19,13.96
29.48,13.93
29.78,13.90
30.08,13.87
30.38,13.84
30.68,13.81
30.99,13.77
31.30,13.74
31.61,13.70
31.93,13.66
32.24,13.63
32.57,13.59
32.89,13.55
33.22,13.51
33.55,13.47
33.89,13.43
34.23,13.39
34.57,13.35
34.92,13.31
35.27,13.26
35.62,13.21
35.97,13.15
36.33,13.09
36.70,13.03
37.06,12.97
37.43,12.90
37.81,12.84
38.19,12.78
38.57,12.71
38.95,12.65
39.34,12.58
39.74,12.50
40.14,12.43
40.54,12.36
40.94,12.29
41.35,12.22
41.76,12.15
42.18,12.07
42.60,11.99
43.03,11.91
43.46,11.84
43.90,11.76
44.33,11.68
44.78,11.59
45.23,11.49
45.68,11.40
46.13,11.31
46.60,11.22
47.06,11.13
47.53,11.02
48.01,10.91
48.49,10.81
48.97,10.70
49.46,10.60
49.96,10.49
50.46,10.37
50.96,10.24
51.47,10.12
51.99,10.00
52.51,9.88
53.03,9.76
53.56,9.64
54.10,9.51
54.64,9.39
55.18,9.27
55.74,9.15
56.29,9.03
56.86,8.91
57.42,8.80
58.00,8.68
58.58,8.57
59.16,8.46
59.76,8.35
60.35,8.24
60.96,8.13
61.57,8.03
62.18,7.93
62.80,7.83
63.43,7.74
64.07,7.64
64.71,7.56
65.35,7.47
66.01,7.39
66.67,7.31
67.33,7.23
68.01,7.15
68.69,7.08
69.37,7.00
70.07,6.93
70.77,6.86
71.48,6.78
72.19,6.71
72.91,6.63
73.64,6.55
74.38,6.47
75.12,6.39
75.87,6.31
76.63,6.22
77.40,6.13
78.17,6.04
78.95,5.94
79.74,5.85
80.54,5.75
81.35,5.65
82.16,5.55
82.98,5.44
83.81,5.34
84.65,5.23
85.50,5.12
86.35,5.01
87.22,4.90
88.09,4.79
88.97,4.68
89.86,4.56
90.76,4.45
91.66,4.33
92.58,4.22
93.51,4.10
94.44,3.99
95.39,3.87
96.34,3.76
97.30,3.64
98.28,3.53
99.26,3.42
100.25,3.30
101.25,3.19
102.27,3.08
103.29,2.97
104.32,2.87
105.37,2.76
106.42,2.66
107.48,2.56
108.56,2.46
109.64,2.36
110.74,2.27
111.85,2.18
112.97,2.10
114.10,2.01
115.24,1.94
116.39,1.86
117.55,1.79
118.73,1.72
119.92,1.66
121.12,1.60
122.33,1.55
123.55,1.50
124.79,1.45
126.03,1.41
127.29,1.37
128.57,1.33
129.85,1.30
131.15,1.26
132.46,1.22
133.79,1.19
135.12,1.16
136.48,1.12
137.84,1.09
139.22,1.05
140.61,1.02
142.02,0.98
143.44,0.95
144.87,0.91
146.32,0.88
147.78,0.84
149.26,0.80
150.75,0.77
152.26,0.73
153.78,0.69
155.32,0.65
156.88,0.61
158.44,0.57
160.03,0.53
161.63,0.48
163.24,0.44
164.88,0.39
166.53,0.35
168.19,0.30
169.87,0.25
171.57,0.20
173.29,0.16
175.02,0.11
176.77,0.06
178.54,0.01
180.32,-0.03
182.13,-0.08
183.95,-0.13
185.79,-0.18
187.65,-0.23
189.52,-0.27
191.42,-0.32
193.33,-0.36
195.27,-0.40
197.22,-0.44
199.19,-0.49
201.18,-0.53
203.19,-0.56
205.23,-0.59
207.28,-0.62
209.35,-0.65
211.44,-0.67
213.56,-0.70
215.69,-0.72
217.85,-0.74
220.03,-0.76
222.23,-0.78
224.45,-0.79
226.70,-0.80
228.96,-0.80
231.25,-0.80
233.57,-0.80
235.90,-0.80
238.26,-0.81
240.64,-0.81
243.05,-0.78
245.48,-0.77
247.93,-0.76
250.41,-0.75
252.92,-0.75
255.45,-0.74
258.00,-0.73
260.58,-0.72
263.19,-0.72
265.82,-0.71
268.48,-0.70
271.16,-0.69
273.87,-0.69
276.61,-0.68
279.38,-0.67
282.17,-0.67
284.99,-0.66
287.84,-0.66
290.72,-0.66
293.63,-0.65
296.57,-0.65
299.53,-0.65
302.53,-0.64
305.55,-0.64
308.61,-0.64
311.69,-0.64
314.81,-0.64
317.96,-0.63
321.14,-0.63
324.35,-0.63
327.59,-0.63
330.87,-0.64
334.18,-0.65
337.52,-0.66
340.90,-0.67
344.30,-0.67
347.75,-0.66
351.23,-0.65
354.74,-0.64
358.28,-0.61
361.87,-0.58
365.49,-0.55
369.14,-0.52
372.83,-0.50
376.56,-0.49
380.33,-0.48
384.13,-0.47
387.97,-0.47
391.85,-0.46
395.77,-0.45
399.73,-0.45
403.72,-0.44
407.76,-0.44
411.84,-0.43
415.96,-0.42
420.12,-0.42
424.32,-0.41
428.56,-0.41
432.85,-0.40
437.18,-0.40
441.55,-0.39
445.96,-0.39
450.42,-0.39
454.93,-0.39
459.48,-0.39
464.07,-0.39
468.71,-0.39
473.40,-0.39
478.13,-0.39
482.91,-0.39
487.74,-0.40
492.62,-0.40
497.55,-0.41
502.52,-0.41
507.55,-0.42
512.62,-0.43
517.75,-0.43
522.93,-0.43
528.16,-0.43
533.44,-0.42
538.77,-0.41
544.16,-0.40
549.60,-0.39
555.10,-0.38
560.65,-0.36
566.25,-0.35
571.92,-0.33
577.64,-0.30
583.41,-0.28
589.25,-0.26
595.14,-0.24
601.09,-0.23
607.10,-0.22
613.17,-0.22
619.30,-0.21
625.50,-0.21
631.75,-0.21
638.07,-0.21
644.45,-0.21
650.89,-0.21
657.40,-0.21
663.98,-0.21
670.62,-0.21
677.32,-0.22
684.10,-0.24
690.94,-0.25
697.85,-0.27
704.83,-0.30
711.87,-0.33
718.99,-0.36
726.18,-0.41
733.44,-0.47
740.78,-0.53
748.19,-0.59
755.67,-0.66
763.23,-0.73
770.86,-0.81
778.57,-0.88
786.35,-0.96
794.22,-1.03
802.16,-1.10
810.18,-1.17
818.28,-1.22
826.46,-1.27
834.73,-1.30
843.08,-1.32
851.51,-1.32
860.02,-1.31
868.62,-1.28
877.31,-1.25
886.08,-1.20
894.94,-1.13
903.89,-1.06
912.93,-0.97
922.06,-0.87
931.28,-0.77
940.59,-0.66
950.00,-0.55
959.50,-0.43
969.09,-0.32
978.78,-0.21
988.57,-0.11
998.46,-0.01
1008.44,0.07
1018.53,0.16
1028.71,0.23
1039.00,0.30
1049.39,0.35
1059.88,0.41
1070.48,0.45
1081.19,0.50
1092.00,0.54
1102.92,0.59
1113.95,0.65
1125.09,0.70
1136.34,0.75
1147.70,0.79
1159.18,0.83
1170.77,0.85
1182.48,0.87
1194.30,0.87
1206.25,0.88
1218.31,0.87
1230.49,0.86
1242.80,0.86
1255.22,0.87
1267.78,0.88
1280.45,0.89
1293.26,0.88
1306.19,0.88
1319.25,0.87
1332.45,0.85
1345.77,0.83
1359.23,0.80
1372.82,0.77
1386.55,0.74
1400.41,0.70
1414.42,0.68
1428.56,0.66
1442.85,0.64
1457.28,0.63
1471.85,0.62
1486.57,0.61
1501.43,0.59
1516.45,0.58
1531.61,0.56
1546.93,0.54
1562.40,0.52
1578.02,0.51
1593.80,0.49
1609.74,0.47
1625.84,0.46
1642.10,0.44
1658.52,0.42
1675.10,0.40
1691.85,0.38
1708.77,0.36
1725.86,0.34
1743.12,0.32
1760.55,0.30
1778.15,0.28
1795.94,0.26
1813.90,0.24
1832.03,0.23
1850.36,0.21
1868.86,0.19
1887.55,0.18
1906.42,0.16
1925.49,0.14
1944.74,0.11
1964.19,0.05
1983.83,0.06
2003.67,0.15
2023.71,0.10
2043.94,-0.01
2064.38,-0.14
2085.03,-0.29
2105.88,-0.35
2126.94,-0.37
2148.20,-0.37
2169.69,-0.35
2191.38,-0.33
2213.30,-0.31
2235.43,-0.29
2257.78,-0.27
2280.36,-0.24
2303.17,-0.20
2326.20,-0.12
2349.46,-0.02
2372.95,0.10
2396.68,0.23
2420.65,0.35
2444.86,0.39
2469.31,0.38
2494.00,0.26
2518.94,0.15
2544.13,0.10
2569.57,0.33
2595.27,0.87
2621.22,1.65
2647.43,2.80
2673.90,3.89
2700.64,4.76
2727.65,5.13
2754.93,5.06
2782.48,4.70
2810.30,4.30
2838.40,3.91
2866.79,3.65
2895.46,3.48
2924.41,3.48
2953.65,3.52
2983.19,3.66
3013.02,3.80
3043.15,3.94
3073.58,4.04
3104.32,4.10
3135.36,4.11
3166.72,4.09
3198.38,4.05
3230.37,3.96
3262.67,3.86
3295.30,3.73
3328.25,3.59
3361.53,3.45
3395.15,3.32
3429.10,3.18
3463.39,3.05
3498.03,2.92
3533.01,2.80
3568.34,2.69
3604.02,2.58
3640.06,2.51
3676.46,2.47
3713.22,2.44
3750.36,2.43
3787.86,2.41
3825.74,2.38
3864.00,2.31
3902.64,2.19
3941.66,2.07
3981.08,1.94
4020.89,1.82
4061.10,1.71
4101.71,1.61
4142.73,1.50
4184.15,1.37
4226.00,1.15
4268.26,0.87
4310.94,0.50
4354.05,0.06
4397.59,-0.31
4441.56,-0.64
4485.98,-0.79
4530.84,-0.84
4576.15,-0.79
4621.91,-0.71
4668.13,-0.71
4714.81,-0.92
4761.96,-1.28
4809.58,-1.84
4857.67,-2.26
4906.25,-2.31
4955.31,-2.19
5004.87,-1.91
5054.91,-1.68
5105.46,-1.50
5156.52,-1.38
5208.08,-1.33
5260.16,-1.35
5312.77,-1.41
5365.89,-1.56
5419.55,-1.76
5473.75,-1.99
5528.49,-2.22
5583.77,-2.43
5639.61,-2.59
5696.00,-2.73
5752.96,-2.82
5810.49,-2.90
5868.60,-2.94
5927.28,-2.97
5986.56,-2.97
6046.42,-2.96
6106.89,-2.93
6167.96,-2.88
6229.64,-2.84
6291.93,-2.90
6354.85,-3.17
6418.40,-3.49
6482.58,-3.84
6547.41,-4.09
6612.88,-4.28
6679.01,-4.32
6745.80,-4.25
6813.26,-4.12
6881.39,-3.90
6950.21,-3.63
7019.71,-3.31
7089.91,-2.95
7160.81,-2.65
7232.41,-2.40
7304.74,-2.19
7377.79,-2.02
7451.56,-1.86
7526.08,-1.69
7601.34,-1.49
7677.35,-1.16
7754.13,-0.77
7831.67,-0.15
7909.98,0.62
7989.08,1.61
8068.98,2.80
8149.67,3.95
8231.16,4.95
8313.47,5.28
8396.61,5.24
8480.57,4.45
8565.38,3.26
8651.03,1.86
8737.54,0.30
8824.92,-1.36
8913.17,-2.98
9002.30,-4.57
9092.32,-5.86
9183.25,-6.93
9275.08,-7.78
9367.83,-8.33
9461.51,-8.55
9556.12,-8.67
9651.68,-8.93
9748.20,-9.59
9845.68,-11.15
9944.14,-12.74
10043.58,-14.64
10144.02,-16.91
10245.46,-20.40
10347.91,-25.09
10451.39,-29.72
10555.91,-23.37
10661.46,-18.87
