frequency,raw
20.00,14.60
20.20,14.58
20.40,14.57
20.61,14.55
20.81,14.54
21.02,14.52
21.23,14.50
21.44,14.48
21.66,14.47
21.87,14.45
22.09,14.43
22.31,14.42
22.54,14.41
22.76,14.39
22.99,14.38
23.22,14.37
23.45,14.35
23.69,14.34
23.92,14.32
24.16,14.30
24.40,14.29
24.65,14.27
24.89,14.25
25.14,14.24
25.39,14.23
25.65,14.21
25.91,14.20
26.16,14.18
26.43,14.16
26.69,14.14
26.96,14.12
27.23,14.11
27.50,14.09
27.77,14.07
28.05,14.05
28.33,14.02
28.62,14.00
28.90,13.97
29.19,13.95
29.48,13.92
29.78,13.89
30.08,13.87
30.38,13.84
30.68,13.81
30.99,13.77
31.30,13.74
31.61,13.70
31.93,13.67
32.24,13.63
32.57,13.59
32.89,13.56
33.22,13.52
33.55,13.48
33.89,13.44
34.23,13.40
34.57,13.37
34.92,13.32
35.27,13.28
35.62,13.23
35.97,13.17
36.33,13.12
36.70,13.06
37.06,13.00
37.43,12.94
37.81,12.88
38.19,12.82
38.57,12.75
38.95,12.68
39.34,12.62
39.74,12.55
40.14,12.49
40.54,12.42
40.94,12.35
41.35,12.28
41.76,12.21
42.18,12.14
42.60,12.06
43.03,11.99
43.46,11.91
43.90,11.84
44.33,11.76
44.78,11.68
45.23,11.60
45.68,11.51
46.13,11.43
46.60,11.34
47.06,11.25
47.53,11.15
48.01,11.05
48.49,10.96
48.97,10.86
49.46,10.75
49.96,10.65
50.46,10.54
50.96,10.43
51.47,10.32
51.99,10.20
52.51,10.09
53.03,9.97
53.56,9.86
54.10,9.75
54.64,9.64
55.18,9.52
55.74,9.41
56.29,9.30
56.86,9.20
57.42,9.09
58.00,8.99
58.58,8.88
59.16,8.78
59.76,8.69
60.35,8.59
60.96,8.50
61.57,8.40
62.18,8.31
62.80,8.22
63.43,8.13
64.07,8.05
64.71,7.97
65.35,7.90
66.01,7.83
66.67,7.76
67.33,7.70
68.01,7.64
68.69,7.58
69.37,7.52
70.07,7.46
70.77,7.40
71.48,7.35
72.19,7.29
72.91,7.23
73.64,7.17
74.38,7.10
75.12,7.04
75.87,6.98
76.63,6.91
77.40,6.84
78.17,6.77
78.95,6.70
79.74,6.62
80.54,6.54
81.35,6.46
82.16,6.37
82.98,6.29
83.81,6.20
84.65,6.11
85.50,6.02
86.35,5.93
87.22,5.83
88.09,5.74
88.97,5.64
89.86,5.55
90.76,5.45
91.66,5.35
92.58,5.26
93.51,5.16
94.44,5.06
95.39,4.96
96.34,4.85
97.30,4.75
98.28,4.65
99.26,4.55
100.25,4.45
101.25,4.35
102.27,4.26
103.29,4.16
104.32,4.07
105.37,3.97
106.42,3.88
107.48,3.79
108.56,3.70
109.64,3.62
110.74,3.54
111.85,3.46
112.97,3.38
114.10,3.31
115.24,3.24
116.39,3.17
117.55,3.11
118.73,3.05
119.92,2.99
121.12,2.94
122.33,2.90
123.55,2.86
124.79,2.81
126.03,2.78
127.29,2.74
128.57,2.71
129.85,2.68
131.15,2.65
132.46,2.61
133.79,2.58
135.12,2.55
136.48,2.52
137.84,2.49
139.22,2.46
140.61,2.43
142.02,2.40
143.44,2.36
144.87,2.33
146.32,2.29
147.78,2.26
149.26,2.22
150.75,2.19
152.26,2.15
153.78,2.11
155.32,2.07
156.88,2.03
158.44,1.99
160.03,1.95
161.63,1.90
163.24,1.86
164.88,1.81
166.53,1.76
168.19,1.72
169.87,1.67
171.57,1.61
173.29,1.56
175.02,1.51
176.77,1.46
178.54,1.41
180.32,1.36
182.13,1.31
183.95,1.26
185.79,1.21
187.65,1.16
189.52,1.11
191.42,1.06
193.33,1.01
195.27,0.96
197.22,0.92
199.19,0.87
201.18,0.83
203.19,0.79
205.23,0.75
207.28,0.72
209.35,0.68
211.44,0.65
213.56,0.62
215.69,0.59
217.85,0.56
220.03,0.54
222.23,0.52
224.45,0.50
226.70,0.48
228.96,0.47
231.25,0.46
233.57,0.46
235.90,0.45
238.26,0.45
240.64,0.45
243.05,0.45
245.48,0.46
247.93,0.46
250.41,0.46
252.92,0.46
255.45,0.46
258.00,0.46
260.58,0.46
263.19,0.46
265.82,0.46
268.48,0.45
271.16,0.45
273.87,0.45
276.61,0.45
279.38,0.44
282.17,0.44
284.99,0.44
287.84,0.43
290.72,0.42
293.63,0.42
296.57,0.41
299.53,0.41
302.53,0.39
305.55,0.38
308.61,0.37
311.69,0.36
314.81,0.36
317.96,0.35
321.14,0.34
324.35,0.33
327.59,0.32
330.87,0.30
334.18,0.28
337.52,0.25
340.90,0.23
344.30,0.22
347.75,0.21
351.23,0.21
354.74,0.21
358.28,0.23
361.87,0.25
365.49,0.27
369.14,0.28
372.83,0.28
376.56,0.28
380.33,0.28
384.13,0.27
387.97,0.26
391.85,0.26
395.77,0.25
399.73,0.24
403.72,0.23
407.76,0.23
411.84,0.22
415.96,0.22
420.12,0.21
424.32,0.20
428.56,0.19
432.85,0.18
437.18,0.18
441.55,0.17
445.96,0.16
450.42,0.15
454.93,0.13
459.48,0.12
464.07,0.10
468.71,0.09
473.40,0.08
478.13,0.07
482.91,0.06
487.74,0.04
492.62,0.02
497.55,0.00
502.52,-0.01
507.55,-0.03
512.62,-0.05
517.75,-0.07
522.93,-0.08
528.16,-0.08
533.44,-0.08
538.77,-0.09
544.16,-0.09
549.60,-0.09
555.10,-0.09
560.65,-0.08
566.25,-0.07
571.92,-0.06
577.64,-0.05
583.41,-0.04
589.25,-0.03
595.14,-0.02
601.09,-0.01
607.10,-0.01
613.17,-0.01
619.30,-0.01
625.50,-0.02
631.75,-0.02
638.07,-0.03
644.45,-0.04
650.89,-0.04
657.40,-0.05
663.98,-0.06
670.62,-0.07
677.32,-0.09
684.10,-0.11
690.94,-0.13
697.85,-0.15
704.83,-0.18
711.87,-0.22
718.99,-0.27
726.18,-0.32
733.44,-0.37
740.78,-0.44
748.19,-0.51
755.67,-0.58
763.23,-0.66
770.86,-0.74
778.57,-0.82
786.35,-0.90
794.22,-0.97
802.16,-1.05
810.18,-1.12
818.28,-1.17
826.46,-1.23
834.73,-1.26
843.08,-1.28
851.51,-1.29
860.02,-1.28
868.62,-1.26
877.31,-1.22
886.08,-1.18
894.94,-1.12
903.89,-1.05
