frequency,raw
20.00,7.70
20.20,7.67
20.40,7.64
20.61,7.62
20.81,7.60
21.02,7.58
21.23,7.56
21.44,7.55
21.66,7.53
21.87,7.51
22.09,7.49
22.31,7.47
22.54,7.45
22.76,7.43
22.99,7.41
23.22,7.39
23.45,7.38
23.69,7.37
23.92,7.36
24.16,7.35
24.40,7.33
24.65,7.32
24.89,7.30
25.14,7.28
25.39,7.26
25.65,7.24
25.91,7.22
26.16,7.20
26.43,7.18
26.69,7.16
26.96,7.15
27.23,7.13
27.50,7.11
27.77,7.09
28.05,7.06
28.33,7.03
28.62,7.00
28.90,6.96
29.19,6.93
29.48,6.91
29.78,6.88
30.08,6.86
30.38,6.84
30.68,6.81
30.99,6.77
31.30,6.74
31.61,6.70
31.93,6.65
32.24,6.61
32.57,6.57
32.89,6.53
33.22,6.49
33.55,6.45
33.89,6.42
34.23,6.38
34.57,6.35
34.92,6.30
35.27,6.24
35.62,6.18
35.97,6.11
36.33,6.07
36.70,6.03
37.06,5.99
37.43,5.95
37.81,5.89
38.19,5.82
38.57,5.75
38.95,5.68
39.34,5.62
39.74,5.55
40.14,5.48
40.54,5.41
40.94,5.34
41.35,5.28
41.76,5.22
42.18,5.15
42.60,5.08
43.03,5.01
43.46,4.94
43.90,4.87
44.33,4.80
44.78,4.72
45.23,4.65
45.68,4.56
46.13,4.48
46.60,4.41
47.06,4.32
47.53,4.24
48.01,4.14
48.49,4.05
48.97,3.96
49.46,3.87
49.96,3.78
50.46,3.68
50.96,3.58
51.47,3.48
51.99,3.38
52.51,3.28
53.03,3.19
53.56,3.08
54.10,2.98
54.64,2.88
55.18,2.77
55.74,2.68
56.29,2.58
56.86,2.49
57.42,2.40
58.00,2.31
58.58,2.21
59.16,2.12
59.76,2.04
60.35,1.97
60.96,1.90
61.57,1.82
62.18,1.74
62.80,1.67
63.43,1.60
64.07,1.54
64.71,1.48
65.35,1.43
66.01,1.38
66.67,1.34
67.33,1.29
68.01,1.25
68.69,1.22
69.37,1.18
70.07,1.15
70.77,1.12
71.48,1.09
72.19,1.06
72.91,1.02
73.64,0.99
74.38,0.95
75.12,0.92
75.87,0.88
76.63,0.84
77.40,0.80
78.17,0.75
78.95,0.71
79.74,0.66
80.54,0.61
81.35,0.55
82.16,0.50
82.98,0.44
83.81,0.39
84.65,0.32
85.50,0.26
86.35,0.19
87.22,0.13
88.09,0.06
88.97,-0.01
89.86,-0.08
90.76,-0.15
91.66,-0.22
92.58,-0.29
93.51,-0.36
94.44,-0.44
95.39,-0.51
96.34,-0.58
97.30,-0.66
98.28,-0.73
99.26,-0.80
100.25,-0.88
101.25,-0.95
102.27,-1.02
103.29,-1.09
104.32,-1.16
105.37,-1.22
106.42,-1.29
107.48,-1.35
108.56,-1.41
109.64,-1.47
110.74,-1.52
111.85,-1.58
112.97,-1.62
114.10,-1.67
115.24,-1.72
116.39,-1.75
117.55,-1.79
118.73,-1.83
119.92,-1.86
121.12,-1.88
122.33,-1.90
123.55,-1.92
124.79,-1.93
126.03,-1.95
127.29,-1.96
128.57,-1.96
129.85,-1.97
131.15,-1.97
132.46,-1.98
133.79,-1.98
