frequency,raw
20.00,2.83
20.20,2.89
20.40,2.95
20.61,3.01
20.81,3.07
21.02,3.13
21.23,3.18
21.44,3.24
21.66,3.29
21.87,3.34
22.09,3.39
22.31,3.43
22.54,3.49
22.76,3.54
22.99,3.59
23.22,3.64
23.45,3.69
23.69,3.74
23.92,3.78
24.16,3.83
24.40,3.87
24.65,3.91
24.89,3.95
25.14,4.00
25.39,4.04
25.65,4.08
25.91,4.12
26.16,4.16
26.43,4.19
26.69,4.22
26.96,4.25
27.23,4.27
27.50,4.30
27.77,4.34
28.05,4.37
28.33,4.41
28.62,4.44
28.90,4.46
29.19,4.49
29.48,4.51
29.78,4.52
30.08,4.54
30.38,4.56
30.68,4.57
30.99,4.59
31.30,4.60
31.61,4.61
31.93,4.63
32.24,4.64
32.57,4.65
32.89,4.67
33.22,4.68
33.55,4.69
33.89,4.70
34.23,4.70
34.57,4.71
34.92,4.72
35.27,4.72
35.62,4.72
35.97,4.72
36.33,4.71
36.70,4.71
37.06,4.70
37.43,4.70
37.81,4.68
38.19,4.67
38.57,4.65
38.95,4.63
39.34,4.61
39.74,4.60
40.14,4.58
40.54,4.56
40.94,4.54
41.35,4.51
41.76,4.48
42.18,4.44
42.60,4.41
43.03,4.37
43.46,4.34
43.90,4.31
44.33,4.28
44.78,4.25
45.23,4.22
45.68,4.19
46.13,4.15
46.60,4.13
47.06,4.10
47.53,4.09
48.01,4.06
48.49,4.04
48.97,4.01
49.46,3.99
49.96,3.97
50.46,3.95
50.96,3.92
51.47,3.89
51.99,3.87
52.51,3.85
53.03,3.83
53.56,3.80
54.10,3.77
54.64,3.72
55.18,3.68
55.74,3.63
56.29,3.58
56.86,3.54
57.42,3.48
58.00,3.43
58.58,3.36
59.16,3.29
59.76,3.22
60.35,3.15
60.96,3.08
61.57,2.99
62.18,2.91
62.80,2.82
63.43,2.73
64.07,2.64
64.71,2.55
65.35,2.45
66.01,2.35
66.67,2.24
67.33,2.13
68.01,2.03
68.69,1.91
69.37,1.78
70.07,1.65
70.77,1.54
71.48,1.42
72.19,1.30
72.91,1.18
73.64,1.07
74.38,0.95
75.12,0.84
75.87,0.73
76.63,0.63
77.40,0.54
78.17,0.46
78.95,0.38
79.74,0.30
80.54,0.23
81.35,0.17
82.16,0.15
82.98,0.12
83.81,0.09
84.65,0.09
85.50,0.08
86.35,0.08
87.22,0.09
88.09,0.10
88.97,0.11
89.86,0.14
90.76,0.16
91.66,0.19
92.58,0.22
93.51,0.22
94.44,0.25
95.39,0.28
96.34,0.32
97.30,0.34
98.28,0.36
99.26,0.38
100.25,0.40
101.25,0.42
102.27,0.44
103.29,0.46
104.32,0.48
105.37,0.49
106.42,0.51
107.48,0.53
108.56,0.54
109.64,0.55
110.74,0.56
111.85,0.58
112.97,0.58
114.10,0.59
115.24,0.60
116.39,0.59
117.55,0.59
118.73,0.60
119.92,0.60
121.12,0.60
122.33,0.58
123.55,0.58
124.79,0.58
126.03,0.58
127.29,0.58
128.57,0.57
129.85,0.56
131.15,0.56
132.46,0.55
133.79,0.54
135.12,0.53
136.48,0.51
137.84,0.50
139.22,0.49
140.61,0.48
142.02,0.46
143.44,0.45
144.87,0.44
146.32,0.43
147.78,0.41
149.26,0.39
150.75,0.37
152.26,0.35
153.78,0.33
155.32,0.31
156.88,0.29
158.44,0.27
160.03,0.24
161.63,0.22
163.24,0.20
164.88,0.17
166.53,0.15
168.19,0.11
169.87,0.08
171.57,0.05
173.29,0.03
175.02,0.01
176.77,-0.01
178.54,-0.02
180.32,-0.03
182.13,-0.04
183.95,-0.06
185.79,-0.07
187.65,-0.08
189.52,-0.09
191.42,-0.10
193.33,-0.11
195.27,-0.13
197.22,-0.16
199.19,-0.19
201.18,-0.24
203.19,-0.28
205.23,-0.28
207.28,-0.29
209.35,-0.30
211.44,-0.33
213.56,-0.35
215.69,-0.38
217.85,-0.42
220.03,-0.43
222.23,-0.47
224.45,-0.48
226.70,-0.43
228.96,-0.47
231.25,-0.54
233.57,-0.62
235.90,-0.67
238.26,-0.70
240.64,-0.74
243.05,-0.78
245.48,-0.82
247.93,-0.87
250.41,-0.91
252.92,-0.95
255.45,-1.00
258.00,-1.05
260.58,-1.08
263.19,-1.10
265.82,-1.11
268.48,-1.10
271.16,-1.07
273.87,-1.03
276.61,-1.00
279.38,-0.98
282.17,-0.97
284.99,-0.96
287.84,-0.95
290.72,-0.94
293.63,-0.95
296.57,-0.95
299.53,-0.95
302.53,-0.96
305.55,-0.95
308.61,-0.93
311.69,-0.91
314.81,-0.88
317.96,-0.85
321.14,-0.83
324.35,-0.81
327.59,-0.80
330.87,-0.78
334.18,-0.77
337.52,-0.72
340.90,-0.65
344.30,-0.54
347.75,-0.40
351.23,-0.27
354.74,-0.14
358.28,-0.03
361.87,0.10
365.49,0.25
369.14,0.34
372.83,0.41
376.56,0.47
380.33,0.53
384.13,0.60
387.97,0.66
391.85,0.72
395.77,0.78
399.73,0.83
403.72,0.87
407.76,0.92
411.84,0.98
415.96,1.05
420.12,1.11
424.32,1.17
428.56,1.21
432.85,1.27
437.18,1.34
441.55,1.38
445.96,1.42
450.42,1.47
454.93,1.52
459.48,1.55
464.07,1.59
468.71,1.63
473.40,1.67
478.13,1.71
482.91,1.74
487.74,1.76
492.62,1.80
497.55,1.84
502.52,1.87
507.55,1.91
512.62,1.94
517.75,1.98
522.93,2.01
528.16,2.05
533.44,2.10
538.77,2.15
544.16,2.20
549.60,2.25
555.10,2.31
560.65,2.37
566.25,2.42
571.92,2.47
577.64,2.50
583.41,2.54
589.25,2.58
595.14,2.60
601.09,2.63
607.10,2.64
613.17,2.65
619.30,2.66
625.50,2.66
631.75,2.65
638.07,2.64
644.45,2.63
650.89,2.62
657.40,2.60
