frequency,raw
20.00,11.33
20.20,11.42
20.40,11.49
20.61,11.57
20.81,11.63
21.02,11.69
21.23,11.74
21.44,11.78
21.66,11.81
21.87,11.84
22.09,11.87
22.31,11.88
22.54,11.89
22.76,11.89
22.99,11.88
23.22,11.86
23.45,11.83
23.69,11.80
23.92,11.76
24.16,11.72
24.40,11.68
24.65,11.64
24.89,11.60
25.14,11.56
25.39,11.53
25.65,11.48
25.91,11.44
26.16,11.39
26.43,11.35
26.69,11.30
26.96,11.25
27.23,11.21
27.50,11.16
27.77,11.12
28.05,11.08
28.33,11.04
28.62,11.00
28.90,10.96
29.19,10.92
29.48,10.88
29.78,10.84
30.08,10.81
30.38,10.78
30.68,10.74
30.99,10.71
31.30,10.67
31.61,10.63
31.93,10.59
32.24,10.55
32.57,10.51
32.89,10.46
33.22,10.42
33.55,10.37
33.89,10.33
34.23,10.28
34.57,10.24
34.92,10.19
35.27,10.14
35.62,10.09
35.97,10.04
36.33,9.98
36.70,9.93
37.06,9.87
37.43,9.81
37.81,9.74
38.19,9.68
38.57,9.62
38.95,9.55
39.34,9.48
39.74,9.41
40.14,9.33
40.54,9.26
40.94,9.19
41.35,9.11
41.76,9.04
42.18,8.97
42.60,8.90
43.03,8.82
43.46,8.75
43.90,8.67
44.33,8.59
44.78,8.52
45.23,8.45
45.68,8.38
46.13,8.31
46.60,8.24
47.06,8.17
47.53,8.10
48.01,8.03
48.49,7.97
48.97,7.90
49.46,7.82
49.96,7.74
50.46,7.66
50.96,7.57
51.47,7.49
51.99,7.41
52.51,7.32
53.03,7.23
53.56,7.12
54.10,7.02
54.64,6.92
55.18,6.82
55.74,6.71
56.29,6.59
56.86,6.47
57.42,6.34
58.00,6.22
58.58,6.08
59.16,5.96
59.76,5.85
60.35,5.75
60.96,5.63
61.57,5.48
62.18,5.32
62.80,5.17
63.43,5.01
64.07,4.85
64.71,4.70
65.35,4.54
66.01,4.39
66.67,4.20
67.33,4.03
68.01,3.85
68.69,3.70
69.37,3.53
70.07,3.36
70.77,3.21
71.48,3.05
72.19,2.90
72.91,2.74
73.64,2.59
74.38,2.44
75.12,2.31
75.87,2.17
76.63,2.06
77.40,1.96
78.17,1.87
78.95,1.78
79.74,1.71
80.54,1.63
81.35,1.57
82.16,1.52
82.98,1.48
83.81,1.43
84.65,1.40
85.50,1.37
86.35,1.35
87.22,1.34
88.09,1.33
88.97,1.32
89.86,1.30
90.76,1.28
91.66,1.27
92.58,1.25
93.51,1.24
94.44,1.23
95.39,1.21
96.34,1.21
97.30,1.20
98.28,1.19
99.26,1.17
100.25,1.14
101.25,1.13
102.27,1.13
103.29,1.13
104.32,1.10
105.37,1.08
106.42,1.06
107.48,1.04
108.56,1.02
109.64,1.00
110.74,0.98
111.85,0.95
112.97,0.92
114.10,0.89
115.24,0.86
116.39,0.84
117.55,0.81
118.73,0.78
119.92,0.75
121.12,0.72
122.33,0.68
123.55,0.65
124.79,0.61
126.03,0.57
127.29,0.53
128.57,0.49
129.85,0.45
131.15,0.41
132.46,0.38
133.79,0.34
135.12,0.30
136.48,0.26
137.84,0.21
139.22,0.15
140.61,0.09
142.02,0.04
143.44,-0.02
144.87,-0.09
146.32,-0.14
147.78,-0.19
149.26,-0.25
150.75,-0.31
152.26,-0.37
153.78,-0.44
155.32,-0.53
156.88,-0.61
158.44,-0.70
160.03,-0.79
161.63,-0.88
163.24,-0.98
164.88,-1.07
166.53,-1.17
168.19,-1.27
169.87,-1.38
171.57,-1.49
173.29,-1.59
175.02,-1.70
176.77,-1.80
178.54,-1.91
180.32,-2.01
182.13,-2.13
183.95,-2.23
185.79,-2.34
187.65,-2.45
189.52,-2.56
191.42,-2.66
193.33,-2.76
195.27,-2.86
197.22,-2.95
199.19,-3.04
201.18,-3.12
203.19,-3.18
205.23,-3.19
207.28,-3.18
209.35,-3.16
211.44,-3.12
213.56,-3.04
215.69,-3.02
217.85,-3.00
220.03,-2.95
222.23,-2.97
224.45,-2.98
226.70,-2.94
228.96,-2.90
231.25,-2.87
233.57,-2.86
235.90,-2.82
238.26,-2.79
240.64,-2.76
243.05,-2.74
245.48,-2.72
247.93,-2.69
250.41,-2.68
252.92,-2.69
255.45,-2.67
258.00,-2.64
260.58,-2.55
263.19,-2.56
265.82,-2.67
268.48,-2.74
271.16,-2.75
273.87,-2.72
276.61,-2.69
279.38,-2.65
282.17,-2.62
284.99,-2.58
287.84,-2.56
290.72,-2.54
293.63,-2.53
296.57,-2.53
299.53,-2.53
302.53,-2.53
305.55,-2.52
308.61,-2.50
311.69,-2.48
314.81,-2.47
317.96,-2.49
321.14,-2.52
324.35,-2.57
327.59,-2.58
330.87,-2.58
334.18,-2.58
337.52,-2.56
340.90,-2.51
344.30,-2.41
347.75,-2.29
351.23,-2.18
354.74,-2.10
358.28,-2.00
361.87,-1.92
365.49,-1.84
369.14,-1.79
372.83,-1.76
376.56,-1.74
380.33,-1.73
384.13,-1.71
387.97,-1.70
391.85,-1.71
395.77,-1.71
399.73,-1.71
403.72,-1.71
407.76,-1.71
411.84,-1.70
415.96,-1.70
420.12,-1.70
424.32,-1.70
428.56,-1.70
432.85,-1.71
437.18,-1.71
441.55,-1.72
445.96,-1.74
450.42,-1.75
454.93,-1.76
459.48,-1.79
464.07,-1.81
468.71,-1.82
473.40,-1.85
478.13,-1.86
482.91,-1.88
487.74,-1.90
492.62,-1.92
497.55,-1.93
502.52,-1.94
507.55,-1.94
512.62,-1.94
517.75,-1.94
522.93,-1.95
528.16,-1.94
533.44,-1.93
538.77,-1.92
544.16,-1.90
549.60,-1.88
555.10,-1.85
560.65,-1.83
566.25,-1.81
571.92,-1.79
577.64,-1.77
583.41,-1.75
589.25,-1.73
595.14,-1.72
601.09,-1.72
607.10,-1.72
613.17,-1.72
619.30,-1.72
625.50,-1.72
631.75,-1.72
638.07,-1.72
644.45,-1.73
650.89,-1.73
657.40,-1.72
663.98,-1.71
670.62,-1.69
677.32,-1.68
684.10,-1.67
690.94,-1.67
697.85,-1.66
704.83,-1.65
711.87,-1.63
718.99,-1.61
726.18,-1.60
733.44,-1.57
740.78,-1.55
748.19,-1.50
755.67,-1.45
763.23,-1.40
770.86,-1.33
778.57,-1.25
786.35,-1.17
794.22,-1.07
802.16,-0.98
810.18,-0.89
818.28,-0.80
826.46,-0.70
834.73,-0.59
843.08,-0.49
851.51,-0.38
860.02,-0.27
868.62,-0.14
877.31,-0.01
886.08,0.12
894.94,0.24
903.89,0.36
912.93,0.46
922.06,0.54
931.28,0.58
940.59,0.59
950.00,0.56
959.50,0.49
969.09,0.39
978.78,0.27
988.57,0.14
998.46,0.02
1008.44,-0.12
1018.53,-0.26
1028.71,-0.40
1039.00,-0.49
1049.39,-0.55
1059.88,-0.58
1070.48,-0.53
1081.19,-0.44
1092.00,-0.32
1102.92,-0.20
1113.95,-0.05
1125.09,0.11
1136.34,0.28
1147.70,0.47
1159.18,0.64
1170.77,0.81
1182.48,0.92
1194.30,0.98
1206.25,1.05
1218.31,1.05
1230.49,1.03
1242.80,1.01
1255.22,0.97
1267.78,0.93
1280.45,0.91
1293.26,1.00
1306.19,1.09
1319.25,1.16
1332.45,1.19
1345.77,1.21
1359.23,1.22
1372.82,1.25
1386.55,1.27
1400.41,1.29
1414.42,1.35
1428.56,1.41
1442.85,1.47
1457.28,1.51
1471.85,1.54
1486.57,1.56
1501.43,1.58
1516.45,1.59
1531.61,1.62
1546.93,1.65
1562.40,1.68
1578.02,1.72
1593.80,1.75
1609.74,1.78
1625.84,1.80
1642.10,1.84
1658.52,1.87
1675.10,1.90
1691.85,1.94
1708.77,2.03
1725.86,2.16
1743.12,2.40
1760.55,2.70
1778.15,3.05
1795.94,3.43
1813.90,3.77
1832.03,4.10
1850.36,4.43
1868.86,4.54
1887.55,4.49
1906.42,4.28
1925.49,3.87
1944.74,3.57
1964.19,3.56
1983.83,3.74
2003.67,4.01
2023.71,4.33
2043.94,4.63
2064.38,4.91
2085.03,5.19
2105.88,5.54
2126.94,5.96
2148.20,6.40
2169.69,6.78
2191.38,7.05
2213.30,7.18
2235.43,7.29
2257.78,7.36
2280.36,7.45
2303.17,7.58
2326.20,7.73
2349.46,7.88
2372.95,8.05
2396.68,8.21
2420.65,8.33
2444.86,8.37
2469.31,8.36
2494.00,8.49
2518.94,8.67
2544.13,8.86
2569.57,9.07
2595.27,9.26
2621.22,9.43
2647.43,9.58
2673.90,9.75
2700.64,9.90
2727.65,10.02
2754.93,10.10
2782.48,10.18
2810.30,10.24
2838.40,10.25
2866.79,10.25
2895.46,10.23
2924.41,10.16
2953.65,10.07
2983.19,9.95
3013.02,9.85
3043.15,9.74
3073.58,9.61
3104.32,9.43
3135.36,9.23
3166.72,9.03
3198.38,8.84
3230.37,8.58
3262.67,8.31
3295.30,8.02
3328.25,7.66
3361.53,7.27
3395.15,6.83
3429.10,6.34
3463.39,5.85
3498.03,5.35
3533.01,5.00
3568.34,4.67
3604.02,4.33
3640.06,4.01
3676.46,3.81
3713.22,3.59
3750.36,3.25
3787.86,2.93
3825.74,2.63
3864.00,2.42
3902.64,2.40
3941.66,2.41
3981.08,2.69
4020.89,3.18
4061.10,3.76
4101.71,3.67
4142.73,3.24
4184.15,2.55
4226.00,2.04
4268.26,1.68
4310.94,1.54
4354.05,1.57
4397.59,1.62
4441.56,1.70
4485.98,1.75
4530.84,1.67
4576.15,1.39
4621.91,0.99
4668.13,0.38
4714.81,-0.36
4761.96,-0.97
4809.58,-1.10
4857.67,-0.52
4906.25,0.15
4955.31,0.69
5004.87,0.99
5054.91,1.04
5105.46,0.98
5156.52,0.81
5208.08,0.70
5260.16,0.73
5312.77,0.80
5365.89,0.86
5419.55,0.83
5473.75,0.76
5528.49,0.64
5583.77,0.22
5639.61,-0.28
5696.00,-0.83
5752.96,-1.21
5810.49,-1.56
5868.60,-1.84
5927.28,-2.19
5986.56,-2.60
6046.42,-2.85
6106.89,-2.92
6167.96,-2.83
6229.64,-2.70
6291.93,-2.65
6354.85,-2.97
6418.40,-3.45
6482.58,-4.18
6547.41,-4.81
6612.88,-5.31
6679.01,-5.38
6745.80,-5.27
6813.26,-5.05
6881.39,-4.75
6950.21,-4.43
7019.71,-4.07
7089.91,-3.65
7160.81,-3.22
7232.41,-2.81
7304.74,-2.42
7377.79,-2.12
7451.56,-1.81
7526.08,-1.46
7601.34,-1.05
7677.35,-0.57
7754.13,-0.07
7831.67,0.48
7909.98,1.04
7989.08,1.61
8068.98,2.21
8149.67,2.77
8231.16,3.25
8313.47,3.66
8396.61,3.94
8480.57,3.79
8565.38,2.79
8651.03,1.23
8737.54,-0.84
8824.92,-3.20
8913.17,-5.50
9002.30,-7.74
9092.32,-9.60
9183.25,-11.12
