frequency,raw
20.00,13.41
20.20,13.72
20.40,14.03
20.61,14.34
20.81,14.65
21.02,14.93
21.23,15.18
21.44,15.38
21.66,15.51
21.87,15.62
22.09,15.65
22.31,15.62
22.54,15.54
22.76,15.42
22.99,15.26
23.22,15.07
23.45,14.87
23.69,14.67
23.92,14.47
24.16,14.29
24.40,14.12
24.65,13.96
24.89,13.81
25.14,13.68
25.39,13.55
25.65,13.43
25.91,13.32
26.16,13.20
26.43,13.09
26.69,12.98
26.96,12.86
27.23,12.74
27.50,12.61
27.77,12.48
28.05,12.34
28.33,12.18
28.62,12.03
28.90,11.86
29.19,11.69
29.48,11.51
29.78,11.34
30.08,11.16
30.38,10.99
30.68,10.83
30.99,10.68
31.30,10.53
31.61,10.38
31.93,10.24
32.24,10.10
32.57,9.97
32.89,9.85
33.22,9.74
33.55,9.64
33.89,9.55
34.23,9.46
34.57,9.38
34.92,9.30
35.27,9.22
35.62,9.14
35.97,9.07
36.33,9.00
36.70,8.93
37.06,8.88
37.43,8.82
37.81,8.77
38.19,8.72
38.57,8.67
38.95,8.63
39.34,8.59
39.74,8.55
40.14,8.52
40.54,8.49
40.94,8.45
41.35,8.42
41.76,8.40
42.18,8.38
42.60,8.36
43.03,8.35
43.46,8.34
43.90,8.32
44.33,8.31
44.78,8.29
45.23,8.28
45.68,8.27
46.13,8.26
46.60,8.25
47.06,8.24
47.53,8.22
48.01,8.20
48.49,8.18
48.97,8.16
49.46,8.15
49.96,8.14
50.46,8.12
50.96,8.11
51.47,8.10
51.99,8.08
52.51,8.06
53.03,8.04
53.56,8.02
54.10,8.00
54.64,7.97
55.18,7.95
55.74,7.92
56.29,7.89
56.86,7.85
57.42,7.82
58.00,7.79
58.58,7.76
59.16,7.73
59.76,7.71
60.35,7.68
60.96,7.64
61.57,7.59
62.18,7.55
62.80,7.51
63.43,7.47
64.07,7.43
64.71,7.39
65.35,7.35
66.01,7.30
66.67,7.26
67.33,7.22
68.01,7.19
68.69,7.15
69.37,7.10
70.07,7.05
70.77,7.00
71.48,6.95
72.19,6.91
72.91,6.87
73.64,6.83
74.38,6.79
75.12,6.75
75.87,6.71
76.63,6.66
77.40,6.62
78.17,6.60
78.95,6.57
79.74,6.55
80.54,6.52
81.35,6.49
82.16,6.48
82.98,6.46
83.81,6.45
84.65,6.43
85.50,6.41
86.35,6.40
87.22,6.40
88.09,6.39
88.97,6.39
89.86,6.38
90.76,6.37
91.66,6.36
92.58,6.35
93.51,6.34
94.44,6.33
95.39,6.32
96.34,6.30
97.30,6.29
98.28,6.27
99.26,6.25
100.25,6.23
101.25,6.22
102.27,6.20
103.29,6.18
104.32,6.17
105.37,6.14
106.42,6.11
107.48,6.09
108.56,6.06
109.64,6.03
110.74,6.00
111.85,5.98
112.97,5.94
114.10,5.90
115.24,5.87
116.39,5.82
117.55,5.77
118.73,5.71
119.92,5.65
121.12,5.58
122.33,5.52
123.55,5.43
124.79,5.34
126.03,5.24
127.29,5.13
128.57,5.01
129.85,4.88
131.15,4.74
132.46,4.60
133.79,4.47
135.12,4.34
136.48,4.22
137.84,4.12
139.22,4.07
140.61,4.06
142.02,4.08
143.44,4.13
144.87,4.21
146.32,4.32
147.78,4.43
149.26,4.54
150.75,4.65
152.26,4.75
153.78,4.85
155.32,4.93
156.88,5.01
158.44,5.08
160.03,5.14
161.63,5.18
163.24,5.22
164.88,5.26
166.53,5.28
168.19,5.30
169.87,5.32
171.57,5.33
173.29,5.34
175.02,5.35
176.77,5.35
178.54,5.35
180.32,5.35
182.13,5.34
183.95,5.33
185.79,5.32
187.65,5.31
189.52,5.30
191.42,5.29
193.33,5.27
195.27,5.24
197.22,5.23
199.19,5.21
201.18,5.18
203.19,5.15
205.23,5.12
207.28,5.10
209.35,5.07
211.44,5.03
213.56,4.99
215.69,4.96
217.85,4.92
220.03,4.88
222.23,4.84
224.45,4.80
226.70,4.77
228.96,4.72
231.25,4.67
233.57,4.60
235.90,4.54
238.26,4.50
240.64,4.44
243.05,4.36
245.48,4.29
247.93,4.21
250.41,4.13
252.92,4.04
255.45,3.94
258.00,3.85
260.58,3.75
263.19,3.65
265.82,3.56
268.48,3.47
271.16,3.39
273.87,3.30
276.61,3.21
279.38,3.10
282.17,2.99
284.99,2.87
287.84,2.74
290.72,2.62
293.63,2.48
296.57,2.34
299.53,2.20
302.53,2.05
305.55,1.90
308.61,1.75
311.69,1.61
314.81,1.46
317.96,1.30
321.14,1.15
324.35,0.98
327.59,0.82
330.87,0.66
334.18,0.50
337.52,0.35
340.90,0.20
344.30,0.06
347.75,-0.03
351.23,-0.10
354.74,-0.17
358.28,-0.22
361.87,-0.25
365.49,-0.26
369.14,-0.26
372.83,-0.28
376.56,-0.29
380.33,-0.29
384.13,-0.30
387.97,-0.30
391.85,-0.31
395.77,-0.31
399.73,-0.32
403.72,-0.35
407.76,-0.38
411.84,-0.40
415.96,-0.42
420.12,-0.45
424.32,-0.47
428.56,-0.51
432.85,-0.55
437.18,-0.59
441.55,-0.63
445.96,-0.68
450.42,-0.73
454.93,-0.77
459.48,-0.84
464.07,-0.90
468.71,-0.96
473.40,-1.02
478.13,-1.09
482.91,-1.15
487.74,-1.23
492.62,-1.30
497.55,-1.38
502.52,-1.46
507.55,-1.54
512.62,-1.62
517.75,-1.69
522.93,-1.77
528.16,-1.85
533.44,-1.92
538.77,-1.98
544.16,-2.04
549.60,-2.09
555.10,-2.13
560.65,-2.16
566.25,-2.18
571.92,-2.19
577.64,-2.20
583.41,-2.20
589.25,-2.19
595.14,-2.17
601.09,-2.14
607.10,-2.11
613.17,-2.08
619.30,-2.03
625.50,-1.99
631.75,-1.94
638.07,-1.90
644.45,-1.86
650.89,-1.82
657.40,-1.78
663.98,-1.74
670.62,-1.70
677.32,-1.65
684.10,-1.61
690.94,-1.58
697.85,-1.56
704.83,-1.54
711.87,-1.53
718.99,-1.53
726.18,-1.55
733.44,-1.57
740.78,-1.60
748.19,-1.62
755.67,-1.64
763.23,-1.66
770.86,-1.67
778.57,-1.68
786.35,-1.68
794.22,-1.64
802.16,-1.60
810.18,-1.55
818.28,-1.52
826.46,-1.49
834.73,-1.45
843.08,-1.43
851.51,-1.41
860.02,-1.42
868.62,-1.41
877.31,-1.41
886.08,-1.41
894.94,-1.35
903.89,-1.26
912.93,-1.13
922.06,-0.97
931.28,-0.78
940.59,-0.58
950.00,-0.41
959.50,-0.27
969.09,-0.13
978.78,-0.04
988.57,-0.00
998.46,0.00
1008.44,-0.02
1018.53,-0.06
1028.71,-0.12
1039.00,-0.16
1049.39,-0.14
1059.88,-0.08
1070.48,0.08
1081.19,0.30
1092.00,0.58
1102.92,0.91
1113.95,1.26
1125.09,1.60
1136.34,1.94
1147.70,2.30
1159.18,2.61
1170.77,2.91
1182.48,3.09
1194.30,3.18
1206.25,3.27
1218.31,3.26
1230.49,3.19
1242.80,3.10
1255.22,2.97
1267.78,2.85
1280.45,2.76
1293.26,2.75
1306.19,2.74
1319.25,2.73
1332.45,2.69
1345.77,2.65
1359.23,2.62
1372.82,2.60
1386.55,2.58
1400.41,2.56
1414.42,2.58
1428.56,2.60
1442.85,2.63
1457.28,2.65
1471.85,2.66
1486.57,2.65
1501.43,2.64
1516.45,2.65
1531.61,2.65
1546.93,2.64
1562.40,2.67
1578.02,2.70
1593.80,2.73
1609.74,2.74
1625.84,2.74
1642.10,2.75
1658.52,2.77
1675.10,2.80
1691.85,2.83
1708.77,2.92
1725.86,3.05
1743.12,3.30
1760.55,3.60
1778.15,3.95
1795.94,4.30
1813.90,4.65
1832.03,4.98
1850.36,5.29
1868.86,5.40
1887.55,5.33
1906.42,5.10
1925.49,4.73
1944.74,4.50
1964.19,4.54
1983.83,4.74
2003.67,5.02
2023.71,5.31
2043.94,5.57
2064.38,5.81
2085.03,6.02
2105.88,6.33
2126.94,6.71
2148.20,7.12
2169.69,7.45
2191.38,7.64
2213.30,7.70
2235.43,7.74
2257.78,7.79
2280.36,7.85
2303.17,7.93
2326.20,8.07
2349.46,8.18
2372.95,8.30
2396.68,8.44
2420.65,8.55
2444.86,8.61
2469.31,8.64
2494.00,8.78
2518.94,9.01
2544.13,9.27
2569.57,9.54
2595.27,9.81
2621.22,10.06
2647.43,10.28
2673.90,10.49
2700.64,10.68
2727.65,10.83
2754.93,10.94
2782.48,10.98
2810.30,10.96
2838.40,10.88
2866.79,10.82
2895.46,10.75
2924.41,10.62
2953.65,10.47
2983.19,10.26
3013.02,10.06
3043.15,9.87
3073.58,9.64
3104.32,9.37
3135.36,9.06
3166.72,8.75
3198.38,8.44
3230.37,8.07
3262.67,7.66
3295.30,7.21
3328.25,6.75
3361.53,6.26
3395.15,5.70
3429.10,5.13
3463.39,4.57
3498.03,4.03
3533.01,3.73
3568.34,3.47
3604.02,3.25
3640.06,3.05
3676.46,3.01
3713.22,2.97
3750.36,2.78
3787.86,2.60
3825.74,2.43
3864.00,2.34
3902.64,2.42
3941.66,2.54
3981.08,2.91
4020.89,3.41
4061.10,3.95
4101.71,3.99
4142.73,3.69
4184.15,3.14
4226.00,2.78
4268.26,2.52
4310.94,2.39
4354.05,2.31
4397.59,2.30
4441.56,2.33
4485.98,2.43
4530.84,2.41
4576.15,2.21
4621.91,1.91
4668.13,1.37
4714.81,0.69
4761.96,0.14
4809.58,0.05
4857.67,0.61
4906.25,1.30
4955.31,1.88
5004.87,2.27
5054.91,2.43
5105.46,2.50
5156.52,2.50
5208.08,2.52
5260.16,2.63
5312.77,2.76
5365.89,2.85
5419.55,2.84
5473.75,2.78
5528.49,2.65
5583.77,2.25
5639.61,1.82
5696.00,1.37
5752.96,1.12
5810.49,0.89
5868.60,0.73
