frequency,raw
20.00,6.77
20.20,6.77
20.40,6.77
20.61,6.77
20.81,6.76
21.02,6.75
21.23,6.75
21.44,6.74
21.66,6.74
21.87,6.74
22.09,6.73
22.31,6.73
22.54,6.72
22.76,6.71
22.99,6.70
23.22,6.69
23.45,6.68
23.69,6.66
23.92,6.65
24.16,6.64
24.40,6.63
24.65,6.63
24.89,6.63
25.14,6.63
25.39,6.63
25.65,6.63
25.91,6.62
26.16,6.62
26.43,6.62
26.69,6.61
26.96,6.61
27.23,6.60
27.50,6.59
27.77,6.59
28.05,6.59
28.33,6.59
28.62,6.59
28.90,6.59
29.19,6.59
29.48,6.59
29.78,6.58
30.08,6.58
30.38,6.58
30.68,6.58
30.99,6.57
31.30,6.56
31.61,6.54
31.93,6.53
32.24,6.52
32.57,6.51
32.89,6.51
33.22,6.50
33.55,6.50
33.89,6.49
34.23,6.48
34.57,6.46
34.92,6.45
35.27,6.44
35.62,6.43
35.97,6.42
36.33,6.41
36.70,6.40
37.06,6.39
37.43,6.38
37.81,6.37
38.19,6.36
38.57,6.35
38.95,6.33
39.34,6.32
39.74,6.31
40.14,6.30
40.54,6.28
40.94,6.27
41.35,6.25
41.76,6.24
42.18,6.23
42.60,6.22
43.03,6.20
43.46,6.18
43.90,6.16
44.33,6.14
44.78,6.13
45.23,6.12
45.68,6.10
46.13,6.08
46.60,6.06
47.06,6.04
47.53,6.02
48.01,6.00
48.49,5.98
48.97,5.96
49.46,5.93
49.96,5.92
50.46,5.90
50.96,5.89
51.47,5.87
51.99,5.85
52.51,5.83
53.03,5.81
53.56,5.79
54.10,5.77
54.64,5.74
55.18,5.72
55.74,5.70
56.29,5.68
56.86,5.66
57.42,5.63
58.00,5.60
58.58,5.58
59.16,5.56
59.76,5.53
60.35,5.50
60.96,5.47
61.57,5.44
62.18,5.41
62.80,5.38
63.43,5.35
64.07,5.32
64.71,5.29
65.35,5.26
66.01,5.24
66.67,5.20
67.33,5.16
68.01,5.13
68.69,5.09
69.37,5.06
70.07,5.02
70.77,4.99
71.48,4.95
72.19,4.92
72.91,4.88
73.64,4.84
74.38,4.80
75.12,4.76
75.87,4.72
76.63,4.68
77.40,4.64
78.17,4.60
78.95,4.56
79.74,4.53
80.54,4.48
81.35,4.44
82.16,4.39
82.98,4.35
83.81,4.31
84.65,4.26
85.50,4.23
86.35,4.19
87.22,4.16
88.09,4.12
88.97,4.07
89.86,4.01
90.76,3.96
91.66,3.91
92.58,3.86
93.51,3.82
94.44,3.77
95.39,3.73
96.34,3.68
97.30,3.63
98.28,3.57
99.26,3.52
100.25,3.46
101.25,3.41
102.27,3.35
103.29,3.30
104.32,3.25
105.37,3.20
106.42,3.15
107.48,3.09
108.56,3.04
109.64,2.98
110.74,2.92
111.85,2.87
112.97,2.81
114.10,2.75
115.24,2.69
116.39,2.64
117.55,2.58
118.73,2.53
119.92,2.47
121.12,2.41
122.33,2.36
123.55,2.30
124.79,2.23
126.03,2.17
127.29,2.10
128.57,2.04
129.85,1.97
131.15,1.90
132.46,1.84
133.79,1.78
135.12,1.71
136.48,1.65
137.84,1.59
139.22,1.52
140.61,1.46
142.02,1.39
143.44,1.33
144.87,1.26
146.32,1.20
147.78,1.13
149.26,1.07
150.75,1.00
152.26,0.94
153.78,0.87
155.32,0.81
156.88,0.74
158.44,0.67
160.03,0.60
161.63,0.54
163.24,0.49
164.88,0.43
166.53,0.37
168.19,0.30
169.87,0.23
171.57,0.16
173.29,0.10
175.02,0.04
176.77,-0.02
178.54,-0.08
180.32,-0.14
182.13,-0.20
183.95,-0.26
185.79,-0.33
187.65,-0.39
189.52,-0.46
191.42,-0.52
193.33,-0.57
195.27,-0.62
197.22,-0.68
199.19,-0.74
201.18,-0.80
203.19,-0.86
205.23,-0.92
207.28,-0.99
209.35,-1.05
211.44,-1.11
213.56,-1.18
215.69,-1.24
217.85,-1.29
220.03,-1.35
222.23,-1.40
224.45,-1.46
226.70,-1.51
228.96,-1.57
231.25,-1.62
233.57,-1.67
235.90,-1.73
238.26,-1.79
240.64,-1.84
243.05,-1.90
245.48,-1.94
247.93,-1.98
250.41,-2.02
252.92,-2.06
255.45,-2.11
258.00,-2.17
260.58,-2.22
263.19,-2.28
265.82,-2.32
268.48,-2.37
271.16,-2.40
273.87,-2.43
276.61,-2.46
279.38,-2.50
282.17,-2.54
284.99,-2.58
287.84,-2.61
290.72,-2.64
