frequency,raw
20.00,8.24
20.20,8.23
20.40,8.22
20.61,8.21
20.81,8.20
21.02,8.19
21.23,8.18
21.44,8.16
21.66,8.15
21.87,8.14
22.09,8.13
22.31,8.12
22.54,8.11
22.76,8.09
22.99,8.08
23.22,8.06
23.45,8.05
23.69,8.03
23.92,8.02
24.16,8.00
24.40,7.98
24.65,7.96
24.89,7.95
25.14,7.93
25.39,7.91
25.65,7.89
25.91,7.87
26.16,7.85
26.43,7.84
26.69,7.82
26.96,7.80
27.23,7.78
27.50,7.76
27.77,7.74
28.05,7.72
28.33,7.70
28.62,7.68
28.90,7.66
29.19,7.64
29.48,7.61
29.78,7.59
30.08,7.57
30.38,7.54
30.68,7.51
30.99,7.49
31.30,7.46
31.61,7.44
31.93,7.41
32.24,7.38
32.57,7.35
32.89,7.32
33.22,7.29
33.55,7.27
33.89,7.24
34.23,7.21
34.57,7.18
34.92,7.15
35.27,7.12
35.62,7.09
35.97,7.06
36.33,7.03
36.70,7.00
37.06,6.97
37.43,6.93
37.81,6.90
38.19,6.87
38.57,6.83
38.95,6.80
39.34,6.77
39.74,6.73
40.14,6.70
40.54,6.66
40.94,6.63
41.35,6.59
41.76,6.55
42.18,6.51
42.60,6.47
43.03,6.43
43.46,6.39
43.90,6.35
44.33,6.31
44.78,6.27
45.23,6.23
45.68,6.19
46.13,6.15
46.60,6.10
47.06,6.06
47.53,6.02
48.01,5.98
48.49,5.93
48.97,5.89
49.46,5.85
49.96,5.81
50.46,5.76
50.96,5.72
51.47,5.68
51.99,5.64
52.51,5.60
53.03,5.55
53.56,5.51
54.10,5.47
54.64,5.42
55.18,5.38
55.74,5.34
56.29,5.29
56.86,5.25
57.42,5.20
58.00,5.16
58.58,5.11
59.16,5.07
59.76,5.02
60.35,4.97
60.96,4.93
61.57,4.88
62.18,4.84
62.80,4.79
63.43,4.74
64.07,4.69
64.71,4.64
65.35,4.59
66.01,4.54
66.67,4.49
67.33,4.44
68.01,4.39
68.69,4.34
69.37,4.29
70.07,4.23
70.77,4.18
71.48,4.13
72.19,4.08
72.91,4.03
73.64,3.98
74.38,3.93
75.12,3.87
75.87,3.82
76.63,3.77
77.40,3.72
78.17,3.66
78.95,3.61
79.74,3.56
80.54,3.51
81.35,3.46
82.16,3.41
82.98,3.36
83.81,3.30
84.65,3.25
85.50,3.20
86.35,3.15
87.22,3.10
88.09,3.05
88.97,3.00
89.86,2.95
90.76,2.90
91.66,2.84
92.58,2.79
93.51,2.74
94.44,2.69
95.39,2.64
96.34,2.59
97.30,2.54
98.28,2.49
99.26,2.44
100.25,2.39
101.25,2.34
102.27,2.29
103.29,2.23
104.32,2.18
105.37,2.13
106.42,2.08
107.48,2.03
108.56,1.98
109.64,1.93
110.74,1.88
111.85,1.83
112.97,1.78
114.10,1.73
115.24,1.68
116.39,1.63
117.55,1.58
118.73,1.54
119.92,1.49
121.12,1.44
122.33,1.39
123.55,1.34
124.79,1.30
126.03,1.25
127.29,1.20
128.57,1.15
129.85,1.10
131.15,1.05
132.46,1.01
133.79,0.96
135.12,0.91
136.48,0.87
137.84,0.82
139.22,0.78
140.61,0.73
142.02,0.69
143.44,0.64
144.87,0.59
146.32,0.55
147.78,0.51
149.26,0.47
150.75,0.43
152.26,0.38
153.78,0.34
155.32,0.30
156.88,0.26
158.44,0.22
160.03,0.18
161.63,0.14
163.24,0.10
164.88,0.07
166.53,0.03
168.19,-0.00
169.87,-0.04
171.57,-0.07
173.29,-0.10
175.02,-0.14
176.77,-0.17
178.54,-0.20
180.32,-0.23
182.13,-0.26
183.95,-0.29
185.79,-0.32
187.65,-0.35
189.52,-0.38
191.42,-0.41
193.33,-0.43
195.27,-0.46
197.22,-0.48
199.19,-0.51
201.18,-0.54
203.19,-0.56
205.23,-0.59
207.28,-0.62
209.35,-0.64
211.44,-0.67
213.56,-0.69
215.69,-0.72
217.85,-0.74
220.03,-0.76
222.23,-0.78
224.45,-0.80
226.70,-0.82
228.96,-0.84
231.25,-0.86
233.57,-0.88
235.90,-0.90
238.26,-0.91
240.64,-0.93
243.05,-0.95
245.48,-0.96
247.93,-0.97
250.41,-0.99
252.92,-1.00
255.45,-1.01
