frequency,raw
20.00,10.82
20.20,10.82
20.40,10.81
20.61,10.80
20.81,10.78
21.02,10.77
21.23,10.75
21.44,10.73
21.66,10.71
21.87,10.69
22.09,10.67
22.31,10.65
22.54,10.63
22.76,10.62
22.99,10.60
23.22,10.58
23.45,10.56
23.69,10.55
23.92,10.53
24.16,10.52
24.40,10.50
24.65,10.49
24.89,10.47
25.14,10.45
25.39,10.43
25.65,10.41
25.91,10.39
26.16,10.37
26.43,10.35
26.69,10.33
26.96,10.31
27.23,10.30
27.50,10.28
27.77,10.27
28.05,10.25
28.33,10.23
28.62,10.21
28.90,10.20
29.19,10.18
29.48,10.16
29.78,10.14
30.08,10.11
30.38,10.09
30.68,10.07
30.99,10.04
31.30,10.01
31.61,9.98
31.93,9.95
32.24,9.93
32.57,9.90
32.89,9.86
33.22,9.83
33.55,9.80
33.89,9.77
34.23,9.73
34.57,9.70
34.92,9.67
35.27,9.64
35.62,9.61
35.97,9.57
36.33,9.54
36.70,9.50
37.06,9.47
37.43,9.44
37.81,9.40
38.19,9.37
38.57,9.33
38.95,9.29
39.34,9.26
39.74,9.22
40.14,9.18
40.54,9.15
40.94,9.11
41.35,9.08
41.76,9.04
42.18,9.01
42.60,8.97
43.03,8.93
43.46,8.88
43.90,8.83
44.33,8.77
44.78,8.73
45.23,8.68
45.68,8.63
46.13,8.59
46.60,8.54
47.06,8.50
47.53,8.45
48.01,8.40
48.49,8.35
48.97,8.29
49.46,8.23
49.96,8.18
50.46,8.12
50.96,8.07
51.47,8.02
51.99,7.97
52.51,7.92
53.03,7.87
53.56,7.82
54.10,7.77
54.64,7.72
55.18,7.67
55.74,7.61
56.29,7.56
56.86,7.50
57.42,7.44
58.00,7.39
58.58,7.33
59.16,7.28
59.76,7.22
60.35,7.16
60.96,7.10
61.57,7.04
62.18,6.98
62.80,6.92
63.43,6.86
64.07,6.80
64.71,6.73
65.35,6.66
66.01,6.59
66.67,6.52
67.33,6.46
68.01,6.39
68.69,6.33
69.37,6.26
70.07,6.19
70.77,6.12
71.48,6.05
72.19,5.98
72.91,5.91
73.64,5.84
74.38,5.76
75.12,5.69
75.87,5.62
76.63,5.54
77.40,5.47
78.17,5.39
78.95,5.32
79.74,5.24
80.54,5.17
81.35,5.10
82.16,5.03
82.98,4.95
83.81,4.88
84.65,4.80
85.50,4.72
86.35,4.65
87.22,4.57
88.09,4.49
88.97,4.42
89.86,4.34
90.76,4.26
91.66,4.18
92.58,4.11
93.51,4.03
94.44,3.95
95.39,3.87
96.34,3.79
97.30,3.71
98.28,3.63
99.26,3.55
100.25,3.47
101.25,3.39
102.27,3.32
103.29,3.24
