frequency,raw
20.00,15.24
20.20,15.26
20.40,15.27
20.61,15.29
20.81,15.30
21.02,15.32
21.23,15.33
21.44,15.35
21.66,15.36
21.87,15.38
22.09,15.39
22.31,15.41
22.54,15.42
22.76,15.44
22.99,15.45
23.22,15.46
23.45,15.47
23.69,15.48
23.92,15.49
24.16,15.50
24.40,15.51
24.65,15.52
24.89,15.52
25.14,15.53
25.39,15.54
25.65,15.55
25.91,15.55
26.16,15.56
26.43,15.56
26.69,15.57
26.96,15.57
27.23,15.57
27.50,15.57
27.77,15.58
28.05,15.58
28.33,15.58
28.62,15.58
28.90,15.58
29.19,15.58
29.48,15.58
29.78,15.58
30.08,15.58
30.38,15.58
30.68,15.58
30.99,15.57
31.30,15.57
31.61,15.57
31.93,15.56
32.24,15.56
32.57,15.55
32.89,15.55
33.22,15.54
33.55,15.54
33.89,15.53
34.23,15.53
34.57,15.52
34.92,15.51
35.27,15.51
35.62,15.50
35.97,15.49
36.33,15.48
36.70,15.47
37.06,15.46
37.43,15.45
37.81,15.44
38.19,15.43
38.57,15.42
38.95,15.40
39.34,15.39
39.74,15.38
40.14,15.37
40.54,15.36
40.94,15.34
41.35,15.32
41.76,15.31
42.18,15.29
42.60,15.27
43.03,15.26
43.46,15.24
43.90,15.22
44.33,15.21
44.78,15.19
45.23,15.17
45.68,15.16
46.13,15.14
46.60,15.12
47.06,15.10
47.53,15.08
48.01,15.06
48.49,15.04
48.97,15.02
49.46,15.00
49.96,14.98
50.46,14.96
50.96,14.94
51.47,14.92
51.99,14.90
52.51,14.88
53.03,14.86
53.56,14.84
54.10,14.82
54.64,14.80
55.18,14.78
55.74,14.76
56.29,14.74
56.86,14.72
57.42,14.69
58.00,14.67
58.58,14.65
59.16,14.63
59.76,14.61
60.35,14.58
60.96,14.56
61.57,14.54
62.18,14.51
62.80,14.49
63.43,14.46
64.07,14.43
64.71,14.40
65.35,14.37
66.01,14.35
66.67,14.32
67.33,14.29
68.01,14.26
68.69,14.23
69.37,14.20
70.07,14.17
70.77,14.14
71.48,14.11
72.19,14.08
72.91,14.05
73.64,14.02
74.38,13.99
75.12,13.95
75.87,13.92
76.63,13.89
77.40,13.86
78.17,13.82
78.95,13.79
79.74,13.76
80.54,13.72
81.35,13.69
82.16,13.66
82.98,13.62
83.81,13.59
84.65,13.56
85.50,13.52
86.35,13.49
87.22,13.45
88.09,13.41
88.97,13.38
89.86,13.34
90.76,13.30
91.66,13.26
92.58,13.23
93.51,13.19
94.44,13.15
95.39,13.11
96.34,13.07
97.30,13.03
98.28,12.99
99.26,12.95
100.25,12.90
101.25,12.86
102.27,12.82
103.29,12.77
104.32,12.72
105.37,12.68
106.42,12.63
107.48,12.59
108.56,12.54
109.64,12.49
110.74,12.44
111.85,12.39
112.97,12.34
114.10,12.29
115.24,12.24
116.39,12.18
117.55,12.13
118.73,12.08
119.92,12.02
121.12,11.97
122.33,11.92
123.55,11.86
124.79,11.80
126.03,11.74
127.29,11.69
128.57,11.63
129.85,11.57
131.15,11.50
132.46,11.44
133.79,11.38
135.12,11.32
136.48,11.25
137.84,11.19
139.22,11.13
140.61,11.06
142.02,11.00
143.44,10.93
144.87,10.86
146.32,10.80
147.78,10.73
149.26,10.66
150.75,10.59
152.26,10.53
153.78,10.46
155.32,10.39
156.88,10.32
158.44,10.25
160.03,10.18
161.63,10.11
163.24,10.04
164.88,9.98
166.53,9.91
168.19,9.84
169.87,9.77
171.57,9.70
173.29,9.63
175.02,9.56
176.77,9.49
178.54,9.42
180.32,9.35
182.13,9.28
183.95,9.21
185.79,9.14
187.65,9.07
189.52,9.00
191.42,8.93
193.33,8.85
195.27,8.78
197.22,8.71
199.19,8.64
201.18,8.56
203.19,8.49
205.23,8.42
207.28,8.34
209.35,8.27
211.44,8.19
213.56,8.11
215.69,8.04
217.85,7.97
220.03,7.89
222.23,7.81
224.45,7.74
226.70,7.66
228.96,7.59
231.25,7.51
233.57,7.44
235.90,7.36
238.26,7.29
240.64,7.21
243.05,7.14
245.48,7.06
247.93,6.99
250.41,6.91
252.92,6.84
255.45,6.76
258.00,6.69
260.58,6.61
263.19,6.54
265.82,6.47
268.48,6.40
271.16,6.32
273.87,6.25
276.61,6.18
279.38,6.11
282.17,6.04
284.99,5.97
287.84,5.90
290.72,5.83
293.63,5.76
296.57,5.69
299.53,5.62
302.53,5.54
305.55,5.47
308.61,5.40
311.69,5.34
314.81,5.27
317.96,5.20
321.14,5.13
324.35,5.06
327.59,4.99
330.87,4.92
334.18,4.86
337.52,4.79
340.90,4.72
344.30,4.65
347.75,4.58
351.23,4.51
354.74,4.44
358.28,4.37
361.87,4.30
365.49,4.23
369.14,4.16
372.83,4.09
376.56,4.02
380.33,3.95
384.13,3.88
387.97,3.82
391.85,3.75
395.77,3.68
399.73,3.61
