frequency,raw
20.00,9.25
20.20,9.29
20.40,9.34
20.61,9.38
20.81,9.42
21.02,9.47
21.23,9.51
21.44,9.56
21.66,9.60
21.87,9.64
22.09,9.68
22.31,9.73
22.54,9.77
22.76,9.81
22.99,9.84
23.22,9.88
23.45,9.92
23.69,9.95
23.92,9.98
24.16,10.01
24.40,10.05
24.65,10.08
24.89,10.11
25.14,10.14
25.39,10.17
25.65,10.19
25.91,10.22
26.16,10.25
26.43,10.27
26.69,10.29
26.96,10.31
27.23,10.33
27.50,10.35
27.77,10.37
28.05,10.39
28.33,10.41
28.62,10.42
28.90,10.43
29.19,10.44
29.48,10.45
29.78,10.45
30.08,10.46
30.38,10.46
30.68,10.46
30.99,10.47
31.30,10.46
31.61,10.46
31.93,10.46
32.24,10.45
32.57,10.45
32.89,10.46
33.22,10.48
33.55,10.50
33.89,10.52
34.23,10.54
34.57,10.56
34.92,10.57
35.27,10.57
35.62,10.57
35.97,10.56
36.33,10.55
36.70,10.54
37.06,10.53
37.43,10.53
37.81,10.52
38.19,10.51
38.57,10.50
38.95,10.49
39.34,10.47
39.74,10.46
40.14,10.44
40.54,10.42
40.94,10.40
41.35,10.38
41.76,10.36
42.18,10.34
42.60,10.32
43.03,10.30
43.46,10.28
43.90,10.25
44.33,10.22
44.78,10.20
45.23,10.17
45.68,10.14
46.13,10.10
46.60,10.07
47.06,10.03
47.53,10.00
48.01,9.97
48.49,9.93
48.97,9.90
49.46,9.86
49.96,9.82
50.46,9.78
50.96,9.74
51.47,9.70
51.99,9.66
52.51,9.61
53.03,9.57
53.56,9.52
54.10,9.47
54.64,9.42
55.18,9.37
55.74,9.32
56.29,9.27
56.86,9.22
57.42,9.17
58.00,9.13
58.58,9.07
59.16,9.01
59.76,8.94
60.35,8.88
60.96,8.81
61.57,8.75
62.18,8.69
62.80,8.63
63.43,8.56
64.07,8.50
64.71,8.44
65.35,8.38
66.01,8.32
66.67,8.25
67.33,8.18
68.01,8.11
68.69,8.03
69.37,7.96
70.07,7.89
70.77,7.82
71.48,7.74
72.19,7.67
72.91,7.59
73.64,7.52
74.38,7.44
