frequency,raw
20.00,10.89
20.20,10.94
20.40,10.98
20.61,11.02
20.81,11.07
21.02,11.12
21.23,11.16
21.44,11.21
21.66,11.26
21.87,11.31
22.09,11.36
22.31,11.41
22.54,11.45
22.76,11.50
22.99,11.54
23.22,11.58
23.45,11.62
23.69,11.65
23.92,11.69
24.16,11.73
24.40,11.76
24.65,11.80
24.89,11.83
25.14,11.87
25.39,11.91
25.65,11.94
25.91,11.98
26.16,12.01
26.43,12.04
26.69,12.07
26.96,12.09
27.23,12.12
27.50,12.15
27.77,12.18
28.05,12.21
28.33,12.23
28.62,12.26
28.90,12.28
29.19,12.30
29.48,12.31
29.78,12.33
30.08,12.35
30.38,12.37
30.68,12.39
30.99,12.41
31.30,12.42
31.61,12.44
31.93,12.46
32.24,12.47
32.57,12.48
32.89,12.49
33.22,12.51
33.55,12.52
33.89,12.52
34.23,12.53
34.57,12.54
34.92,12.54
35.27,12.55
35.62,12.56
35.97,12.56
36.33,12.56
36.70,12.57
37.06,12.57
37.43,12.57
37.81,12.57
38.19,12.57
38.57,12.57
38.95,12.57
39.34,12.57
39.74,12.56
40.14,12.56
40.54,12.55
40.94,12.54
41.35,12.54
41.76,12.53
42.18,12.52
42.60,12.51
43.03,12.51
43.46,12.49
43.90,12.48
44.33,12.47
44.78,12.46
45.23,12.45
45.68,12.43
46.13,12.42
46.60,12.40
47.06,12.38
47.53,12.37
48.01,12.35
48.49,12.33
48.97,12.31
49.46,12.29
49.96,12.27
50.46,12.24
50.96,12.22
51.47,12.19
51.99,12.17
52.51,12.14
53.03,12.12
53.56,12.09
54.10,12.06
54.64,12.03
55.18,12.00
55.74,11.97
56.29,11.94
56.86,11.91
57.42,11.88
58.00,11.85
58.58,11.81
59.16,11.78
59.76,11.74
60.35,11.70
60.96,11.66
61.57,11.63
62.18,11.59
62.80,11.55
63.43,11.51
64.07,11.47
64.71,11.43
65.35,11.39
66.01,11.34
66.67,11.30
67.33,11.26
68.01,11.21
68.69,11.16
69.37,11.11
70.07,11.06
70.77,11.02
71.48,10.98
72.19,10.94
72.91,10.89
73.64,10.84
74.38,10.78
75.12,10.73
75.87,10.68
76.63,10.62
77.40,10.57
78.17,10.51
78.95,10.46
79.74,10.41
80.54,10.35
81.35,10.30
82.16,10.24
82.98,10.19
83.81,10.13
84.65,10.08
85.50,10.02
86.35,9.97
87.22,9.91
88.09,9.85
88.97,9.79
89.86,9.74
90.76,9.68
91.66,9.62
92.58,9.56
93.51,9.50
94.44,9.45
95.39,9.38
96.34,9.33
97.30,9.27
98.28,9.21
99.26,9.15
100.25,9.10
101.25,9.04
102.27,8.99
103.29,8.93
104.32,8.87
105.37,8.82
106.42,8.76
107.48,8.70
108.56,8.65
109.64,8.59
110.74,8.54
111.85,8.49
112.97,8.43
114.10,8.38
115.24,8.33
116.39,8.27
117.55,8.22
118.73,8.17
119.92,8.12
121.12,8.07
122.33,8.02
123.55,7.97
124.79,7.92
126.03,7.87
127.29,7.82
128.57,7.77
129.85,7.73
131.15,7.68
132.46,7.63
133.79,7.59
135.12,7.54
136.48,7.49
137.84,7.45
139.22,7.40
140.61,7.36
142.02,7.31
143.44,7.27
144.87,7.22
146.32,7.18
147.78,7.14
149.26,7.09
150.75,7.05
152.26,7.01
153.78,6.96
155.32,6.92
156.88,6.87
158.44,6.83
160.03,6.78
161.63,6.74
163.24,6.70
164.88,6.65
166.53,6.61
168.19,6.56
169.87,6.52
171.57,6.47
173.29,6.43
175.02,6.38
176.77,6.33
178.54,6.29
180.32,6.24
182.13,6.19
183.95,6.14
185.79,6.10
187.65,6.05
189.52,6.00
191.42,5.95
193.33,5.90
195.27,5.85
197.22,5.80
199.19,5.75
201.18,5.69
203.19,5.64
205.23,5.59
207.28,5.53
209.35,5.48
211.44,5.42
213.56,5.36
215.69,5.31
217.85,5.26
220.03,5.20
222.23,5.14
224.45,5.09
226.70,5.03
228.96,4.97
231.25,4.91
233.57,4.85
235.90,4.79
238.26,4.72
240.64,4.66
243.05,4.59
245.48,4.53
247.93,4.47
250.41,4.40
252.92,4.34
255.45,4.27
258.00,4.20
260.58,4.13
263.19,4.06
265.82,4.00
268.48,3.93
271.16,3.86
273.87,3.79
276.61,3.72
279.38,3.65
282.17,3.57
284.99,3.50
287.84,3.43
290.72,3.36
293.63,3.28
296.57,3.21
299.53,3.13
302.53,3.06
305.55,2.98
308.61,2.91
311.69,2.83
314.81,2.76
317.96,2.68
321.14,2.61
324.35,2.53
327.59,2.45
330.87,2.37
334.18,2.29
337.52,2.21
340.90,2.14
344.30,2.06
347.75,1.98
351.23,1.90
354.74,1.81
358.28,1.74
361.87,1.66
365.49,1.58
369.14,1.50
372.83,1.42
376.56,1.34
380.33,1.26
384.13,1.18
387.97,1.10
391.85,1.02
395.77,0.94
399.73,0.86
403.72,0.78
407.76,0.70
411.84,0.62
415.96,0.54
420.12,0.46
424.32,0.38
428.56,0.30
432.85,0.23
437.18,0.15
441.55,0.07
445.96,-0.01
450.42,-0.10
454.93,-0.18
459.48,-0.26
464.07,-0.33
468.71,-0.41
473.40,-0.49
478.13,-0.56
482.91,-0.64
487.74,-0.71
492.62,-0.79
497.55,-0.86
502.52,-0.94
507.55,-1.01
512.62,-1.08
517.75,-1.16
522.93,-1.23
528.16,-1.30
533.44,-1.37
538.77,-1.43
544.16,-1.50
549.60,-1.56
555.10,-1.62
560.65,-1.68
566.25,-1.74
571.92,-1.80
577.64,-1.85
583.41,-1.90
589.25,-1.95
595.14,-2.00
601.09,-2.05
607.10,-2.09
613.17,-2.13
619.30,-2.17
625.50,-2.20
631.75,-2.23
638.07,-2.26
644.45,-2.28
650.89,-2.30
657.40,-2.32
663.98,-2.33
670.62,-2.33
677.32,-2.34
684.10,-2.33
690.94,-2.33
697.85,-2.31
704.83,-2.29
711.87,-2.26
718.99,-2.24
726.18,-2.20
733.44,-2.16
740.78,-2.12
748.19,-2.08
755.67,-2.03
763.23,-1.98
770.86,-1.92
778.57,-1.86
786.35,-1.79
794.22,-1.73
802.16,-1.66
810.18,-1.60
818.28,-1.53
826.46,-1.46
834.73,-1.39
843.08,-1.32
851.51,-1.25
860.02,-1.18
868.62,-1.11
877.31,-1.03
886.08,-0.96
894.94,-0.89
903.89,-0.81
912.93,-0.74
922.06,-0.66
931.28,-0.58
940.59,-0.51
950.00,-0.43
959.50,-0.35
969.09,-0.27
978.78,-0.19
988.57,-0.10
998.46,-0.01
1008.44,0.08
1018.53,0.17
1028.71,0.26
1039.00,0.36
1049.39,0.45
1059.88,0.55
1070.48,0.65
1081.19,0.75
1092.00,0.85
1102.92,0.95
1113.95,1.05
1125.09,1.15
1136.34,1.26
1147.70,1.37
1159.18,1.48
1170.77,1.59
1182.48,1.70
1194.30,1.81
1206.25,1.92
1218.31,2.03
1230.49,2.14
1242.80,2.25
1255.22,2.36
1267.78,2.48
1280.45,2.59
1293.26,2.71
1306.19,2.83
1319.25,2.94
1332.45,3.06
1345.77,3.18
1359.23,3.30
1372.82,3.43
1386.55,3.55
1400.41,3.67
1414.42,3.80
1428.56,3.92
1442.85,4.05
1457.28,4.18
1471.85,4.31
1486.57,4.44
1501.43,4.58
