frequency,raw
20.00,3.93
20.20,3.90
20.40,3.86
20.61,3.83
20.81,3.82
21.02,3.82
21.23,3.85
21.44,3.90
21.66,3.98
21.87,4.06
22.09,4.15
22.31,4.22
22.54,4.28
22.76,4.31
22.99,4.31
23.22,4.28
23.45,4.23
23.69,4.18
23.92,4.13
24.16,4.11
24.40,4.13
24.65,4.19
24.89,4.28
25.14,4.40
25.39,4.52
25.65,4.62
25.91,4.70
26.16,4.74
26.43,4.76
26.69,4.75
26.96,4.75
27.23,4.75
27.50,4.78
27.77,4.80
28.05,4.82
28.33,4.79
28.62,4.74
28.90,4.66
29.19,4.57
29.48,4.49
29.78,4.46
30.08,4.46
30.38,4.50
30.68,4.56
30.99,4.61
31.30,4.65
31.61,4.66
31.93,4.67
32.24,4.70
32.57,4.73
32.89,4.78
33.22,4.83
33.55,4.88
33.89,4.89
34.23,4.87
34.57,4.84
34.92,4.78
35.27,4.72
35.62,4.66
35.97,4.62
36.33,4.59
36.70,4.58
37.06,4.58
37.43,4.60
37.81,4.62
38.19,4.63
38.57,4.63
38.95,4.60
39.34,4.56
39.74,4.52
40.14,4.49
40.54,4.48
40.94,4.48
41.35,4.47
41.76,4.46
42.18,4.45
42.60,4.44
43.03,4.48
43.46,4.53
43.90,4.56
44.33,4.56
44.78,4.49
45.23,4.41
45.68,4.34
46.13,4.31
46.60,4.33
47.06,4.36
47.53,4.40
48.01,4.41
48.49,4.39
48.97,4.36
49.46,4.31
49.96,4.26
50.46,4.23
50.96,4.20
51.47,4.18
51.99,4.16
52.51,4.15
53.03,4.13
53.56,4.10
54.10,4.08
54.64,4.07
55.18,4.07
55.74,4.06
56.29,4.06
56.86,4.06
57.42,4.09
58.00,4.12
58.58,4.14
59.16,4.14
59.76,4.11
60.35,4.03
60.96,3.93
61.57,3.84
62.18,3.79
62.80,3.78
63.43,3.83
64.07,3.91
64.71,3.99
65.35,3.97
66.01,3.88
66.67,3.75
67.33,3.64
68.01,3.55
68.69,3.49
69.37,3.44
70.07,3.42
70.77,3.41
71.48,3.40
72.19,3.41
72.91,3.44
73.64,3.46
74.38,3.42
75.12,3.35
75.87,3.30
76.63,3.24
77.40,3.18
78.17,3.11
78.95,3.04
79.74,3.01
80.54,2.96
81.35,2.91
82.16,2.85
82.98,2.81
83.81,2.79
84.65,2.80
85.50,2.79
86.35,2.77
87.22,2.72
88.09,2.66
88.97,2.61
89.86,2.57
90.76,2.51
91.66,2.46
92.58,2.43
93.51,2.42
94.44,2.39
95.39,2.34
96.34,2.30
97.30,2.25
98.28,2.18
99.26,2.12
100.25,2.07
101.25,2.05
102.27,2.03
103.29,2.01
104.32,1.99
105.37,1.96
106.42,1.91
107.48,1.85
108.56,1.78
109.64,1.71
110.74,1.66
111.85,1.63
112.97,1.58
114.10,1.53
115.24,1.48
116.39,1.44
117.55,1.41
