frequency,raw
20.00,3.65
20.20,3.71
20.40,3.77
20.61,3.83
20.81,3.87
21.02,3.89
21.23,3.88
21.44,3.82
21.66,3.74
21.87,3.67
22.09,3.64
22.31,3.64
22.54,3.69
22.76,3.77
22.99,3.86
23.22,3.92
23.45,3.91
23.69,3.85
23.92,3.72
24.16,3.56
24.40,3.44
24.65,3.36
24.89,3.40
25.14,3.50
25.39,3.64
25.65,3.74
25.91,3.79
26.16,3.76
26.43,3.65
26.69,3.52
26.96,3.41
27.23,3.41
27.50,3.54
27.77,3.73
28.05,3.94
28.33,4.09
28.62,4.17
28.90,4.16
29.19,4.07
29.48,3.96
29.78,3.86
30.08,3.79
30.38,3.78
30.68,3.84
30.99,3.93
31.30,4.02
31.61,4.08
31.93,4.11
32.24,4.10
32.57,4.06
32.89,3.98
33.22,3.91
33.55,3.84
33.89,3.80
34.23,3.78
34.57,3.76
34.92,3.73
35.27,3.72
35.62,3.72
35.97,3.77
36.33,3.85
36.70,3.91
37.06,3.95
37.43,3.94
37.81,3.90
38.19,3.86
38.57,3.85
38.95,3.84
39.34,3.82
39.74,3.79
40.14,3.77
40.54,3.78
40.94,3.85
41.35,3.95
41.76,4.06
42.18,4.12
42.60,4.17
43.03,4.19
43.46,4.20
43.90,4.18
44.33,4.14
44.78,4.05
45.23,3.95
45.68,3.89
46.13,3.85
46.60,3.85
47.06,3.84
47.53,3.83
48.01,3.80
48.49,3.76
48.97,3.72
49.46,3.68
49.96,3.65
50.46,3.64
50.96,3.63
51.47,3.65
51.99,3.69
52.51,3.73
53.03,3.76
53.56,3.72
54.10,3.66
54.64,3.59
55.18,3.53
55.74,3.50
56.29,3.47
56.86,3.45
57.42,3.39
58.00,3.33
58.58,3.28
59.16,3.25
59.76,3.28
60.35,3.29
60.96,3.29
61.57,3.27
62.18,3.27
62.80,3.26
63.43,3.23
64.07,3.20
64.71,3.16
65.35,3.12
66.01,3.09
66.67,3.06
67.33,3.04
68.01,3.02
68.69,2.98
69.37,2.96
70.07,2.94
70.77,2.91
71.48,2.87
72.19,2.82
72.91,2.77
73.64,2.75
74.38,2.75
75.12,2.74
75.87,2.70
76.63,2.65
77.40,2.59
78.17,2.53
78.95,2.48
79.74,2.47
80.54,2.44
81.35,2.39
82.16,2.35
82.98,2.31
83.81,2.29
84.65,2.27
85.50,2.25
86.35,2.23
87.22,2.21
88.09,2.18
88.97,2.14
89.86,2.08
90.76,2.03
91.66,1.98
92.58,1.94
93.51,1.90
94.44,1.86
95.39,1.81
96.34,1.77
97.30,1.74
98.28,1.72
99.26,1.68
100.25,1.64
101.25,1.59
102.27,1.54
103.29,1.50
